case_id,run_id,run_path,side,yaw_rad,translation_m,execution_status,scientific_outcome,all_waypoints_converged,any_joint_clamped,usable_trace_by_declared_ik_rule,max_target_displacement_m,max_position_residual_m,minimum_limit_margin_rad,repeatability_max_joint_delta_rad,repeatability_ok,identity_mapping_checked,identity_mapping_ok
right_baseline,t004_right_baseline_20260811T044658Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_baseline_20260811T044658Z,right,0.0,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.0,0.00013055712908848331,0.2597801001790192,0.0,True,True,True
left_baseline,t004_left_baseline_20260811T044658Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_baseline_20260811T044658Z,left,0.0,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.0,0.00013055712908848331,0.2597801001790192,0.0,True,True,True
right_yaw_neg10deg,t004_right_yaw_neg10deg_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_yaw_neg10deg_20260811T044659Z,right,-0.17453292519943295,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.04764868216152303,0.0001592678906135754,0.12543193019366305,0.0,True,False,
left_yaw_neg10deg,t004_left_yaw_neg10deg_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_yaw_neg10deg_20260811T044659Z,left,-0.17453292519943295,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.047648682161523036,0.00010031506624290431,0.28987560294934356,0.0,True,False,
right_yaw_neg5deg,t004_right_yaw_neg5deg_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_yaw_neg5deg_20260811T044659Z,right,-0.08726646259971647,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.02384703817703503,0.00014518065628626195,0.1893084545694773,0.0,True,False,
left_yaw_neg5deg,t004_left_yaw_neg5deg_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_yaw_neg5deg_20260811T044659Z,left,-0.08726646259971647,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.02384703817703506,0.00011556776635898659,0.3360285327103587,0.0,True,False,
right_yaw_pos5deg,t004_right_yaw_pos5deg_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_yaw_pos5deg_20260811T044659Z,right,0.08726646259971647,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.02384703817703506,0.00011556776635898659,0.3360285327103587,0.0,True,False,
left_yaw_pos5deg,t004_left_yaw_pos5deg_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_yaw_pos5deg_20260811T044659Z,left,0.08726646259971647,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.02384703817703503,0.00014518065628626195,0.1893084545694773,0.0,True,False,
right_yaw_pos10deg,t004_right_yaw_pos10deg_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_yaw_pos10deg_20260811T044659Z,right,0.17453292519943295,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.047648682161523036,0.00010031506624290431,0.2897856029493435,0.0,True,False,
left_yaw_pos10deg,t004_left_yaw_pos10deg_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_yaw_pos10deg_20260811T044659Z,left,0.17453292519943295,"[0.0, 0.0, 0.0]",completed,unassessed,True,False,True,0.04764868216152303,0.0001592678906135754,0.12543193019366305,0.0,True,False,
right_tx_neg30mm,t004_right_tx_neg30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_tx_neg30mm_20260811T044659Z,right,0.0,"[-0.03, 0.0, 0.0]",completed,unassessed,True,False,True,0.03,0.0001656303590716065,0.08142989077839691,0.0,True,False,
left_tx_neg30mm,t004_left_tx_neg30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_tx_neg30mm_20260811T044659Z,left,0.0,"[-0.03, 0.0, 0.0]",completed,unassessed,True,False,True,0.03,0.0001656303590716065,0.08142989077839691,0.0,True,False,
right_tx_pos30mm,t004_right_tx_pos30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_tx_pos30mm_20260811T044659Z,right,0.0,"[0.03, 0.0, 0.0]",completed,unassessed,True,False,True,0.03,0.00010369024543579921,0.40511326078233056,0.0,True,False,
left_tx_pos30mm,t004_left_tx_pos30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_tx_pos30mm_20260811T044659Z,left,0.0,"[0.03, 0.0, 0.0]",completed,unassessed,True,False,True,0.03,0.00010369024543579921,0.4052032607823306,0.0,True,False,
right_ty_neg30mm,t004_right_ty_neg30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_ty_neg30mm_20260811T044659Z,right,0.0,"[0.0, -0.03, 0.0]",completed,unassessed,True,False,True,0.03,0.00012136818509122413,0.3301224970007929,0.0,True,False,
left_ty_neg30mm,t004_left_ty_neg30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_ty_neg30mm_20260811T044659Z,left,0.0,"[0.0, -0.03, 0.0]",completed,unassessed,True,False,True,0.03,0.0001332079127496262,0.23730883348284804,0.0,True,False,
right_ty_pos30mm,t004_right_ty_pos30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_ty_pos30mm_20260811T044659Z,right,0.0,"[0.0, 0.03, 0.0]",completed,unassessed,True,False,True,0.03,0.0001332079127496262,0.23730883348284804,0.0,True,False,
left_ty_pos30mm,t004_left_ty_pos30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_ty_pos30mm_20260811T044659Z,left,0.0,"[0.0, 0.03, 0.0]",completed,unassessed,True,False,True,0.03,0.00012136818509122413,0.3301224970007929,0.0,True,False,
right_tz_neg30mm,t004_right_tz_neg30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_right_tz_neg30mm_20260811T044659Z,right,0.0,"[0.0, 0.0, -0.03]",completed,unassessed,True,False,True,0.03,9.778808012846595e-05,0.36596565928665764,0.0,True,False,
left_tz_neg30mm,t004_left_tz_neg30mm_20260811T044659Z,experiments/r1_teleop/quest3_sim_v1/T004/runs/t004_left_tz_neg30mm_20260811T044659Z,left,0.0,"[0.0, 0.0, -0.03]",completed,unassessed,True,False,True,0.03,9.778808012846595e-05,0.3660556592866576,0.0,True,False,
