t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0,0,0.733115,0.000345267,-0.028345,-0.00321121,-0.999593,0,0,0,0,ARMA,0
0.0399988,6.49877e-06,-4.59203e-05,0,1.00825e-05,0.733113,0,-0.0283349,-0.00323132,-0.999593,2.69413e-05,0,0,0,ARMA,0
0.0599988,1.34315e-05,-8.92133e-05,0,2.01557e-05,0.733111,0,-0.0283248,-0.00324926,-0.999593,5.01852e-05,0,0,0,ARMA,0
0.0799987,2.34749e-05,-0.00014431,0,3.43956e-05,0.733109,0.000345267,-0.0283106,-0.003271,-0.999594,7.76332e-05,0,0,0,ARMA,0
0.0999987,3.44403e-05,-0.000196278,0,5.07198e-05,0.733108,0,-0.0282942,-0.0032914,-0.999594,0.000102099,0,0,0,ARMA,0
0.119999,4.75291e-05,-0.000249876,0,6.60997e-05,0.733106,0.000345267,-0.0282789,-0.00330985,-0.999595,0.000124026,0,0,0,ARMA,0
0.139999,6.05639e-05,-0.00029921,0,8.60021e-05,0.733104,0,-0.028259,-0.0033316,-0.999595,0.000150278,0,0,0,ARMA,0
0.159999,7.64541e-05,-0.000355166,0,0.000102201,0.733102,0.000345267,-0.0282428,-0.00335004,-0.999595,0.000171175,0,0,0,ARMA,0
0.179999,9.53078e-05,-0.000417787,0,0.000119111,0.733099,0.000345267,-0.0282259,-0.00337132,-0.999596,0.000194186,0,0,0,ARMA,0
0.199999,0.000112418,-0.000474992,0,0.000140131,0.733097,0,-0.0282048,-0.00339403,-0.999596,0.000219474,0,0,0,ARMA,0
0.219999,0.000127982,-0.000526546,0,0.000158286,0.733094,0.000345267,-0.0281867,-0.00341277,-0.999597,0.000240112,0,0,0,ARMA,0
0.239999,0.000145268,-0.000583259,0,0.000182517,0.733092,0.000345267,-0.0281625,-0.00343467,-0.999597,0.000265082,0,0,0,ARMA,0
0.259999,0.000163911,-0.000643398,0,0.000209449,0.733091,0.000345267,-0.0281355,-0.00345391,-0.999598,0.000287004,0,0,0,ARMA,0
0.279999,0.000181576,-0.000695483,0,0.000236161,0.733089,0.000345267,-0.0281088,-0.00347425,-0.999599,0.000308314,0,0,0,ARMA,0
0.299999,0.000197442,-0.000739888,0,0.000262903,0.733088,0.000345267,-0.0280821,-0.0034948,-0.9996,0.000328872,0,0,0,ARMA,0
0.319999,0.000215936,-0.000790596,0,0.000292575,0.733087,0.000345267,-0.0280524,-0.00351485,-0.9996,0.00034895,0,0,0,ARMA,0
0.339998,0.000230225,-0.000828674,0,0.000318291,0.733086,0.000488281,-0.0280267,-0.00353216,-0.999601,0.000367889,0,0,0,ARMA,0
0.359998,0.000245085,-0.000870394,0,0.000348389,0.733085,0.000488281,-0.0279966,-0.00354906,-0.999602,0.00039486,0,0,0,ARMA,0
0.379998,0.000256132,-0.000903454,0,0.000377845,0.733085,0.000488281,-0.0279671,-0.00356266,-0.999602,0.000420712,0,0,0,ARMA,0
0.399998,0.000266589,-0.000931659,0,0.000405658,0.733085,0.00059802,-0.0279393,-0.00357721,-0.999603,0.000447562,0,0,0,ARMA,0
0.419998,0.000276281,-0.000954626,0,0.000433531,0.733085,0.00059802,-0.0279114,-0.00359203,-0.999604,0.000474181,0,0,0,ARMA,0
0.439998,0.000284687,-0.00097103,0,0.000457134,0.733085,0.00059802,-0.0278878,-0.0036041,-0.999605,0.000495203,0,0,0,ARMA,0
0.459998,0.000294894,-0.000985331,0,0.000489878,0.733085,0.00059802,-0.0278551,-0.00362482,-0.999605,0.000525655,0,0,0,ARMA,0
0.479998,0.000306681,-0.000997738,0,0.000514388,0.733085,0.000690534,-0.0278306,-0.00364199,-0.999606,0.000550317,0,0,0,ARMA,0
0.499998,0.000315746,-0.00100613,0,0.000535844,0.733084,0.000690534,-0.0278091,-0.00365564,-0.999607,0.000572536,0,0,0,ARMA,0
0.519998,0.000324966,-0.00101395,0,0.000557605,0.733084,0.000690534,-0.0277874,-0.00366921,-0.999607,0.000597341,0,0,0,ARMA,0
0.539998,0.000333145,-0.00102047,0,0.000575334,0.733083,0.00077204,-0.0277696,-0.00368074,-0.999608,0.000619236,0,0,0,ARMA,0
0.559998,0.000341095,-0.00102695,0,0.00059608,0.733083,0.00077204,-0.0277489,-0.00369459,-0.999608,0.000644831,0,0,0,ARMA,0
0.579998,0.000347536,-0.0010327,0,0.000615889,0.733082,0.000845728,-0.0277291,-0.00370812,-0.999609,0.000669643,0,0,0,ARMA,0
0.599998,0.000353163,-0.00103848,0,0.000635043,0.733082,0.00077204,-0.0277099,-0.0037198,-0.999609,0.000691753,0,0,0,ARMA,0
0.619998,0.000356372,-0.00104193,0,0.000649247,0.733082,0.00077204,-0.0276957,-0.0037277,-0.999609,0.000706952,0,0,0,ARMA,0
0.639998,0.000363801,-0.00104937,0,0.000673609,0.733081,0.000845728,-0.0276714,-0.00374119,-0.99961,0.00073253,0,0,0,ARMA,0
0.659998,0.000370672,-0.00105582,0,0.000695726,0.733081,0.000845728,-0.0276492,-0.00375352,-0.999611,0.000755353,0,0,0,ARMA,0
0.679998,0.000376752,-0.00106154,0,0.000713846,0.733081,0.000913491,-0.0276311,-0.00376366,-0.999611,0.000773435,0,0,0,ARMA,0
0.699998,0.000384796,-0.00106916,0,0.000736881,0.73308,0.000976562,-0.0276081,-0.00377607,-0.999612,0.000794737,0,0,0,ARMA,0
0.719998,0.00039272,-0.00107657,0,0.000756739,0.73308,0.000913491,-0.0275882,-0.00378616,-0.999612,0.000811776,0,0,0,ARMA,0
0.739998,0.000399603,-0.00108289,0,0.000779295,0.73308,0.000976562,-0.0275657,-0.00379751,-0.999613,0.000830427,0,0,0,ARMA,0
0.759998,0.000411132,-0.00109339,0,0.000803199,0.733079,0.000976562,-0.0275418,-0.00381037,-0.999613,0.000850528,0,0,0,ARMA,0
0.779998,0.000420487,-0.00110243,0,0.00082206,0.733078,0.0010358,-0.0275229,-0.00382064,-0.999614,0.000866581,0,0,0,ARMA,0
0.799998,0.000432346,-0.00111519,0,0.000845008,0.733077,0.0010358,-0.0275,-0.00383255,-0.999614,0.000885665,0,0,0,ARMA,0
0.819998,0.000441197,-0.00112578,0,0.000865931,0.733076,0.0010358,-0.027479,-0.00384288,-0.999615,0.000902558,0,0,0,ARMA,0
0.839998,0.000454685,-0.0011437,0,0.000887472,0.733075,0.00109183,-0.0274575,-0.00385278,-0.999616,0.000919001,0,0,0,ARMA,0
0.859998,0.000465056,-0.00115874,0,0.000907078,0.733074,0.00114512,-0.0274379,-0.00386151,-0.999616,0.000933466,0,0,0,ARMA,0
0.879998,0.000478175,-0.00117906,0,0.000930496,0.733073,0.00109183,-0.0274145,-0.00387201,-0.999617,0.000950765,0,0,0,ARMA,0
0.899998,0.000489108,-0.00119726,0,0.000949593,0.733072,0.00114512,-0.0273954,-0.00388027,-0.999617,0.000964539,0,0,0,ARMA,0
0.919998,0.000502711,-0.00122142,0,0.000970909,0.733071,0.00119604,-0.0273741,-0.00388917,-0.999618,0.000979532,0,0,0,ARMA,0
0.939998,0.000515158,-0.00124504,0,0.000993984,0.73307,0.00119604,-0.027351,-0.00389843,-0.999618,0.000995841,0,0,0,ARMA,0
0.959998,0.000527451,-0.00126997,0,0.00101543,0.733069,0.00124488,-0.0273295,-0.00390643,-0.999619,0.00101049,0,0,0,ARMA,0
0.979998,0.000537306,-0.00129075,0,0.00103645,0.733068,0.00129187,-0.0273085,-0.00391465,-0.999619,0.00102503,0,0,0,ARMA,0
0.999998,0.000552075,-0.0013231,0,0.00105674,0.733067,0.00129187,-0.0272882,-0.00392296,-0.99962,0.00103944,0,0,0,ARMA,0
1.02,0.000562988,-0.00134818,0,0.00107698,0.733066,0.00129187,-0.027268,-0.00393144,-0.99962,0.00105357,0,0,0,ARMA,0
1.04,0.000575132,-0.00137688,0,0.00109449,0.733065,0.00133721,-0.0272505,-0.00393936,-0.999621,0.00106617,0,0,0,ARMA,0
1.06,0.000583546,-0.00139735,0,0.00110762,0.733064,0.00133721,-0.0272373,-0.00394549,-0.999621,0.00107594,0,0,0,ARMA,0
1.08,0.000599777,-0.00143881,0,0.00113291,0.733063,0.00133721,-0.0272121,-0.00395644,-0.999622,0.00109385,0,0,0,ARMA,0
1.1,0.000611288,-0.00146864,0,0.001152,0.733061,0.00138107,-0.027193,-0.00396525,-0.999622,0.00110743,0,0,0,ARMA,0
1.12,0.000622682,-0.00149835,0,0.00117226,0.73306,0.00142357,-0.0271727,-0.00397532,-0.999623,0.00112211,0,0,0,ARMA,0
1.14,0.000633871,-0.00152781,0,0.00119119,0.733059,0.00142357,-0.0271538,-0.00398465,-0.999623,0.00113514,0,0,0,ARMA,0
1.16,0.000645028,-0.00155686,0,0.0012097,0.733058,0.00146484,-0.0271353,-0.00399439,-0.999624,0.00114814,0,0,0,ARMA,0
1.18,0.000656081,-0.00158536,0,0.00122754,0.733057,0.00146484,-0.0271174,-0.0040044,-0.999624,0.00116109,0,0,0,ARMA,0
1.2,0.000666915,-0.00161325,0,0.00124525,0.733056,0.00146484,-0.0270997,-0.00401447,-0.999625,0.00117389,0,0,0,ARMA,0
1.22,0.000676451,-0.00163767,0,0.00126084,0.733055,0.00146484,-0.0270841,-0.00402357,-0.999625,0.00118541,0,0,0,ARMA,0
1.24,0.000687691,-0.00166646,0,0.00127777,0.733054,0.00150498,-0.0270672,-0.00403365,-0.999626,0.00119821,0,0,0,ARMA,0
1.26,0.000697477,-0.00169152,0,0.0012963,0.733053,0.00154408,-0.0270487,-0.00404466,-0.999626,0.00121203,0,0,0,ARMA,0
1.28,0.000706978,-0.00171542,0,0.00131232,0.733052,0.00154408,-0.0270327,-0.00405495,-0.999626,0.00122433,0,0,0,ARMA,0
1.3,0.00071613,-0.00173823,0,0.00132755,0.733051,0.00158221,-0.0270174,-0.00406533,-0.999627,0.00123651,0,0,0,ARMA,0
1.32,0.000723936,-0.00175788,0,0.00134096,0.73305,0.00161945,-0.027004,-0.0040745,-0.999627,0.00124747,0,0,0,ARMA,0
1.34,0.000732156,-0.00177869,0,0.00135522,0.733049,0.00161945,-0.0269897,-0.00408469,-0.999627,0.00125963,0,0,0,ARMA,0
1.36,0.000740666,-0.00180035,0,0.00137021,0.733048,0.00161945,-0.0269748,-0.00409603,-0.999628,0.00127283,0,0,0,ARMA,0
1.38,0.000748025,-0.0018191,0,0.00138338,0.733047,0.00161945,-0.0269616,-0.00410456,-0.999628,0.00128307,0,0,0,ARMA,0
1.4,0.000755207,-0.00183726,0,0.00139638,0.733047,0.00165584,-0.0269486,-0.00411066,-0.999628,0.00129017,0,0,0,ARMA,0
1.42,0.00076216,-0.00185484,0,0.00140972,0.733046,0.00165584,-0.0269352,-0.00411634,-0.999629,0.00129534,0,0,0,ARMA,0
1.44,0.000768985,-0.00187184,0,0.00142337,0.733046,0.00169146,-0.0269216,-0.00412243,-0.999629,0.00129954,0,0,0,ARMA,0
