t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0,0,0.733116,0,-0.0282968,-0.00319252,-0.999594,0,0.35,0,0,ARMA,0
0.0399988,1.31372e-05,-4.62877e-05,0,6.61053e-06,0.73311,0,-0.0282902,-0.00322075,-0.999595,2.97725e-05,0.35,0,0,ARMA,0
0.0599988,5.52125e-05,-8.07149e-05,0,1.46814e-05,0.733098,0.000345267,-0.0282821,-0.003262,-0.999595,5.70342e-05,0.35,0,0,ARMA,0
0.0799987,0.000149591,-0.000103164,0,2.14521e-05,0.733072,0,-0.0282754,-0.00331784,-0.999595,8.46982e-05,0.35,0,0,ARMA,0
0.0999987,0.000145145,-0.000236798,0,0.00110259,0.733036,0.00251358,-0.0271942,-0.00544933,-0.999615,0.000547241,0.35,0,0,ARMA,0
0.119999,0.000166412,-0.000432783,0,0.00284364,0.733134,0.00547006,-0.0254532,-0.00785325,-0.999645,0.00204702,0.35,0,0,ARMA,0
0.139999,0.000435535,-0.000573824,0,0.00417749,0.733212,0.00655099,-0.0241193,-0.00823032,-0.999675,0.00218344,0.35,0,0,ARMA,0
0.159999,0.000706046,-0.000616766,0,0.00554628,0.733149,0.00716794,-0.0227505,-0.00773012,-0.999711,0.00244799,0.35,0,0,ARMA,0
0.179999,0.00119267,-0.00029075,0,0.00664633,0.733011,0.007896,-0.0216505,-0.00745977,-0.999738,0.001908,0.35,0,0,ARMA,0
0.199999,0.00182637,0.000487872,0,0.00710057,0.733076,0.00904971,-0.0211962,-0.00880789,-0.999737,-0.000166966,0.35,0,0,ARMA,0
0.219999,0.00249169,0.00157223,0,0.00806657,0.733362,0.0114928,-0.0202302,-0.0113729,-0.999731,-0.00199515,0.35,0,0,ARMA,0
0.239999,0.00324064,0.00298155,0,0.00988187,0.733861,0.0147216,-0.0184149,-0.0140984,-0.999731,-0.00398248,0.35,0,0,ARMA,0
0.259999,0.00404566,0.00455973,0,0.0122927,0.73446,0.0176427,-0.0160041,-0.0158486,-0.999746,-0.00625869,0.35,0,0,ARMA,0
0.279999,0.00542896,0.00711277,0,0.0154486,0.735317,0.0206588,-0.0128482,-0.0169076,-0.999775,-0.00922956,0.35,0,0,ARMA,0
0.299999,0.00674964,0.00932007,0,0.0185606,0.735852,0.0231386,-0.00973624,-0.0170057,-0.999808,-0.0111819,0.35,0,0,ARMA,0
0.319999,0.00815324,0.011513,0,0.0208131,0.736159,0.0247252,-0.00748372,-0.0165383,-0.999835,-0.0120588,0.35,0,0,ARMA,0
0.339998,0.0105466,0.0153465,0,0.0233533,0.7361,0.0257364,-0.00494352,-0.014004,-0.99989,-0.0126277,0.35,0,0,ARMA,0
0.359998,0.012761,0.0191549,0,0.0253044,0.735431,0.0260701,-0.00299243,-0.00944062,-0.999951,-0.0130346,0.35,0,0,ARMA,0
0.379998,0.0149736,0.0231445,0,0.0264694,0.734172,0.0264807,-0.00182742,-0.00259834,-0.999995,-0.0134522,0.35,0,0,ARMA,0
0.399998,0.0176254,0.0280419,0,0.0268425,0.731987,0.028793,-0.00145427,0.00721306,-0.999973,-0.0131406,0.35,0,0,ARMA,0
0.419998,0.0209527,0.0316899,0,0.0234992,0.731424,0.0235446,-0.0047976,-0.00179103,-0.999987,-0.0129917,0.35,0,0,ARMA,0
0.439998,0.0241197,0.0351235,0,0.0191978,0.731615,0.019326,-0.009099,-0.00100719,-0.999958,-0.0125995,0.35,0,0,ARMA,0
0.459998,0.0267474,0.0378155,0,0.0169967,0.732185,0.0184001,-0.0113001,0.00384416,-0.999929,-0.0104738,0.35,0,0,ARMA,0
0.479998,0.029733,0.040132,0,0.015592,0.732862,0.018845,-0.0127048,0.00738414,-0.999892,-0.00834526,0.35,0,0,ARMA,0
0.499998,0.0332417,0.0420145,0,0.0149831,0.733433,0.020005,-0.0133137,0.0100626,-0.999861,-0.00645724,0.35,0,0,ARMA,0
0.519998,0.0367049,0.0431236,0,0.0147763,0.733766,0.0206905,-0.0135205,0.0112841,-0.999845,-0.00622823,0.35,0,0,ARMA,0
0.539998,0.0406553,0.0436966,0,0.0136117,0.733963,0.0200258,-0.0146851,0.0114915,-0.999826,-0.00588731,0.35,0,0,ARMA,0
0.559998,0.0451415,0.0438994,0,0.0111236,0.734015,0.018257,-0.0171732,0.0112797,-0.999789,-0.00426948,0.35,0,0,ARMA,0
