sample,t_s,cmd_age_ms,qd_L_hip_pitch,q_L_hip_pitch,dq_L_hip_pitch,tau_L_hip_pitch,qd_L_hip_roll,q_L_hip_roll,dq_L_hip_roll,tau_L_hip_roll,qd_L_hip_yaw,q_L_hip_yaw,dq_L_hip_yaw,tau_L_hip_yaw,qd_L_knee,q_L_knee,dq_L_knee,tau_L_knee,qd_L_ank_pitch,q_L_ank_pitch,dq_L_ank_pitch,tau_L_ank_pitch,qd_L_ank_roll,q_L_ank_roll,dq_L_ank_roll,tau_L_ank_roll,qd_R_hip_pitch,q_R_hip_pitch,dq_R_hip_pitch,tau_R_hip_pitch,qd_R_hip_roll,q_R_hip_roll,dq_R_hip_roll,tau_R_hip_roll,qd_R_hip_yaw,q_R_hip_yaw,dq_R_hip_yaw,tau_R_hip_yaw,qd_R_knee,q_R_knee,dq_R_knee,tau_R_knee,qd_R_ank_pitch,q_R_ank_pitch,dq_R_ank_pitch,tau_R_ank_pitch,qd_R_ank_roll,q_R_ank_roll,dq_R_ank_roll,tau_R_ank_roll,qd_waist_roll,q_waist_roll,dq_waist_roll,tau_waist_roll,qd_waist_yaw,q_waist_yaw,dq_waist_yaw,tau_waist_yaw,qd_L_sh_pitch,q_L_sh_pitch,dq_L_sh_pitch,tau_L_sh_pitch,qd_L_sh_roll,q_L_sh_roll,dq_L_sh_roll,tau_L_sh_roll,qd_L_sh_yaw,q_L_sh_yaw,dq_L_sh_yaw,tau_L_sh_yaw,qd_L_elbow,q_L_elbow,dq_L_elbow,tau_L_elbow,qd_L_wrist,q_L_wrist,dq_L_wrist,tau_L_wrist,qd_R_sh_pitch,q_R_sh_pitch,dq_R_sh_pitch,tau_R_sh_pitch,qd_R_sh_roll,q_R_sh_roll,dq_R_sh_roll,tau_R_sh_roll,qd_R_sh_yaw,q_R_sh_yaw,dq_R_sh_yaw,tau_R_sh_yaw,qd_R_elbow,q_R_elbow,dq_R_elbow,tau_R_elbow,qd_R_wrist,q_R_wrist,dq_R_wrist,tau_R_wrist
0,0.000000,1.000,-0.10165,-0.12113,-0.0675,1.805,0.07461,-0.00021,0.0186,7.264,-0.03952,-0.02439,-0.1131,-1.842,0.32602,0.31059,0.0212,1.891,0.10640,-0.20909,0.0909,13.593,-0.06492,-0.00529,-0.0848,-2.101,-0.12641,-0.12199,-0.0609,0.870,-0.06601,0.00179,0.0157,-6.377,0.04764,0.02523,0.2891,1.938,0.31041,0.31166,0.0173,0.977,0.08323,-0.20893,0.0919,12.842,0.06977,0.00566,0.1716,2.203,0.00456,-0.00026,0.0142,0.100,-0.00540,0.00125,0.0208,-0.155,0.36724,0.34666,0.0646,1.491,0.19148,0.17757,-0.1009,0.623,0.00731,-0.00018,-0.0045,0.043,0.84985,0.86566,-0.0033,-0.214,0.01207,0.00412,0.0607,0.180,0.38658,0.34269,0.0999,1.984,-0.19360,-0.17402,0.0470,-1.237,-0.01439,0.00017,0.0037,-0.198,0.86662,0.87564,0.0057,-0.094,-0.01010,-0.00968,-0.0275,-0.026
1,0.001346,2.346,-0.10165,-0.12124,-0.0530,2.084,0.07461,-0.00018,0.0173,7.445,-0.03952,-0.02468,-0.1451,-1.287,0.32602,0.31063,0.0170,1.489,0.10640,-0.20892,0.0836,12.392,-0.06492,-0.00545,-0.0787,-2.173,-0.12641,-0.12208,-0.0463,-0.320,-0.06601,0.00183,0.0174,-6.812,0.04764,0.02584,0.3053,1.663,0.31041,0.31169,0.0133,-0.169,0.08323,-0.20876,0.0865,11.457,0.06977,0.00599,0.1638,2.136,0.00456,-0.00022,0.0157,0.453,-0.00540,0.00128,0.0179,-0.706,0.36724,0.34680,0.0698,0.694,0.19148,0.17736,-0.1032,0.758,0.00731,-0.00019,-0.0046,0.154,0.84985,0.86566,-0.0025,-0.313,0.01207,0.00423,0.0568,0.098,0.38658,0.34291,0.1093,1.556,-0.19360,-0.17394,0.0377,-0.877,-0.01439,0.00017,0.0034,-0.295,0.86662,0.87565,0.0048,-0.186,-0.01010,-0.00973,-0.0229,0.019
2,0.002481,3.481,-0.10165,-0.12124,-0.0530,2.084,0.07461,-0.00018,0.0173,7.445,-0.03952,-0.02468,-0.1451,-1.287,0.32602,0.31063,0.0170,1.489,0.10640,-0.20892,0.0836,12.392,-0.06492,-0.00545,-0.0787,-2.173,-0.12641,-0.12208,-0.0463,-0.320,-0.06601,0.00183,0.0174,-6.812,0.04764,0.02584,0.3053,1.663,0.31041,0.31169,0.0133,-0.169,0.08323,-0.20876,0.0865,11.457,0.06977,0.00599,0.1638,2.136,0.00456,-0.00022,0.0157,0.453,-0.00540,0.00128,0.0179,-0.706,0.36724,0.34680,0.0698,0.694,0.19148,0.17736,-0.1032,0.758,0.00731,-0.00019,-0.0046,0.154,0.84985,0.86566,-0.0025,-0.313,0.01207,0.00423,0.0568,0.098,0.38658,0.34291,0.1093,1.556,-0.19360,-0.17394,0.0377,-0.877,-0.01439,0.00017,0.0034,-0.295,0.86662,0.87565,0.0048,-0.186,-0.01010,-0.00973,-0.0229,0.019
3,0.002557,3.557,-0.10165,-0.12124,-0.0530,2.084,0.07461,-0.00018,0.0173,7.445,-0.03952,-0.02468,-0.1451,-1.287,0.32602,0.31063,0.0170,1.489,0.10640,-0.20892,0.0836,12.392,-0.06492,-0.00545,-0.0787,-2.173,-0.12641,-0.12208,-0.0463,-0.320,-0.06601,0.00183,0.0174,-6.812,0.04764,0.02584,0.3053,1.663,0.31041,0.31169,0.0133,-0.169,0.08323,-0.20876,0.0865,11.457,0.06977,0.00599,0.1638,2.136,0.00456,-0.00022,0.0157,0.453,-0.00540,0.00128,0.0179,-0.706,0.36724,0.34680,0.0698,0.694,0.19148,0.17736,-0.1032,0.758,0.00731,-0.00019,-0.0046,0.154,0.84985,0.86566,-0.0025,-0.313,0.01207,0.00423,0.0568,0.098,0.38658,0.34291,0.1093,1.556,-0.19360,-0.17394,0.0377,-0.877,-0.01439,0.00017,0.0034,-0.295,0.86662,0.87565,0.0048,-0.186,-0.01010,-0.00973,-0.0229,0.019
4,0.003789,4.789,-0.10165,-0.12132,-0.0417,2.065,0.07461,-0.00014,0.0167,7.444,-0.03952,-0.02497,-0.1447,-1.194,0.32602,0.31065,0.0116,1.496,0.10640,-0.20879,0.0687,12.404,-0.06492,-0.00562,-0.0856,-2.182,-0.12641,-0.12215,-0.0361,-0.340,-0.06601,0.00186,0.0149,-6.819,0.04764,0.02644,0.3008,1.570,0.31041,0.31171,0.0096,-0.161,0.08323,-0.20862,0.0702,11.463,0.06977,0.00632,0.1640,2.142,0.00456,-0.00019,0.0156,0.447,-0.00540,0.00131,0.0142,-0.704,0.36724,0.34692,0.0643,0.678,0.19148,0.17716,-0.1023,0.771,0.00731,-0.00020,-0.0038,0.154,0.84985,0.86565,-0.0013,-0.314,0.01207,0.00433,0.0481,0.100,0.38658,0.34314,0.1114,1.528,-0.19360,-0.17387,0.0335,-0.862,-0.01439,0.00018,0.0016,-0.295,0.86662,0.87566,0.0038,-0.185,-0.01010,-0.00977,-0.0183,0.015
5,0.004958,5.958,-0.10165,-0.12139,-0.0326,2.051,0.07461,-0.00011,0.0160,7.442,-0.03952,-0.02525,-0.1405,-1.166,0.32602,0.31067,0.0078,1.507,0.10640,-0.20867,0.0565,12.436,-0.06492,-0.00580,-0.0897,-2.158,-0.12641,-0.12221,-0.0277,-0.354,-0.06601,0.00188,0.0125,-6.817,0.04764,0.02702,0.2925,1.519,0.31041,0.31172,0.0068,-0.154,0.08323,-0.20851,0.0567,11.498,0.06977,0.00664,0.1609,2.128,0.00456,-0.00016,0.0153,0.444,-0.00540,0.00133,0.0111,-0.699,0.36724,0.34704,0.0578,0.684,0.19148,0.17696,-0.1012,0.778,0.00731,-0.00020,-0.0032,0.154,0.84985,0.86565,-0.0002,-0.315,0.01207,0.00441,0.0410,0.107,0.38658,0.34336,0.1127,1.515,-0.19360,-0.17382,0.0297,-0.856,-0.01439,0.00018,0.0002,-0.293,0.86662,0.87566,0.0032,-0.185,-0.01010,-0.00980,-0.0146,0.012
6,0.006108,7.108,-0.10165,-0.12139,-0.0326,2.051,0.07461,-0.00011,0.0160,7.442,-0.03952,-0.02525,-0.1405,-1.166,0.32602,0.31067,0.0078,1.507,0.10640,-0.20867,0.0565,12.436,-0.06492,-0.00580,-0.0897,-2.158,-0.12641,-0.12221,-0.0277,-0.354,-0.06601,0.00188,0.0125,-6.817,0.04764,0.02702,0.2925,1.519,0.31041,0.31172,0.0068,-0.154,0.08323,-0.20851,0.0567,11.498,0.06977,0.00664,0.1609,2.128,0.00456,-0.00016,0.0153,0.444,-0.00540,0.00133,0.0111,-0.699,0.36724,0.34704,0.0578,0.684,0.19148,0.17696,-0.1012,0.778,0.00731,-0.00020,-0.0032,0.154,0.84985,0.86565,-0.0002,-0.315,0.01207,0.00441,0.0410,0.107,0.38658,0.34336,0.1127,1.515,-0.19360,-0.17382,0.0297,-0.856,-0.01439,0.00018,0.0002,-0.293,0.86662,0.87566,0.0032,-0.185,-0.01010,-0.00980,-0.0146,0.012
7,0.007369,8.369,-0.10165,-0.12144,-0.0252,2.039,0.07461,-0.00008,0.0146,7.440,-0.03952,-0.02552,-0.1362,-1.146,0.32602,0.31068,0.0051,1.515,0.10640,-0.20858,0.0468,12.462,-0.06492,-0.00598,-0.0876,-2.141,-0.12641,-0.12225,-0.0207,-0.365,-0.06601,0.00191,0.0108,-6.815,0.04764,0.02759,0.2833,1.477,0.31041,0.31173,0.0046,-0.148,0.08323,-0.20842,0.0459,11.528,0.06977,0.00694,0.1527,2.123,0.00456,-0.00013,0.0151,0.442,-0.00540,0.00135,0.0084,-0.695,0.36724,0.34714,0.0507,0.692,0.19148,0.17676,-0.1000,0.783,0.00731,-0.00021,-0.0027,0.153,0.84985,0.86565,0.0007,-0.316,0.01207,0.00448,0.0354,0.112,0.38658,0.34359,0.1137,1.503,-0.19360,-0.17376,0.0262,-0.851,-0.01439,0.00017,-0.0010,-0.292,0.86662,0.87567,0.0027,-0.184,-0.01010,-0.00982,-0.0116,0.008
8,0.008582,9.582,-0.10165,-0.12144,-0.0252,2.039,0.07461,-0.00008,0.0146,7.440,-0.03952,-0.02552,-0.1362,-1.146,0.32602,0.31068,0.0051,1.515,0.10640,-0.20858,0.0468,12.462,-0.06492,-0.00598,-0.0876,-2.141,-0.12641,-0.12225,-0.0207,-0.365,-0.06601,0.00191,0.0108,-6.815,0.04764,0.02759,0.2833,1.477,0.31041,0.31173,0.0046,-0.148,0.08323,-0.20842,0.0459,11.528,0.06977,0.00694,0.1527,2.123,0.00456,-0.00013,0.0151,0.442,-0.00540,0.00135,0.0084,-0.695,0.36724,0.34714,0.0507,0.692,0.19148,0.17676,-0.1000,0.783,0.00731,-0.00021,-0.0027,0.153,0.84985,0.86565,0.0007,-0.316,0.01207,0.00448,0.0354,0.112,0.38658,0.34359,0.1137,1.503,-0.19360,-0.17376,0.0262,-0.851,-0.01439,0.00017,-0.0010,-0.292,0.86662,0.87567,0.0027,-0.184,-0.01010,-0.00982,-0.0116,0.008
9,0.009714,10.714,-0.10165,-0.12147,-0.0189,2.029,0.07461,-0.00006,0.0130,7.440,-0.03952,-0.02578,-0.1319,-1.127,0.32602,0.31068,0.0030,1.521,0.10640,-0.20850,0.0392,12.482,-0.06492,-0.00614,-0.0811,-2.139,-0.12641,-0.12228,-0.0147,-0.375,-0.06601,0.00193,0.0095,-6.813,0.04764,0.02814,0.2735,1.439,0.31041,0.31173,0.0029,-0.144,0.08323,-0.20834,0.0373,11.551,0.06977,0.00723,0.1411,2.131,0.00456,-0.00010,0.0150,0.439,-0.00540,0.00136,0.0063,-0.692,0.36724,0.34723,0.0432,0.702,0.19148,0.17656,-0.0987,0.789,0.00731,-0.00021,-0.0023,0.153,0.84985,0.86566,0.0014,-0.317,0.01207,0.00454,0.0310,0.116,0.38658,0.34382,0.1144,1.492,-0.19360,-0.17372,0.0228,-0.846,-0.01439,0.00017,-0.0020,-0.290,0.86662,0.87567,0.0024,-0.184,-0.01010,-0.00984,-0.0093,0.006
