t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0,-0.0147681,-0.00130863,-0.99989,0,0.6,0,0,DISABLED,0
0.0399961,1.23419e-05,-3.18838e-06,0,4.52437e-06,0.73234,0,-0.0147636,-0.00130745,-0.99989,-1.64974e-05,0.6,0,0,DISABLED,0
0.0599961,5.48069e-05,-3.6512e-05,0,-9.98378e-07,0.73233,0,-0.0147691,-0.00133415,-0.99989,-3.86126e-05,0.6,0,0,DISABLED,0
0.0799961,0.000119704,-0.000193482,0,0.000162899,0.732289,0.000488281,-0.0146052,-0.00175515,-0.999892,-0.000398288,0.6,0,0,DISABLED,0
0.0999961,0.000217041,-0.000516693,0,0.000623998,0.732224,0.00161945,-0.0141441,-0.00277311,-0.999896,-0.000613665,0.6,0,0,DISABLED,0
0.119996,0.000494321,-0.000796058,0,0.00111046,0.732149,0.00244141,-0.0136576,-0.00347604,-0.999901,-0.000808522,0.6,0,0,DISABLED,0
0.139996,0.0011199,-0.000764797,0,0.0010422,0.731983,0.00176052,-0.0137259,-0.00270694,-0.999902,-0.00155509,0.6,0,0,DISABLED,0
0.159996,0.00217809,-0.000325057,0,2.64533e-05,0.731564,0.00138107,-0.0147416,6.28076e-05,-0.999891,-0.00301691,0.6,0,0,DISABLED,0
0.179996,0.00364418,0.000611022,0,-0.00131519,0.730922,0.00575676,-0.0160833,0.00430014,-0.999861,-0.0037586,0.6,0,0,DISABLED,0
0.199996,0.00501857,0.00155913,0,-0.00208413,0.730653,0.00734049,-0.0168522,0.0057272,-0.999842,-0.00354714,0.6,0,0,DISABLED,0
0.219996,0.00700712,0.00281334,0,-0.00293324,0.730874,0.00668608,-0.0177013,0.00469629,-0.999832,-0.00468401,0.6,0,0,DISABLED,0
0.239996,0.009477,0.00433078,0,-0.00363463,0.731507,0.00422864,-0.0184027,0.0008673,-0.99983,-0.00844086,0.6,0,0,DISABLED,0
0.259996,0.0123289,0.00608315,0,-0.0032207,0.732223,0.00375056,-0.0179888,-0.00321585,-0.999833,-0.0120916,0.6,0,0,DISABLED,0
0.279996,0.0155151,0.00797164,0,-0.00197881,0.732778,0.00503901,-0.0167469,-0.00594098,-0.999842,-0.0136925,0.6,0,0,DISABLED,0
0.299996,0.0190612,0.009968,0,0.000232108,0.733049,0.00662338,-0.014536,-0.00792236,-0.999863,-0.0147779,0.6,0,0,DISABLED,0
0.319996,0.0229961,0.012043,0,0.00320375,0.732957,0.00833663,-0.0115643,-0.00900059,-0.999893,-0.0154478,0.6,0,0,DISABLED,0
0.339996,0.0272638,0.0143003,0,0.00635162,0.732441,0.00974734,-0.00841648,-0.00869923,-0.999927,-0.0156067,0.6,0,0,DISABLED,0
0.359996,0.0319127,0.0168313,0,0.0090015,0.731552,0.0113099,-0.0057666,-0.00815667,-0.99995,-0.0153196,0.6,0,0,DISABLED,0
