time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,-6.82573e-06,-3.57093e-06,0.733649,-0.00344462,-0.00178553,-0.000974783,0.0837007,0.000648996,-0.0436995,1,121.19,0.300119,0.0206956,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,103.537,0.300012,-0.0332054,nan,nan,nan
0.01,-2.08537e-05,-1.07693e-05,0.733525,-0.00701397,-0.00359918,-0.000975147,0.0837522,0.000560412,-0.0442834,1,127.027,0.300101,-0.00904908,nan,nan,nan,-0.000973206,-0.0837351,0.000559953,-0.044512,1,108.991,0.299779,-0.116427,nan,nan,nan
0.012,-4.17352e-05,-2.10351e-05,0.733398,-0.0104408,-0.00513293,-0.000975692,0.0838495,0.000469402,-0.0454894,1,138.857,0.300044,-0.0285412,nan,nan,nan,-0.000972219,-0.0838024,0.000467891,-0.0460119,1,120.531,0.299422,-0.178517,nan,nan,nan
0.014,-6.92445e-05,-3.34067e-05,0.733271,-0.0137546,-0.00618576,-0.000981385,0.0839771,0.000378633,-0.0453624,1,140.202,0.299924,-0.0600762,nan,nan,nan,-0.000976253,-0.083892,0.000376017,-0.0459089,1,121.19,0.298944,-0.238682,nan,nan,nan
0.016,-0.000103437,-4.7851e-05,0.733142,-0.0170961,-0.00722218,-0.000990616,0.0841273,0.000286483,-0.046047,1,139.925,0.299737,-0.0936602,nan,nan,nan,-0.000983817,-0.0839994,0.000282684,-0.0466308,1,120.996,0.298343,-0.300564,nan,nan,nan
0.018,-0.00014418,-6.4539e-05,0.733011,-0.0203719,-0.00834398,-0.00100272,0.084299,0.000192191,-0.0471111,1,139.892,0.299481,-0.127993,nan,nan,nan,-0.000994408,-0.0841234,0.000187045,-0.0477742,1,120.325,0.297621,-0.361139,nan,nan,nan
0.02,-0.000191185,-7.64723e-05,0.732889,-0.0235025,-0.00596665,-0.0010172,0.0844905,9.52315e-05,-0.0484379,1,144.291,0.299133,-0.174032,nan,nan,nan,-0.00101161,-0.0842673,8.81707e-05,-0.0493834,1,196.283,0.296964,-0.328673,nan,nan,nan
0.022,-0.000247585,-9.19743e-05,0.732809,-0.0281996,-0.00775101,-0.00103278,0.0846881,-4.732e-06,-0.0499302,1,306.828,0.299045,-0.0438169,nan,nan,nan,-0.00103626,-0.0843921,5.04934e-06,-0.0415176,1,269.256,0.296495,-0.234465,nan,nan,nan
0.024,-0.000312182,-0.000109239,0.732767,-0.0322987,-0.00863242,-0.0010481,0.0848258,-7.28981e-05,-0.0340585,1,284.629,0.299146,0.0502952,nan,nan,nan,-0.0010578,-0.0844806,-5.41521e-05,-0.0295804,1,263.256,0.29619,-0.152395,nan,nan,nan
0.026,-0.000381958,-0.000127915,0.732751,-0.034888,-0.00933795,-0.00105912,0.0849138,-0.00011417,-0.0206217,1,247.141,0.299333,0.0936407,nan,nan,nan,-0.00107282,-0.084537,-9.01857e-05,-0.0180074,1,227.725,0.295964,-0.113059,nan,nan,nan
0.028,-0.000453564,-0.000147372,0.732751,-0.0358029,-0.00972873,-0.00106698,0.0849706,-0.000137175,-0.0114912,1,213.762,0.299625,0.146284,nan,nan,nan,-0.00108335,-0.0845734,-0.000110184,-0.00999294,1,186.094,0.295869,-0.0474894,nan,nan,nan
0.03,-0.000525497,-0.000167668,0.732761,-0.0359666,-0.0101475,-0.00107318,0.0850085,-0.00014753,-0.00516564,1,194.784,0.299978,0.176311,nan,nan,nan,-0.00109153,-0.0845981,-0.000118774,-0.00429029,1,168.525,0.295863,-0.00290504,nan,nan,nan
0.032,-0.000596308,-0.00018881,0.732778,-0.0354055,-0.010571,-0.00107822,0.0850348,-0.000149394,-0.000919219,1,181.995,0.300351,0.186692,nan,nan,nan,-0.00109805,-0.0846158,-0.000119382,-0.000300214,1,156.851,0.295906,0.0214582,nan,nan,nan
0.034,-0.00066498,-0.000210917,0.732799,-0.034336,-0.0110538,-0.00108249,0.0850539,-0.000145812,0.00180414,1,173.592,0.300718,0.18326,nan,nan,nan,-0.00110335,-0.0846294,-0.000114517,0.00243678,1,149.045,0.295971,0.0324104,nan,nan,nan
0.036,-0.000730884,-0.000234116,0.732824,-0.032952,-0.0115992,-0.00108617,0.0850686,-0.000138676,0.00358068,1,167.73,0.301059,0.17056,nan,nan,nan,-0.00110777,-0.0846406,-0.000105875,0.00432499,1,143.399,0.29604,0.0348575,nan,nan,nan
0.038,-0.00079368,-0.000258446,0.73285,-0.031398,-0.0121652,-0.00108939,0.0850808,-0.000129259,0.00472029,1,163.375,0.301363,0.15178,nan,nan,nan,-0.00111155,-0.0846506,-9.46889e-05,0.00559647,1,139.086,0.296104,0.0320582,nan,nan,nan
0.04,-0.000853245,-0.000283933,0.732877,-0.0297826,-0.0127435,-0.00109227,0.0850916,-0.000118475,0.00540219,1,160.292,0.301622,0.129542,nan,nan,nan,-0.00111486,-0.08466,-8.18798e-05,0.0064079,1,135.738,0.296158,0.0265903,nan,nan,nan
0.042,-0.00090969,-0.000310571,0.732904,-0.0282226,-0.0133191,-0.00109488,0.0851017,-0.000106953,0.00576989,1,158.615,0.301835,0.10687,nan,nan,nan,-0.00111785,-0.0846692,-6.81317e-05,0.00687707,1,132.415,0.296201,0.0216162,nan,nan,nan
0.044,-0.000963197,-0.000338286,0.73293,-0.0267531,-0.0138574,-0.0010973,0.0851116,-9.51247e-05,0.00592133,1,157.467,0.302007,0.0856887,nan,nan,nan,-0.00112062,-0.0846785,-5.38693e-05,0.00713389,1,130.232,0.296235,0.0172865,nan,nan,nan
0.046,-0.00101298,-0.00036578,0.732955,-0.0248918,-0.0137469,-0.00109963,0.0851215,-8.32738e-05,0.00593159,1,147.694,0.302168,0.0804365,nan,nan,nan,-0.00112323,-0.0846881,-3.93246e-05,0.00727482,1,129.023,0.296264,0.0141001,nan,nan,nan
0.048,-0.00105964,-0.000392862,0.732978,-0.0233318,-0.013541,-0.00110218,0.0851317,-7.1765e-05,0.00575955,1,146.712,0.302321,0.0767515,nan,nan,nan,-0.00112617,-0.084698,-2.51567e-05,0.007086,1,128.457,0.296289,0.0125378,nan,nan,nan
0.05,-0.00110364,-0.000419484,0.732998,-0.021997,-0.0133111,-0.00110489,0.0851421,-6.07561e-05,0.00550883,1,146.384,0.302468,0.0733795,nan,nan,nan,-0.00112925,-0.0847081,-1.15699e-05,0.0067952,1,127.388,0.296316,0.0135643,nan,nan,nan
0.052,-0.00114509,-0.000445594,0.733017,-0.0207281,-0.013055,-0.00110767,0.0851528,-5.04104e-05,0.00517669,1,146.129,0.302607,0.069459,nan,nan,nan,-0.00113242,-0.0847186,1.33616e-06,0.00645459,1,127.227,0.296346,0.0152795,nan,nan,nan
0.054,-0.00118409,-0.000471159,0.733033,-0.0194982,-0.0127825,-0.00111047,0.0851635,-4.08102e-05,0.0048033,1,145.802,0.302736,0.064727,nan,nan,nan,-0.00113565,-0.0847294,1.3538e-05,0.00610233,1,127.268,0.296381,0.0174404,nan,nan,nan
0.056,-0.00122067,-0.000496244,0.733046,-0.0182916,-0.0125425,-0.00111331,0.0851746,-3.20407e-05,0.00438747,1,145.205,0.302856,0.0598771,nan,nan,nan,-0.00113894,-0.0847406,2.50324e-05,0.00574848,1,126.473,0.296417,0.0179081,nan,nan,nan
0.058,-0.00125528,-0.000520796,0.733057,-0.0173032,-0.0122759,-0.00111604,0.0851862,-2.42133e-05,0.00391593,1,145.091,0.302972,0.057748,nan,nan,nan,-0.00114243,-0.0847526,3.55775e-05,0.00527367,1,127.144,0.296456,0.0195364,nan,nan,nan
0.06,-0.00128835,-0.000544773,0.733066,-0.0165366,-0.0119884,-0.00111869,0.0851982,-1.72203e-05,0.00349843,1,143.824,0.303086,0.0572869,nan,nan,nan,-0.00114607,-0.0847652,4.52337e-05,0.00482917,1,128.28,0.296502,0.022683,nan,nan,nan
0.062,-0.00132021,-0.000568125,0.733073,-0.0159276,-0.0116761,-0.00112147,0.0852116,-1.10692e-05,0.00307724,1,144.079,0.303203,0.0582998,nan,nan,nan,-0.00114979,-0.0847783,5.40475e-05,0.0044079,1,128.823,0.296554,0.0263742,nan,nan,nan
0.064,-0.0013506,-0.000591253,0.733077,-0.0151968,-0.0115641,-0.00112433,0.0852259,-5.63663e-06,0.00271785,1,145.327,0.303323,0.0602505,nan,nan,nan,-0.00115357,-0.0847918,6.21385e-05,0.00404654,1,126.684,0.2966,0.0227176,nan,nan,nan
0.066,-0.0013796,-0.000614028,0.73308,-0.0144994,-0.0113873,-0.00112718,0.0852406,-9.66223e-07,0.00233663,1,145.871,0.303445,0.0609083,nan,nan,nan,-0.00115795,-0.0848077,6.91133e-05,0.00348836,1,127.602,0.29664,0.0198825,nan,nan,nan
0.068,-0.0014064,-0.000635762,0.73308,-0.0133994,-0.0108669,-0.00112999,0.0852554,3.01555e-06,0.00199219,1,139.31,0.303559,0.0567509,nan,nan,nan,-0.00116276,-0.0848253,7.51475e-05,0.00301811,1,129.635,0.296672,0.0161596,nan,nan,nan
0.07,-0.00143118,-0.000656478,0.733078,-0.0123903,-0.010358,-0.00113335,0.0852732,5.59916e-06,0.00129286,1,140.73,0.303665,0.0533049,nan,nan,nan,-0.0011682,-0.0848439,8.01863e-05,0.00252052,1,131.108,0.296699,0.0135569,nan,nan,nan
0.072,-0.00145413,-0.000676179,0.733075,-0.0114773,-0.00985057,-0.00113709,0.0852928,7.10458e-06,0.000753577,1,141.946,0.303766,0.0503563,nan,nan,nan,-0.0011741,-0.0848633,8.43911e-05,0.00210356,1,132.205,0.296723,0.0117988,nan,nan,nan
0.074,-0.00147544,-0.000694872,0.73307,-0.0106519,-0.00934653,-0.00114109,0.0853136,7.80506e-06,0.000350975,1,142.875,0.303862,0.0478213,nan,nan,nan,-0.00118028,-0.0848831,8.78611e-05,0.0017363,1,133.161,0.296744,0.0109405,nan,nan,nan
0.076,-0.00149529,-0.0007126,0.733063,-0.00992384,-0.0088642,-0.00114525,0.0853349,7.91884e-06,5.7539e-05,1,143.662,0.303953,0.0459382,nan,nan,nan,-0.00118664,-0.0849031,9.07114e-05,0.00142658,1,133.648,0.296767,0.0114226,nan,nan,nan
0.078,-0.00151386,-0.000729424,0.733056,-0.00928479,-0.00841197,-0.0011495,0.0853565,7.59196e-06,-0.000162833,1,144.297,0.304043,0.0447308,nan,nan,nan,-0.00119308,-0.0849233,9.30613e-05,0.00117646,1,133.985,0.296793,0.0129138,nan,nan,nan
0.08,-0.00153131,-0.000745396,0.733047,-0.00872663,-0.00798611,-0.00115378,0.0853783,6.93351e-06,-0.000328638,1,144.778,0.304131,0.044084,nan,nan,nan,-0.00119955,-0.0849434,9.50074e-05,0.000974681,1,134.258,0.296824,0.0152331,nan,nan,nan
0.082,-0.0015478,-0.000760533,0.733038,-0.00824703,-0.00756845,-0.00115806,0.0854,6.02944e-06,-0.00045143,1,145.143,0.304219,0.0438256,nan,nan,nan,-0.001206,-0.0849634,9.66267e-05,0.000811417,1,134.485,0.296861,0.0184773,nan,nan,nan
0.084,-0.00156347,-0.000774888,0.733027,-0.00783316,-0.00717742,-0.00116232,0.0854216,4.94825e-06,-0.00053995,1,145.465,0.304307,0.0440567,nan,nan,nan,-0.00121242,-0.0849834,9.7986e-05,0.000681443,1,134.635,0.296905,0.0222251,nan,nan,nan
0.086,-0.00157883,-0.000789184,0.733017,-0.00767897,-0.00714783,-0.00116652,0.0854431,3.74041e-06,-0.000603216,1,147.254,0.304387,0.0400619,nan,nan,nan,-0.00121881,-0.0850032,9.91407e-05,0.000579248,1,132.647,0.29696,0.0274648,nan,nan,nan
0.088,-0.00159413,-0.000803473,0.733005,-0.0076504,-0.00714472,-0.00117065,0.0854648,1.8941e-06,-0.000922552,1,148.274,0.304462,0.0376224,nan,nan,nan,-0.00122531,-0.0850229,0.000100449,0.000656013,1,132.744,0.297026,0.0330471,nan,nan,nan
0.09,-0.00160953,-0.000817762,0.732994,-0.00769955,-0.00714419,-0.00117473,0.0854866,-4.26602e-07,-0.00115982,1,149.329,0.304535,0.0363406,nan,nan,nan,-0.00123189,-0.0850424,0.00010194,0.000747636,1,132.497,0.297102,0.0380122,nan,nan,nan
0.092,-0.00162513,-0.000832053,0.732982,-0.00780109,-0.00714572,-0.00117875,0.0855084,-3.06549e-06,-0.00131896,1,150.232,0.304606,0.0357838,nan,nan,nan,-0.00123846,-0.0850618,0.000103539,0.000801988,1,132.213,0.297186,0.0421639,nan,nan,nan
