t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0,-0.0147703,-0.00128562,-0.99989,0,0.4,0,0,DISABLED,0
0.0399961,7.58097e-06,-3.03984e-06,0,3.16277e-06,0.732341,0,-0.0147671,-0.00128425,-0.99989,-1.38674e-05,0.4,0,0,DISABLED,0
0.0599961,4.17447e-05,-5.39981e-06,0,1.69538e-05,0.732336,0,-0.0147533,-0.00128348,-0.99989,-3.63383e-05,0.4,0,0,DISABLED,0
0.0799961,0.00011331,-4.03975e-05,0,2.91951e-05,0.732318,0,-0.0147411,-0.00134178,-0.99989,-8.35527e-05,0.4,0,0,DISABLED,0
0.0999961,0.000198439,-0.000185511,0,0.000205737,0.73227,0.00059802,-0.0145646,-0.00179428,-0.999892,-0.00018931,0.4,0,0,DISABLED,0
0.119996,0.000344464,-0.000355669,0,0.000502124,0.732204,0.00129187,-0.0142682,-0.00244252,-0.999895,-0.000291105,0.4,0,0,DISABLED,0
0.139996,0.000651781,-0.000268462,0,0.000678289,0.732082,0.000913491,-0.014092,-0.00193447,-0.999899,-0.000814985,0.4,0,0,DISABLED,0
0.159996,0.00124092,0.000253093,0,0.000194611,0.731781,0.00198341,-0.0145757,0.000672202,-0.999894,-0.00186134,0.4,0,0,DISABLED,0
0.179996,0.00211326,0.0012514,0,-0.000932545,0.731273,0.00638512,-0.0157028,0.00502878,-0.999864,-0.00268737,0.4,0,0,DISABLED,0
0.199996,0.00302871,0.00243987,0,-0.00189147,0.730847,0.0101664,-0.0166618,0.00870005,-0.999823,-0.00207507,0.4,0,0,DISABLED,0
0.219996,0.00451703,0.00404192,0,-0.00335275,0.730855,0.0112623,-0.0181231,0.00946753,-0.999791,-0.00249135,0.4,0,0,DISABLED,0
0.239996,0.00627881,0.0055852,0,-0.00448459,0.731401,0.00992309,-0.0192549,0.00755992,-0.999786,-0.00383893,0.4,0,0,DISABLED,0
0.259996,0.0082225,0.00702323,0,-0.00519526,0.732114,0.00764283,-0.0199656,0.0043145,-0.999791,-0.00588595,0.4,0,0,DISABLED,0
0.279996,0.0109136,0.00884579,0,-0.00507809,0.732913,0.00515594,-0.0198484,-0.000371125,-0.999803,-0.00827309,0.4,0,0,DISABLED,0
0.299996,0.013267,0.0104381,0,-0.00394575,0.733261,0.00427072,-0.0187161,-0.00292294,-0.999821,-0.00935048,0.4,0,0,DISABLED,0
0.319996,0.0163118,0.0125727,0,-0.00188583,0.7332,0.0031074,-0.0166561,-0.00375882,-0.999854,-0.0101002,0.4,0,0,DISABLED,0
0.339996,0.0192931,0.0147419,0,0.000712613,0.7327,0.00165584,-0.0140577,-0.00279777,-0.999897,-0.0101929,0.4,0,0,DISABLED,0
0.359996,0.022466,0.0172579,0,0.00300284,0.731813,0.0030688,-0.0117675,-0.00069844,-0.999931,-0.00958273,0.4,0,0,DISABLED,0
0.379996,0.0254588,0.0199345,0,0.00445583,0.730534,0.00578774,-0.0103145,0.00239438,-0.999944,-0.00893315,0.4,0,0,DISABLED,0
0.399996,0.0293402,0.0230421,0,0.00449357,0.729007,0.00525896,-0.0102767,0.00144446,-0.999946,-0.00775261,0.4,0,0,DISABLED,0
0.419996,0.0331802,0.025545,0,0.00146016,0.728457,0.00582879,-0.0133101,-0.00693118,-0.999887,-0.00773976,0.4,0,0,DISABLED,0
0.439996,0.037166,0.0283111,0,-0.00307085,0.728554,0.00837942,-0.0178412,-0.00908187,-0.9998,-0.00459833,0.4,0,0,DISABLED,0
0.459996,0.0416068,0.0307937,0,-0.00933767,0.728947,0.0105009,-0.024108,-0.00608452,-0.999691,-0.00123241,0.4,0,0,DISABLED,0
0.479996,0.0462324,0.032775,0,-0.0146601,0.729367,0.0147054,-0.0294304,-0.00239935,-0.999564,0.000544827,0.4,0,0,DISABLED,0
0.499996,0.050813,0.0342679,0,-0.0170001,0.729638,0.0170096,-0.0317704,-0.000933994,-0.999495,0.00117746,0.4,0,0,DISABLED,0
0.519996,0.055399,0.035411,0,-0.0167511,0.729834,0.016759,-0.0315214,-0.0015806,-0.999502,0.00123671,0.4,0,0,DISABLED,0
0.539996,0.0601828,0.0362739,0,-0.0154555,0.730209,0.0155678,-0.0302258,-0.00312565,-0.999538,0.000484558,0.4,0,0,DISABLED,0
0.559996,0.0652354,0.0368072,0,-0.0138503,0.730833,0.0141308,-0.0286206,-0.00406922,-0.999582,-8.55047e-05,0.4,0,0,DISABLED,0
0.579996,0.0705616,0.0370413,0,-0.0121156,0.731593,0.0123768,-0.0268859,-0.00379278,-0.999631,-5.21764e-05,0.4,0,0,DISABLED,0
0.599996,0.076121,0.0370766,0,-0.0102455,0.732278,0.0103177,-0.0250159,-0.00247399,-0.999684,-0.000417978,0.4,0,0,DISABLED,0
0.619996,0.081872,0.0369607,0,-0.00826968,0.732718,0.00839364,-0.02304,0.000112925,-0.999735,-0.000430254,0.4,0,0,DISABLED,0
0.639996,0.087759,0.0366557,0,-0.00632483,0.732811,0.00776661,-0.0210951,0.00321051,-0.999772,-0.000217997,0.4,0,0,DISABLED,0
0.659996,0.0937035,0.0360845,0,-0.00435857,0.732462,0.0081193,-0.0191289,0.00556246,-0.999802,-0.00016721,0.4,0,0,DISABLED,0
0.679996,0.0996082,0.0350742,0,-0.0021885,0.731557,0.00643162,-0.0169588,0.00476773,-0.999845,0.000420889,0.4,0,0,DISABLED,0
0.699996,0.10554,0.0337262,0,-0.000949291,0.730173,0.00189111,-0.0157196,0.000326158,-0.999876,0.000763321,0.4,0,0,DISABLED,0
0.719995,0.111961,0.0326258,0,-0.00303065,0.729513,0.0046451,-0.0178009,0.00221598,-0.999839,0.000279451,0.4,0,0,DISABLED,0
0.739995,0.119027,0.0315989,0,-0.00709266,0.729698,0.00831515,-0.021863,0.00305444,-0.999756,-0.00252582,0.4,0,0,DISABLED,0
0.759995,0.126421,0.0308801,0,-0.00994402,0.730239,0.010254,-0.0247143,0.00120753,-0.999694,-0.00705611,0.4,0,0,DISABLED,0
0.779995,0.133804,0.0304171,0,-0.0110073,0.731018,0.0113257,-0.0257776,-0.00394648,-0.99966,-0.0121188,0.4,0,0,DISABLED,0
0.799995,0.140806,0.030167,0,-0.00944373,0.731867,0.0122607,-0.024214,-0.00910684,-0.999665,-0.0136301,0.4,0,0,DISABLED,0
0.819995,0.147443,0.030205,0,-0.00645724,0.73261,0.0129695,-0.0212275,-0.0125381,-0.999696,-0.0132629,0.4,0,0,DISABLED,0
0.839995,0.153994,0.0305286,0,-0.0036152,0.733162,0.0138151,-0.0183855,-0.0146182,-0.999724,-0.0129253,0.4,0,0,DISABLED,0
0.859995,0.15996,0.0310065,0,-0.00154489,0.733473,0.0154564,-0.0163152,-0.0166639,-0.999728,-0.0128358,0.4,0,0,DISABLED,0
0.879995,0.16723,0.0318296,0,0.000663466,0.733557,0.0180831,-0.0141068,-0.0193567,-0.999713,-0.0134341,0.4,0,0,DISABLED,0
0.899995,0.173733,0.0328453,0,0.00358432,0.733275,0.0205082,-0.011186,-0.0214774,-0.999707,-0.0139874,0.4,0,0,DISABLED,0
0.919995,0.18014,0.0342755,0,0.00714123,0.732628,0.0213875,-0.00762907,-0.0214423,-0.999741,-0.0146006,0.4,0,0,DISABLED,0
0.939995,0.186584,0.036252,0,0.0104117,0.731729,0.0203301,-0.00435856,-0.0187446,-0.999815,-0.0159374,0.4,0,0,DISABLED,0
0.959995,0.193146,0.0388199,0,0.0126215,0.730742,0.0167163,-0.00214879,-0.0122491,-0.999923,-0.0168244,0.4,0,0,DISABLED,0
0.979995,0.199135,0.0415314,0,0.013395,0.72971,0.0135801,-0.00137526,-0.0035029,-0.999993,-0.0169301,0.4,0,0,DISABLED,0
0.999995,0.206868,0.0445384,0,0.0112995,0.728701,0.0113467,-0.00347084,-0.000257118,-0.999994,-0.0165827,0.4,0,0,DISABLED,0
1.02,0.21185,0.0460694,0,0.00818253,0.728608,0.00861788,-0.00658777,-0.00398441,-0.99997,-0.0130112,0.4,0,0,DISABLED,0
1.04,0.218747,0.0483413,0,0.00462119,0.72895,0.00661438,-0.0101491,-0.00601835,-0.99993,-0.00787807,0.4,0,0,DISABLED,0
1.06,0.228844,0.0514008,0,-0.00233726,0.729964,0.00378221,-0.0171076,0.00167364,-0.999852,-0.00383233,0.4,0,0,DISABLED,0
1.08,0.235365,0.0528412,0,-0.00543961,0.730495,0.00979005,-0.0202099,0.00685121,-0.999772,-0.00198066,0.4,0,0,DISABLED,0
1.1,0.242287,0.0541398,0,-0.00673232,0.730681,0.0133365,-0.0215026,0.0102275,-0.999716,-0.000853129,0.4,0,0,DISABLED,0
1.12,0.246986,0.0550285,0,-0.00640683,0.730726,0.0140164,-0.0211771,0.0111833,-0.999713,-0.000676809,0.4,0,0,DISABLED,0
1.14,0.255661,0.0565951,0,-0.00544062,0.731028,0.0153829,-0.0202109,0.0131032,-0.99971,0.00122258,0.4,0,0,DISABLED,0
1.16,0.262145,0.0575907,0,-0.00400803,0.731489,0.0162497,-0.0187783,0.0144628,-0.999719,0.00100026,0.4,0,0,DISABLED,0
1.18,0.268506,0.0584078,0,-0.00216027,0.732048,0.0181981,-0.0169306,0.0167821,-0.999716,0.000473168,0.4,0,0,DISABLED,0
1.2,0.275384,0.059029,0,-0.000397139,0.732522,0.0206991,-0.0151674,0.0194099,-0.999697,0.000353243,0.4,0,0,DISABLED,0
1.22,0.280961,0.0592469,0,0.00117133,0.732634,0.0232824,-0.013599,0.0219667,-0.999666,0.00164155,0.4,0,0,DISABLED,0
1.24,0.286496,0.0592538,0,0.00132252,0.732486,0.0241841,-0.0134478,0.0228601,-0.999648,0.00165997,0.4,0,0,DISABLED,0
1.25999,0.293069,0.0589612,0,0.000868013,0.732021,0.0232542,-0.0139023,0.0219542,-0.999662,0.000769487,0.4,0,0,DISABLED,0
1.27999,0.298915,0.0584176,0,3.10373e-05,0.731461,0.0215706,-0.0147393,0.0202863,-0.999686,0.00131511,0.4,0,0,DISABLED,0
1.29999,0.304513,0.0578572,0,-0.000979167,0.730832,0.0160356,-0.0157495,0.014715,-0.999768,-0.00167204,0.4,0,0,DISABLED,0
