time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,-6.80146e-06,-3.53878e-06,0.733798,-0.00340054,-0.00176939,-0.000976898,0.0837003,0.000736402,-0.0391991,1,123.025,0.299974,-0.0129467,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,105.653,0.299866,-0.0670682,0.000854,-0.0391991,nan
0.008,-2.06207e-05,-1.06454e-05,0.733707,-0.0069096,-0.00355329,-0.00098029,0.0837538,0.000660486,-0.037956,1,121.551,0.299914,-0.0301824,nan,nan,nan,-0.000976458,-0.0837342,0.000660497,-0.0379496,1,104.102,0.299592,-0.136729,nan,nan,nan
0.01,-4.12487e-05,-2.06691e-05,0.73361,-0.010314,-0.00501186,-0.000985607,0.0838567,0.000584195,-0.0381379,1,124.193,0.29979,-0.0616857,nan,nan,nan,-0.000977314,-0.083802,0.000583658,-0.0384079,1,105.748,0.299177,-0.207435,nan,nan,nan
0.012,-6.8384e-05,-3.28273e-05,0.733511,-0.0135676,-0.00607911,-0.000990022,0.0839964,0.000505556,-0.0393033,1,135.643,0.299624,-0.0833663,nan,nan,nan,-0.000978998,-0.083898,0.000504005,-0.0398031,1,116.868,0.298663,-0.257072,nan,nan,nan
0.014,-0.000101841,-4.65577e-05,0.733409,-0.0167284,-0.00686519,-0.000999201,0.0841568,0.000427225,-0.0391427,1,136.816,0.29939,-0.116655,nan,nan,nan,-0.000985862,-0.084011,0.000424318,-0.0398122,1,117.605,0.298051,-0.306383,nan,nan,nan
0.016,-0.000141365,-6.17349e-05,0.733304,-0.0197621,-0.00758861,-0.00101141,0.084332,0.000347336,-0.0399156,1,138.332,0.299078,-0.156077,nan,nan,nan,-0.000996207,-0.084137,0.000342728,-0.0407557,1,118.288,0.297344,-0.353453,nan,nan,nan
0.018,-0.000187047,-7.83076e-05,0.733198,-0.0228413,-0.00828637,-0.00102556,0.0845168,0.000264879,-0.0411934,1,139.587,0.298685,-0.196438,nan,nan,nan,-0.00101188,-0.0842752,0.00025784,-0.0423983,1,119.299,0.296544,-0.399678,nan,nan,nan
0.02,-0.000238883,-9.62463e-05,0.73309,-0.0259179,-0.00896931,-0.00104088,0.0847067,0.000179329,-0.0427342,1,140.61,0.298212,-0.236727,nan,nan,nan,-0.00103153,-0.0844216,0.000169245,-0.0442445,1,120.268,0.295657,-0.443775,nan,nan,nan
0.022,-0.000297032,-0.000114503,0.732999,-0.0290742,-0.00912821,-0.00105682,0.0848983,9.03603e-05,-0.0444384,1,209.449,0.297827,-0.19263,nan,nan,nan,-0.00105433,-0.0845721,7.69396e-05,-0.0460918,1,193.02,0.294841,-0.407716,nan,nan,nan
0.024,-0.000363062,-0.000123637,0.732937,-0.033015,-0.00456732,-0.00107963,0.0850632,1.41678e-05,-0.0380623,1,204.462,0.297494,-0.166071,nan,nan,nan,-0.00108391,-0.0847008,-8.49554e-07,-0.038847,1,275.807,0.294248,-0.296533,nan,nan,nan
0.026,-0.000436061,-0.000137673,0.732904,-0.0365,-0.00701795,-0.00110434,0.0852068,-5.23475e-05,-0.0332279,1,275.537,0.29748,-0.00699207,nan,nan,nan,-0.00110621,-0.0847853,-5.19755e-05,-0.0255385,1,229.212,0.293898,-0.175141,nan,nan,nan
0.028,-0.000513365,-0.000155418,0.732892,-0.0386518,-0.00887258,-0.00112211,0.0852989,-9.29287e-05,-0.0202757,1,234.579,0.297676,0.0978514,nan,nan,nan,-0.00112245,-0.0848401,-8.20793e-05,-0.0150411,1,200.353,0.29373,-0.0841764,nan,nan,nan
0.03,-0.000591924,-0.000175202,0.732893,-0.0392793,-0.009892,-0.0011351,0.085359,-0.000115719,-0.0113824,1,209.206,0.297982,0.152801,nan,nan,nan,-0.00113454,-0.0848765,-9.77315e-05,-0.00782066,1,179,0.293687,-0.021531,nan,nan,nan
0.032,-0.000669727,-0.000196299,0.732903,-0.0389014,-0.0105482,-0.00114466,0.0853989,-0.000126655,-0.00545471,1,191.887,0.298336,0.17714,nan,nan,nan,-0.00114371,-0.0849014,-0.000103488,-0.00287406,1,164.141,0.293724,0.018522,nan,nan,nan
0.034,-0.000745355,-0.000218646,0.732919,-0.0378143,-0.0111735,-0.00115187,0.0854263,-0.000129707,-0.0015117,1,179.685,0.298701,0.182692,nan,nan,nan,-0.00115081,-0.0849194,-0.000102452,0.00052169,1,154.159,0.293805,0.0406867,nan,nan,nan
0.036,-0.00081848,-0.000242302,0.732939,-0.0365624,-0.011828,-0.00115745,0.085446,-0.000127569,0.00108239,1,170.891,0.29906,0.179083,nan,nan,nan,-0.00115643,-0.0849333,-9.67199e-05,0.00287006,1,147.151,0.293914,0.0544333,nan,nan,nan
0.038,-0.000888022,-0.000267188,0.732962,-0.034771,-0.0124432,-0.00116186,0.085461,-0.000122006,0.0027947,1,165.438,0.29939,0.165432,nan,nan,nan,-0.00116098,-0.0849448,-8.76756e-05,0.00452609,1,141.988,0.294027,0.0565992,nan,nan,nan
0.04,-0.000953672,-0.000293254,0.732985,-0.0328251,-0.0130331,-0.0011655,0.0854733,-0.000114267,0.0038806,1,161.339,0.299684,0.146672,nan,nan,nan,-0.00116478,-0.084955,-7.64806e-05,0.00560105,1,138.128,0.294134,0.0535306,nan,nan,nan
0.042,-0.00101538,-0.000320419,0.733009,-0.0308525,-0.0135823,-0.00116859,0.0854839,-0.000105212,0.00453782,1,158.229,0.299934,0.125287,nan,nan,nan,-0.00116807,-0.0849646,-6.39644e-05,0.00626131,1,135.189,0.29423,0.0478767,nan,nan,nan
0.044,-0.00107352,-0.000348557,0.733033,-0.0290693,-0.0140692,-0.0011713,0.0854935,-9.5451e-05,0.00488855,1,156.147,0.300143,0.10422,nan,nan,nan,-0.00117098,-0.084974,-5.07148e-05,0.00662757,1,132.827,0.294313,0.041369,nan,nan,nan
0.046,-0.00112757,-0.00037651,0.733055,-0.0270287,-0.0139763,-0.00117373,0.0855028,-8.54426e-05,0.00501102,1,144.62,0.300338,0.0977623,nan,nan,nan,-0.00117362,-0.0849833,-3.71515e-05,0.0067841,1,133.022,0.294393,0.0402018,nan,nan,nan
0.048,-0.00117793,-0.000404129,0.733074,-0.0251806,-0.0138095,-0.00117619,0.0855119,-7.55712e-05,0.00494147,1,143.724,0.300524,0.0928373,nan,nan,nan,-0.00117648,-0.0849929,-2.38666e-05,0.00664446,1,131.649,0.294474,0.0406015,nan,nan,nan
0.05,-0.00122514,-0.000431331,0.733091,-0.0236016,-0.013601,-0.00117865,0.085521,-6.60396e-05,0.00477059,1,143.426,0.300702,0.0888137,nan,nan,nan,-0.00117946,-0.0850027,-1.10356e-05,0.00641727,1,130.226,0.294562,0.0436623,nan,nan,nan
0.052,-0.00126965,-0.000458097,0.733106,-0.0222562,-0.0133833,-0.0011811,0.0855302,-5.70316e-05,0.0045081,1,143.309,0.300873,0.0857016,nan,nan,nan,-0.00118251,-0.0850128,1.2448e-06,0.00614178,1,129.279,0.294659,0.0488456,nan,nan,nan
0.054,-0.00131162,-0.000484375,0.733118,-0.0209851,-0.013139,-0.00118352,0.0855393,-4.86721e-05,0.00418327,1,143.156,0.301038,0.0824527,nan,nan,nan,-0.00118556,-0.0850231,1.29409e-05,0.00584959,1,129.538,0.294766,0.0535513,nan,nan,nan
0.056,-0.00135121,-0.000510224,0.733128,-0.0197937,-0.0129242,-0.00118591,0.0855484,-4.09943e-05,0.00384187,1,142.826,0.301199,0.0804907,nan,nan,nan,-0.0011886,-0.0850337,2.40264e-05,0.00554433,1,129.25,0.294878,0.0560017,nan,nan,nan
0.058,-0.00138885,-0.000535592,0.733136,-0.0188192,-0.0126839,-0.00118827,0.0855577,-3.4034e-05,0.00348275,1,142.468,0.301361,0.0808859,nan,nan,nan,-0.00119175,-0.0850451,3.42855e-05,0.00513107,1,129.871,0.294996,0.0588987,nan,nan,nan
0.06,-0.00142495,-0.000560458,0.733141,-0.0180507,-0.0124332,-0.00119062,0.0855672,-2.76918e-05,0.00317348,1,142.046,0.301526,0.0827982,nan,nan,nan,-0.00119499,-0.0850571,4.37674e-05,0.00474247,1,130.68,0.295121,0.0625353,nan,nan,nan
0.062,-0.00145983,-0.000584757,0.733144,-0.0174401,-0.0121498,-0.00119303,0.0855772,-2.19405e-05,0.00287784,1,142.4,0.301696,0.0849877,nan,nan,nan,-0.00119828,-0.0850697,5.25327e-05,0.00438422,1,131.212,0.295254,0.0664065,nan,nan,nan
0.064,-0.00149348,-0.000608451,0.733146,-0.0168258,-0.011847,-0.00119525,0.0855877,-1.66921e-05,0.00262636,1,142.075,0.301866,0.0846817,nan,nan,nan,-0.00120162,-0.0850826,6.06564e-05,0.00406357,1,131.849,0.295394,0.0699439,nan,nan,nan
0.066,-0.00152488,-0.000631218,0.733145,-0.0157026,-0.0113832,-0.0011975,0.0855993,-1.20467e-05,0.00232467,1,139.144,0.30203,0.082149,nan,nan,nan,-0.00120499,-0.0850959,6.81751e-05,0.00376119,1,129.88,0.295515,0.0604798,nan,nan,nan
0.068,-0.00155422,-0.000652932,0.733141,-0.0146676,-0.010857,-0.00119965,0.0856112,-8.65023e-06,0.0017,1,140.415,0.30219,0.0799796,nan,nan,nan,-0.00120913,-0.0851111,7.44334e-05,0.00313088,1,131.276,0.295621,0.0530172,nan,nan,nan
0.07,-0.00158176,-0.000673537,0.733136,-0.0137677,-0.0103024,-0.00120173,0.0856231,-6.25133e-06,0.00120099,1,141.621,0.302347,0.0784097,nan,nan,nan,-0.00121386,-0.0851277,7.96275e-05,0.00259878,1,132.124,0.295717,0.0481803,nan,nan,nan
0.072,-0.0016076,-0.000692989,0.73313,-0.0129211,-0.009726,-0.00120377,0.0856349,-4.6385e-06,0.000807815,1,142.474,0.302502,0.0777427,nan,nan,nan,-0.00121901,-0.0851453,8.39445e-05,0.00216021,1,132.855,0.295807,0.0446348,nan,nan,nan
0.074,-0.00163209,-0.00071128,0.733122,-0.012248,-0.00914558,-0.0012058,0.0856467,-3.63886e-06,0.000501124,1,143.422,0.302657,0.0772923,nan,nan,nan,-0.00122447,-0.0851635,8.75476e-05,0.00180341,1,133.294,0.295894,0.04359,nan,nan,nan
0.076,-0.00165525,-0.000728371,0.733113,-0.0115794,-0.00854583,-0.00120778,0.0856584,-3.11741e-06,0.000261982,1,142.357,0.302805,0.0743362,nan,nan,nan,-0.0012301,-0.085182,9.05801e-05,0.00151815,1,134.222,0.295983,0.0444214,nan,nan,nan
0.078,-0.00167726,-0.000744401,0.733102,-0.0110033,-0.00801486,-0.00121027,0.0856727,-3.18384e-06,-3.20056e-05,1,143.405,0.302951,0.0725772,nan,nan,nan,-0.00123577,-0.0852005,9.31164e-05,0.00127021,1,134.475,0.296074,0.0458462,nan,nan,nan
0.08,-0.00169826,-0.000759453,0.733091,-0.0104995,-0.00752601,-0.00121311,0.0856887,-3.66391e-06,-0.000238825,1,144.161,0.303094,0.0715682,nan,nan,nan,-0.00124144,-0.0852191,9.52543e-05,0.00107111,1,134.739,0.29617,0.0476872,nan,nan,nan
0.082,-0.00171837,-0.000773603,0.733078,-0.0100576,-0.0070749,-0.00121619,0.0857059,-4.41977e-06,-0.000376695,1,144.711,0.303236,0.0710416,nan,nan,nan,-0.00124709,-0.0852376,9.70609e-05,0.000905603,1,134.965,0.296269,0.0498119,nan,nan,nan
0.084,-0.00173788,-0.000786907,0.733065,-0.00975169,-0.0066521,-0.0012194,0.0857238,-5.35633e-06,-0.00046699,1,147.037,0.303384,0.073894,nan,nan,nan,-0.00125268,-0.0852559,9.85896e-05,0.000766704,1,134.542,0.296372,0.0513527,nan,nan,nan
0.086,-0.00175709,-0.000800069,0.733052,-0.00960799,-0.00658088,-0.00122212,0.0857391,-6.18896e-06,-0.000414943,1,150.713,0.303526,0.0712163,nan,nan,nan,-0.00125823,-0.0852742,9.99249e-05,0.000670172,1,132.783,0.296476,0.0521138,nan,nan,nan
0.088,-0.00177625,-0.000813159,0.733039,-0.00958044,-0.00654515,-0.00122446,0.085753,-7.19087e-06,-0.000499706,1,151.029,0.303664,0.0690404,nan,nan,nan,-0.00126388,-0.0852923,0.00010144,0.000760213,1,132.988,0.296583,0.0535137,nan,nan,nan
0.09,-0.00179553,-0.000826254,0.733026,-0.00963723,-0.00654756,-0.00122654,0.0857659,-8.31609e-06,-0.000561464,1,151.24,0.303798,0.0671202,nan,nan,nan,-0.00126958,-0.0853103,0.000103142,0.000853748,1,132.924,0.296693,0.0550258,nan,nan,nan
0.092,-0.00181504,-0.000839417,0.733014,-0.00975626,-0.00658127,-0.00122845,0.0857782,-9.5112e-06,-0.000596485,1,151.431,0.303929,0.0652453,nan,nan,nan,-0.00127529,-0.0853283,0.000104917,0.000889768,1,132.828,0.296806,0.0564485,nan,nan,nan
