t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732343,0,-0.0147745,-0.00114732,-0.99989,0,0.4,0,0,DISABLED,0
0.0399961,7.70297e-06,-3.47989e-06,0,3.27639e-06,0.732341,0,-0.0147712,-0.00114601,-0.99989,-1.44411e-05,0.4,0,0,DISABLED,0
0.0599961,3.871e-05,-5.73089e-06,0,1.52476e-05,0.732336,0,-0.0147592,-0.00114552,-0.99989,-3.44012e-05,0.4,0,0,DISABLED,0
0.0799961,0.000107729,-3.32654e-05,0,2.98768e-05,0.73232,0,-0.0147446,-0.00119168,-0.999891,-7.51149e-05,0.4,0,0,DISABLED,0
0.0999961,0.000188638,-0.000169775,0,0.000210227,0.732273,0.000488281,-0.0145643,-0.00163982,-0.999893,-0.000181289,0.4,0,0,DISABLED,0
0.119996,0.00032547,-0.000349936,0,0.000501056,0.732207,0.00129187,-0.0142734,-0.00230465,-0.999895,-0.000271576,0.4,0,0,DISABLED,0
0.139996,0.000625118,-0.000270869,0,0.000665202,0.732085,0.000913491,-0.0141093,-0.00179223,-0.999899,-0.000777973,0.4,0,0,DISABLED,0
0.159996,0.00120765,0.00025216,0,0.000173225,0.731785,0.00198341,-0.0146013,0.000829279,-0.999893,-0.00182514,0.4,0,0,DISABLED,0
0.179996,0.00207548,0.0012586,0,-0.000963847,0.731277,0.00642235,-0.0157383,0.00520228,-0.999863,-0.00265865,0.4,0,0,DISABLED,0
0.199996,0.00310406,0.00260082,0,-0.00205379,0.730823,0.0104782,-0.0168283,0.00912785,-0.999817,-0.00205419,0.4,0,0,DISABLED,0
0.219996,0.00447075,0.00406914,0,-0.00338271,0.73085,0.0113729,-0.0181572,0.00971312,-0.999788,-0.00237218,0.4,0,0,DISABLED,0
0.239996,0.00621192,0.0056089,0,-0.00441818,0.731382,0.0100781,-0.0191927,0.0079073,-0.999785,-0.00358335,0.4,0,0,DISABLED,0
0.259996,0.00860613,0.00737524,0,-0.00497151,0.732241,0.00856237,-0.019746,0.00582097,-0.999788,-0.0050965,0.4,0,0,DISABLED,0
0.279996,0.0108489,0.00889289,0,-0.00503499,0.732871,0.00516749,-0.0198095,5.86954e-06,-0.999804,-0.00844392,0.4,0,0,DISABLED,0
0.299996,0.0137565,0.0109001,0,-0.00359679,0.733223,0.00395176,-0.0183713,-0.00278339,-0.999827,-0.00981744,0.4,0,0,DISABLED,0
0.319996,0.0162809,0.0126961,0,-0.00171492,0.733126,0.00267443,-0.0164894,-0.00319613,-0.999859,-0.0103489,0.4,0,0,DISABLED,0
0.339996,0.0192693,0.0149206,0,0.000982602,0.732639,0.00114512,-0.0137919,-0.00174926,-0.999903,-0.0103933,0.4,0,0,DISABLED,0
0.359996,0.0224774,0.0174378,0,0.00297208,0.731779,0.00318321,-0.0118024,-4.89836e-05,-0.99993,-0.0102021,0.4,0,0,DISABLED,0
0.379996,0.0257936,0.0204159,0,0.00495121,0.730349,0.00710111,-0.00982327,0.00394281,-0.999944,-0.00918298,0.4,0,0,DISABLED,0
0.399996,0.0297366,0.0233769,0,0.00448659,0.728952,0.00451496,-0.0102879,-0.000694082,-0.999947,-0.00829219,0.4,0,0,DISABLED,0
0.419996,0.0332036,0.0256879,0,0.00168553,0.728463,0.00715129,-0.0130889,-0.00809799,-0.999882,-0.00761499,0.4,0,0,DISABLED,0
0.439996,0.0376788,0.0287385,0,-0.00298716,0.728529,0.0091088,-0.0177616,-0.00975031,-0.999795,-0.00435694,0.4,0,0,DISABLED,0
0.459996,0.0417564,0.0308417,0,-0.0093343,0.728858,0.0109456,-0.0241088,-0.00686171,-0.999686,-0.00133438,0.4,0,0,DISABLED,0
0.479996,0.046438,0.0326409,0,-0.0144621,0.729246,0.0146608,-0.0292366,-0.003562,-0.999566,0.000133704,0.4,0,0,DISABLED,0
0.499996,0.0506128,0.0338788,0,-0.0164324,0.729469,0.0164792,-0.0312069,-0.00234299,-0.99951,0.00059743,0.4,0,0,DISABLED,0
0.519996,0.055735,0.0350596,0,-0.0160423,0.729666,0.0161725,-0.0308167,-0.00317841,-0.99952,0.00065149,0.4,0,0,DISABLED,0
0.539996,0.0611069,0.0359019,0,-0.014345,0.730053,0.0148305,-0.0291195,-0.00491373,-0.999564,0.000433184,0.4,0,0,DISABLED,0
