t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732803,0,-0.0200446,-0.00316422,-0.999794,0,0,0,0,DISABLED,0
0.0399961,2.89921e-06,-2.42144e-08,0,6.51926e-08,0.732803,0,-0.0200445,-0.00316485,-0.999794,1.82446e-06,0,0,0,DISABLED,0
0.0599961,6.10668e-06,-4.98258e-08,0,1.22935e-07,0.732802,0,-0.0200445,-0.00316544,-0.999794,3.55137e-06,0,0,0,DISABLED,0
0.0799961,8.66409e-06,-6.98492e-08,0,1.99303e-07,0.732802,0,-0.0200444,-0.00316609,-0.999794,5.55837e-06,0,0,0,DISABLED,0
0.0999961,1.28094e-05,-1.00583e-07,0,3.01749e-07,0.732801,0,-0.0200443,-0.0031668,-0.999794,7.8415e-06,0,0,0,DISABLED,0
0.119996,1.59889e-05,-1.24332e-07,0,3.94881e-07,0.7328,0,-0.0200442,-0.00316738,-0.999794,9.75956e-06,0,0,0,DISABLED,0
0.139996,1.91573e-05,-1.47615e-07,0,5.17815e-07,0.7328,0,-0.0200441,-0.00316807,-0.999794,1.21577e-05,0,0,0,DISABLED,0
0.159996,2.23126e-05,-1.70432e-07,0,6.23986e-07,0.732799,0,-0.020044,-0.00316862,-0.999794,1.41663e-05,0,0,0,DISABLED,0
0.179996,2.51392e-05,-1.90921e-07,0,7.50646e-07,0.732798,0,-0.0200438,-0.00316925,-0.999794,1.64486e-05,0,0,0,DISABLED,0
0.199996,2.82675e-05,-2.13273e-07,0,8.73581e-07,0.732798,0,-0.0200437,-0.0031698,-0.999794,1.85454e-05,0,0,0,DISABLED,0
0.219996,3.13856e-05,-2.35159e-07,0,1.03749e-06,0.732797,0,-0.0200435,-0.00317047,-0.999794,2.11569e-05,0,0,0,DISABLED,0
0.239996,3.48212e-05,-2.53785e-07,0,1.1716e-06,0.732797,0,-0.0200434,-0.00317088,-0.999794,2.3646e-05,0,0,0,DISABLED,0
0.259996,3.76822e-05,-2.50991e-07,0,1.27219e-06,0.732796,0,-0.0200433,-0.00317027,-0.999794,2.49883e-05,0,0,0,DISABLED,0
0.279996,4.08366e-05,-2.49594e-07,0,1.61678e-06,0.732796,0,-0.020043,-0.00316969,-0.999794,2.59888e-05,0,0,0,DISABLED,0
0.299996,4.42611e-05,-2.468e-07,0,2.19978e-06,0.732795,0,-0.0200424,-0.00316898,-0.999794,2.64004e-05,0,0,0,DISABLED,0
0.319996,4.70253e-05,-2.47266e-07,0,2.77534e-06,0.732795,0,-0.0200418,-0.00316849,-0.999794,2.6379e-05,0,0,0,DISABLED,0
0.339996,5.00595e-05,-2.52388e-07,0,3.46266e-06,0.732795,0,-0.0200411,-0.00316804,-0.999794,2.61073e-05,0,0,0,DISABLED,0
0.359996,5.30686e-05,-2.6077e-07,0,4.1686e-06,0.732794,0,-0.0200404,-0.00316764,-0.999794,2.55674e-05,0,0,0,DISABLED,0
0.379996,5.60638e-05,-2.71015e-07,0,4.90434e-06,0.732794,0,-0.0200397,-0.00316727,-0.999794,2.48451e-05,0,0,0,DISABLED,0
0.399996,5.93588e-05,-2.84985e-07,0,5.67734e-06,0.732793,0,-0.0200389,-0.00316693,-0.999794,2.39331e-05,0,0,0,DISABLED,0
0.419996,6.20633e-05,-2.96626e-07,0,6.49132e-06,0.732793,0,-0.0200381,-0.00316659,-0.999794,2.28949e-05,0,0,0,DISABLED,0
0.439996,6.539e-05,-3.11527e-07,0,7.44686e-06,0.732792,0,-0.0200371,-0.00316624,-0.999794,2.16386e-05,0,0,0,DISABLED,0
0.459996,6.8129e-05,-3.23169e-07,0,8.27946e-06,0.732792,0,-0.0200363,-0.00316596,-0.999794,2.05259e-05,0,0,0,DISABLED,0
