t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732801,0,-0.0200326,-0.00311096,-0.999794,0,0,0,0,DISABLED,0
0.0399961,3.51202e-06,-5.58794e-08,0,9.12696e-08,0.7328,0,-0.0200325,-0.0031117,-0.999794,2.56172e-06,0,0,0,DISABLED,0
0.0599961,6.68503e-06,-1.06171e-07,0,1.91852e-07,0.7328,0,-0.0200324,-0.00311243,-0.999794,5.17804e-06,0,0,0,DISABLED,0
0.0799961,9.21264e-06,-1.46218e-07,0,3.01749e-07,0.732799,0,-0.0200323,-0.00311316,-0.999794,7.84674e-06,0,0,0,DISABLED,0
0.0999961,1.29873e-05,-2.05822e-07,0,4.17233e-07,0.732798,0,-0.0200322,-0.00311387,-0.999794,1.05596e-05,0,0,0,DISABLED,0
0.119996,1.61175e-05,-2.55648e-07,0,5.4203e-07,0.732798,0,-0.0200321,-0.00311458,-0.999794,1.3322e-05,0,0,0,DISABLED,0
0.139996,1.92719e-05,-2.92435e-07,0,5.92321e-07,0.732797,0,-0.020032,-0.00311467,-0.999794,1.57149e-05,0,0,0,DISABLED,0
0.159996,2.21385e-05,-3.17115e-07,0,7.52509e-07,0.732797,0,-0.0200319,-0.00311424,-0.999794,1.75232e-05,0,0,0,DISABLED,0
0.179996,2.49874e-05,-3.37604e-07,0,1.05798e-06,0.732797,0,-0.0200316,-0.00311373,-0.999794,1.85284e-05,0,0,0,DISABLED,0
0.199996,2.81092e-05,-3.60887e-07,0,1.68942e-06,0.732796,0,-0.0200309,-0.00311311,-0.999795,1.95106e-05,0,0,0,DISABLED,0
0.219996,3.18056e-05,-3.92552e-07,0,2.44193e-06,0.732796,0,-0.0200302,-0.00311273,-0.999795,2.01822e-05,0,0,0,DISABLED,0
0.239996,3.42447e-05,-4.1537e-07,0,3.01935e-06,0.732795,0,-0.0200296,-0.00311253,-0.999795,2.04379e-05,0,0,0,DISABLED,0
0.259996,3.78732e-05,-4.52157e-07,0,3.91342e-06,0.732795,0,-0.0200287,-0.00311229,-0.999795,2.05265e-05,0,0,0,DISABLED,0
0.279996,4.05796e-05,-4.81959e-07,0,4.69014e-06,0.732794,0,-0.0200279,-0.00311209,-0.999795,2.03749e-05,0,0,0,DISABLED,0
0.299996,4.38811e-05,-5.20609e-07,0,5.49294e-06,0.732794,0,-0.0200271,-0.0031119,-0.999795,2.00043e-05,0,0,0,DISABLED,0
0.319996,4.68874e-05,-5.56931e-07,0,6.32741e-06,0.732793,0,-0.0200263,-0.0031117,-0.999795,1.94578e-05,0,0,0,DISABLED,0
