t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732805,0,-0.020046,-0.00319541,-0.999794,0,0,0,0,DISABLED,0
0.0399961,2.90293e-06,2.04891e-08,0,2.42144e-08,0.732804,0,-0.020046,-0.00319586,-0.999794,1.30455e-06,0,0,0,DISABLED,0
0.0599961,6.44103e-06,4.74975e-08,0,6.33299e-08,0.732803,0,-0.020046,-0.00319643,-0.999794,3.00864e-06,0,0,0,DISABLED,0
0.0799961,9.65036e-06,7.26432e-08,0,1.15484e-07,0.732803,0,-0.0200459,-0.00319694,-0.999794,4.65498e-06,0,0,0,DISABLED,0
0.0999961,1.28504e-05,9.91859e-08,0,1.71363e-07,0.732802,0,-0.0200459,-0.00319746,-0.999794,6.39562e-06,0,0,0,DISABLED,0
0.119996,1.60383e-05,1.26194e-07,0,2.27243e-07,0.732802,0,-0.0200458,-0.003198,-0.999794,8.23173e-06,0,0,0,DISABLED,0
0.139996,1.92132e-05,1.546e-07,0,2.8871e-07,0.732801,0,-0.0200458,-0.00319855,-0.999794,1.01628e-05,0,0,0,DISABLED,0
0.159996,2.17445e-05,1.77883e-07,0,3.5204e-07,0.732801,0,-0.0200457,-0.00319905,-0.999794,1.19726e-05,0,0,0,DISABLED,0
0.179996,2.55266e-05,2.13273e-07,0,4.4331e-07,0.7328,0,-0.0200456,-0.00319965,-0.999794,1.42499e-05,0,0,0,DISABLED,0
0.199996,2.8667e-05,2.43075e-07,0,5.34579e-07,0.732799,0,-0.0200455,-0.00320019,-0.999794,1.63775e-05,0,0,0,DISABLED,0
0.219996,3.17963e-05,2.73343e-07,0,6.33299e-07,0.732799,0,-0.0200454,-0.00320073,-0.999794,1.85554e-05,0,0,0,DISABLED,0
0.239996,3.49097e-05,3.03611e-07,0,7.35745e-07,0.732798,0,-0.0200453,-0.00320126,-0.999794,2.07827e-05,0,0,0,DISABLED,0
0.259996,3.80091e-05,3.33879e-07,0,8.43778e-07,0.732797,0,-0.0200452,-0.00320179,-0.999794,2.30593e-05,0,0,0,DISABLED,0
0.279996,4.10937e-05,3.64613e-07,0,9.574e-07,0.732797,0,-0.0200451,-0.00320232,-0.999794,2.5366e-05,0,0,0,DISABLED,0
0.299996,4.41642e-05,3.95812e-07,0,1.0673e-06,0.732796,0,-0.020045,-0.00320284,-0.999794,2.7528e-05,0,0,0,DISABLED,0
0.319996,4.7246e-05,4.33531e-07,0,1.10269e-06,0.732796,0,-0.0200449,-0.00320294,-0.999794,2.93367e-05,0,0,0,DISABLED,0
0.339996,5.03724e-05,4.81028e-07,0,1.16788e-06,0.732795,0,-0.0200449,-0.00320235,-0.999794,3.0444e-05,0,0,0,DISABLED,0
0.359996,5.38081e-05,5.35976e-07,0,1.39512e-06,0.732795,0,-0.0200447,-0.0032016,-0.999794,3.08326e-05,0,0,0,DISABLED,0
0.379996,5.65918e-05,5.78817e-07,0,1.88686e-06,0.732794,0,-0.0200442,-0.00320067,-0.999794,3.06948e-05,0,0,0,DISABLED,0
0.399996,5.96512e-05,6.22589e-07,0,2.47359e-06,0.732794,0,-0.0200436,-0.00319995,-0.999794,3.0254e-05,0,0,0,DISABLED,0
0.419996,6.26817e-05,6.62636e-07,0,3.17022e-06,0.732794,0,-0.0200429,-0.0031993,-0.999794,2.94785e-05,0,0,0,DISABLED,0
0.439996,6.5689e-05,7.00355e-07,0,3.76627e-06,0.732793,0,-0.0200423,-0.00319884,-0.999794,2.87134e-05,0,0,0,DISABLED,0
0.459996,6.86804e-05,7.37142e-07,0,4.46476e-06,0.732793,0,-0.0200416,-0.00319837,-0.999794,2.77432e-05,0,0,0,DISABLED,0
0.479996,7.16699e-05,7.73463e-07,0,5.20609e-06,0.732792,0,-0.0200408,-0.00319795,-0.999794,2.66603e-05,0,0,0,DISABLED,0
0.499996,7.46707e-05,8.10251e-07,0,5.99958e-06,0.732792,0,-0.0200401,-0.00319756,-0.999794,2.54728e-05,0,0,0,DISABLED,0
0.519996,7.76909e-05,8.47504e-07,0,6.85081e-06,0.732791,0,-0.0200392,-0.00319718,-0.999794,2.41837e-05,0,0,0,DISABLED,0
0.539996,8.07326e-05,8.85688e-07,0,7.75605e-06,0.732791,0,-0.0200383,-0.00319682,-0.999794,2.27983e-05,0,0,0,DISABLED,0
0.559996,8.37957e-05,9.23872e-07,0,8.72277e-06,0.73279,0,-0.0200373,-0.00319647,-0.999794,2.13212e-05,0,0,0,DISABLED,0
0.579996,8.71886e-05,9.66713e-07,0,9.85339e-06,0.73279,0,-0.0200362,-0.0031961,-0.999794,1.95918e-05,0,0,0,DISABLED,0
0.599996,8.99807e-05,1.00257e-06,0,1.08294e-05,0.732789,0,-0.0200352,-0.00319581,-0.999794,1.81014e-05,0,0,0,DISABLED,0
0.619996,9.30978e-05,1.04262e-06,0,1.19656e-05,0.732789,0,-0.0200341,-0.0031955,-0.999794,1.63657e-05,0,0,0,DISABLED,0
0.639996,9.5916e-05,1.0794e-06,0,1.30367e-05,0.732789,0,-0.020033,-0.00319522,-0.999794,1.47338e-05,0,0,0,DISABLED,0
0.659996,9.96953e-05,1.12923e-06,0,1.4279e-05,0.732788,0,-0.0200318,-0.0031949,-0.999794,1.28304e-05,0,0,0,DISABLED,0
0.679996,0.000102547,1.16741e-06,0,1.57095e-05,0.732788,0,-0.0200303,-0.00319455,-0.999794,1.06485e-05,0,0,0,DISABLED,0
0.699996,0.000105731,1.21025e-06,0,1.70637e-05,0.732787,0,-0.020029,-0.00319425,-0.999794,8.58167e-06,0,0,0,DISABLED,0
0.719995,0.000108927,1.25356e-06,0,1.84625e-05,0.732787,0,-0.0200276,-0.00319396,-0.999794,6.44079e-06,0,0,0,DISABLED,0
0.739995,0.000112126,1.2978e-06,0,1.99024e-05,0.732786,0,-0.0200261,-0.00319367,-0.999794,4.23566e-06,0,0,0,DISABLED,0
0.759995,0.000115328,1.3425e-06,0,2.1385e-05,0.732786,0,-0.0200247,-0.00319339,-0.999794,1.96462e-06,0,0,0,DISABLED,0
0.779995,0.000118535,1.38767e-06,0,2.29124e-05,0.732785,0,-0.0200231,-0.00319311,-0.999794,-3.71598e-07,0,0,0,DISABLED,0
0.799995,0.000121745,1.43377e-06,0,2.44714e-05,0.732785,0,-0.0200216,-0.00319284,-0.999794,-2.77325e-06,0,0,0,DISABLED,0
0.819995,0.000124958,1.4808e-06,0,2.60696e-05,0.732784,0,-0.02002,-0.00319256,-0.999794,-5.23985e-06,0,0,0,DISABLED,0
0.839995,0.000128176,1.52783e-06,0,2.77068e-05,0.732784,0,-0.0200183,-0.00319227,-0.999795,-7.78073e-06,0,0,0,DISABLED,0
0.859995,0.000131395,1.5758e-06,0,2.93758e-05,0.732783,0,-0.0200167,-0.00319199,-0.999795,-1.0378e-05,0,0,0,DISABLED,0
0.879995,0.000134615,1.62469e-06,0,3.10801e-05,0.732783,0,-0.020015,-0.00319171,-0.999795,-1.30327e-05,0,0,0,DISABLED,0
0.899995,0.000137836,1.67405e-06,0,3.28161e-05,0.732783,0,-0.0200132,-0.00319144,-0.999795,-1.57456e-05,0,0,0,DISABLED,0
0.919995,0.000141377,1.729e-06,0,3.45837e-05,0.732782,0,-0.0200115,-0.00319116,-0.999795,-1.85163e-05,0,0,0,DISABLED,0
0.939995,0.000144593,1.77976e-06,0,3.63775e-05,0.732782,0,-0.0200097,-0.00319089,-0.999795,-2.13415e-05,0,0,0,DISABLED,0
0.959995,0.000147488,1.82586e-06,0,3.82066e-05,0.732781,0,-0.0200078,-0.00319058,-0.999795,-2.4247e-05,0,0,0,DISABLED,0
0.979995,0.000150701,1.87755e-06,0,4.00636e-05,0.732781,0,-0.020006,-0.00319028,-0.999795,-2.71969e-05,0,0,0,DISABLED,0
0.999995,0.000153911,1.93017e-06,0,4.1943e-05,0.73278,0,-0.0200041,-0.00318999,-0.999795,-3.01958e-05,0,0,0,DISABLED,0
1.02,0.000157117,1.98325e-06,0,4.38504e-05,0.73278,0,-0.0200022,-0.00318971,-0.999795,-3.32398e-05,0,0,0,DISABLED,0
1.04,0.000159998,2.03215e-06,0,4.57782e-05,0.732779,0,-0.0200003,-0.00318943,-0.999795,-3.63323e-05,0,0,0,DISABLED,0
1.06,0.000163514,2.09175e-06,0,4.77321e-05,0.732779,0,-0.0199983,-0.00318914,-0.999795,-3.94743e-05,0,0,0,DISABLED,0
1.08,0.000166706,2.14716e-06,0,4.97084e-05,0.732779,0,-0.0199963,-0.00318885,-0.999795,-4.26655e-05,0,0,0,DISABLED,0
1.1,0.000169891,2.20304e-06,0,5.1707e-05,0.732778,0,-0.0199943,-0.00318856,-0.999795,-4.59047e-05,0,0,0,DISABLED,0
1.12,0.000172435,2.24821e-06,0,5.33201e-05,0.732778,0,-0.0199927,-0.00318833,-0.999795,-4.85298e-05,0,0,0,DISABLED,0
1.14,0.000176245,2.31713e-06,0,5.57657e-05,0.732777,0,-0.0199903,-0.00318796,-0.999795,-5.25301e-05,0,0,0,DISABLED,0
1.16,0.000179417,2.37487e-06,0,5.78314e-05,0.732777,0,-0.0199882,-0.00318765,-0.999795,-5.59133e-05,0,0,0,DISABLED,0
1.18,0.000182584,2.43355e-06,0,5.99138e-05,0.732776,0,-0.0199861,-0.00318734,-0.999795,-5.93474e-05,0,0,0,DISABLED,0
1.2,0.000185741,2.49268e-06,0,6.20112e-05,0.732776,0,-0.019984,-0.00318702,-0.999795,-6.28261e-05,0,0,0,DISABLED,0
1.22,0.000188573,2.5467e-06,0,6.39111e-05,0.732776,0,-0.0199821,-0.00318674,-0.999795,-6.59858e-05,0,0,0,DISABLED,0
1.24,0.000192025,2.61329e-06,0,6.62543e-05,0.732775,0,-0.0199798,-0.0031864,-0.999795,-6.98885e-05,0,0,0,DISABLED,0
