time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-1.79556e-05,4.24475e-08,0.73389,-0.00897772,2.12232e-05,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.299921,-0.0394898,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.299996,-0.00186975,nan,nan,nan
0.006,-5.51225e-05,-1.10034e-06,0.733825,-0.0185834,-0.000571393,-0.00112001,0.0836636,0.00057625,-0.119063,1,173.941,0.300043,0.0611041,0.000854,-0.119063,nan,-0.00111571,-0.0836696,0.000591626,-0.111404,1,159.735,0.300213,0.10833,0.000854,-0.111404,nan
0.008,-0.000107508,-2.83679e-06,0.733752,-0.0261927,-0.000868223,-0.0012128,0.0836824,0.000420671,-0.0777199,1,115.714,0.300382,0.169403,nan,nan,nan,-0.00120415,-0.0836868,0.000446313,-0.0725958,1,106.237,0.300664,0.225559,nan,nan,nan
0.01,-0.000172756,-5.24233e-06,0.733673,-0.032624,-0.00120277,-0.00127611,0.0837367,0.000315056,-0.0527864,1,126,0.300849,0.233272,nan,nan,nan,-0.00126296,-0.0837337,0.000347525,-0.0493741,1,115.465,0.301261,0.298357,nan,nan,nan
0.012,-0.000249012,-8.89428e-06,0.733594,-0.0381279,-0.00182597,-0.00132185,0.0838136,0.000241909,-0.0365559,1,153.832,0.301413,0.282043,nan,nan,nan,-0.00130374,-0.083799,0.000279151,-0.0341688,1,123.31,0.301916,0.327491,nan,nan,nan
0.014,-0.000334668,-1.30478e-05,0.733519,-0.0428282,-0.00207677,-0.0013569,0.0838905,0.000192403,-0.0247279,1,160.166,0.302007,0.297162,nan,nan,nan,-0.00133346,-0.0838757,0.000230375,-0.0243624,1,142.864,0.302605,0.344875,nan,nan,nan
0.016,-0.000427984,-1.79094e-05,0.73345,-0.0466581,-0.00243079,-0.00138485,0.0839648,0.000158011,-0.0171636,1,165.206,0.302588,0.290648,nan,nan,nan,-0.00135628,-0.0839475,0.000196043,-0.0171322,1,147.046,0.303283,0.338925,nan,nan,nan
0.018,-0.000527558,-2.35169e-05,0.733386,-0.0497867,-0.00280377,-0.0014082,0.0840353,0.000133006,-0.0124654,1,169.025,0.303128,0.269893,nan,nan,nan,-0.00137458,-0.0840135,0.000170752,-0.0126077,1,149.938,0.303918,0.317278,nan,nan,nan
0.02,-0.000632291,-2.98835e-05,0.73333,-0.0523668,-0.00318328,-0.00142848,0.0841019,0.000113664,-0.00963272,1,171.727,0.303608,0.240059,nan,nan,nan,-0.00138991,-0.084074,0.000150937,-0.00986849,1,151.644,0.304488,0.285143,nan,nan,nan
