t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732802,0,-0.020039,-0.00314293,-0.999794,0,0.4,0,0,DISABLED,0
0.0399961,1.55782e-05,5.68107e-08,0,-7.79517e-06,0.732798,0,-0.0200468,-0.00314807,-0.999794,2.90491e-06,0.4,0,0,DISABLED,0
0.0599961,0.000121913,1.25077e-06,0,-0.0001687,0.732781,0.000345267,-0.0202077,-0.00315963,-0.999791,1.13877e-05,0.4,0,0,DISABLED,0
0.0799961,0.000457169,-2.08654e-05,0,-0.000968156,0.732757,0.000976562,-0.0210072,-0.00325824,-0.999774,1.15434e-05,0.4,0,0,DISABLED,0
0.0999961,0.00109532,-6.24233e-05,0,-0.00229036,0.732743,0.00231612,-0.0223294,-0.00333979,-0.999745,-1.71129e-05,0.4,0,0,DISABLED,0
0.119996,0.00185486,6.36126e-05,0,-0.0026649,0.732764,0.00269662,-0.0227039,-0.00278146,-0.999738,-5.26363e-05,0.4,0,0,DISABLED,0
0.139996,0.00274608,0.000699808,0,-0.00195165,0.732815,0.00421452,-0.0219906,0.000599937,-0.999758,-0.000213766,0.4,0,0,DISABLED,0
0.159996,0.00330159,0.00119764,0,-0.00157124,0.732812,0.00617633,-0.0216102,0.00282663,-0.999762,-0.000782358,0.4,0,0,DISABLED,0
0.179996,0.00566049,0.00294787,0,-0.00240677,0.732946,0.0069226,-0.0224458,0.00334618,-0.999742,-0.00296977,0.4,0,0,DISABLED,0
0.199996,0.00774,0.0045452,0,-0.00408683,0.733077,0.00544823,-0.0241258,0.000452507,-0.999709,-0.00441487,0.4,0,0,DISABLED,0
0.219996,0.00985783,0.00648537,0,-0.00476718,0.733108,0.00489501,-0.0248062,-0.00207705,-0.99969,-0.00477689,0.4,0,0,DISABLED,0
0.239996,0.0120535,0.00865634,0,-0.0045496,0.733098,0.00460644,-0.0245886,-0.00386914,-0.99969,-0.00443686,0.4,0,0,DISABLED,0
0.259996,0.0139739,0.0105264,0,-0.00418932,0.7331,0.00458049,-0.0242283,-0.00497667,-0.999694,-0.00360498,0.4,0,0,DISABLED,0
0.279996,0.0169657,0.013296,0,-0.00373312,0.733122,0.00555655,-0.0237721,-0.00725721,-0.999691,-0.00309116,0.4,0,0,DISABLED,0
0.299996,0.0203053,0.0162843,0,-0.00302665,0.733106,0.00666823,-0.0230656,-0.00908348,-0.999693,-0.00251728,0.4,0,0,DISABLED,0
0.319996,0.0236862,0.0192061,0,-0.00207594,0.733029,0.00756444,-0.0221149,-0.0104134,-0.999701,-0.00232557,0.4,0,0,DISABLED,0
0.339996,0.027367,0.0223417,0,-0.000722757,0.732836,0.0077896,-0.0207618,-0.0108936,-0.999725,-0.00223936,0.4,0,0,DISABLED,0
0.359996,0.0313133,0.0256466,0,0.00102858,0.732382,0.00717625,-0.0190104,-0.0102414,-0.999767,-0.00179181,0.4,0,0,DISABLED,0
0.379996,0.0358865,0.0295327,0,0.00319191,0.731214,0.00506261,-0.0168471,-0.00707074,-0.999833,0.000538482,0.4,0,0,DISABLED,0
0.399996,0.0398948,0.0324248,0,0.00373055,0.730286,0.00897033,-0.0163084,-0.011301,-0.999803,0.000958672,0.4,0,0,DISABLED,0
0.419996,0.0448159,0.0356796,0,0.00396358,0.730099,0.0168547,-0.0160754,-0.0195229,-0.99968,0.000733697,0.4,0,0,DISABLED,0
0.439996,0.0495223,0.0387921,0,0.00335124,0.730411,0.0136371,-0.0166878,-0.0163612,-0.999727,0.00327236,0.4,0,0,DISABLED,0
0.459996,0.0548806,0.041397,0,-0.000548998,0.730888,0.00506261,-0.020588,-0.00817382,-0.999755,0.00890354,0.4,0,0,DISABLED,0
0.479996,0.060181,0.0435129,0,-0.00302257,0.731228,0.00304932,-0.0230616,-0.0035165,-0.999728,0.0122711,0.4,0,0,DISABLED,0
0.499996,0.0646989,0.0451984,0,-0.00329018,0.731414,0.00387561,-0.0233292,-0.00109405,-0.999727,0.0141609,0.4,0,0,DISABLED,0
0.519996,0.0702366,0.0469937,0,-0.0029905,0.731607,0.00567332,-0.0230295,0.00167383,-0.999733,0.0156399,0.4,0,0,DISABLED,0
0.539996,0.0749853,0.0480951,0,-0.00313057,0.731764,0.00785816,-0.0231696,0.00406395,-0.999723,0.0162354,0.4,0,0,DISABLED,0
0.559996,0.0805428,0.0488671,0,-0.00355211,0.731884,0.0106026,-0.0235911,0.00684475,-0.999698,0.0170737,0.4,0,0,DISABLED,0
0.579996,0.0863441,0.0492355,0,-0.0036894,0.731878,0.0119155,-0.0237284,0.0081878,-0.999685,0.0176673,0.4,0,0,DISABLED,0
0.599996,0.0923699,0.0492065,0,-0.00334313,0.731671,0.01424,-0.0233821,0.0106991,-0.999669,0.0191515,0.4,0,0,DISABLED,0
0.619996,0.0986752,0.0488741,0,-0.00239329,0.731278,0.0147943,-0.0224323,0.0114561,-0.999683,0.0201539,0.4,0,0,DISABLED,0
0.639996,0.105231,0.0483512,0,-0.000823522,0.730803,0.0149984,-0.0208625,0.0118314,-0.999712,0.019896,0.4,0,0,DISABLED,0
0.659996,0.111969,0.0477224,0,0.00145507,0.730292,0.0156518,-0.0185839,0.0124424,-0.99975,0.0196255,0.4,0,0,DISABLED,0
0.679996,0.118836,0.0469927,0,0.003822,0.729656,0.0158449,-0.016217,0.012232,-0.999794,0.018745,0.4,0,0,DISABLED,0
0.699996,0.125765,0.045869,0,0.00520548,0.728748,0.0135889,-0.0148335,0.00941087,-0.999846,0.0177873,0.4,0,0,DISABLED,0
0.719995,0.133421,0.0449586,0,0.00406417,0.728822,0.0166841,-0.0159748,0.0130384,-0.999787,0.0143439,0.4,0,0,DISABLED,0
0.739995,0.139538,0.0439372,0,0.00179891,0.729435,0.0185035,-0.0182401,0.0152734,-0.999717,0.00830087,0.4,0,0,DISABLED,0
0.759995,0.145841,0.0425662,0,-0.00154191,0.730008,0.0154949,-0.0215809,0.0122717,-0.999692,0.00267967,0.4,0,0,DISABLED,0
0.779995,0.153752,0.0408765,0,-0.00338066,0.730722,0.0116678,-0.0234197,0.00802213,-0.999694,-0.00033557,0.4,0,0,DISABLED,0
0.799995,0.16093,0.0398431,0,-0.00377164,0.731011,0.0086455,-0.0238106,0.00463305,-0.999706,-0.00268615,0.4,0,0,DISABLED,0
0.819995,0.168274,0.039436,0,-0.00387862,0.730965,0.00704211,-0.0239176,0.00273531,-0.99971,-0.00479524,0.4,0,0,DISABLED,0
0.839995,0.175778,0.0395079,0,-0.00417237,0.730809,0.00587969,-0.0242114,0.000999334,-0.999706,-0.00557827,0.4,0,0,DISABLED,0
0.859995,0.182616,0.0398385,0,-0.00438995,0.730692,0.00459348,-0.0244289,-0.00181576,-0.9997,-0.00596341,0.4,0,0,DISABLED,0
0.879995,0.190988,0.0404835,0,-0.00399483,0.730573,0.00450173,-0.0240338,-0.00520943,-0.999698,-0.0062618,0.4,0,0,DISABLED,0
0.899995,0.198544,0.0413281,0,-0.00241731,0.730476,0.00564172,-0.0224563,-0.00823646,-0.999714,-0.00636505,0.4,0,0,DISABLED,0
0.919995,0.204538,0.042231,0,-0.00020989,0.730381,0.00710111,-0.0202489,-0.0102359,-0.999743,-0.00668152,0.4,0,0,DISABLED,0
0.939995,0.213495,0.0439566,0,0.00433877,0.730147,0.0103003,-0.0157002,-0.0124803,-0.999799,-0.00735345,0.4,0,0,DISABLED,0
0.959995,0.221667,0.0459036,0,0.00942602,0.729709,0.0140674,-0.010613,-0.0135857,-0.999851,-0.008807,0.4,0,0,DISABLED,0
0.979995,0.229092,0.0479261,0,0.013527,0.729152,0.0162351,-0.006512,-0.0121163,-0.999905,-0.00894532,0.4,0,0,DISABLED,0
0.999995,0.235791,0.0500355,0,0.0157686,0.728379,0.0163995,-0.00427038,-0.00763503,-0.999962,-0.00760288,0.4,0,0,DISABLED,0
1.02,0.243539,0.051912,0,0.0146179,0.728082,0.0165262,-0.00542106,-0.0108457,-0.999927,-0.0055504,0.4,0,0,DISABLED,0
1.04,0.251257,0.0537209,0,0.0120737,0.728656,0.0176088,-0.00796527,-0.0159604,-0.999841,-0.0025633,0.4,0,0,DISABLED,0
1.06,0.258834,0.0558128,0,0.0100451,0.729154,0.0145383,-0.00999388,-0.0136511,-0.999857,0.000843552,0.4,0,0,DISABLED,0
1.08,0.266326,0.0576793,0,0.00731725,0.72958,0.0076194,-0.0127217,-0.00524845,-0.999905,0.00492593,0.4,0,0,DISABLED,0
1.1,0.273613,0.0590804,0,0.00660177,0.72977,0.00679221,-0.0134372,-0.00157786,-0.999908,0.00842447,0.4,0,0,DISABLED,0
1.12,0.278634,0.0599215,0,0.00674633,0.729807,0.00726705,-0.0132927,-0.000452012,-0.999912,0.0105246,0.4,0,0,DISABLED,0
1.14,0.288059,0.0612177,0,0.00679573,0.729852,0.00845025,-0.0132433,0.00187157,-0.999911,0.0137063,0.4,0,0,DISABLED,0
1.16,0.295377,0.0618036,0,0.00666424,0.729898,0.00986284,-0.0133748,0.00411877,-0.999902,0.0148804,0.4,0,0,DISABLED,0
1.18,0.302613,0.0620138,0,0.00700938,0.729916,0.0116166,-0.0130296,0.00611388,-0.999896,0.0143155,0.4,0,0,DISABLED,0
1.2,0.309676,0.0618224,0,0.00833229,0.729868,0.0135977,-0.0117067,0.00760131,-0.999903,0.0134456,0.4,0,0,DISABLED,0
1.22,0.316637,0.0612088,0,0.010302,0.729715,0.0157392,-0.00973704,0.00875349,-0.999914,0.0132583,0.4,0,0,DISABLED,0
1.24,0.322874,0.0603805,0,0.0120721,0.729521,0.0175885,-0.00796686,0.00964414,-0.999922,0.0135136,0.4,0,0,DISABLED,0
1.25999,0.330404,0.0590454,0,0.0140598,0.729361,0.0189774,-0.00597916,0.00959939,-0.999936,0.0144439,0.4,0,0,DISABLED,0
1.27999,0.337325,0.0575635,0,0.0145256,0.729397,0.017984,-0.00551335,0.00745658,-0.999957,0.0143208,0.4,0,0,DISABLED,0
1.29999,0.344426,0.055785,0,0.0126896,0.729364,0.0137935,-0.00734944,0.00225937,-0.99997,0.0134177,0.4,0,0,DISABLED,0
1.31999,0.352484,0.0543768,0,0.00744826,0.72992,0.00960566,-0.0125907,0.00292042,-0.999916,0.00955604,0.4,0,0,DISABLED,0
1.33999,0.358593,0.0531018,0,0.00562364,0.730696,0.00929663,-0.0144154,0.00424846,-0.999887,0.00725038,0.4,0,0,DISABLED,0
1.35999,0.365275,0.0512454,0,0.00335583,0.731436,0.00652364,-0.0166832,0.0024452,-0.999858,0.00344505,0.4,0,0,DISABLED,0
1.37999,0.372192,0.0494673,0,0.0025233,0.732054,0.0029701,-0.0175157,-0.00157826,-0.999845,0.00191584,0.4,0,0,DISABLED,0
1.39999,0.379229,0.0481343,0,0.00245115,0.73221,0.00267443,-0.0175878,-0.00424295,-0.999836,0.0016413,0.4,0,0,DISABLED,0
