t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732804,0,-0.0200397,-0.00316138,-0.999794,0,0.6,0,0,DISABLED,0
0.0399961,3.28189e-05,2.24914e-07,0,-3.99984e-05,0.732797,0,-0.0200797,-0.00316813,-0.999793,3.08733e-06,0.6,0,0,DISABLED,0
0.0599961,0.000311458,-5.44591e-05,0,-0.000889875,0.732784,0.000913491,-0.0209296,-0.00323643,-0.999776,8.81916e-06,0.6,0,0,DISABLED,0
0.0799961,0.000752136,-0.00020939,0,-0.00179031,0.732766,0.00182698,-0.02183,-0.00354691,-0.999755,3.98634e-05,0.6,0,0,DISABLED,0
0.0999961,0.00147085,-0.000377586,0,-0.00197811,0.73285,0.00201324,-0.0220178,-0.00351964,-0.999751,0.0002489,0.6,0,0,DISABLED,0
0.119996,0.00247627,-0.000114412,0,-0.00168346,0.733028,0.00278363,-0.0217232,-0.000939278,-0.999764,7.09023e-05,0.6,0,0,DISABLED,0
0.139996,0.00382136,0.000527374,0,-0.00108118,0.73312,0.00551348,-0.0211209,0.00223895,-0.999774,-0.00106665,0.6,0,0,DISABLED,0
0.159996,0.00484628,0.00102265,0,-0.000996223,0.73307,0.00748523,-0.021036,0.00426049,-0.99977,-0.00276506,0.6,0,0,DISABLED,0
0.179996,0.00787534,0.00236048,0,-0.00244754,0.733027,0.0057464,-0.0224873,0.0020371,-0.999745,-0.00389614,0.6,0,0,DISABLED,0
0.199996,0.0105628,0.00380235,0,-0.00429943,0.733001,0.00461936,-0.0243392,-0.00146288,-0.999703,-0.00426044,0.6,0,0,DISABLED,0
0.219996,0.0133064,0.00561384,0,-0.00519847,0.732931,0.00549181,-0.0252382,-0.00490424,-0.999669,-0.00401209,0.6,0,0,DISABLED,0
0.239996,0.0162374,0.00761468,0,-0.00513765,0.732903,0.00666823,-0.0251774,-0.00739995,-0.999656,-0.00281539,0.6,0,0,DISABLED,0
0.259996,0.018527,0.00911726,0,-0.00507043,0.732922,0.00803815,-0.0251102,-0.00939465,-0.999641,-0.00208773,0.6,0,0,DISABLED,0
0.279996,0.0232143,0.012082,0,-0.0044628,0.73293,0.010444,-0.0245025,-0.0125981,-0.99962,0.000689462,0.6,0,0,DISABLED,0
0.299996,0.0264329,0.0140962,0,-0.0035726,0.73288,0.0126389,-0.0236123,-0.015281,-0.999604,0.000787732,0.6,0,0,DISABLED,0
0.319996,0.0317637,0.0173543,0,-0.00193596,0.732665,0.0147701,-0.0219757,-0.0178009,-0.9996,0.00171437,0.6,0,0,DISABLED,0
0.339996,0.0365837,0.0203488,0,-0.000420086,0.732321,0.0152467,-0.0204598,-0.0184013,-0.999621,0.00219393,0.6,0,0,DISABLED,0
0.359996,0.0417816,0.0235273,0,0.00314211,0.731744,0.0151408,-0.0168976,-0.017972,-0.999696,0.00295193,0.6,0,0,DISABLED,0
0.379996,0.0472317,0.0268909,0,0.00647858,0.730621,0.0136327,-0.0135612,-0.0151617,-0.999793,0.00516958,0.6,0,0,DISABLED,0
0.399996,0.0524856,0.0298148,0,0.0083789,0.729447,0.0157468,-0.0116608,-0.0164975,-0.999796,0.00560671,0.6,0,0,DISABLED,0
0.419996,0.0585949,0.0325279,0,0.00910651,0.728895,0.0227593,-0.0109332,-0.0240179,-0.999652,0.00493545,0.6,0,0,DISABLED,0
0.439996,0.0655093,0.0356979,0,0.00923,0.729147,0.020834,-0.0108097,-0.0218401,-0.999703,0.0087252,0.6,0,0,DISABLED,0
0.459996,0.0717829,0.0381138,0,0.00632972,0.729587,0.0109782,-0.01371,-0.012135,-0.999832,0.0142305,0.6,0,0,DISABLED,0
0.479996,0.0796653,0.0405633,0,0.00318367,0.730065,0.00318321,-0.0168561,-0.00302191,-0.999853,0.0189281,0.6,0,0,DISABLED,0
0.499996,0.0864339,0.0424061,0,0.00368708,0.73035,0.0057671,-0.0163526,0.00126177,-0.999865,0.0219246,0.6,0,0,DISABLED,0
0.519996,0.0925189,0.0439043,0,0.0052742,0.73055,0.00912841,-0.0147655,0.00428549,-0.999882,0.0241784,0.6,0,0,DISABLED,0
0.539996,0.0996327,0.0453061,0,0.00655169,0.730721,0.0132783,-0.013488,0.00838204,-0.999874,0.026624,0.6,0,0,DISABLED,0
0.559996,0.10647,0.0461778,0,0.00685313,0.730758,0.0163922,-0.0131866,0.0117287,-0.999844,0.0285908,0.6,0,0,DISABLED,0
0.579996,0.115247,0.0467854,0,0.00735307,0.730557,0.0201386,-0.0126867,0.0155895,-0.999798,0.0310012,0.6,0,0,DISABLED,0
0.599996,0.124367,0.0469413,0,0.00846444,0.730063,0.0224189,-0.0115753,0.0175986,-0.999778,0.0313774,0.6,0,0,DISABLED,0
0.619996,0.132057,0.0467731,0,0.0108257,0.729486,0.0246987,-0.009214,0.0190381,-0.999776,0.031125,0.6,0,0,DISABLED,0
0.639996,0.141764,0.0462425,0,0.0145225,0.728538,0.0279974,-0.0055172,0.0207747,-0.999769,0.0324756,0.6,0,0,DISABLED,0
0.659996,0.150039,0.045804,0,0.0171741,0.72762,0.0303316,-0.00286564,0.021838,-0.999757,0.0319876,0.6,0,0,DISABLED,0
0.679996,0.159399,0.0450931,0,0.0194548,0.726602,0.0297181,-0.000584914,0.019305,-0.999813,0.0316227,0.6,0,0,DISABLED,0
0.699996,0.170176,0.0438051,0,0.0187245,0.725814,0.0243633,-0.0013152,0.0124239,-0.999922,0.0316863,0.6,0,0,DISABLED,0
0.719995,0.179234,0.0431972,0,0.0142343,0.726315,0.0214792,-0.00580543,0.0129218,-0.9999,0.0264733,0.6,0,0,DISABLED,0
0.739995,0.189952,0.0422764,0,0.00950774,0.727472,0.019738,-0.010532,0.0141341,-0.999845,0.0160508,0.6,0,0,DISABLED,0
0.759995,0.198923,0.0408286,0,0.00515289,0.728294,0.0147095,-0.0148868,0.0106181,-0.999833,0.0108135,0.6,0,0,DISABLED,0
0.779995,0.210059,0.0387933,0,0.0020634,0.729091,0.00791861,-0.0179763,0.00448932,-0.999828,0.00767087,0.6,0,0,DISABLED,0
0.799995,0.217091,0.0377851,0,0.0019668,0.729282,0.00308816,-0.0180729,-0.000773508,-0.999836,0.00392517,0.6,0,0,DISABLED,0
0.819995,0.230348,0.0369698,0,0.00254106,0.729057,0.00253718,-0.0174987,-0.00340398,-0.999841,0.00111551,0.6,0,0,DISABLED,0
0.839995,0.237668,0.0369871,0,0.00250213,0.728821,0.00355474,-0.0175376,-0.00569289,-0.99983,-0.000189658,0.6,0,0,DISABLED,0
0.859995,0.250316,0.0373888,0,0.00230994,0.728538,0.00767396,-0.0177298,-0.0104814,-0.999788,3.35844e-05,0.6,0,0,DISABLED,0
0.879995,0.260816,0.0380272,0,0.00310195,0.728285,0.013545,-0.0169378,-0.0163479,-0.999723,-0.00198839,0.6,0,0,DISABLED,0
0.899995,0.271054,0.0388615,0,0.00632788,0.72795,0.0193845,-0.0137118,-0.0214825,-0.999675,-0.00212905,0.6,0,0,DISABLED,0
0.919995,0.281966,0.0401253,0,0.011709,0.727517,0.0247998,-0.00833073,-0.0250205,-0.999652,-0.00213001,0.6,0,0,DISABLED,0
0.939995,0.291809,0.0417232,0,0.0172839,0.727139,0.0295471,-0.00275587,-0.027122,-0.999628,-0.00394325,0.6,0,0,DISABLED,0
0.959995,0.301912,0.0437466,0,0.0220317,0.727028,0.031764,0.00199199,-0.0260423,-0.999659,-0.00455787,0.6,0,0,DISABLED,0
0.979995,0.311357,0.0458881,0,0.0238465,0.727132,0.029938,0.00380677,-0.0212619,-0.999767,-0.00386868,0.6,0,0,DISABLED,0
0.999995,0.323338,0.0487803,0,0.0219041,0.727144,0.0249413,0.00186437,-0.0150851,-0.999884,-0.00287749,0.6,0,0,DISABLED,0
1.02,0.334828,0.0513987,0,0.0159633,0.726911,0.0176595,-0.00407646,-0.010708,-0.999934,-0.00314729,0.6,0,0,DISABLED,0
1.04,0.341684,0.0526133,0,0.012332,0.727065,0.0151526,-0.00770774,-0.0119653,-0.999899,-0.0025285,0.6,0,0,DISABLED,0
1.06,0.356878,0.0552936,0,0.00835719,0.727487,0.0104326,-0.0116825,-0.00940358,-0.999888,0.00570369,0.6,0,0,DISABLED,0
1.08,0.367168,0.0571747,0,0.00878267,0.727746,0.00885665,-0.0112571,-0.00424902,-0.999928,0.00656653,0.6,0,0,DISABLED,0
1.1,0.377418,0.0587596,0,0.0100801,0.727804,0.0103119,-0.00995968,-0.00101097,-0.99995,0.00850017,0.6,0,0,DISABLED,0
1.12,0.38782,0.0600562,0,0.0113225,0.727685,0.0121287,-0.00871722,0.00119001,-0.999961,0.0142288,0.6,0,0,DISABLED,0
