time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,-1.80981e-05,-8.29902e-07,0.7338,-0.00904887,-0.000414952,-0.000976898,0.0837003,0.000736402,-0.0391991,1,123.08,0.300101,0.0504417,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,114.624,0.300144,0.0721792,0.000854,-0.0391991,nan
0.008,-5.4433e-05,-2.45847e-06,0.733712,-0.0181675,-0.000814285,-0.000978952,0.0837369,0.000664001,-0.036198,1,121.557,0.300294,0.0966733,nan,nan,nan,-0.000978611,-0.083733,0.000665201,-0.0355985,1,113.033,0.300424,0.139736,nan,nan,nan
0.01,-0.000106743,-4.79502e-06,0.733621,-0.0261552,-0.00116828,-0.000983165,0.0838089,0.000594312,-0.0348351,1,123.952,0.300532,0.118888,nan,nan,nan,-0.000981707,-0.0837966,0.00059792,-0.0336326,1,115.544,0.300786,0.181284,nan,nan,nan
0.012,-0.000172591,-7.85718e-06,0.733528,-0.032924,-0.00153108,-0.00098806,0.0839093,0.000524868,-0.0347038,1,135.592,0.300807,0.137392,nan,nan,nan,-0.000984778,-0.0838837,0.000531903,-0.0329936,1,125.2,0.301212,0.212687,nan,nan,nan
0.014,-0.000252065,-1.16669e-05,0.733433,-0.0397368,-0.00190484,-0.000997506,0.084026,0.000457287,-0.0337668,1,135.152,0.301113,0.153178,nan,nan,nan,-0.000990777,-0.0839837,0.000468158,-0.0318524,1,124.812,0.301696,0.241936,nan,nan,nan
0.016,-0.000340876,-1.57389e-05,0.733339,-0.0444053,-0.00203603,-0.00101078,0.0841586,0.000390124,-0.0335522,1,137.576,0.301381,0.133837,nan,nan,nan,-0.00099928,-0.0840958,0.000405297,-0.0314049,1,128.308,0.302165,0.234744,nan,nan,nan
0.018,-0.000437308,-2.00527e-05,0.733243,-0.048216,-0.00215689,-0.00102802,0.0843026,0.000320744,-0.0346595,1,138.63,0.301592,0.105536,nan,nan,nan,-0.00100864,-0.0842124,0.000341299,-0.0319714,1,129.768,0.302586,0.210521,nan,nan,nan
0.02,-0.000540338,-2.46575e-05,0.733147,-0.051515,-0.00230238,-0.00104764,0.0844531,0.000248428,-0.036127,1,139.526,0.301743,0.0754231,nan,nan,nan,-0.00101828,-0.0843299,0.000275146,-0.0330476,1,130.81,0.30294,0.176919,nan,nan,nan
0.022,-0.00064912,-2.95155e-05,0.733051,-0.054391,-0.002429,-0.00106883,0.0846058,0.000173093,-0.0376356,1,140.498,0.301823,0.0402365,nan,nan,nan,-0.0010279,-0.0844455,0.000206303,-0.0343924,1,131.584,0.303221,0.140566,nan,nan,nan
0.024,-0.000763662,-4.06201e-05,0.732964,-0.0572712,-0.00555232,-0.00109113,0.0847574,9.47022e-05,-0.0391618,1,207.52,0.301963,0.06976,nan,nan,nan,-0.0010374,-0.0845574,0.000134592,-0.0358255,1,131.112,0.303439,0.108763,nan,nan,nan
0.026,-0.000881492,-5.60187e-05,0.732899,-0.0589152,-0.00769928,-0.00111462,0.0848824,2.77519e-05,-0.0334483,1,253.021,0.302332,0.18442,nan,nan,nan,-0.00104905,-0.0846678,6.08117e-05,-0.0368586,1,199.776,0.303758,0.159839,nan,nan,nan
0.028,-0.00100191,-7.09481e-05,0.732859,-0.0602071,-0.00746472,-0.00113394,0.08497,-1.87078e-05,-0.0232063,1,238.359,0.302879,0.273486,nan,nan,nan,-0.00106305,-0.08476,1.79432e-06,-0.0294799,1,227.017,0.304236,0.238931,nan,nan,nan
0.03,-0.00112212,-8.51969e-05,0.732838,-0.0601055,-0.00712439,-0.00114774,0.0850278,-4.74897e-05,-0.0143633,1,212.676,0.303511,0.316173,nan,nan,nan,-0.0010745,-0.084824,-3.72514e-05,-0.0194942,1,211.166,0.304816,0.28998,nan,nan,nan
0.032,-0.00123981,-9.91596e-05,0.732829,-0.0588444,-0.00698136,-0.00115734,0.0850662,-6.39906e-05,-0.00821948,1,195.906,0.304169,0.32923,nan,nan,nan,-0.00108265,-0.0848663,-6.06921e-05,-0.0116898,1,190.89,0.305433,0.308543,nan,nan,nan
0.034,-0.00135342,-0.000113048,0.732831,-0.0568061,-0.00694419,-0.00116401,0.0850924,-7.20535e-05,-0.00399968,1,183.83,0.304815,0.322663,nan,nan,nan,-0.00108835,-0.0848947,-7.3277e-05,-0.00626157,1,176.559,0.306042,0.30439,nan,nan,nan
0.036,-0.001462,-0.000127027,0.732839,-0.0542912,-0.00698948,-0.0011686,0.085111,-7.43934e-05,-0.00113952,1,175.179,0.305421,0.303288,nan,nan,nan,-0.00109228,-0.0849146,-7.8354e-05,-0.00250918,1,167.025,0.306615,0.286344,nan,nan,nan
0.038,-0.00156518,-0.000141224,0.732853,-0.0515888,-0.00709832,-0.00117177,0.0851248,-7.28468e-05,0.000800952,1,169.258,0.305974,0.27664,nan,nan,nan,-0.00109494,-0.0849292,-7.81094e-05,0.000148688,1,159.938,0.307134,0.259849,nan,nan,nan
0.04,-0.00166301,-0.000155732,0.732871,-0.0489165,-0.0072544,-0.00117393,0.0851358,-6.86121e-05,0.00214153,1,164.685,0.306467,0.246096,nan,nan,nan,-0.0010967,-0.0849407,-7.40692e-05,0.00204298,1,154.575,0.307592,0.228771,nan,nan,nan
0.042,-0.0017559,-0.000170622,0.732891,-0.0464466,-0.00744478,-0.00117539,0.085145,-6.25634e-05,0.00304496,1,160.959,0.306894,0.213714,nan,nan,nan,-0.00109778,-0.0849503,-6.73588e-05,0.00337443,1,151.23,0.307986,0.196994,nan,nan,nan
0.044,-0.00184416,-0.000185949,0.732914,-0.0441298,-0.0076637,-0.00117638,0.0851532,-5.53401e-05,0.00362889,1,158.087,0.307255,0.180685,nan,nan,nan,-0.00109838,-0.0849591,-5.8682e-05,0.00435441,1,148.85,0.308318,0.165998,nan,nan,nan
0.046,-0.0019265,-0.000198926,0.732938,-0.0411687,-0.00648808,-0.00117701,0.0851608,-4.74126e-05,0.00397801,1,150.783,0.307557,0.150901,nan,nan,nan,-0.0010987,-0.0849676,-4.85076e-05,0.00510042,1,147.035,0.308591,0.136712,nan,nan,nan
0.048,-0.0020032,-0.00020956,0.732963,-0.0383484,-0.00531718,-0.00117756,0.0851681,-3.92591e-05,0.00408788,1,149.284,0.307802,0.122531,nan,nan,nan,-0.00109922,-0.0849763,-3.7118e-05,0.00570552,1,145.865,0.30881,0.109388,nan,nan,nan
0.05,-0.00207484,-0.000218174,0.732987,-0.0358212,-0.00430728,-0.00117805,0.0851752,-3.10933e-05,0.00409142,1,148.098,0.307998,0.0979729,nan,nan,nan,-0.00109994,-0.0849855,-2.47357e-05,0.00619987,1,144.345,0.308984,0.0871458,nan,nan,nan
0.052,-0.00214203,-0.000225104,0.733012,-0.0335953,-0.00346471,-0.00117852,0.0851824,-2.29662e-05,0.00407012,1,147.019,0.308155,0.0782152,nan,nan,nan,-0.00110095,-0.0849953,-1.15808e-05,0.00658466,1,142.969,0.309123,0.0691197,nan,nan,nan
0.054,-0.00220557,-0.000230647,0.733036,-0.0317674,-0.00277177,-0.00117902,0.0851897,-1.48631e-05,0.00405664,1,146.161,0.30828,0.0625094,nan,nan,nan,-0.00110225,-0.0850059,2.1338e-06,0.00686342,1,141.852,0.309232,0.0546561,nan,nan,nan
0.056,-0.00226591,-0.00023507,0.733059,-0.0301728,-0.0022113,-0.00117958,0.0851973,-6.80651e-06,0.00403242,1,145.451,0.30838,0.0499556,nan,nan,nan,-0.00110383,-0.0850172,1.62002e-05,0.00703847,1,140.869,0.309318,0.042975,nan,nan,nan
0.058,-0.00232344,-0.000238709,0.733081,-0.0287622,-0.00181937,-0.00118021,0.0852052,1.21544e-06,0.00401434,1,144.773,0.308459,0.0399202,nan,nan,nan,-0.00110565,-0.0850293,3.04665e-05,0.00713773,1,139.376,0.309385,0.0334014,nan,nan,nan
0.06,-0.00237858,-0.000241698,0.733103,-0.0275719,-0.00149487,-0.00118092,0.0852135,9.2015e-06,0.00399584,1,144.201,0.308523,0.031912,nan,nan,nan,-0.00110793,-0.0850428,4.46581e-05,0.00709978,1,138.869,0.309437,0.0259575,nan,nan,nan
0.062,-0.00243206,-0.000244139,0.733123,-0.0267375,-0.00122023,-0.00118171,0.0852222,1.71399e-05,0.0039716,1,143.765,0.308575,0.0259377,nan,nan,nan,-0.00111054,-0.0850575,5.86914e-05,0.00702016,1,138.535,0.309478,0.0207023,nan,nan,nan
0.064,-0.00248449,-0.000246074,0.733143,-0.0262175,-0.000967398,-0.00118256,0.0852313,2.49975e-05,0.00393091,1,142.942,0.308618,0.0216387,nan,nan,nan,-0.00111335,-0.085073,7.2496e-05,0.0069055,1,138.237,0.309512,0.0170289,nan,nan,nan
0.066,-0.00253705,-0.000248088,0.733159,-0.0262818,-0.00100724,-0.00118354,0.0852412,3.26417e-05,0.00382403,1,135.989,0.308652,0.0168435,nan,nan,nan,-0.00111626,-0.0850892,8.60047e-05,0.00675731,1,127.577,0.309539,0.0135404,nan,nan,nan
0.068,-0.00259004,-0.000250111,0.733173,-0.0264917,-0.00101155,-0.00118429,0.0852501,3.92003e-05,0.00328105,1,137.513,0.308679,0.0135795,nan,nan,nan,-0.00112013,-0.0851098,9.7453e-05,0.00572676,1,128.651,0.309561,0.0110701,nan,nan,nan
0.07,-0.00264365,-0.000252061,0.733184,-0.0268076,-0.000974627,-0.00118488,0.0852582,4.47484e-05,0.0027757,1,138.756,0.308702,0.0114686,nan,nan,nan,-0.00112488,-0.085134,0.000107041,0.0047965,1,129.732,0.30958,0.00913378,nan,nan,nan
0.072,-0.00269807,-0.000253886,0.733193,-0.0272091,-0.00091288,-0.00118537,0.0852657,4.93096e-05,0.00228215,1,139.916,0.308723,0.0102534,nan,nan,nan,-0.00113028,-0.0851607,0.000114965,0.00396379,1,130.651,0.309595,0.00760235,nan,nan,nan
0.074,-0.0027534,-0.000255563,0.733201,-0.0276659,-0.000838406,-0.00118577,0.0852728,5.29369e-05,0.00181509,1,140.829,0.308743,0.010342,nan,nan,nan,-0.00113613,-0.085189,0.000121413,0.00322587,1,131.483,0.309608,0.00638827,nan,nan,nan
0.076,-0.00280968,-0.000257095,0.733206,-0.0281391,-0.000765857,-0.00118613,0.0852796,5.57433e-05,0.00140454,1,141.558,0.308767,0.0117237,nan,nan,nan,-0.00114226,-0.0852183,0.000126556,0.00257329,1,132.123,0.309618,0.0054052,nan,nan,nan
0.078,-0.0028669,-0.000258498,0.733211,-0.0286091,-0.00070165,-0.00118646,0.0852862,5.78949e-05,0.00107717,1,142.286,0.308795,0.0142989,nan,nan,nan,-0.0011485,-0.085248,0.000130569,0.00200846,1,132.758,0.309628,0.00461856,nan,nan,nan
0.08,-0.00292507,-0.000259821,0.733214,-0.0290836,-0.000661489,-0.00118677,0.0852926,5.95408e-05,0.000824299,1,142.865,0.308831,0.01768,nan,nan,nan,-0.00115477,-0.0852777,0.000133591,0.00151263,1,133.318,0.309636,0.00400382,nan,nan,nan
0.082,-0.00298416,-0.000261123,0.733216,-0.0295476,-0.000651039,-0.00118708,0.0852988,6.07994e-05,0.00063067,1,143.387,0.308874,0.0213498,nan,nan,nan,-0.00116096,-0.0853071,0.000135742,0.00107703,1,133.796,0.309643,0.00352404,nan,nan,nan
0.084,-0.00304417,-0.000262454,0.733216,-0.0300022,-0.000665308,-0.00118739,0.085305,6.17609e-05,0.000482163,1,143.866,0.308924,0.0250741,nan,nan,nan,-0.00116702,-0.085336,0.000137133,0.000697169,1,134.209,0.309649,0.00316322,nan,nan,nan
0.086,-0.00310327,-0.000264575,0.733216,-0.0295533,-0.00106054,-0.00118771,0.0853111,6.2496e-05,0.000369002,1,146.241,0.308964,0.0199762,nan,nan,nan,-0.00117289,-0.0853644,0.000137866,0.000368028,1,126.519,0.309604,-0.0223205,nan,nan,nan
0.088,-0.00316154,-0.00026739,0.733214,-0.0291346,-0.00140734,-0.00118824,0.0853172,6.27729e-05,0.000139865,1,147.183,0.308996,0.0159828,nan,nan,nan,-0.00117763,-0.08539,0.000136355,-0.000754068,1,127.838,0.309514,-0.0454147,nan,nan,nan
0.09,-0.00321929,-0.000270762,0.73321,-0.0288766,-0.00168621,-0.00118896,0.0853235,6.27025e-05,-3.3852e-05,1,147.786,0.309022,0.0130989,nan,nan,nan,-0.00118147,-0.0854132,0.000132928,-0.0017119,1,129.001,0.309387,-0.0630087,nan,nan,nan
0.092,-0.00327682,-0.000274594,0.733206,-0.0287623,-0.00191595,-0.00118983,0.0853298,6.23431e-05,-0.000178364,1,148.425,0.309044,0.0111203,nan,nan,nan,-0.00118467,-0.0854345,0.000127988,-0.00246816,1,130.046,0.309237,-0.0754844,nan,nan,nan
