t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.73286,0.000345267,-0.0155792,-0.000446432,-0.999879,0,0,0,0,DISABLED,0
0.0399961,-1.01514e-07,-1.47615e-07,0,-3.30061e-06,0.73286,0.000345267,-0.0155825,-0.000446093,-0.999878,3.08361e-06,0,0,0,DISABLED,0
0.0599961,-2.68221e-07,-3.89293e-07,0,-8.66316e-06,0.73286,0,-0.0155879,-0.000445486,-0.999878,7.90728e-06,0,0,0,DISABLED,0
0.0799961,-3.86499e-07,-5.58794e-07,0,-1.27777e-05,0.73286,0,-0.015592,-0.00044498,-0.999878,1.15242e-05,0,0,0,DISABLED,0
0.0999961,-5.33648e-07,-7.68341e-07,0,-1.6869e-05,0.73286,0,-0.0155961,-0.000444458,-0.999878,1.51147e-05,0,0,0,DISABLED,0
0.119996,-6.6869e-07,-9.60194e-07,0,-2.09473e-05,0.73286,0,-0.0156002,-0.000443926,-0.999878,1.86707e-05,0,0,0,DISABLED,0
0.139996,-8.06525e-07,-1.15111e-06,0,-2.50116e-05,0.73286,0,-0.0156042,-0.000443378,-0.999878,2.21933e-05,0,0,0,DISABLED,0
0.159996,-9.46224e-07,-1.34204e-06,0,-2.90629e-05,0.73286,0,-0.0156083,-0.000442833,-0.999878,2.5709e-05,0,0,0,DISABLED,0
0.179996,-1.08778e-06,-1.53203e-06,0,-3.30955e-05,0.73286,0,-0.0156123,-0.000442289,-0.999878,2.92095e-05,0,0,0,DISABLED,0
0.199996,-1.23214e-06,-1.72202e-06,0,-3.71169e-05,0.73286,0,-0.0156163,-0.00044175,-0.999878,3.26894e-05,0,0,0,DISABLED,0
0.219996,-1.37743e-06,-1.91154e-06,0,-4.11225e-05,0.73286,0.000345267,-0.0156203,-0.000441208,-0.999878,3.61381e-05,0,0,0,DISABLED,0
0.239996,-1.52551e-06,-2.10106e-06,0,-4.51123e-05,0.73286,0.000345267,-0.0156243,-0.000440672,-0.999878,3.95639e-05,0,0,0,DISABLED,0
0.259996,-1.65962e-06,-2.27103e-06,0,-4.86933e-05,0.73286,0.000345267,-0.0156279,-0.000440207,-0.999878,4.26442e-05,0,0,0,DISABLED,0
0.279996,-1.82539e-06,-2.47825e-06,0,-5.30574e-05,0.73286,0.000345267,-0.0156323,-0.000439643,-0.999878,4.6392e-05,0,0,0,DISABLED,0
0.299996,-1.96323e-06,-2.64775e-06,0,-5.66095e-05,0.73286,0.000345267,-0.0156358,-0.000439177,-0.999878,4.94354e-05,0,0,0,DISABLED,0
0.319996,-2.11876e-06,-2.83588e-06,0,-6.05471e-05,0.73286,0.000345267,-0.0156398,-0.000438679,-0.999878,5.28118e-05,0,0,0,DISABLED,0
0.339996,-2.29105e-06,-3.04263e-06,0,-6.48592e-05,0.73286,0.000345267,-0.0156441,-0.000438128,-0.999878,5.6493e-05,0,0,0,DISABLED,0
0.359996,-2.45031e-06,-3.23029e-06,0,-6.87651e-05,0.732859,0.000345267,-0.015648,-0.000437635,-0.999877,5.98149e-05,0,0,0,DISABLED,0
0.379996,-2.6105e-06,-3.41749e-06,0,-7.26543e-05,0.732859,0.000345267,-0.0156519,-0.000437153,-0.999877,6.31154e-05,0,0,0,DISABLED,0
0.399996,-2.75671e-06,-3.58606e-06,0,-7.61375e-05,0.732859,0.000345267,-0.0156553,-0.00043672,-0.999877,6.60598e-05,0,0,0,DISABLED,0
0.419996,-2.88803e-06,-3.73553e-06,0,-7.92276e-05,0.732859,0,-0.0156584,-0.000436346,-0.999877,6.86744e-05,0,0,0,DISABLED,0
0.439996,-3.1041e-06,-3.97721e-06,0,-8.38544e-05,0.732859,0.000345267,-0.0156631,-0.0004358,-0.999877,7.26059e-05,0,0,0,DISABLED,0
