time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,-1.13186e-05,-5.80108e-07,0.733796,-0.0056591,-0.000290055,-0.000976898,0.0837003,0.000736402,-0.0391991,1,114.891,0.300043,0.0215702,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,102.927,0.299989,-0.00536441,0.000854,-0.0391991,nan
0.008,-3.40857e-05,-1.72476e-06,0.733702,-0.0113836,-0.000572325,-0.000979628,0.0837367,0.000662362,-0.0370167,1,113.417,0.300124,0.0405512,nan,nan,nan,-0.000977166,-0.0837357,0.000659956,-0.0382216,1,101.367,0.299961,-0.0143375,nan,nan,nan
0.01,-6.71507e-05,-3.09601e-06,0.7336,-0.0165325,-0.000685625,-0.000986189,0.0838088,0.000589657,-0.0363406,1,115.516,0.300208,0.0420663,nan,nan,nan,-0.000977806,-0.0838043,0.000582311,-0.0388165,1,103.858,0.299887,-0.0367035,nan,nan,nan
0.012,-0.00010926,-4.18072e-06,0.733494,-0.0210546,-0.000542354,-0.000996485,0.0839127,0.000515612,-0.0370004,1,127.567,0.300298,0.0448927,nan,nan,nan,-0.00097741,-0.0838977,0.000501382,-0.0404529,1,113.859,0.299781,-0.0530144,nan,nan,nan
0.014,-0.000159603,-4.78543e-06,0.733384,-0.0251716,-0.000302357,-0.00101431,0.084038,0.000442194,-0.0366826,1,128.529,0.30037,0.0357246,nan,nan,nan,-0.000979899,-0.0840045,0.000419054,-0.041147,1,115.533,0.299625,-0.0782375,nan,nan,nan
0.016,-0.000217567,-4.83766e-06,0.73327,-0.0289821,-2.61135e-05,-0.00103738,0.0841803,0.000367238,-0.037449,1,130.026,0.300416,0.0231884,nan,nan,nan,-0.000984226,-0.0841201,0.000333763,-0.0426241,1,117.31,0.299405,-0.110066,nan,nan,nan
0.018,-0.000282368,-4.2077e-06,0.733153,-0.0324003,0.000314979,-0.00106454,0.0843341,0.000289954,-0.0386102,1,131.743,0.30042,0.0019354,nan,nan,nan,-0.00098978,-0.0842408,0.000244619,-0.0445448,1,118.816,0.299112,-0.146161,nan,nan,nan
0.02,-0.000350108,-3.70874e-06,0.733033,-0.0338703,0.00024948,-0.00109483,0.0844947,0.000209697,-0.0400945,1,140.305,0.300396,-0.0117132,nan,nan,nan,-0.000996119,-0.0843634,0.000151154,-0.0467002,1,123.938,0.298826,-0.14332,nan,nan,nan
0.022,-0.000420957,-3.31874e-06,0.732929,-0.0354242,0.000194998,-0.00112986,0.0846599,0.000127011,-0.0413101,1,209.185,0.300466,0.0347872,nan,nan,nan,-0.00100405,-0.0844803,5.62205e-05,-0.0474335,1,189.697,0.29866,-0.0826469,nan,nan,nan
0.024,-0.00049795,-1.84242e-06,0.732858,-0.0384964,0.000738159,-0.0011673,0.0848001,5.72182e-05,-0.0348744,1,255.072,0.30073,0.132017,nan,nan,nan,-0.0010144,-0.0845745,-2.50511e-05,-0.0406108,1,268.563,0.298797,0.0684196,nan,nan,nan
0.026,-0.000578608,-1.03593e-06,0.732814,-0.0403295,0.00040325,-0.00119674,0.084899,8.13808e-06,-0.0245264,1,239.484,0.301132,0.201157,nan,nan,nan,-0.00102303,-0.0846357,-7.80821e-05,-0.026501,1,238.865,0.29914,0.171412,nan,nan,nan
0.028,-0.000661554,-1.82488e-06,0.732789,-0.0414727,-0.000394479,-0.00121791,0.084965,-2.31099e-05,-0.0156107,1,214.338,0.301619,0.24342,nan,nan,nan,-0.00102925,-0.0846745,-0.000109876,-0.0158827,1,208.132,0.29961,0.23486,nan,nan,nan
0.03,-0.000742535,-4.31302e-06,0.732777,-0.0404904,-0.00124407,-0.00123278,0.0850086,-4.18038e-05,-0.0093317,1,197.958,0.302121,0.251144,nan,nan,nan,-0.00103359,-0.0846995,-0.000127251,-0.00867094,1,189.432,0.300114,0.252003,nan,nan,nan
0.032,-0.000819755,-8.34528e-06,0.732775,-0.0386101,-0.00201613,-0.00124336,0.0850377,-5.14443e-05,-0.00480471,1,185.35,0.302598,0.238348,nan,nan,nan,-0.0010366,-0.0847158,-0.000134969,-0.00384201,1,174.619,0.300603,0.244463,nan,nan,nan
0.034,-0.000892444,-1.38474e-05,0.732781,-0.0363446,-0.00275107,-0.00125093,0.0850578,-5.49479e-05,-0.00173743,1,175.846,0.303027,0.214547,nan,nan,nan,-0.00103862,-0.0847267,-0.000136321,-0.000660072,1,163.937,0.301049,0.222992,nan,nan,nan
0.036,-0.000960309,-2.08087e-05,0.732791,-0.0339326,-0.00348066,-0.0012564,0.0850723,-5.43424e-05,0.000315101,1,169.161,0.303398,0.185251,nan,nan,nan,-0.00103992,-0.0847343,-0.00013359,0.00137925,1,156.268,0.301436,0.1939,nan,nan,nan
0.038,-0.00102335,-2.91893e-05,0.732805,-0.031519,-0.00419028,-0.00126047,0.0850832,-5.09628e-05,0.00169995,1,164.824,0.303706,0.154375,nan,nan,nan,-0.0010407,-0.0847398,-0.000128333,0.00263966,1,150.327,0.301758,0.160643,nan,nan,nan
0.04,-0.00108184,-3.89422e-05,0.732822,-0.0292482,-0.00487644,-0.00126359,0.085092,-4.56717e-05,0.00265356,1,161.71,0.303955,0.124225,nan,nan,nan,-0.00104108,-0.084744,-0.000121613,0.0033691,1,145.193,0.302013,0.127794,nan,nan,nan
0.042,-0.00113651,-5.00902e-05,0.732841,-0.0273344,-0.00557403,-0.00126607,0.0850996,-3.91184e-05,0.00328291,1,158.397,0.304153,0.0987904,nan,nan,nan,-0.00104119,-0.0847474,-0.000114141,0.0037424,1,141.14,0.302215,0.100766,nan,nan,nan
0.044,-0.001188,-6.25901e-05,0.73286,-0.0257454,-0.00624995,-0.00126816,0.0851064,-3.17009e-05,0.00371372,1,155.645,0.304309,0.0780313,nan,nan,nan,-0.00104111,-0.0847503,-0.000106387,0.00388208,1,138.381,0.302372,0.0787565,nan,nan,nan
0.046,-0.00123545,-7.57736e-05,0.732879,-0.0237247,-0.00659172,-0.00127002,0.0851129,-2.37172e-05,0.00399592,1,148.728,0.304433,0.0622373,nan,nan,nan,-0.00104092,-0.084753,-9.86508e-05,0.00387213,1,135.716,0.302496,0.0619892,nan,nan,nan
0.048,-0.00127949,-8.95473e-05,0.732896,-0.0220194,-0.00688686,-0.00127187,0.0851192,-1.59379e-05,0.00389281,1,147.156,0.304532,0.0494299,nan,nan,nan,-0.00104084,-0.0847556,-9.11214e-05,0.00376776,1,134.485,0.302593,0.0484833,nan,nan,nan
0.05,-0.00132073,-0.000103885,0.732913,-0.0206189,-0.0071689,-0.00127371,0.0851253,-8.51992e-06,0.0037114,1,146.215,0.30461,0.0391692,nan,nan,nan,-0.00104084,-0.0847581,-8.3934e-05,0.00359607,1,133.76,0.302669,0.0377153,nan,nan,nan
0.052,-0.00135966,-0.000118815,0.732928,-0.0194647,-0.00746492,-0.00127554,0.0851315,-1.54362e-06,0.00349008,1,145.65,0.304672,0.0310022,nan,nan,nan,-0.00104089,-0.0847607,-7.71693e-05,0.00338414,1,133.384,0.302727,0.0291918,nan,nan,nan
0.054,-0.00139655,-0.000134353,0.732942,-0.018447,-0.0077691,-0.00127736,0.0851376,4.95636e-06,0.00325155,1,144.774,0.304721,0.0243528,nan,nan,nan,-0.00104098,-0.0847633,-7.08704e-05,0.0031509,1,133.342,0.302772,0.0224606,nan,nan,nan
0.056,-0.00143166,-0.000150533,0.732955,-0.017553,-0.00809012,-0.00127925,0.0851439,1.09342e-05,0.00299019,1,144.594,0.304759,0.0190858,nan,nan,nan,-0.00104109,-0.0847658,-6.50558e-05,0.00290845,1,133.21,0.302806,0.0171227,nan,nan,nan
0.058,-0.00146546,-0.000167372,0.732966,-0.0169031,-0.00841909,-0.00128117,0.0851504,1.64138e-05,0.0027409,1,144.574,0.30479,0.0153307,nan,nan,nan,-0.00104123,-0.0847685,-5.97178e-05,0.00266998,1,133.314,0.302833,0.0133463,nan,nan,nan
0.06,-0.00149837,-0.000184875,0.732977,-0.0164542,-0.00875193,-0.0012831,0.085157,2.14162e-05,0.00250211,1,144.57,0.304815,0.0127236,nan,nan,nan,-0.00104137,-0.0847711,-5.48409e-05,0.00243923,1,133.522,0.302854,0.0107692,nan,nan,nan
0.062,-0.00153071,-0.000203048,0.732986,-0.0161698,-0.00908638,-0.001285,0.0851636,2.59607e-05,0.0022731,1,144.578,0.304837,0.0109738,nan,nan,nan,-0.0010415,-0.0847737,-5.04023e-05,0.00222003,1,133.795,0.302873,0.00910127,nan,nan,nan
0.064,-0.00156275,-0.00022189,0.732994,-0.0160201,-0.009421,-0.00128686,0.0851703,3.0066e-05,0.00205348,1,144.602,0.304857,0.00985877,nan,nan,nan,-0.00104162,-0.0847764,-4.63749e-05,0.00201432,1,134.106,0.302889,0.0081152,nan,nan,nan
0.066,-0.0015936,-0.00024117,0.733,-0.015423,-0.00963998,-0.00128868,0.085177,3.37518e-05,0.00184366,1,139.476,0.304875,0.00887373,nan,nan,nan,-0.00104172,-0.084779,-4.27299e-05,0.00182312,1,135.287,0.302903,0.00727886,nan,nan,nan
0.068,-0.0016233,-0.000260807,0.733005,-0.0148509,-0.00981866,-0.0012905,0.0851835,3.68052e-05,0.00152738,1,139.309,0.30489,0.00788288,nan,nan,nan,-0.00104201,-0.0847816,-3.95981e-05,0.00156649,1,135.743,0.302917,0.00672112,nan,nan,nan
0.07,-0.00165196,-0.000280883,0.733009,-0.0143283,-0.0100379,-0.0012927,0.0851911,3.91907e-05,0.0011934,1,140.049,0.304905,0.00725678,nan,nan,nan,-0.00104243,-0.0847841,-3.68985e-05,0.00135034,1,136.308,0.30293,0.00632351,nan,nan,nan
0.072,-0.00167965,-0.000301442,0.733012,-0.0138487,-0.0102792,-0.00129518,0.0851995,4.1014e-05,0.000912303,1,140.609,0.304919,0.0068665,nan,nan,nan,-0.00104293,-0.0847865,-3.45589e-05,0.00117028,1,136.79,0.302942,0.0060528,nan,nan,nan
0.074,-0.00170648,-0.000322516,0.733013,-0.0134112,-0.0105373,-0.00129784,0.0852084,4.23649e-05,0.000676157,1,141.059,0.304932,0.00665693,nan,nan,nan,-0.00104349,-0.084789,-3.25217e-05,0.00101912,1,137.183,0.302953,0.00588345,nan,nan,nan
0.076,-0.00173251,-0.000344134,0.733014,-0.0130172,-0.010809,-0.00130061,0.0852176,4.33184e-05,0.000477433,1,141.415,0.304945,0.00665532,nan,nan,nan,-0.00104408,-0.0847915,-3.07389e-05,0.000891884,1,137.508,0.302965,0.00579496,nan,nan,nan
0.078,-0.00175786,-0.000366316,0.733013,-0.012675,-0.0110906,-0.00130344,0.0852269,4.39372e-05,0.000310192,1,141.654,0.30496,0.00717671,nan,nan,nan,-0.00104469,-0.0847939,-2.91711e-05,0.000784431,1,137.779,0.302977,0.00577378,nan,nan,nan
0.08,-0.00178263,-0.000389101,0.733012,-0.0123846,-0.0113929,-0.00130632,0.0852364,4.42775e-05,0.000170937,1,141.832,0.304976,0.00821004,nan,nan,nan,-0.00104531,-0.0847964,-2.77853e-05,0.000693415,1,137.871,0.302988,0.00576406,nan,nan,nan
0.082,-0.00180683,-0.0004125,0.733011,-0.0120987,-0.0116991,-0.0013092,0.0852459,4.43861e-05,5.51574e-05,1,142.025,0.304994,0.00919182,nan,nan,nan,-0.00104597,-0.084799,-2.65893e-05,0.000598529,1,138.035,0.303,0.00575726,nan,nan,nan
0.084,-0.00183064,-0.000436501,0.733008,-0.0119062,-0.0120007,-0.00131209,0.0852555,4.42944e-05,-4.493e-05,1,142.109,0.305016,0.0108658,nan,nan,nan,-0.00104667,-0.0848018,-2.55533e-05,0.00051856,1,138.314,0.303011,0.00595475,nan,nan,nan
0.086,-0.00185427,-0.000461049,0.733005,-0.0118144,-0.0122738,-0.00131497,0.0852651,4.40396e-05,-0.000126356,1,141.817,0.305037,0.0104036,nan,nan,nan,-0.00104737,-0.0848047,-2.46463e-05,0.000454101,1,139.937,0.30302,0.00441022,nan,nan,nan
0.088,-0.00187779,-0.000486122,0.733002,-0.0117615,-0.0125368,-0.00131767,0.0852744,4.36748e-05,-0.000181378,1,141.987,0.305058,0.0104911,nan,nan,nan,-0.00104813,-0.0848076,-2.39178e-05,0.000364904,1,140.231,0.303027,0.00325287,nan,nan,nan
0.09,-0.00190128,-0.000511688,0.732999,-0.0117449,-0.0127829,-0.00132025,0.0852835,4.32291e-05,-0.000221807,1,142.085,0.30508,0.0111116,nan,nan,nan,-0.00104892,-0.0848104,-2.33276e-05,0.000295747,1,140.435,0.303032,0.00241518,nan,nan,nan
0.092,-0.0019248,-0.000537692,0.732995,-0.011761,-0.013002,-0.00132275,0.0852924,4.27211e-05,-0.000252922,1,142.144,0.305104,0.0120481,nan,nan,nan,-0.00104973,-0.0848132,-2.28439e-05,0.000242536,1,140.623,0.303035,0.00186334,nan,nan,nan
