time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-1.07332e-05,1.94864e-06,0.733889,-0.00536655,0.000974318,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.299865,-0.0673779,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.299715,-0.142315,nan,nan,nan
0.006,-3.32847e-05,2.57094e-06,0.73382,-0.0112757,0.000311153,-0.00110706,0.0836455,0.000589574,-0.11243,1,163.254,0.299874,0.00422531,0.000854,-0.11243,nan,-0.00105992,-0.0836721,0.0006059,-0.104324,1,145.073,0.299509,-0.103328,0.000854,-0.104324,nan
0.008,-6.51764e-05,2.96677e-06,0.733739,-0.0159459,0.000197912,-0.00119411,0.0836545,0.000439857,-0.0747985,1,108.599,0.300042,0.0843788,nan,nan,nan,-0.00111178,-0.0836926,0.000460956,-0.0724381,1,98.0061,0.29941,-0.0494815,nan,nan,nan
0.01,-0.000105365,3.28425e-06,0.73365,-0.0200941,0.000158739,-0.00125634,0.0837052,0.000335134,-0.0523434,1,118.52,0.300298,0.127964,nan,nan,nan,-0.00114618,-0.0837434,0.000352739,-0.0541038,1,105.918,0.299354,-0.0279021,nan,nan,nan
0.012,-0.000153938,2.25629e-06,0.73356,-0.0242866,-0.000513975,-0.00130447,0.0837838,0.00025923,-0.0379361,1,156.007,0.30065,0.175627,nan,nan,nan,-0.00117037,-0.0838135,0.000267463,-0.0426336,1,111.981,0.299304,-0.0249064,nan,nan,nan
0.014,-0.000209954,2.24291e-06,0.733474,-0.028008,-6.69084e-06,-0.00134407,0.0838646,0.000206072,-0.0265579,1,161.119,0.301032,0.190994,nan,nan,nan,-0.00118843,-0.0838959,0.0001966,-0.0354176,1,152.689,0.299284,-0.0100881,nan,nan,nan
0.016,-0.000272627,3.05897e-06,0.733395,-0.0313365,0.000408028,-0.00137769,0.0839445,0.000167966,-0.0190267,1,166.324,0.301408,0.188248,nan,nan,nan,-0.00120365,-0.0839708,0.000140078,-0.0282412,1,155.725,0.299268,-0.00783502,nan,nan,nan
0.018,-0.00034138,4.70386e-06,0.733323,-0.0343767,0.000822448,-0.00140733,0.084022,0.000139533,-0.0141874,1,169.726,0.301756,0.174193,nan,nan,nan,-0.00121621,-0.084038,9.2901e-05,-0.0235648,1,157.345,0.299249,-0.00969309,nan,nan,nan
0.02,-0.000415443,7.11083e-06,0.733259,-0.0370316,0.00120348,-0.0014343,0.0840966,0.000117234,-0.0111205,1,171.839,0.302062,0.152644,nan,nan,nan,-0.00122657,-0.084098,5.20126e-05,-0.0204188,1,159.059,0.299212,-0.0183229,nan,nan,nan
0.022,-0.000494097,1.01904e-05,0.733203,-0.0393267,0.00153977,-0.00145939,0.0841681,9.87954e-05,-0.00919131,1,173.073,0.302315,0.126476,nan,nan,nan,-0.00123514,-0.0841516,1.54456e-05,-0.0182576,1,160.284,0.299149,-0.0314945,nan,nan,nan
0.024,-0.000572611,1.24395e-05,0.733153,-0.039257,0.00112457,-0.00148307,0.0842364,8.27793e-05,-0.00798253,1,176.57,0.302523,0.104258,nan,nan,nan,-0.00124228,-0.0841997,-1.79958e-05,-0.0166951,1,157.575,0.299099,-0.0249475,nan,nan,nan
0.026,-0.000650484,1.41016e-05,0.733113,-0.0389365,0.000831065,-0.0015052,0.0843004,6.88409e-05,-0.00694723,1,173.677,0.302688,0.0825741,nan,nan,nan,-0.00124869,-0.0842407,-4.77285e-05,-0.0148432,1,171.291,0.299078,-0.0107644,nan,nan,nan
0.028,-0.000727499,1.48286e-05,0.73308,-0.0385074,0.000363479,-0.00152592,0.0843606,5.68507e-05,-0.00597666,1,171.904,0.302818,0.0646832,nan,nan,nan,-0.00125454,-0.0842731,-7.16107e-05,-0.0119214,1,168.564,0.299073,-0.00218025,nan,nan,nan
0.03,-0.000803401,1.43477e-05,0.733054,-0.0379512,-0.000240449,-0.00154538,0.0844172,4.64659e-05,-0.00517694,1,169.938,0.302918,0.0499356,nan,nan,nan,-0.00125983,-0.0842996,-9.08248e-05,-0.00959028,1,166.076,0.299077,0.00160624,nan,nan,nan
0.032,-0.000877907,1.24673e-05,0.733034,-0.0372528,-0.000940187,-0.0015637,0.0844706,3.74658e-05,-0.00448706,1,168.189,0.302988,0.0353822,nan,nan,nan,-0.00126458,-0.084322,-0.000106292,-0.00771916,1,163.365,0.299082,0.00243334,nan,nan,nan
0.034,-0.000950887,1.13208e-05,0.733023,-0.0364902,-0.000573279,-0.00158095,0.0845212,2.96645e-05,-0.00388983,1,166.26,0.303028,0.0198086,nan,nan,nan,-0.00126883,-0.0843415,-0.000118683,-0.00618345,1,178.981,0.299131,0.0249586,nan,nan,nan
0.036,-0.00102205,1.04066e-05,0.733018,-0.035582,-0.000457083,-0.00159749,0.0845699,2.28168e-05,-0.0034145,1,164.558,0.303036,0.0040434,nan,nan,nan,-0.0012721,-0.0843557,-0.000124892,-0.00309472,1,172.641,0.299213,0.0409966,nan,nan,nan
0.038,-0.00109099,8.88943e-06,0.733019,-0.0344707,-0.000758581,-0.00161327,0.0846166,1.68525e-05,-0.00297396,1,162.373,0.303011,-0.0123761,nan,nan,nan,-0.00127451,-0.0843659,-0.000126016,-0.000553235,1,165.521,0.299311,0.0488487,nan,nan,nan
0.04,-0.00115754,4.5958e-06,0.733027,-0.0332716,-0.00214681,-0.00162828,0.0846613,1.1808e-05,-0.00251503,1,180.799,0.302994,-0.008922,nan,nan,nan,-0.00127628,-0.0843731,-0.0001235,0.00126573,1,155.677,0.299396,0.0423322,nan,nan,nan
0.042,-0.00122165,-2.07044e-06,0.73304,-0.0320571,-0.00333312,-0.00164015,0.0846945,1.07116e-05,-0.000542547,1,171.193,0.302978,-0.00756136,nan,nan,nan,-0.00127754,-0.0843785,-0.00011856,0.00247649,1,150.245,0.299464,0.0342055,nan,nan,nan
0.044,-0.00128111,-1.05739e-05,0.733054,-0.0297321,-0.00425172,-0.00164949,0.0847195,1.23358e-05,0.000816837,1,161.068,0.302965,-0.00652328,nan,nan,nan,-0.00127842,-0.0843827,-0.000112209,0.00318132,1,144.309,0.299522,0.0286433,nan,nan,nan
0.046,-0.00133603,-2.07088e-05,0.73307,-0.0274569,-0.00506745,-0.00165717,0.0847393,1.57486e-05,0.00171009,1,155.98,0.302953,-0.00619824,nan,nan,nan,-0.00127926,-0.0843863,-0.000105093,0.00356233,1,140.982,0.299569,0.023561,nan,nan,nan
0.048,-0.00138686,-3.2327e-05,0.733085,-0.0254154,-0.00580913,-0.00166364,0.0847556,2.02789e-05,0.00226808,1,152.443,0.302941,-0.00607542,nan,nan,nan,-0.00128006,-0.0843894,-9.76805e-05,0.00370983,1,138.498,0.299607,0.01931,nan,nan,nan
0.05,-0.00143409,-4.52946e-05,0.7331,-0.0236176,-0.00648377,-0.00166922,0.0847696,2.54403e-05,0.002583,1,149.899,0.302929,-0.00600826,nan,nan,nan,-0.00128084,-0.0843924,-9.02741e-05,0.00370602,1,136.695,0.299639,0.0158533,nan,nan,nan
0.052,-0.0014781,-5.9485e-05,0.733114,-0.0220035,-0.0070952,-0.00167415,0.0847821,3.08805e-05,0.00272194,1,148.038,0.302917,-0.00596333,nan,nan,nan,-0.00128159,-0.0843952,-8.30711e-05,0.00360371,1,135.44,0.299665,0.0130881,nan,nan,nan
0.054,-0.00151934,-7.47975e-05,0.733127,-0.0206209,-0.00765627,-0.0016786,0.0847935,3.63511e-05,0.0027368,1,146.841,0.302905,-0.00579048,nan,nan,nan,-0.0012823,-0.084398,-7.61962e-05,0.00343915,1,134.772,0.299687,0.0110495,nan,nan,nan
0.056,-0.001558,-9.11456e-05,0.733138,-0.0193297,-0.00817405,-0.00168269,0.0848043,4.16723e-05,0.00266179,1,145.872,0.302894,-0.00562827,nan,nan,nan,-0.00128299,-0.0844008,-6.97328e-05,0.00323305,1,134.242,0.299706,0.00949083,nan,nan,nan
0.058,-0.00159454,-0.000108481,0.733149,-0.0182713,-0.00866752,-0.0016865,0.0848147,4.67316e-05,0.00253067,1,145.295,0.302885,-0.0046919,nan,nan,nan,-0.00128365,-0.0844036,-6.37166e-05,0.00300915,1,134.039,0.299723,0.00844878,nan,nan,nan
0.06,-0.00162947,-0.000126741,0.733158,-0.017464,-0.00913035,-0.00169006,0.0848247,5.14556e-05,0.00236287,1,144.909,0.302878,-0.00323205,nan,nan,nan,-0.00128428,-0.0844064,-5.81626e-05,0.00277783,1,133.983,0.29974,0.00856609,nan,nan,nan
0.062,-0.00166313,-0.000145858,0.733166,-0.0168276,-0.00955842,-0.00169339,0.0848346,5.58034e-05,0.00217465,1,144.802,0.302875,-0.0017387,nan,nan,nan,-0.00128489,-0.0844092,-5.30683e-05,0.00254787,1,133.701,0.299761,0.0103419,nan,nan,nan
