t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732858,0.000345267,-0.0154251,-0.000461628,-0.999881,0,0.8,0,0,DISABLED,0
0.0399961,1.96369e-05,-1.5134e-07,0,-1.40741e-05,0.732853,0,-0.0154391,-0.000460833,-0.999881,5.95092e-06,0.8,0,0,DISABLED,0
0.0599961,0.000333901,-0.000151773,0,-0.000986205,0.732867,0.00124488,-0.0164113,-0.00123325,-0.999865,0.000510558,0.8,0,0,DISABLED,0
0.0799961,0.00109823,-0.000632845,0,-0.00326965,0.732885,0.00451496,-0.0186947,-0.00357253,-0.999819,0.00168167,0.8,0,0,DISABLED,0
0.0999961,0.0021149,-0.0013497,0,-0.00471253,0.732864,0.00699114,-0.0201376,-0.00561843,-0.999781,0.00232658,0.8,0,0,DISABLED,0
0.119996,0.00325726,-0.00207892,0,-0.00456706,0.732771,0.00725062,-0.0199921,-0.0060874,-0.999782,0.00162735,0.8,0,0,DISABLED,0
0.139996,0.00448565,-0.00242379,0,-0.00251516,0.732573,0.00443504,-0.0179402,-0.00409546,-0.999831,4.63909e-05,0.8,0,0,DISABLED,0
0.159996,0.00600978,-0.00241366,0,-0.000543928,0.732328,0.00343536,-0.015969,-0.00383573,-0.999865,0.000400806,0.8,0,0,DISABLED,0
0.179996,0.00826996,-0.00222377,0,-6.76764e-05,0.732438,0.00833663,-0.0154927,-0.00879793,-0.999841,0.000575992,0.8,0,0,DISABLED,0
0.199996,0.0107921,-0.00168196,0,-8.12113e-06,0.732734,0.0129924,-0.0154332,-0.0134487,-0.99979,0.000557747,0.8,0,0,DISABLED,0
0.219996,0.013842,-0.000689066,0,0.000937598,0.733053,0.0157695,-0.0144875,-0.0162005,-0.999764,0.000678669,0.8,0,0,DISABLED,0
0.239996,0.0179445,0.000834263,0,0.00264174,0.733352,0.0181095,-0.0127833,-0.0183803,-0.999749,0.000578576,0.8,0,0,DISABLED,0
0.259996,0.0219079,0.00236964,0,0.00443726,0.733564,0.0203184,-0.0109878,-0.0202908,-0.999734,0.000507191,0.8,0,0,DISABLED,0
0.279996,0.0259655,0.00393305,0,0.00599924,0.733698,0.0221326,-0.00942583,-0.021766,-0.999719,-6.54698e-05,0.8,0,0,DISABLED,0
0.299996,0.0309437,0.00581105,0,0.00843606,0.733727,0.024334,-0.00698901,-0.0232848,-0.999704,-0.000694683,0.8,0,0,DISABLED,0
0.319996,0.0363821,0.00787686,0,0.0118235,0.733579,0.0265504,-0.00360156,-0.0242334,-0.9997,-0.00114798,0.8,0,0,DISABLED,0
0.339996,0.0423119,0.0101921,0,0.0164111,0.733231,0.029106,0.000986005,-0.0245001,-0.999699,-0.00237749,0.8,0,0,DISABLED,0
0.359996,0.0487378,0.0127216,0,0.0206295,0.732625,0.0314907,0.00520443,-0.0242515,-0.999692,-0.00345627,0.8,0,0,DISABLED,0
0.379996,0.0555811,0.0153774,0,0.0263963,0.731606,0.0348378,0.0109713,-0.023194,-0.999671,-0.00508043,0.8,0,0,DISABLED,0
0.399996,0.0635783,0.0179685,0,0.030743,0.730365,0.0400581,0.0153179,-0.0261365,-0.999541,-0.00483641,0.8,0,0,DISABLED,0
0.419996,0.0703451,0.0200421,0,0.0336887,0.730006,0.043555,0.0182636,-0.0280596,-0.999439,-0.00684712,0.8,0,0,DISABLED,0
0.439996,0.0784465,0.0220357,0,0.0320922,0.730596,0.0387893,0.0166671,-0.0222448,-0.999614,-0.00340934,0.8,0,0,DISABLED,0
0.459996,0.0884429,0.0238256,0,0.0274246,0.731743,0.0308345,0.0119995,-0.0145503,-0.999822,0.00269111,0.8,0,0,DISABLED,0
0.479996,0.0967731,0.0254215,0,0.0230817,0.732715,0.0234838,0.00765663,-0.00478117,-0.999959,0.00666877,0.8,0,0,DISABLED,0
0.499996,0.106056,0.0269906,0,0.021239,0.733408,0.0212589,0.00581389,0.000386601,-0.999983,0.00798685,0.8,0,0,DISABLED,0
0.519996,0.115724,0.0281354,0,0.0207249,0.733675,0.021169,0.00529979,0.00384817,-0.999979,0.011681,0.8,0,0,DISABLED,0
0.539996,0.125815,0.0287832,0,0.0207747,0.733726,0.0219161,0.00534959,0.00650988,-0.999964,0.0117687,0.8,0,0,DISABLED,0
0.559996,0.137327,0.0289317,0,0.0216663,0.733579,0.0247397,0.00624121,0.0114759,-0.999915,0.0134788,0.8,0,0,DISABLED,0
0.579996,0.146812,0.028831,0,0.0237406,0.733193,0.0292877,0.00831556,0.0166848,-0.999826,0.0146835,0.8,0,0,DISABLED,0
0.599996,0.156166,0.0285195,0,0.0274064,0.732456,0.0351631,0.0119813,0.0215647,-0.999696,0.0163609,0.8,0,0,DISABLED,0
0.619996,0.167476,0.0277482,0,0.0329011,0.73117,0.04155,0.017476,0.0249053,-0.999537,0.0181073,0.8,0,0,DISABLED,0
0.639996,0.177965,0.0265114,0,0.0354447,0.730289,0.0424724,0.0200196,0.0229322,-0.999537,0.0176699,0.8,0,0,DISABLED,0
0.659996,0.188839,0.024809,0,0.0360339,0.730091,0.0403754,0.0206089,0.0177442,-0.99963,0.016473,0.8,0,0,DISABLED,0
0.679996,0.197835,0.0232256,0,0.0349734,0.730207,0.0375046,0.0195483,0.0130767,-0.999723,0.015557,0.8,0,0,DISABLED,0
0.699996,0.21188,0.0204922,0,0.030471,0.730253,0.0311424,0.0150459,0.00595684,-0.999869,0.0117703,0.8,0,0,DISABLED,0
0.719995,0.222909,0.0180898,0,0.024868,0.730267,0.0250272,0.00944291,0.00234278,-0.999953,0.0120151,0.8,0,0,DISABLED,0
0.739995,0.237136,0.0155538,0,0.0210975,0.731071,0.0211323,0.00567241,-0.00164569,-0.999983,0.00737562,0.8,0,0,DISABLED,0
0.759995,0.247688,0.0140812,0,0.0198383,0.732152,0.0209851,0.00441323,-0.00729754,-0.999964,0.00295041,0.8,0,0,DISABLED,0
0.779995,0.259526,0.0128233,0,0.019358,0.73307,0.0226701,0.00393293,-0.0122591,-0.999917,0.00134356,0.8,0,0,DISABLED,0
0.799995,0.271484,0.0120339,0,0.0193394,0.73335,0.0259119,0.00391435,-0.0177042,-0.999836,-0.00163328,0.8,0,0,DISABLED,0
0.819995,0.282376,0.0116634,0,0.0199033,0.733211,0.0285519,0.00447823,-0.0209293,-0.999771,-0.00302264,0.8,0,0,DISABLED,0
0.839995,0.29594,0.0115717,0,0.0216206,0.732769,0.0319791,0.00619553,-0.0240232,-0.999692,-0.00648428,0.8,0,0,DISABLED,0
0.859995,0.308515,0.0116211,0,0.0243563,0.732254,0.0351377,0.00893124,-0.0257828,-0.999628,-0.00833047,0.8,0,0,DISABLED,0
0.879995,0.321135,0.0116704,0,0.0288811,0.731602,0.0406799,0.013456,-0.0291025,-0.999486,-0.0105222,0.8,0,0,DISABLED,0
0.899995,0.334966,0.0117819,0,0.0352943,0.730711,0.0488391,0.0198692,-0.0342053,-0.999217,-0.0140982,0.8,0,0,DISABLED,0
0.919995,0.347583,0.0123163,0,0.0400755,0.730083,0.0529684,0.0246505,-0.0350781,-0.999081,-0.0164557,0.8,0,0,DISABLED,0
0.939995,0.35929,0.013204,0,0.0425134,0.72989,0.0527925,0.0270883,-0.0317417,-0.999129,-0.0166506,0.8,0,0,DISABLED,0
0.959995,0.371527,0.0142851,0,0.0415226,0.729961,0.0496888,0.0260975,-0.0277362,-0.999275,-0.0149574,0.8,0,0,DISABLED,0
0.979995,0.386964,0.0157911,0,0.0387454,0.730394,0.0448579,0.0233203,-0.0230539,-0.999462,-0.0139415,0.8,0,0,DISABLED,0
0.999995,0.401218,0.0173841,0,0.03663,0.730588,0.0396903,0.0212049,-0.0157361,-0.999651,-0.0125193,0.8,0,0,DISABLED,0
1.02,0.417364,0.0192213,0,0.0332348,0.73047,0.0345111,0.0178097,-0.00975482,-0.999794,-0.0132566,0.8,0,0,DISABLED,0
1.04,0.430066,0.0203316,0,0.032542,0.730899,0.0336629,0.0171169,-0.00907136,-0.999812,-0.0106479,0.8,0,0,DISABLED,0
1.06,0.442391,0.0213891,0,0.032887,0.731731,0.0335867,0.0174619,-0.00726275,-0.999821,-0.00646442,0.8,0,0,DISABLED,0
1.08,0.45773,0.0227697,0,0.0315522,0.73274,0.0316097,0.0161271,-0.00231248,-0.999867,-0.00356334,0.8,0,0,DISABLED,0
1.1,0.470339,0.0237653,0,0.0307853,0.733171,0.0308519,0.0153603,0.00153681,-0.999881,-0.000986767,0.8,0,0,DISABLED,0
1.12,0.487131,0.0247062,0,0.0309228,0.733307,0.0312494,0.0154977,0.00403146,-0.999872,9.95817e-05,0.8,0,0,DISABLED,0
1.14,0.498487,0.0251266,0,0.0309811,0.733271,0.0321168,0.015556,0.0079935,-0.999847,0.00308511,0.8,0,0,DISABLED,0
1.16,0.515514,0.0256217,0,0.0314079,0.73284,0.0349983,0.0159829,0.0149713,-0.99976,0.00672244,0.8,0,0,DISABLED,0
1.18,0.528064,0.0258101,0,0.0322804,0.732302,0.0374266,0.0168554,0.0184746,-0.999687,0.00694672,0.8,0,0,DISABLED,0
1.2,0.541871,0.0256729,0,0.0327907,0.731844,0.0385843,0.0173656,0.0198674,-0.999652,0.0056865,0.8,0,0,DISABLED,0
1.22,0.557176,0.0251807,0,0.0318915,0.731827,0.0379361,0.0164664,0.0200781,-0.999663,0.00384631,0.8,0,0,DISABLED,0
1.24,0.569932,0.0245392,0,0.0295599,0.732164,0.0356381,0.0141348,0.0194407,-0.999711,0.00195053,0.8,0,0,DISABLED,0
1.25999,0.5844,0.0235064,0,0.0263941,0.732695,0.0319549,0.010969,0.0175468,-0.999786,0.000642248,0.8,0,0,DISABLED,0
1.27999,0.59913,0.0219522,0,0.0227373,0.733069,0.0269582,0.00731219,0.0140186,-0.999875,0.000689031,0.8,0,0,DISABLED,0
1.29999,0.614045,0.0198336,0,0.0179038,0.732708,0.0190839,0.0024787,0.00614055,-0.999978,0.000462236,0.8,0,0,DISABLED,0
1.31999,0.630867,0.0174634,0,0.0121574,0.731387,0.0122607,-0.00326762,0.00112276,-0.999994,-0.00167957,0.8,0,0,DISABLED,0
1.33999,0.64469,0.0162184,0,0.00527089,0.731051,0.00705057,-0.0101542,0.00421634,-0.99994,-0.00483151,0.8,0,0,DISABLED,0
1.35999,0.659169,0.0149974,0,0.00342644,0.731471,0.00444846,-0.0119986,0.00238418,-0.999925,-0.0073235,0.8,0,0,DISABLED,0
1.37999,0.673369,0.0141918,0,0.00348458,0.732195,0.00365396,-0.0119405,-0.00152852,-0.999928,-0.0100997,0.8,0,0,DISABLED,0
1.39999,0.687763,0.0138458,0,0.00325767,0.732613,0.00606925,-0.0121674,-0.00558297,-0.99991,-0.0134304,0.8,0,0,DISABLED,0
1.41999,0.703815,0.0138499,0,0.0030464,0.732587,0.00865928,-0.0123787,-0.00856815,-0.999887,-0.0152489,0.8,0,0,DISABLED,0
1.43999,0.717141,0.0140788,0,0.00330464,0.732449,0.0107589,-0.0121204,-0.010695,-0.999869,-0.0177989,0.8,0,0,DISABLED,0
1.45999,0.732055,0.0143836,0,0.00490978,0.732301,0.0130975,-0.0105153,-0.0126018,-0.999865,-0.0211705,0.8,0,0,DISABLED,0
1.47999,0.746903,0.0145499,0,0.00872394,0.732084,0.017177,-0.00670113,-0.0152545,-0.999861,-0.0243495,0.8,0,0,DISABLED,0
1.49999,0.761573,0.0145518,0,0.0148274,0.731681,0.0241545,-0.000597633,-0.0195287,-0.999809,-0.0283845,0.8,0,0,DISABLED,0
1.51999,0.776178,0.0146907,0,0.0214272,0.731328,0.0299917,0.0060021,-0.0214439,-0.999752,-0.0319143,0.8,0,0,DISABLED,0
1.53999,0.79111,0.0151309,0,0.025688,0.731361,0.0319567,0.0102629,-0.0194677,-0.999758,-0.0329235,0.8,0,0,DISABLED,0
1.55999,0.80655,0.0157041,0,0.0261018,0.731813,0.0312436,0.0106767,-0.0176315,-0.999788,-0.0322724,0.8,0,0,DISABLED,0
