t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732862,0,-0.0157328,-0.000443575,-0.999876,0,0.4,0,0,DISABLED,0
0.0399961,1.09207e-05,-2.04425e-07,0,-4.39957e-06,0.732858,0,-0.0157372,-0.00044367,-0.999876,3.45032e-06,0.4,0,0,DISABLED,0
0.0599961,6.07362e-05,-1.98372e-07,0,-1.38637e-05,0.732849,0,-0.0157467,-0.00044299,-0.999876,9.64466e-06,0.4,0,0,DISABLED,0
0.0799961,0.000239918,-2.02754e-05,0,-0.000222025,0.732816,0,-0.0159549,-0.000449167,-0.999873,1.88185e-05,0.4,0,0,DISABLED,0
0.0999961,0.000531757,-5.33471e-05,0,-0.000826195,0.732756,0.000845728,-0.016559,-0.000512933,-0.999863,-4.06774e-05,0.4,0,0,DISABLED,0
0.119996,0.00124471,-2.19783e-05,0,-0.00189291,0.732673,0.00189111,-0.0176257,-0.000576284,-0.999844,0.00028035,0.4,0,0,DISABLED,0
0.139996,0.00206433,0.000486329,0,-0.00219187,0.73257,0.00256057,-0.0179247,0.000907755,-0.999839,0.000239906,0.4,0,0,DISABLED,0
0.159996,0.00259921,0.00118926,0,-0.00194115,0.732468,0.00314553,-0.017674,0.00201743,-0.999842,0.000159681,0.4,0,0,DISABLED,0
0.179996,0.00384264,0.00261091,0,-0.00167093,0.732742,0.00304932,-0.0174038,-0.00298806,-0.999844,0.00122325,0.4,0,0,DISABLED,0
0.199996,0.00542436,0.00411999,0,-0.00221746,0.73325,0.00712625,-0.0179503,-0.00721536,-0.999813,0.00239522,0.4,0,0,DISABLED,0
0.219996,0.00739959,0.00613604,0,-0.00210595,0.73367,0.00881618,-0.0178388,-0.00900596,-0.9998,0.00392207,0.4,0,0,DISABLED,0
0.239996,0.0093665,0.00816022,0,-0.00146778,0.733934,0.00957458,-0.0172006,-0.00990162,-0.999803,0.00503815,0.4,0,0,DISABLED,0
0.259996,0.0116406,0.0103646,0,-0.00108974,0.734153,0.0106139,-0.0168226,-0.0109975,-0.999798,0.00585687,0.4,0,0,DISABLED,0
0.279996,0.0139702,0.012519,0,-0.000937968,0.734304,0.0112729,-0.0166708,-0.0116753,-0.999793,0.00633486,0.4,0,0,DISABLED,0
0.299996,0.0171233,0.0153399,0,-0.000533426,0.734371,0.0113257,-0.0162663,-0.0117541,-0.999799,0.00693381,0.4,0,0,DISABLED,0
0.319996,0.0202004,0.0181321,0,0.000790045,0.734298,0.0106251,-0.0149428,-0.0110346,-0.999827,0.00691383,0.4,0,0,DISABLED,0
0.339996,0.023448,0.0212284,0,0.0028764,0.734063,0.00904971,-0.0128564,-0.00902526,-0.999877,0.00669987,0.4,0,0,DISABLED,0
0.359996,0.026832,0.0246119,0,0.00541983,0.733565,0.00776661,-0.010313,-0.00600419,-0.999929,0.0064553,0.4,0,0,DISABLED,0
0.379996,0.0303863,0.0282401,0,0.00880688,0.732639,0.00883644,-0.00692596,-0.00110426,-0.999975,0.0063254,0.4,0,0,DISABLED,0
0.399996,0.033754,0.0311055,0,0.0102863,0.732133,0.0109129,-0.00544657,-0.00408135,-0.999977,0.00785128,0.4,0,0,DISABLED,0
0.419996,0.03818,0.0344271,0,0.00940506,0.732301,0.0113204,-0.00632777,-0.00673985,-0.999957,0.00852627,0.4,0,0,DISABLED,0
