t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732859,0,-0.0155373,-0.000500888,-0.999879,0,0.4,0,0,DISABLED,0
0.0399961,1.06487e-05,-1.26194e-07,0,-4.77675e-06,0.732856,0,-0.0155421,-0.000500811,-0.999879,3.01271e-06,0.4,0,0,DISABLED,0
0.0599961,5.98999e-05,-4.74975e-08,0,-1.51014e-05,0.732846,0,-0.0155524,-0.000499824,-0.999879,9.25921e-06,0.4,0,0,DISABLED,0
0.0799961,0.00028167,-3.19569e-05,0,-0.000275135,0.732803,0.000345267,-0.0158125,-0.00050987,-0.999875,1.69653e-05,0.4,0,0,DISABLED,0
0.0999961,0.000590447,-7.48443e-05,0,-0.000826241,0.732738,0.000845728,-0.0163636,-0.000578002,-0.999866,-2.21701e-05,0.4,0,0,DISABLED,0
0.119996,0.00125611,-5.16018e-05,0,-0.00183406,0.732665,0.00182698,-0.0173714,-0.000655249,-0.999849,0.000241293,0.4,0,0,DISABLED,0
0.139996,0.00207248,0.000459895,0,-0.00220701,0.732562,0.00258374,-0.0177443,0.000838058,-0.999842,0.000239573,0.4,0,0,DISABLED,0
0.159996,0.00276508,0.00138186,0,-0.00170977,0.732468,0.00276214,-0.0172471,0.0016617,-0.99985,0.000424452,0.4,0,0,DISABLED,0
0.179996,0.00386133,0.00259643,0,-0.00161018,0.732719,0.00223759,-0.0171475,-0.00203889,-0.999851,0.00128535,0.4,0,0,DISABLED,0
0.199996,0.00557766,0.00424138,0,-0.00202995,0.733202,0.00598021,-0.0175673,-0.00612711,-0.999827,0.00274038,0.4,0,0,DISABLED,0
0.219996,0.00718798,0.00582295,0,-0.00196595,0.73352,0.00738098,-0.0175033,-0.00761839,-0.999818,0.00409607,0.4,0,0,DISABLED,0
0.239996,0.00916381,0.00781186,0,-0.00155092,0.73377,0.00822868,-0.0170883,-0.00858461,-0.999817,0.0049788,0.4,0,0,DISABLED,0
0.259996,0.0114133,0.00999778,0,-0.00123866,0.733986,0.00923229,-0.016776,-0.00965049,-0.999813,0.00579938,0.4,0,0,DISABLED,0
0.279996,0.0139948,0.0123737,0,-0.00113136,0.734163,0.0101076,-0.0166687,-0.0105435,-0.999805,0.00630687,0.4,0,0,DISABLED,0
0.299996,0.0171608,0.0151987,0,-0.000745876,0.734232,0.010283,-0.0162832,-0.0107559,-0.99981,0.00659025,0.4,0,0,DISABLED,0
0.319996,0.0202486,0.0179911,0,0.000572824,0.734156,0.00951839,-0.0149645,-0.0100006,-0.999838,0.00668726,0.4,0,0,DISABLED,0
0.339996,0.0225215,0.0201191,0,0.00236916,0.734017,0.00814862,-0.0131682,-0.00829855,-0.999879,0.0065283,0.4,0,0,DISABLED,0
0.359996,0.0265481,0.0241229,0,0.0052912,0.733516,0.00699966,-0.0102461,-0.00508812,-0.999935,0.0061411,0.4,0,0,DISABLED,0
0.379996,0.0301076,0.0277553,0,0.00838791,0.732656,0.00838653,-0.00714943,-0.000643212,-0.999974,0.00559668,0.4,0,0,DISABLED,0
0.399996,0.033849,0.0309396,0,0.0103185,0.732056,0.011027,-0.00521881,-0.00439362,-0.999977,0.00843485,0.4,0,0,DISABLED,0
0.419996,0.037867,0.0339088,0,0.00972306,0.732161,0.0118754,-0.00581428,-0.00731726,-0.999956,0.00984809,0.4,0,0,DISABLED,0
0.439996,0.0409121,0.0360679,0,0.00842197,0.732505,0.00988095,-0.00711537,-0.00566503,-0.999959,0.0111807,0.4,0,0,DISABLED,0
0.459996,0.0472984,0.0396354,0,0.00217101,0.733483,0.00442158,-0.0133663,0.00335856,-0.999905,0.0171971,0.4,0,0,DISABLED,0
0.479996,0.052269,0.0420378,0,-0.00171831,0.734054,0.00893037,-0.0172556,0.00826717,-0.999817,0.0197485,0.4,0,0,DISABLED,0
0.499996,0.0571949,0.0440527,0,-0.00368684,0.734245,0.0106866,-0.0192242,0.00952567,-0.99977,0.0201179,0.4,0,0,DISABLED,0
0.519996,0.0622538,0.045583,0,-0.00555636,0.734245,0.0113309,-0.0210937,0.00937737,-0.999734,0.0201603,0.4,0,0,DISABLED,0
0.539996,0.0680725,0.0467088,0,-0.00689427,0.734238,0.0119005,-0.0224316,0.00920007,-0.999706,0.0201232,0.4,0,0,DISABLED,0
0.559996,0.0730153,0.0472083,0,-0.00786869,0.734246,0.0126436,-0.023406,0.00939615,-0.999682,0.0198278,0.4,0,0,DISABLED,0
0.579996,0.0785838,0.0473945,0,-0.0077408,0.734206,0.0131656,-0.0232781,0.0101507,-0.999677,0.0199669,0.4,0,0,DISABLED,0
0.599996,0.0841753,0.0472416,0,-0.00621178,0.734046,0.0132063,-0.0217491,0.0111555,-0.999701,0.0205478,0.4,0,0,DISABLED,0
0.619996,0.0897991,0.0467749,0,-0.00416713,0.73375,0.0130793,-0.0197045,0.0118956,-0.999735,0.0209172,0.4,0,0,DISABLED,0
0.639996,0.095386,0.0459651,0,-0.00068392,0.733286,0.0129326,-0.0162213,0.0124102,-0.999791,0.0215638,0.4,0,0,DISABLED,0
0.659996,0.100904,0.0448096,0,0.00261288,0.732646,0.0129003,-0.0129245,0.0121303,-0.999843,0.0225393,0.4,0,0,DISABLED,0
0.679996,0.107005,0.0430836,0,0.00558451,0.731805,0.0115343,-0.00995283,0.00959095,-0.999904,0.0239178,0.4,0,0,DISABLED,0
0.699996,0.112069,0.041574,0,0.00668226,0.731282,0.00982651,-0.00885509,0.00670715,-0.999938,0.0225385,0.4,0,0,DISABLED,0
0.719995,0.118026,0.0401824,0,0.00502964,0.731598,0.00972284,-0.0105077,0.00781686,-0.999914,0.0190886,0.4,0,0,DISABLED,0
0.739995,0.123467,0.0386983,0,0.00231616,0.732252,0.00578774,-0.0132212,0.00480941,-0.999901,0.0134964,0.4,0,0,DISABLED,0
0.759995,0.130025,0.0367443,0,-0.000409974,0.733041,0.00312653,-0.0159473,-0.00359665,-0.999866,0.010726,0.4,0,0,DISABLED,0
0.779995,0.135467,0.0353807,0,-0.00196044,0.733667,0.00856933,-0.0174978,-0.008848,-0.999808,0.00986555,0.4,0,0,DISABLED,0
0.799995,0.142022,0.0341661,0,-0.00306251,0.734103,0.0144354,-0.0185999,-0.0146099,-0.99972,0.00921899,0.4,0,0,DISABLED,0
0.819995,0.147971,0.0333586,0,-0.00253005,0.734202,0.0172325,-0.0180674,-0.0175488,-0.999683,0.00853476,0.4,0,0,DISABLED,0
0.839995,0.154091,0.0327937,0,-0.00146181,0.734176,0.0187404,-0.0169992,-0.0191846,-0.999671,0.00826611,0.4,0,0,DISABLED,0
0.859995,0.160472,0.0324965,0,-0.000290701,0.734149,0.0197923,-0.015828,-0.0202916,-0.999669,0.00792745,0.4,0,0,DISABLED,0
0.879995,0.167057,0.0324112,0,0.000906555,0.734106,0.0215291,-0.0146308,-0.0220103,-0.999651,0.00685837,0.4,0,0,DISABLED,0
0.899995,0.174387,0.0324673,0,0.00241624,0.733971,0.0237262,-0.0131211,-0.0241027,-0.999623,0.00683378,0.4,0,0,DISABLED,0
0.919995,0.180333,0.0326544,0,0.00497209,0.733749,0.0272179,-0.0105653,-0.0272596,-0.999573,0.00681019,0.4,0,0,DISABLED,0
0.939995,0.186835,0.0331069,0,0.00817443,0.733371,0.0308616,-0.00736292,-0.0302581,-0.999515,0.00674348,0.4,0,0,DISABLED,0
0.959995,0.193229,0.0340039,0,0.0113467,0.732975,0.0320573,-0.0041906,-0.0304808,-0.999527,0.00661215,0.4,0,0,DISABLED,0
0.979995,0.199646,0.0353722,0,0.0134945,0.732682,0.0290404,-0.00204287,-0.0262158,-0.999654,0.0060599,0.4,0,0,DISABLED,0
0.999995,0.206039,0.0368799,0,0.0143199,0.732308,0.0253349,-0.00121743,-0.0213979,-0.99977,0.00602646,0.4,0,0,DISABLED,0
1.02,0.21243,0.0381352,0,0.0139973,0.732279,0.0229003,-0.00154006,-0.0186247,-0.999825,0.00762651,0.4,0,0,DISABLED,0
1.04,0.219546,0.0392016,0,0.0125531,0.732738,0.0199034,-0.00298424,-0.0159461,-0.999868,0.0111062,0.4,0,0,DISABLED,0
1.06,0.225579,0.0400992,0,0.0103569,0.733145,0.0148225,-0.00518044,-0.0111081,-0.999925,0.014762,0.4,0,0,DISABLED,0
