time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,-1.13011e-05,-5.59499e-07,0.733648,-0.00568231,-0.000279817,-0.000974783,0.0837007,0.000648996,-0.0436995,1,112.785,0.300189,0.0557111,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,101.034,0.300135,0.0283304,nan,nan,nan
0.01,-3.41883e-05,-1.7079e-06,0.73352,-0.0114436,-0.000574198,-0.000976033,0.0837369,0.000562005,-0.0434852,1,118.354,0.300313,0.0617294,nan,nan,nan,-0.000972803,-0.0837352,0.000559715,-0.0446318,1,106.582,0.300147,0.00642375,nan,nan,nan
0.012,-6.74519e-05,-3.05029e-06,0.733389,-0.0166318,-0.000671195,-0.0009804,0.0838076,0.00047424,-0.0438629,1,131.431,0.300457,0.072169,nan,nan,nan,-0.000970146,-0.0838008,0.000467114,-0.0462869,1,117.156,0.300129,-0.00916697,nan,nan,nan
0.014,-0.000109971,-4.11556e-06,0.733254,-0.0212595,-0.000532638,-0.000991447,0.0839031,0.000388274,-0.0429555,1,132.635,0.300587,0.0647583,nan,nan,nan,-0.000970619,-0.0838861,0.000373512,-0.0467823,1,118.94,0.300061,-0.0339503,nan,nan,nan
0.016,-0.000160747,-4.65884e-06,0.733118,-0.0253881,-0.000271638,-0.00100694,0.0840183,0.000301703,-0.043253,1,133.449,0.300689,0.0510832,nan,nan,nan,-0.000973355,-0.0839859,0.000277564,-0.0479505,1,120.723,0.29993,-0.0655943,nan,nan,nan
0.018,-0.000219165,-4.61392e-06,0.732979,-0.0292088,2.24611e-05,-0.00102859,0.0841516,0.000213031,-0.0443016,1,134.724,0.300756,0.0337799,nan,nan,nan,-0.000977693,-0.0840953,0.000178359,-0.049574,1,122.235,0.299726,-0.102188,nan,nan,nan
0.02,-0.000284899,-1.07069e-05,0.732848,-0.0328672,-0.00304647,-0.00105485,0.0842979,0.00012178,-0.0455887,1,209.613,0.300931,0.0873165,nan,nan,nan,-0.000983132,-0.0842105,7.53854e-05,-0.0514529,1,123.06,0.299433,-0.146556,nan,nan,nan
0.022,-0.000359319,-3.3227e-07,0.73275,-0.0372099,0.00518729,-0.00108625,0.0844256,4.51652e-05,-0.0382806,1,205.383,0.301159,0.114129,nan,nan,nan,-0.000989181,-0.08433,-3.12631e-05,-0.0532834,1,310.822,0.299479,0.0231645,nan,nan,nan
0.024,-0.000443158,9.27316e-06,0.73269,-0.0419193,0.00480272,-0.00112099,0.0845418,-2.09112e-05,-0.033016,1,282.909,0.301607,0.223967,nan,nan,nan,-0.00099559,-0.0844074,-0.00010068,-0.0346897,1,274.164,0.299755,0.137842,nan,nan,nan
0.026,-0.000529137,1.60036e-05,0.732656,-0.0429899,0.0033652,-0.0011459,0.0846174,-6.18807e-05,-0.0204661,1,242.651,0.302169,0.280968,nan,nan,nan,-0.00100055,-0.0844565,-0.000142067,-0.0206778,1,229.344,0.300198,0.221927,nan,nan,nan
0.028,-0.000614026,2.00213e-05,0.732641,-0.0424443,0.00200889,-0.00116358,0.0846666,-8.54183e-05,-0.011749,1,217.962,0.30277,0.300376,nan,nan,nan,-0.00100434,-0.084488,-0.0001644,-0.0111496,1,200.64,0.300719,0.260412,nan,nan,nan
0.03,-0.000695563,2.16689e-05,0.732638,-0.0407684,0.000823786,-0.0011763,0.0846993,-9.70235e-05,-0.005782,1,200.117,0.303355,0.292554,nan,nan,nan,-0.00100712,-0.0845085,-0.000173956,-0.00475902,1,181.016,0.301252,0.266517,nan,nan,nan
0.032,-0.000772594,2.11988e-05,0.732644,-0.0385158,-0.000235051,-0.00118549,0.0847217,-0.000100604,-0.00177066,1,187.165,0.303894,0.269321,nan,nan,nan,-0.00100909,-0.0845221,-0.000175103,-0.000554537,1,167.115,0.301757,0.252132,nan,nan,nan
0.034,-0.000844576,1.88495e-05,0.732656,-0.0359907,-0.00117468,-0.0011922,0.0847376,-9.8845e-05,0.000896954,1,177.883,0.304369,0.237515,nan,nan,nan,-0.00101042,-0.0845315,-0.000170864,0.00213632,1,157.184,0.302208,0.225542,nan,nan,nan
0.036,-0.000911349,1.47578e-05,0.732673,-0.0333864,-0.00204581,-0.00119721,0.0847495,-9.36005e-05,0.00263676,1,171.623,0.304773,0.201981,nan,nan,nan,-0.00101125,-0.0845383,-0.000163316,0.00378802,1,150.065,0.302592,0.192405,nan,nan,nan
0.038,-0.000973011,8.93215e-06,0.732693,-0.0308312,-0.00291284,-0.00120109,0.084759,-8.59874e-05,0.00381815,1,166.841,0.305103,0.165094,nan,nan,nan,-0.00101168,-0.0845434,-0.000153879,0.00472991,1,145.251,0.302906,0.15702,nan,nan,nan
0.04,-0.00103007,1.38514e-06,0.732716,-0.0285292,-0.00377351,-0.00120419,0.0847672,-7.67427e-05,0.00463134,1,162.872,0.305365,0.131303,nan,nan,nan,-0.00101183,-0.0845477,-0.000143501,0.00519815,1,140.97,0.303156,0.124759,nan,nan,nan
0.042,-0.00108327,-7.8187e-06,0.732739,-0.0266006,-0.00460192,-0.00120681,0.0847747,-6.63829e-05,0.00518682,1,159.229,0.305573,0.103639,nan,nan,nan,-0.00101178,-0.0845513,-0.000132796,0.00535909,1,137.463,0.303353,0.0983457,nan,nan,nan
0.044,-0.00113327,-1.85701e-05,0.732763,-0.0249986,-0.0053757,-0.00120915,0.0847818,-5.52806e-05,0.00555665,1,156.388,0.305735,0.0810829,nan,nan,nan,-0.00101159,-0.0845547,-0.000122161,0.0053227,1,134.87,0.303506,0.0768366,nan,nan,nan
0.046,-0.00118056,-3.0737e-05,0.732787,-0.0236457,-0.00608344,-0.00121134,0.0847888,-4.37747e-05,0.00575752,1,154.273,0.305859,0.0620917,nan,nan,nan,-0.00101133,-0.084558,-0.000111852,0.00515862,1,133.182,0.303624,0.0589928,nan,nan,nan
0.048,-0.00122401,-4.34993e-05,0.73281,-0.0217241,-0.00638117,-0.00121345,0.0847959,-3.21498e-05,0.00581624,1,147.635,0.305957,0.0487563,nan,nan,nan,-0.00101102,-0.0845612,-0.000102024,0.00491689,1,130.657,0.303713,0.0442873,nan,nan,nan
0.05,-0.00126429,-5.677e-05,0.732831,-0.0201418,-0.00663535,-0.00121559,0.084803,-2.12586e-05,0.00544856,1,146.651,0.306033,0.038076,nan,nan,nan,-0.00101092,-0.0845643,-9.28393e-05,0.00459492,1,130.23,0.303777,0.0320242,nan,nan,nan
0.052,-0.00130213,-7.05861e-05,0.73285,-0.0189184,-0.00690805,-0.00121775,0.0848103,-1.12051e-05,0.00502901,1,146.349,0.306092,0.0296789,nan,nan,nan,-0.00101094,-0.0845674,-8.43399e-05,0.00425158,1,130.004,0.303822,0.0226455,nan,nan,nan
0.054,-0.00133787,-8.49888e-05,0.732867,-0.0178735,-0.00720136,-0.00121991,0.0848176,-1.96565e-06,0.00462155,1,146.215,0.306138,0.0230131,nan,nan,nan,-0.00101104,-0.0845706,-7.65303e-05,0.00390622,1,129.889,0.303853,0.0152365,nan,nan,nan
0.056,-0.00137184,-0.000100006,0.732883,-0.0169836,-0.0075084,-0.00122208,0.0848249,6.53948e-06,0.00425404,1,146.15,0.306174,0.0177238,nan,nan,nan,-0.0010112,-0.0845737,-6.93907e-05,0.00357096,1,129.822,0.303873,0.010026,nan,nan,nan
0.058,-0.00140451,-0.000115602,0.732898,-0.0163322,-0.00779828,-0.00122427,0.0848324,1.43743e-05,0.00391862,1,145.689,0.306201,0.0138888,nan,nan,nan,-0.00101139,-0.0845769,-6.28861e-05,0.00325321,1,129.895,0.303886,0.00683366,nan,nan,nan
0.06,-0.00143628,-0.000131814,0.73291,-0.0158856,-0.00810607,-0.00122651,0.0848401,2.1456e-05,0.00354191,1,145.757,0.306224,0.0112328,nan,nan,nan,-0.00101161,-0.08458,-5.69787e-05,0.00295449,1,130.284,0.303896,0.0047611,nan,nan,nan
0.062,-0.00146749,-0.00014867,0.732922,-0.0156065,-0.00842798,-0.00122877,0.0848481,2.78368e-05,0.00319132,1,145.851,0.306243,0.00946149,nan,nan,nan,-0.00101184,-0.0845832,-5.16343e-05,0.00267288,1,130.716,0.303903,0.00352184,nan,nan,nan
0.064,-0.00149842,-0.00016619,0.732932,-0.0154648,-0.00875996,-0.00123101,0.0848561,3.35736e-05,0.00286925,1,145.934,0.306259,0.00834272,nan,nan,nan,-0.00101206,-0.0845864,-4.68155e-05,0.00241003,1,131.191,0.303909,0.00290589,nan,nan,nan
0.066,-0.00152822,-0.000184143,0.73294,-0.0149008,-0.00897633,-0.0012332,0.0848643,3.87179e-05,0.00257298,1,138.426,0.306274,0.0072598,nan,nan,nan,-0.00101227,-0.0845895,-4.24817e-05,0.0021675,1,133.496,0.303913,0.00222728,nan,nan,nan
0.068,-0.00155697,-0.000202601,0.732947,-0.0143733,-0.00922898,-0.00123584,0.0848737,4.28543e-05,0.0020689,1,139.331,0.306287,0.00653235,nan,nan,nan,-0.00101269,-0.0845925,-3.88065e-05,0.00183809,1,134.153,0.303917,0.00176382,nan,nan,nan
0.07,-0.00158475,-0.0002216,0.732952,-0.0138885,-0.00949973,-0.00123879,0.0848839,4.61457e-05,0.00164635,1,140.164,0.306299,0.00603823,nan,nan,nan,-0.00101327,-0.0845954,-3.56857e-05,0.00156089,1,134.951,0.30392,0.00151607,nan,nan,nan
0.072,-0.00161164,-0.000241169,0.732955,-0.0134457,-0.00978447,-0.00124195,0.0848946,4.87295e-05,0.00129255,1,140.831,0.306311,0.00572332,nan,nan,nan,-0.00101394,-0.0845983,-3.30245e-05,0.00133103,1,135.6,0.303923,0.00142864,nan,nan,nan
0.074,-0.00163773,-0.000261332,0.732958,-0.0130448,-0.0100816,-0.00124524,0.0849056,5.07202e-05,0.000996027,1,141.366,0.306322,0.00555194,nan,nan,nan,-0.00101467,-0.0846011,-3.07445e-05,0.00114048,1,136.129,0.303926,0.00145767,nan,nan,nan
0.076,-0.0016631,-0.000282142,0.732959,-0.0126863,-0.0104048,-0.0012486,0.0849168,5.22132e-05,0.000747186,1,141.797,0.306333,0.00550515,nan,nan,nan,-0.00101543,-0.0846038,-2.87815e-05,0.000981921,1,136.372,0.303929,0.00151132,nan,nan,nan
0.078,-0.00168784,-0.000303607,0.73296,-0.0123699,-0.0107325,-0.001252,0.0849281,5.32892e-05,0.000538712,1,142.151,0.306344,0.00554712,nan,nan,nan,-0.00101625,-0.0846068,-2.71302e-05,0.000826083,1,136.787,0.303932,0.00165308,nan,nan,nan
0.08,-0.00171203,-0.000325734,0.732959,-0.0120943,-0.0110635,-0.0012554,0.0849395,5.40146e-05,0.0003635,1,142.443,0.306355,0.00566422,nan,nan,nan,-0.00101711,-0.08461,-2.57351e-05,0.000698044,1,137.141,0.303936,0.00185261,nan,nan,nan
0.082,-0.00173576,-0.000348527,0.732958,-0.0118645,-0.0113965,-0.0012588,0.0849508,5.44444e-05,0.000215681,1,142.65,0.306367,0.00605729,nan,nan,nan,-0.00101799,-0.0846132,-2.45467e-05,0.000594667,1,137.436,0.30394,0.0020959,nan,nan,nan
0.084,-0.00175912,-0.000371987,0.732956,-0.0116835,-0.0117301,-0.00126217,0.0849621,5.46263e-05,9.18154e-05,1,142.794,0.306381,0.00683316,nan,nan,nan,-0.00101887,-0.0846164,-2.35264e-05,0.000510661,1,137.684,0.303945,0.00237412,nan,nan,nan
0.086,-0.00178244,-0.00039619,0.732954,-0.0116599,-0.0121016,-0.00126552,0.0849733,5.46014e-05,-1.15367e-05,1,141.476,0.306394,0.00635764,nan,nan,nan,-0.00101976,-0.0846197,-2.26442e-05,0.000441672,1,139.99,0.303946,0.000780329,nan,nan,nan
0.088,-0.0018057,-0.000421136,0.732952,-0.0116286,-0.0124728,-0.00126866,0.0849842,5.44055e-05,-9.69642e-05,1,141.763,0.306406,0.00603487,nan,nan,nan,-0.00102069,-0.0846229,-2.19819e-05,0.00033173,1,140.25,0.303945,-0.000480515,nan,nan,nan
0.09,-0.00182888,-0.000446826,0.732949,-0.0115917,-0.012845,-0.00127168,0.0849948,5.407e-05,-0.000166786,1,141.99,0.306417,0.00582184,nan,nan,nan,-0.00102164,-0.0846261,-2.14891e-05,0.000246992,1,140.44,0.303942,-0.00148293,nan,nan,nan
0.092,-0.00185198,-0.000473263,0.732946,-0.0115507,-0.0132187,-0.00127461,0.0850052,5.36211e-05,-0.000223386,1,142.166,0.306429,0.00568678,nan,nan,nan,-0.00102262,-0.0846292,-2.11267e-05,0.000181865,1,140.58,0.303938,-0.00228417,nan,nan,nan
