t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199962,0,0,0,0,0.732861,0,-0.015612,-0.000430758,-0.999878,0,0.2,0,0,DISABLED,0
0.0399961,2.64402e-06,-1.66707e-07,0,-4.05498e-06,0.73286,0,-0.0156161,-0.000430743,-0.999878,3.61586e-06,0.2,0,0,DISABLED,0
0.0599961,2.88365e-05,-2.6729e-07,0,-4.59794e-06,0.732854,0,-0.0156166,-0.000430961,-0.999878,8.45769e-06,0.2,0,0,DISABLED,0
0.0799961,9.315e-05,-1.21538e-07,0,3.42913e-06,0.732844,0,-0.0156086,-0.00043002,-0.999878,1.58169e-05,0.2,0,0,DISABLED,0
0.0999961,0.00021833,4.60073e-07,0,7.02403e-06,0.732827,0,-0.015605,-0.000429641,-0.999878,2.48504e-05,0.2,0,0,DISABLED,0
0.119996,0.000415803,2.16439e-06,0,1.17868e-05,0.732801,0,-0.0156002,-0.000430838,-0.999878,3.32393e-05,0.2,0,0,DISABLED,0
0.139996,0.000631198,4.82891e-06,0,2.05934e-05,0.732774,0,-0.0155914,-0.000433903,-0.999878,3.88756e-05,0.2,0,0,DISABLED,0
0.159996,0.00101601,2.95504e-05,0,2.81194e-05,0.732717,0,-0.0155839,-0.000560851,-0.999878,4.68289e-05,0.2,0,0,DISABLED,0
0.179996,0.00150474,0.00025503,0,4.83375e-05,0.732594,0.00077204,-0.0155637,-0.00124398,-0.999878,3.65811e-05,0.2,0,0,DISABLED,0
0.199996,0.00204992,0.00102834,0,0.000414367,0.732363,0.00119604,-0.0151976,-0.00154034,-0.999883,-0.00030436,0.2,0,0,DISABLED,0
0.219996,0.00256371,0.00226823,0,0.00105425,0.732173,0.00150498,-0.0145577,-0.00149532,-0.999893,-4.04427e-07,0.2,0,0,DISABLED,0
0.239996,0.00324691,0.00369099,0,0.00095092,0.732288,0.00256057,-0.0146611,-0.00282384,-0.999889,0.000346541,0.2,0,0,DISABLED,0
0.259996,0.00428915,0.00563602,0,0.000209193,0.732575,0.0029901,-0.0154028,-0.00341741,-0.999876,0.000545002,0.2,0,0,DISABLED,0
0.279996,0.00537504,0.00781862,0,4.38234e-05,0.732789,0.00195313,-0.0155682,-0.00239787,-0.999876,0.00118334,0.2,0,0,DISABLED,0
0.299996,0.00651647,0.0103056,0,0.000663335,0.732959,0.000845728,-0.0149487,-0.000915533,-0.999888,0.00225557,0.2,0,0,DISABLED,0
0.319996,0.00776418,0.0126294,0,0.00077308,0.733199,0.00077204,-0.0148389,-0.000254853,-0.99989,0.00239514,0.2,0,0,DISABLED,0
0.339996,0.00907724,0.0148085,0,0.000737953,0.733381,0.00129187,-0.014874,0.000624124,-0.999889,0.00208626,0.2,0,0,DISABLED,0
0.359996,0.0105745,0.0173825,0,0.00159369,0.733336,0.00404125,-0.0140183,0.00327492,-0.999896,0.00223621,0.2,0,0,DISABLED,0
0.379996,0.0122593,0.0204363,0,0.00343462,0.732821,0.00929022,-0.0121774,0.00819834,-0.999892,0.00251146,0.2,0,0,DISABLED,0
0.399996,0.0138495,0.0225495,0,0.00463113,0.732675,0.00812664,-0.0109809,0.00624439,-0.99992,0.00497841,0.2,0,0,DISABLED,0
0.419996,0.0157651,0.0246788,0,0.00497192,0.732867,0.00515594,-0.0106401,0.000952259,-0.999943,0.00622554,0.2,0,0,DISABLED,0
0.439996,0.0177818,0.0269863,0,0.00426562,0.733211,0.00461936,-0.0113464,0.00135375,-0.999935,0.00798073,0.2,0,0,DISABLED,0
0.459996,0.0205197,0.0293091,0,0.000966051,0.733822,0.00601004,-0.0146459,0.0054931,-0.999878,0.0119207,0.2,0,0,DISABLED,0
0.479996,0.023025,0.0310369,0,-0.00206214,0.734219,0.00853448,-0.0176741,0.00785441,-0.999813,0.0130171,0.2,0,0,DISABLED,0
