time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74199e-10,2.86503e-12,0.733882,-1.1563e-07,8.99943e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44313e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44316e-05,nan,nan,nan
0.006,6.35001e-08,1.35145e-10,0.733769,3.19371e-05,6.61398e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.039005,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390053,0.000854,-0.0391991,nan
0.008,1.69592e-07,3.49573e-10,0.73362,5.3046e-05,1.07214e-07,-0.000974783,0.0837007,0.000648996,-0.0436995,1,17.7238,0.300225,0.0733659,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,17.7239,0.300225,0.0733665,nan,nan,nan
0.01,4.44782e-07,6.65806e-10,0.733438,0.000137595,1.58116e-07,-0.000971439,0.0837014,0.000548772,-0.0500983,1,22.7226,0.300418,0.0964129,nan,nan,nan,-0.000971439,-0.0837014,0.000548772,-0.0500985,1,22.7227,0.300418,0.0964141,nan,nan,nan
0.012,9.84206e-07,1.12961e-09,0.733225,0.000269712,2.31901e-07,-0.000967767,0.0837023,0.000433741,-0.0574896,1,32.2534,0.300646,0.114051,nan,nan,nan,-0.000967767,-0.0837023,0.00043374,-0.05749,1,32.2536,0.300646,0.114053,nan,nan,nan
0.014,1.86707e-06,1.73293e-09,0.732981,0.000441434,3.0166e-07,-0.000962636,0.0837051,0.000305667,-0.063995,1,36.6479,0.300894,0.124142,nan,nan,nan,-0.000962635,-0.0837051,0.000305665,-0.0639955,1,36.6482,0.300894,0.124145,nan,nan,nan
0.016,3.0683e-06,2.49892e-09,0.73271,0.000600611,3.82995e-07,-0.000957076,0.0837095,0.000163314,-0.0711166,1,42.4152,0.301147,0.126581,nan,nan,nan,-0.000957075,-0.0837095,0.00016331,-0.0711174,1,42.4156,0.301147,0.126584,nan,nan,nan
0.018,5.43896e-06,3.86055e-09,0.732428,0.00118533,6.80818e-07,-0.000951169,0.0837152,6.38231e-06,-0.0783879,1,106.111,0.301562,0.20737,nan,nan,nan,-0.000951168,-0.0837152,6.37632e-06,-0.0783889,1,106.113,0.301562,0.207376,nan,nan,nan
0.02,7.67573e-06,7.98215e-09,0.732214,0.00111839,2.0608e-06,-0.000947833,0.0837251,-0.000130256,-0.0681902,1,400.618,0.302689,0.563584,nan,nan,nan,-0.000947832,-0.0837251,-0.000130264,-0.0681915,1,400.686,0.302689,0.563686,nan,nan,nan
0.022,1.1051e-05,1.34324e-08,0.732047,0.00168763,2.72512e-06,-0.000953175,0.0837307,-0.000212832,-0.0411946,1,318.934,0.304298,0.804756,nan,nan,nan,-0.000953176,-0.0837307,-0.000212842,-0.0411955,1,318.992,0.304299,0.804936,nan,nan,nan
0.024,2.19321e-05,1.92826e-08,0.731912,0.00544056,2.9251e-06,-0.000961311,0.0837342,-0.000259646,-0.0232984,1,262.718,0.306191,0.946072,nan,nan,nan,-0.000961315,-0.0837342,-0.000259658,-0.023299,1,262.771,0.306192,0.946313,nan,nan,nan
0.026,4.5126e-05,2.60857e-08,0.731798,0.011597,3.40157e-06,-0.000969359,0.0837365,-0.000282148,-0.011117,1,224.324,0.30821,1.00967,nan,nan,nan,-0.000969365,-0.0837365,-0.000282161,-0.0111174,1,224.089,0.308212,1.01019,nan,nan,nan
0.028,8.36241e-05,3.35449e-08,0.731696,0.0192491,3.72958e-06,-0.00097634,0.0837381,-0.000288547,-0.00304889,1,195.83,0.310261,1.02532,nan,nan,nan,-0.000976353,-0.0837382,-0.000288548,-0.00304294,1,195.57,0.310264,1.02606,nan,nan,nan
0.03,0.000138121,4.09826e-08,0.731601,0.0272484,3.71883e-06,-0.000982134,0.0837395,-0.000284504,0.00217901,1,174.95,0.312291,1.01519,nan,nan,nan,-0.000982156,-0.0837395,-0.000284486,0.00218882,1,174.924,0.312296,1.01596,nan,nan,nan
