t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733604,0,-0.0282225,-0.00217673,-0.999599,0,0.4,0,0,flat,0,8.637e-15,1.76043e-14,1,1.38091e-09,0,0,1
0.0399988,-3.55579e-06,-2.0233e-06,0,1.53091e-05,0.733606,0,-0.0282072,-0.00217862,-0.9996,-1.77175e-05,0.4,0,0,flat,0,1.10528e-14,2.05992e-14,1,1.04286e-09,0,0,1
0.0599988,-3.95812e-06,-3.16108e-06,0,2.88319e-05,0.733607,0,-0.0281937,-0.00218067,-0.9996,-3.35239e-05,0.4,0,0,flat,0,1.34688e-14,2.16598e-14,1,7.05595e-10,0,0,1
0.0799987,3.0268e-06,-3.61263e-06,0,4.77005e-05,0.733606,0,-0.0281748,-0.00218457,-0.999601,-5.27371e-05,0.4,0,0,flat,0,1.58253e-14,2.13507e-14,1,4.45233e-10,0,0,1
0.0999987,2.36109e-05,-3.70314e-06,0,7.20285e-05,0.733604,0,-0.0281505,-0.00218898,-0.999601,-6.92979e-05,0.4,0,0,flat,0,1.81245e-14,2.05427e-14,1,2.68183e-10,0,0,1
0.119999,6.29164e-05,-3.64409e-06,0,0.000109013,0.733599,0,-0.0281135,-0.00219474,-0.999602,-8.44281e-05,0.4,0,0,flat,0,2.03638e-14,1.98359e-14,1,1.55692e-10,0,0,1
0.139999,0.000129707,-3.43932e-06,0,0.000173436,0.733593,0,-0.0280491,-0.00220202,-0.999604,-9.7882e-05,0.4,0,0,flat,0,2.23629e-14,1.94531e-14,1,8.764e-11,0,0,1
0.159999,0.00021725,-3.16577e-06,0,0.00026623,0.733585,0,-0.0279563,-0.0022096,-0.999607,-0.000109199,0.4,0,0,flat,0,2.41149e-14,1.99718e-14,1,4.90106e-11,0,0,1
0.179999,0.000364913,-2.48564e-06,0,0.000433613,0.733575,0.000488281,-0.0277889,-0.00222064,-0.999611,-0.00012246,0.4,0,0,flat,0,2.56175e-14,2.19535e-14,1,2.77981e-11,0,0,1
0.199999,0.000544526,-9.71602e-07,0,0.000646465,0.733563,0.00059802,-0.027576,-0.00223238,-0.999617,-0.000134204,0.4,0,0,flat,0,2.68778e-14,2.60913e-14,1,1.62104e-11,0,0,1
