t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0557367,0,0.733363,0,-0.0250773,-0.00230115,-0.999683,0,0.3,0,0,DISABLED,0
0.0399988,1.20793e-05,1.16229e-06,0.0547529,1.43014e-05,0.733361,0,-0.025063,-0.00230239,-0.999683,-8.73744e-06,0.3,0,0,DISABLED,0
0.0599988,4.71007e-05,4.11901e-06,0.0533244,3.85679e-05,0.733355,0,-0.0250387,-0.00230599,-0.999684,-1.58227e-05,0.3,0,0,DISABLED,0
0.0799987,0.000120857,9.69064e-06,0.0519894,8.77418e-05,0.733344,0,-0.0249896,-0.00231081,-0.999685,-2.02486e-05,0.3,0,0,DISABLED,0
0.0999987,-0.000346541,0.000360965,0.0426718,0.00273933,0.733172,0.00373464,-0.022338,0.000211355,-0.99975,0.00301003,0.3,0,0,DISABLED,0
0.119999,-0.00103338,0.00167696,0.0238126,0.00625977,0.732821,0.00979613,-0.0188175,0.00522556,-0.999809,0.00535191,0.3,0,0,DISABLED,0
0.139999,-0.00127595,0.00349846,0.00651729,0.00760469,0.732631,0.0125632,-0.0174726,0.00769704,-0.999818,0.00581088,0.3,0,0,DISABLED,0
0.159999,-0.00126756,0.00552072,0.00363052,0.00817019,0.732615,0.0133499,-0.0169071,0.00825586,-0.999823,0.00615864,0.3,0,0,DISABLED,0
0.179999,-0.00112595,0.00767433,0.00422108,0.00884484,0.732686,0.0136414,-0.0162325,0.00808075,-0.999836,0.00672896,0.3,0,0,DISABLED,0
0.199999,-0.000795552,0.00999115,-0.0006423,0.00939596,0.732832,0.0135053,-0.0156814,0.00740006,-0.99985,0.00732643,0.3,0,0,DISABLED,0
0.219999,-0.000349376,0.0123065,-0.00918353,0.00986586,0.733013,0.0132962,-0.0152114,0.00661147,-0.999862,0.00778131,0.3,0,0,DISABLED,0
