t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.166334,0,0.306134,0.000345267,-0.407409,-0.253955,-0.877226,0,0,0,0.5,DISABLED,0
0.0399988,-0.0333798,-0.00920534,0.26784,-0.0387117,0.278253,0.042847,-0.446121,-0.247255,-0.86014,-0.0300049,0,0,0.5,DISABLED,0
0.0599988,-0.06536,-0.0200038,0.32552,-0.0891525,0.249097,0.105408,-0.496561,-0.210078,-0.842196,-0.0380296,0,0,0.5,DISABLED,0
0.0799987,-0.095382,-0.028179,0.0883154,-0.137043,0.224621,0.167275,-0.544452,-0.177568,-0.819782,-0.0393788,0,0,0.5,DISABLED,0
0.0999987,-0.128743,-0.0264778,-0.274438,-0.193265,0.197246,0.250689,-0.600674,-0.121296,-0.790239,-0.0348459,0,0,0.5,DISABLED,0
0.119999,-0.155712,-0.0109046,-0.62016,-0.234642,0.171458,0.312076,-0.642051,-0.0859347,-0.761831,-0.00448817,0,0,0.5,DISABLED,0
0.139999,-0.177951,0.00817819,-0.325776,-0.266128,0.144966,0.343917,-0.673537,-0.094175,-0.73313,0.031814,0,0,0.5,DISABLED,0
0.159999,-0.205713,0.0300611,-0.318215,-0.292258,0.107441,0.365949,-0.699667,-0.124042,-0.703619,0.0291001,0,0,0.5,DISABLED,0
0.179999,-0.235622,0.0457744,0.200812,-0.301659,0.0756368,0.371947,-0.709068,-0.153951,-0.688129,0.0099268,0,0,0.5,DISABLED,0
0.199999,-0.273455,0.0618021,0.350067,-0.334073,0.0458014,0.416723,-0.741482,-0.162334,-0.65104,0.0475889,0,0,0.5,DISABLED,0
0.219999,-0.311057,0.0840215,0.499945,-0.397286,0.0207536,0.515672,-0.804695,-0.156475,-0.572696,0.0844256,0,0,0.5,DISABLED,0
0.239999,-0.341851,0.114033,0.56222,-0.440771,0.00266421,0.59294,-0.84818,-0.144354,-0.509659,0.0418552,0,0,0.5,DISABLED,0
0.259999,-0.372554,0.145564,0.272609,-0.473314,-0.0142317,0.66024,-0.880723,-0.0932438,-0.464363,0.0357931,0,0,0.5,DISABLED,0
0.279999,-0.372554,0.145564,0.272609,-0.473314,-0.0142317,0.66024,-0.880723,-0.0932438,-0.464363,0.0357931,0,0,0.5,DISABLED,0
