t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0556098,0,0.733415,0,-0.0254347,-0.00212148,-0.999674,0,-0.25,0.2,0,DISABLED,0
0.0399988,2.82656e-06,3.55951e-06,0.054827,1.69277e-05,0.733416,0,-0.0254178,-0.00211734,-0.999675,-1.09074e-05,-0.25,0.2,0,DISABLED,0
0.0599988,-5.39236e-06,1.43102e-05,0.0537899,2.55369e-05,0.733419,0,-0.0254092,-0.00210488,-0.999675,-2.13226e-05,-0.25,0.2,0,DISABLED,0
0.0799987,-4.0845e-05,3.95265e-05,0.0524481,1.8822e-05,0.733425,0,-0.0254159,-0.00207879,-0.999675,-3.59123e-05,-0.25,0.2,0,DISABLED,0
0.0999987,-0.000777029,0.000441025,0.019905,0.00272733,0.733316,0.00353794,-0.0227074,0.000132282,-0.999742,0.00259603,-0.25,0.2,0,DISABLED,0
0.119999,-0.0019579,0.0018197,-0.00453562,0.00618923,0.733081,0.0092129,-0.0192455,0.00470578,-0.999804,0.00443091,-0.25,0.2,0,DISABLED,0
0.139999,-0.00300793,0.00367861,-0.0204739,0.00728633,0.732988,0.0116781,-0.0181484,0.007007,-0.999811,0.00448247,-0.25,0.2,0,DISABLED,0
0.159999,-0.00427941,0.0057359,-0.0216057,0.00789422,0.732991,0.0127329,-0.0175405,0.00787507,-0.999815,0.00462411,-0.25,0.2,0,DISABLED,0
0.179999,-0.00574818,0.00798092,-0.0211911,0.00839936,0.733041,0.0134478,-0.0170354,0.00838123,-0.99982,0.00465194,-0.25,0.2,0,DISABLED,0
0.199999,-0.00736865,0.0104441,-0.0249081,0.00880959,0.733136,0.0139011,-0.0166251,0.00863628,-0.999825,0.00463036,-0.25,0.2,0,DISABLED,0
0.219999,-0.00917655,0.013187,-0.030545,0.00928833,0.733296,0.0143775,-0.0161464,0.00885295,-0.99983,0.00456159,-0.25,0.2,0,DISABLED,0
0.239999,-0.0112155,0.0163267,-0.0331141,0.00993356,0.733525,0.0151053,-0.0155012,0.00926062,-0.999837,0.00431861,-0.25,0.2,0,DISABLED,0
0.259999,-0.0135296,0.0199938,-0.0283428,0.0108953,0.733798,0.0160838,-0.0145395,0.0097148,-0.999847,0.00388496,-0.25,0.2,0,DISABLED,0
0.279999,-0.0161066,0.0242387,-0.0194336,0.0121256,0.734069,0.017097,-0.0133091,0.00993255,-0.999862,0.00345482,-0.25,0.2,0,DISABLED,0
0.299999,-0.0188918,0.0291125,-0.0125239,0.0134088,0.734246,0.0181916,-0.0120259,0.0101772,-0.999876,0.00295098,-0.25,0.2,0,DISABLED,0
0.319999,-0.0219294,0.0346625,-0.010293,0.0150328,0.73415,0.0204033,-0.0104019,0.0116727,-0.999878,0.00247532,-0.25,0.2,0,DISABLED,0
0.339998,-0.0252873,0.0408988,-0.00479302,0.0173524,0.733534,0.0249126,-0.00808234,0.0157552,-0.999843,0.00278122,-0.25,0.2,0,DISABLED,0
0.359998,-0.0284194,0.0471486,0.0267858,0.0192176,0.732396,0.0306464,-0.00621714,0.0217509,-0.999744,0.00274215,-0.25,0.2,0,DISABLED,0
0.379998,-0.0323719,0.0539895,0.0776902,0.0200213,0.732373,0.0263815,-0.00541341,0.0150564,-0.999872,0.00377494,-0.25,0.2,0,DISABLED,0
0.399998,-0.0354611,0.0599514,0.0963752,0.016861,0.733538,0.0206616,-0.00857375,0.00981853,-0.999915,-0.000163675,-0.25,0.2,0,DISABLED,0
0.419998,-0.0385174,0.0659262,0.087853,0.0132105,0.734492,0.0203418,-0.0122243,0.0133442,-0.999836,-0.00436564,-0.25,0.2,0,DISABLED,0
0.439998,-0.0416794,0.071361,0.0661134,0.0100908,0.735178,0.0216368,-0.015344,0.0170197,-0.999737,-0.00636289,-0.25,0.2,0,DISABLED,0
0.459998,-0.0449349,0.0763328,0.0524597,0.00625043,0.735608,0.0225488,-0.0191843,0.0195446,-0.999625,-0.00941897,-0.25,0.2,0,DISABLED,0
0.479998,-0.0482408,0.0808419,0.0439743,0.00259207,0.735838,0.0228247,-0.0228427,0.020557,-0.999528,-0.0122634,-0.25,0.2,0,DISABLED,0
0.499998,-0.0515797,0.084902,0.0390928,-0.00121392,0.735927,0.0229419,-0.0266487,0.0207867,-0.999429,-0.0152515,-0.25,0.2,0,DISABLED,0
0.519998,-0.0549293,0.0885815,0.0334733,-0.00517569,0.735939,0.0233054,-0.0306104,0.0206009,-0.999319,-0.0186125,-0.25,0.2,0,DISABLED,0
0.539998,-0.0582867,0.0919202,0.028416,-0.00919171,0.735917,0.024115,-0.0346264,0.0201665,-0.999197,-0.0222711,-0.25,0.2,0,DISABLED,0
0.559998,-0.0616611,0.0948967,0.0227213,-0.0130812,0.735876,0.0251791,-0.0385159,0.0193848,-0.99907,-0.0260296,-0.25,0.2,0,DISABLED,0
0.579998,-0.0650252,0.0974269,0.0161215,-0.0167741,0.73583,0.0263566,-0.0422088,0.0181977,-0.998943,-0.0293369,-0.25,0.2,0,DISABLED,0
