t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.0425286,0,0.380349,0,0.0025614,-0.0857024,-0.996318,0,0,-0.3,0,DISABLED,0
0.0399988,-0.0137676,0.00347713,-0.0468327,0.0126656,0.374648,0.0435632,0.015227,-0.044106,-0.998911,-0.00166985,0,-0.3,0,DISABLED,0
0.0599988,-0.0306214,0.00948423,-0.00606585,0.0449284,0.364699,0.12332,0.0474898,0.0290385,-0.99845,0.0106403,0,-0.3,0,DISABLED,0
0.0799987,-0.051391,0.0168125,-0.0406415,0.0990168,0.350655,0.217623,0.101578,0.10747,-0.989006,0.0302927,0,-0.3,0,DISABLED,0
0.0999987,-0.0727857,0.0240111,-0.11905,0.153972,0.333715,0.284782,0.156533,0.15185,-0.97593,0.0400667,0,-0.3,0,DISABLED,0
0.119999,-0.0951509,0.0328061,-0.100769,0.192618,0.315118,0.326927,0.19518,0.174786,-0.965067,0.0223021,0,-0.3,0,DISABLED,0
0.139999,-0.114375,0.0425926,0.0439837,0.201149,0.304519,0.346281,0.20371,0.191684,-0.960083,-0.0170975,0,-0.3,0,DISABLED,0
0.159999,-0.134427,0.0508103,0.0423833,0.170296,0.295476,0.322132,0.172858,0.184563,-0.9675,-0.00963405,0,-0.3,0,DISABLED,0
0.179999,-0.156065,0.0581269,0.0322644,0.110814,0.287613,0.278971,0.113375,0.16875,-0.979117,0.0105284,0,-0.3,0,DISABLED,0
0.199999,-0.177396,0.0641869,0.0227865,0.0597464,0.282321,0.250454,0.0623078,0.156614,-0.985693,0.0317122,0,-0.3,0,DISABLED,0
0.219999,-0.201646,0.0698897,0.0279463,0.0252015,0.278936,0.235278,0.0277629,0.147551,-0.988665,0.0650815,0,-0.3,0,DISABLED,0
0.239999,-0.225209,0.0750323,0.062275,0.00601021,0.277065,0.226788,0.00857161,0.140433,-0.990053,0.101264,0,-0.3,0,DISABLED,0
