t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0555589,0,0.733422,0,-0.0255495,-0.00208444,-0.999671,0,0.25,0.2,0,DISABLED,0
0.0399988,9.34396e-06,3.34415e-06,0.053295,1.46627e-05,0.733421,0,-0.0255348,-0.00208335,-0.999672,-8.24651e-06,0.25,0.2,0,DISABLED,0
0.0599988,4.12865e-05,2.1525e-05,0.0503677,2.99439e-05,0.733414,0,-0.0255195,-0.00207456,-0.999672,-1.49241e-05,0.25,0.2,0,DISABLED,0
0.0799987,9.39704e-05,5.55718e-05,0.0478452,4.38113e-05,0.733403,0,-0.0255056,-0.00205841,-0.999673,-1.7351e-05,0.25,0.2,0,DISABLED,0
0.0999987,-0.000332057,0.000394783,0.0353346,0.00232374,0.733269,0.00300997,-0.0232257,-0.000178471,-0.99973,0.00260398,0.25,0.2,0,DISABLED,0
0.119999,-0.00103914,0.00175809,0.0156688,0.00567331,0.732924,0.0086799,-0.0198761,0.00447849,-0.999792,0.00466523,0.25,0.2,0,DISABLED,0
0.139999,-0.00137344,0.00370765,-0.000992835,0.00705062,0.732707,0.0116832,-0.0184988,0.00723054,-0.999803,0.00501552,0.25,0.2,0,DISABLED,0
0.159999,-0.00159817,0.00609147,-0.00164628,0.00797147,0.732654,0.0128169,-0.017578,0.0079552,-0.999814,0.0056844,0.25,0.2,0,DISABLED,0
0.179999,-0.00171164,0.00842911,0.000750661,0.0089155,0.73269,0.0134832,-0.016634,0.00802732,-0.999829,0.00632729,0.25,0.2,0,DISABLED,0
0.199999,-0.00164453,0.0109578,-0.00441456,0.00967627,0.732805,0.0135933,-0.0158732,0.00746044,-0.999846,0.00659787,0.25,0.2,0,DISABLED,0
0.219999,-0.00145459,0.0134556,-0.0143613,0.0102841,0.732974,0.0135053,-0.0152654,0.00666907,-0.999861,0.0067824,0.25,0.2,0,DISABLED,0
0.239999,-0.00112854,0.0169215,-0.0239662,0.0110703,0.733223,0.013545,-0.0144791,0.00572288,-0.999879,0.00717353,0.25,0.2,0,DISABLED,0
