t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.0283997,0,-0.882173,0,-0.0722863,0.311758,-0.947408,0,0,0.3,0,DISABLED,0
0.0399988,-0.0683937,0.0193175,-0.28838,0.0175691,-0.917867,0.100466,-0.0547172,0.404427,-0.912932,0.164941,0,0.3,0,DISABLED,0
0.0599988,-0.135021,0.0376469,-0.377555,0.0427791,-0.951173,0.148344,-0.0295072,0.443865,-0.895608,0.288237,0,0.3,0,DISABLED,0
0.0799987,-0.205032,0.053601,-0.203847,0.0864146,-0.98575,0.216899,0.0141284,0.494194,-0.869237,0.356758,0,0.3,0,DISABLED,0
0.0999987,-0.276511,0.0694243,-0.060913,0.14622,-1.02188,0.30847,0.0739333,0.55458,-0.828839,0.407623,0,0.3,0,DISABLED,0
0.119999,-0.347233,0.0850273,-0.11435,0.220273,-1.06014,0.405125,0.147986,0.605166,-0.782224,0.440109,0,0.3,0,DISABLED,0
0.139999,-0.407782,0.0981942,-0.104922,0.304139,-1.09655,0.502887,0.231852,0.641167,-0.731539,0.447884,0,0.3,0,DISABLED,0
0.159999,-0.478222,0.11565,-0.247643,0.394364,-1.14295,0.616614,0.322078,0.675322,-0.66348,0.452242,0,0.3,0,DISABLED,0
0.179999,-0.539561,0.135333,-0.451948,0.473753,-1.18582,0.726087,0.401467,0.701209,-0.589177,0.447742,0,0.3,0,DISABLED,0
0.199999,-0.600476,0.158933,-0.627723,0.543673,-1.23015,0.829846,0.471387,0.717968,-0.512168,0.442374,0,0.3,0,DISABLED,0
0.219999,-0.662743,0.184672,-0.682687,0.608779,-1.27842,0.928079,0.536492,0.722692,-0.435767,0.433417,0,0.3,0,DISABLED,0
0.239999,-0.662743,0.184672,-0.682687,0.608779,-1.27842,0.928079,0.536492,0.722692,-0.435767,0.433417,0,0.3,0,DISABLED,0
