t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.055691,0,0.733393,0.000345267,-0.0253078,-0.00226303,-0.999677,0,-0.3,0,0,DISABLED,0
0.0399988,1.6354e-06,3.53437e-07,0.0566025,1.62069e-05,0.733394,0,-0.0252916,-0.00226159,-0.999678,-9.91032e-06,-0.3,0,0,DISABLED,0
0.0599988,-1.56946e-05,4.20958e-07,0.0577414,3.39542e-05,0.733401,0,-0.0252739,-0.00225663,-0.999678,-2.67251e-05,-0.3,0,0,DISABLED,0
0.0799987,-5.98766e-05,-2.61934e-07,0.0587016,3.67276e-05,0.73341,0.000345267,-0.0252711,-0.00225064,-0.999678,-4.61236e-05,-0.3,0,0,DISABLED,0
0.0999987,-0.000823128,0.00034631,0.0249103,0.00276514,0.7333,0.00375056,-0.0225427,0.000256772,-0.999746,0.00258172,-0.3,0,0,DISABLED,0
0.119999,-0.00207167,0.00157971,0.00389454,0.00644664,0.733077,0.00982651,-0.0188612,0.00514961,-0.999809,0.0047573,-0.3,0,0,DISABLED,0
0.139999,-0.00317686,0.00331226,-0.0152473,0.00756843,0.733008,0.0123286,-0.0177394,0.0074654,-0.999815,0.00481686,-0.3,0,0,DISABLED,0
0.159999,-0.00439074,0.00525791,-0.0193077,0.00761806,0.733068,0.0128911,-0.0176897,0.00813327,-0.99981,0.00450853,-0.3,0,0,DISABLED,0
0.179999,-0.00567544,0.00714496,-0.0178881,0.00762935,0.733158,0.0130702,-0.0176785,0.00834249,-0.999809,0.00437445,-0.3,0,0,DISABLED,0
0.199999,-0.00744314,0.00965652,-0.020412,0.00772683,0.733295,0.0132693,-0.017581,0.00851911,-0.999809,0.00393488,-0.3,0,0,DISABLED,0
0.219999,-0.00926711,0.0122111,-0.0252133,0.00800604,0.733469,0.0136458,-0.0173018,0.00878667,-0.999812,0.00282355,-0.3,0,0,DISABLED,0
0.239999,-0.0110821,0.0148407,-0.0282542,0.00828149,0.733674,0.0142023,-0.0170263,0.00927211,-0.999812,0.00156423,-0.3,0,0,DISABLED,0
