t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0467969,0,0.71784,0,-0.128673,0.00186195,-0.991685,0,0,0,0,DISABLED,0
0.0399988,3.38256e-06,-0.000745173,0.0492699,-0.000388831,0.717839,0.000345267,-0.129062,0.0018765,-0.991635,-0.000924245,0,0,0,DISABLED,0
0.0599988,-1.30385e-05,-0.00110902,0.0526959,-0.000547245,0.717799,0.00059802,-0.12922,0.00221198,-0.991614,-0.00249557,0,0,0,DISABLED,0
0.0799987,-2.18451e-05,-0.00106064,0.0544834,-0.000562087,0.717727,0.00114512,-0.129235,0.00282172,-0.99161,-0.00459649,0,0,0,DISABLED,0
0.0999987,-1.78516e-05,-0.000662507,0.0540462,-0.000509068,0.717656,0.00161945,-0.129182,0.00342524,-0.991615,-0.00685117,0,0,0,DISABLED,0
0.119999,-3.97861e-06,0.00015761,0.0532114,-0.000445232,0.717554,0.00248976,-0.129118,0.00431403,-0.99162,-0.0100451,0,0,0,DISABLED,0
0.139999,3.00109e-05,0.00133461,0.0511041,-0.000469193,0.717436,0.00340049,-0.129142,0.00523013,-0.991612,-0.0136126,0,0,0,DISABLED,0
0.159999,6.11544e-05,0.00278353,0.0505131,-0.000483453,0.717317,0.00421452,-0.129156,0.00604885,-0.991606,-0.016668,0,0,0,DISABLED,0
0.179999,6.80238e-05,0.0043795,0.0529253,-0.00042595,0.71723,0.00459348,-0.129099,0.00643862,-0.991611,-0.0188201,0,0,0,DISABLED,0
0.199999,2.56002e-05,0.00609368,0.057643,-0.00025174,0.717149,0.00508611,-0.128924,0.00694748,-0.99163,-0.020778,0,0,0,DISABLED,0
0.219999,-6.06924e-05,0.0078178,0.060599,3.85493e-05,0.717073,0.00577743,-0.128634,0.00763968,-0.991663,-0.0226794,0,0,0,DISABLED,0
0.239999,-0.000173956,0.00943737,0.0625666,0.000469506,0.717,0.00659633,-0.128203,0.00844468,-0.991712,-0.0243037,0,0,0,DISABLED,0
