t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.051591,0,0.7166,0,-0.122272,-0.000321135,-0.992497,0,0,0,-0.5,DISABLED,0
0.0399988,-0.000153869,-0.00165267,0.0526356,-0.000893943,0.716676,0.00119604,-0.123166,-0.00108526,-0.992385,0.000219047,0,0,-0.5,DISABLED,0
0.0599988,-0.000234649,-0.00336121,0.0511077,-0.00175486,0.71677,0.00241687,-0.124027,-0.00196714,-0.992277,0.000140592,0,0,-0.5,DISABLED,0
0.0799987,-0.000898853,-0.00490267,0.0523915,0.00046584,0.716731,0.00124488,-0.121806,-0.00141441,-0.992553,0.000863343,0,0,-0.5,DISABLED,0
0.0999987,-0.00231938,-0.00559282,0.0846568,0.00637857,0.716445,0.00706745,-0.115894,0.00261217,-0.993258,0.00180264,0,0,-0.5,DISABLED,0
0.119999,-0.0034388,-0.00557449,0.0683582,0.0108982,0.716391,0.0121287,-0.111374,0.00485296,-0.993767,0.00134099,0,0,-0.5,DISABLED,0
0.139999,-0.00434506,-0.00508395,0.0396695,0.0141334,0.716621,0.0151369,-0.108139,0.00484591,-0.994124,-0.000609428,0,0,-0.5,DISABLED,0
0.159999,-0.00529146,-0.00423807,0.0210142,0.0171799,0.717042,0.0177773,-0.105092,0.0037936,-0.994455,-0.00320928,0,0,-0.5,DISABLED,0
0.179999,-0.00638776,-0.00300026,0.00973809,0.020349,0.717561,0.020653,-0.101923,0.00235174,-0.994789,-0.00622123,0,0,-0.5,DISABLED,0
0.199999,-0.00755031,-0.0012893,0.000425845,0.0230637,0.718118,0.0232285,-0.0992085,0.000671287,-0.995066,-0.009444,0,0,-0.5,DISABLED,0
0.219999,-0.00885092,0.000923524,-0.00527442,0.0255037,0.718634,0.0256645,-0.0967685,-0.000844304,-0.995307,-0.0128959,0,0,-0.5,DISABLED,0
0.239999,-0.0103268,0.00367351,-0.00699663,0.027844,0.719055,0.0280612,-0.0944282,-0.00204519,-0.99553,-0.0164896,0,0,-0.5,DISABLED,0
0.259999,-0.012018,0.00700355,-0.00268778,0.0303667,0.719344,0.0306425,-0.0919055,-0.00278951,-0.995764,-0.0198275,0,0,-0.5,DISABLED,0
0.279999,-0.0140557,0.0114303,0.00235423,0.032825,0.719477,0.0331471,-0.0894471,-0.00330374,-0.995986,-0.0236646,0,0,-0.5,DISABLED,0
0.299999,-0.0157813,0.0156623,0.00329432,0.0350915,0.719354,0.0353812,-0.0871807,-0.00289703,-0.996188,-0.0276776,0,0,-0.5,DISABLED,0
0.319999,-0.0178212,0.0209641,0.00279084,0.0376321,0.718713,0.0378448,-0.0846401,0.000459472,-0.996412,-0.0301608,0,0,-0.5,DISABLED,0
0.339998,-0.0200029,0.0270267,0.0172812,0.0406262,0.717188,0.0419427,-0.081646,0.00924397,-0.996619,-0.0301251,0,0,-0.5,DISABLED,0
0.359998,-0.0226616,0.0346488,0.0463785,0.0443585,0.714354,0.0510701,-0.0779137,0.0246296,-0.996656,-0.0270587,0,0,-0.5,DISABLED,0
0.379998,-0.0246834,0.0398707,0.0906298,0.045133,0.714068,0.0484505,-0.0771392,0.0167328,-0.99688,-0.0243524,0,0,-0.5,DISABLED,0
0.399998,-0.0261324,0.044932,0.106777,0.0432257,0.714387,0.0451969,-0.0790465,0.0121426,-0.996797,-0.0262439,0,0,-0.5,DISABLED,0
0.419998,-0.0280255,0.0503982,0.10326,0.0436272,0.714556,0.0454508,-0.078645,0.0116503,-0.996835,-0.033696,0,0,-0.5,DISABLED,0
0.439998,-0.0301292,0.0553949,0.0880705,0.0462598,0.714611,0.0478972,-0.0760124,0.01121,-0.997044,-0.042018,0,0,-0.5,DISABLED,0
0.459998,-0.0316058,0.0587582,0.0594457,0.0482804,0.714599,0.049553,-0.0739917,0.00976445,-0.997211,-0.0487216,0,0,-0.5,DISABLED,0
0.479998,-0.0329774,0.0619322,0.038306,0.0497136,0.714561,0.050655,-0.0725585,0.00808056,-0.997331,-0.0556085,0,0,-0.5,DISABLED,0
0.499998,-0.0342169,0.064622,0.0209538,0.0506433,0.71449,0.0513309,-0.0716288,0.00641418,-0.997411,-0.0628418,0,0,-0.5,DISABLED,0
0.519998,-0.035345,0.0668675,0.00858966,0.050979,0.714395,0.0514806,-0.0712932,0.00481134,-0.997444,-0.0702069,0,0,-0.5,DISABLED,0
0.539998,-0.0364074,0.0686964,0.00209463,0.0509522,0.714302,0.0513298,-0.0713199,0.00334942,-0.997448,-0.0775793,0,0,-0.5,DISABLED,0
0.559998,-0.0374219,0.0701445,-0.000138223,0.0507332,0.714243,0.051042,-0.0715389,0.00222151,-0.997435,-0.0845986,0,0,-0.5,DISABLED,0
0.579998,-0.0383686,0.0711871,-0.00266737,0.0500511,0.71424,0.0503184,-0.0722211,0.00123091,-0.997388,-0.0938009,0,0,-0.5,DISABLED,0
0.599998,-0.0392456,0.0717957,-0.00779054,0.0491228,0.714276,0.0493782,-0.0731494,0.000820555,-0.997321,-0.102105,0,0,-0.5,DISABLED,0
0.619998,-0.040004,0.0719758,-0.0147181,0.0482676,0.714322,0.0485181,-0.0740045,0.000730484,-0.997258,-0.110396,0,0,-0.5,DISABLED,0
0.639998,-0.040937,0.0716856,-0.0209356,0.047739,0.714366,0.0479893,-0.0745332,0.000759644,-0.997218,-0.122275,0,0,-0.5,DISABLED,0
0.659998,-0.0417162,0.0708959,-0.0256432,0.047628,0.714384,0.0478761,-0.0746441,0.000656396,-0.99721,-0.130589,0,0,-0.5,DISABLED,0
0.679998,-0.0423997,0.0695539,-0.0301635,0.0479492,0.714366,0.0481889,-0.074323,-1.45329e-05,-0.997234,-0.14217,0,0,-0.5,DISABLED,0
0.699998,-0.0430264,0.0676233,-0.0270476,0.0490189,0.714294,0.049273,-0.0732532,-0.00143256,-0.997312,-0.152884,0,0,-0.5,DISABLED,0
0.719998,-0.0436258,0.065097,-0.0203383,0.0509468,0.714162,0.0512996,-0.0713254,-0.00362435,-0.997447,-0.163846,0,0,-0.5,DISABLED,0
0.739998,-0.0441213,0.0619447,-0.0127512,0.0532181,0.713938,0.0538194,-0.0690541,-0.00645479,-0.997592,-0.17482,0,0,-0.5,DISABLED,0
0.759998,-0.0446619,0.0578314,-0.00292006,0.0562907,0.713474,0.057318,-0.0659815,-0.00969869,-0.997774,-0.186564,0,0,-0.5,DISABLED,0
