t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0544717,0,0.733622,0,-0.0299025,-0.00128709,-0.999552,0,0,0.3,0,DISABLED,0
0.0399988,5.83939e-06,-1.55461e-06,0.0519098,1.11703e-05,0.733622,0,-0.0298913,-0.00128807,-0.999552,-7.77189e-06,0,0.3,0,DISABLED,0
0.0599988,1.49719e-05,9.60403e-06,0.0486779,1.72202e-05,0.733621,0.000345267,-0.0298853,-0.001278,-0.999552,-8.19657e-06,0,0.3,0,DISABLED,0
0.0799987,2.487e-05,4.21928e-05,0.0452021,1.3819e-05,0.733619,0,-0.0298887,-0.00125154,-0.999552,2.9197e-06,0,0.3,0,DISABLED,0
0.0999987,-0.000643864,0.000417348,0.0256211,0.00284861,0.733525,0.00331169,-0.0270539,0.000440707,-0.999634,0.0029095,0,0.3,0,DISABLED,0
0.119999,-0.00162863,0.00178542,0.0057413,0.00635138,0.733323,0.00817053,-0.0235511,0.00385208,-0.999715,0.00492035,0,0.3,0,DISABLED,0
0.139999,-0.00251264,0.00370502,-0.0122528,0.00825808,0.733252,0.0107921,-0.0216444,0.00565672,-0.99975,0.0055225,0,0.3,0,DISABLED,0
0.159999,-0.00338278,0.00582906,-0.017187,0.00914477,0.7333,0.0115291,-0.0207577,0.00573597,-0.999768,0.00595226,0,0.3,0,DISABLED,0
0.179999,-0.00433264,0.00816706,-0.0176795,0.00985362,0.73338,0.0119055,-0.0200489,0.00539809,-0.999784,0.0062945,0,0.3,0,DISABLED,0
0.199999,-0.0053165,0.0107336,-0.020012,0.010423,0.733491,0.0119754,-0.0194796,0.00461466,-0.9998,0.00659249,0,0.3,0,DISABLED,0
0.219999,-0.00636165,0.0135266,-0.0252449,0.0110656,0.733635,0.0121238,-0.0188369,0.0036492,-0.999816,0.00719448,0,0.3,0,DISABLED,0
0.239999,-0.00747399,0.0166744,-0.0299921,0.0117948,0.733811,0.0124823,-0.0181077,0.00278145,-0.999832,0.00793713,0,0.3,0,DISABLED,0
0.259999,-0.00872567,0.0202768,-0.0308886,0.0127283,0.734003,0.0132153,-0.0171742,0.00225208,-0.99985,0.00871423,0,0.3,0,DISABLED,0
0.279999,-0.010136,0.0243983,-0.0274288,0.0140791,0.734206,0.0144189,-0.0158234,0.00180413,-0.999873,0.00973129,0,0.3,0,DISABLED,0
0.299999,-0.0117132,0.0290953,-0.0231433,0.0160424,0.734396,0.0162937,-0.0138601,0.00155062,-0.999903,0.0107785,0,0.3,0,DISABLED,0
0.319999,-0.0134627,0.0343878,-0.0232429,0.0182037,0.734485,0.0185389,-0.0116988,0.00221281,-0.999929,0.0116596,0,0.3,0,DISABLED,0
0.339998,-0.0154166,0.040254,-0.0216472,0.0208782,0.73427,0.0217824,-0.00902427,0.00490373,-0.999947,0.0125553,0,0.3,0,DISABLED,0
0.359998,-0.0174482,0.0467592,0.00187597,0.023566,0.733434,0.0269139,-0.00633651,0.0117067,-0.999911,0.0140668,0,0.3,0,DISABLED,0
0.379998,-0.0195454,0.0532991,0.0491831,0.0256661,0.73265,0.0300195,-0.00423643,0.0142793,-0.999889,0.0167149,0,0.3,0,DISABLED,0
0.399998,-0.0211659,0.0591561,0.113392,0.0242768,0.733416,0.0254124,-0.00562573,0.00621119,-0.999965,0.0164522,0,0.3,0,DISABLED,0
0.419998,-0.0224082,0.0653406,0.0908298,0.0210084,0.734079,0.0220624,-0.00889413,0.00544115,-0.999946,0.0139944,0,0.3,0,DISABLED,0
0.439998,-0.0236959,0.0711235,0.0689552,0.0180722,0.734417,0.0197621,-0.0118303,0.00670267,-0.999908,0.0118269,0,0.3,0,DISABLED,0
0.459998,-0.0249935,0.07652,0.0519309,0.0151311,0.734576,0.0177773,-0.0147714,0.00804418,-0.999859,0.00980809,0,0.3,0,DISABLED,0
0.479998,-0.0262807,0.0815516,0.0402209,0.0121471,0.734635,0.0158373,-0.0177554,0.00886939,-0.999803,0.00805993,0,0.3,0,DISABLED,0
0.499998,-0.0274948,0.0862126,0.0328273,0.00897956,0.734662,0.0139738,-0.020923,0.00942092,-0.999737,0.00624685,0,0.3,0,DISABLED,0
0.519998,-0.0285693,0.0905443,0.0270102,0.00550536,0.734686,0.0126907,-0.0243971,0.0101489,-0.999651,0.00451204,0,0.3,0,DISABLED,0
0.539998,-0.0294665,0.0945743,0.0224769,0.00180001,0.734702,0.0121287,-0.0281025,0.0107029,-0.999548,0.00271551,0,0.3,0,DISABLED,0
0.559998,-0.0302266,0.0983269,0.018971,-0.00167386,0.734743,0.0126813,-0.0315764,0.0112861,-0.999438,0.000900013,0,0.3,0,DISABLED,0
0.579998,-0.0307941,0.101721,0.0141298,-0.00481125,0.734825,0.0141308,-0.0347138,0.0119994,-0.999325,-0.000213291,0,0.3,0,DISABLED,0
0.599998,-0.0311477,0.104675,0.00606701,-0.00740602,0.734946,0.0157921,-0.0373085,0.0126602,-0.999224,-0.000975248,0,0.3,0,DISABLED,0
