t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0543132,0,0.733617,0.000345267,-0.030092,-0.00181874,-0.999545,0,0,-0.3,0,DISABLED,0
0.0399988,5.13345e-06,-8.58831e-06,0.0567308,1.76989e-05,0.733618,0.000345267,-0.0300743,-0.00182763,-0.999546,-1.50837e-05,0,-0.3,0,DISABLED,0
0.0599988,9.81055e-06,-3.50522e-05,0.0593186,4.26434e-05,0.733621,0.000345267,-0.0300493,-0.00185004,-0.999547,-3.69828e-05,0,-0.3,0,DISABLED,0
0.0799987,1.40481e-05,-8.85313e-05,0.0617178,8.43182e-05,0.733625,0.000345267,-0.0300076,-0.00189367,-0.999548,-6.62077e-05,0,-0.3,0,DISABLED,0
0.0999987,-0.000516053,3.40649e-05,0.044706,0.00251084,0.733529,0.00312653,-0.0275811,2.65527e-05,-0.99962,0.00230545,0,-0.3,0,DISABLED,0
0.119999,-0.00153017,0.000959776,0.0384355,0.00667041,0.73329,0.00936053,-0.0234215,0.00474367,-0.999714,0.00467204,0,-0.3,0,DISABLED,0
0.139999,-0.00216967,0.00238605,0.0103548,0.00837127,0.733184,0.0124297,-0.0217207,0.00735985,-0.999737,0.00547351,0,-0.3,0,DISABLED,0
0.159999,-0.00268309,0.00398485,-0.00552642,0.00874598,0.733264,0.0128029,-0.021346,0.00752717,-0.999744,0.00580741,0,-0.3,0,DISABLED,0
0.179999,-0.00328533,0.00584861,-0.00611022,0.00888771,0.733453,0.012212,-0.0212042,0.00655071,-0.999754,0.00609735,0,-0.3,0,DISABLED,0
0.199999,-0.00378962,0.00747197,-0.00553498,0.00894309,0.733641,0.01142,-0.0211489,0.00528052,-0.999762,0.00622313,0,-0.3,0,DISABLED,0
0.219999,-0.00435582,0.00943743,-0.00736198,0.00901806,0.733861,0.0106587,-0.0210739,0.00385468,-0.99977,0.00629771,0,-0.3,0,DISABLED,0
0.239999,-0.00496266,0.0117297,-0.00876898,0.00925336,0.734071,0.0103177,-0.0208386,0.00274277,-0.999779,0.00641203,0,-0.3,0,DISABLED,0
0.259999,-0.00569134,0.0144746,-0.0091736,0.0100262,0.734255,0.0107478,-0.0200657,0.00203826,-0.999797,0.00687135,0,-0.3,0,DISABLED,0
0.279999,-0.00662608,0.0181232,-0.00765151,0.0113852,0.734362,0.0118955,-0.0187068,0.00160669,-0.999824,0.0074809,0,-0.3,0,DISABLED,0
0.299999,-0.0076144,0.0220966,-0.00864241,0.0130471,0.734152,0.0137502,-0.0170449,0.00250373,-0.999852,0.00789424,0,-0.3,0,DISABLED,0
0.319999,-0.00863803,0.0262156,-0.00375158,0.0149634,0.733372,0.0167768,-0.0151285,0.00575732,-0.999869,0.00859843,0,-0.3,0,DISABLED,0
0.339998,-0.00971796,0.0308154,0.0268839,0.0171935,0.731821,0.02109,-0.0128984,0.0103901,-0.999863,0.0116454,0,-0.3,0,DISABLED,0
0.359998,-0.0106514,0.0349918,0.0755297,0.0157321,0.731986,0.0158712,-0.0143598,0.000253349,-0.999897,0.0124714,0,-0.3,0,DISABLED,0
0.379998,-0.0111402,0.0395426,0.0691595,0.0123129,0.732831,0.0123816,-0.0177791,-0.0005772,-0.999842,0.0102117,0,-0.3,0,DISABLED,0
0.399998,-0.0119229,0.0432597,0.076748,0.0115149,0.73359,0.0123816,-0.0185771,0.00272132,-0.999824,0.009626,0,-0.3,0,DISABLED,0
0.419998,-0.0127859,0.0463674,0.0664318,0.0115138,0.734302,0.0137978,-0.0185781,0.00577443,-0.999811,0.00950721,0,-0.3,0,DISABLED,0
0.439998,-0.0136168,0.0488986,0.0481661,0.0113133,0.734919,0.0154139,-0.0187787,0.0086521,-0.999786,0.00974968,0,-0.3,0,DISABLED,0
0.459998,-0.0143855,0.0508329,0.0302134,0.010599,0.735377,0.0167661,-0.019493,0.011167,-0.999748,0.0101956,0,-0.3,0,DISABLED,0
0.479998,-0.015032,0.0520229,0.0168968,0.00954381,0.735633,0.0173771,-0.0205481,0.0126971,-0.999708,0.0104191,0,-0.3,0,DISABLED,0
0.499998,-0.0156874,0.0527366,0.00755963,0.00770736,0.735771,0.0170761,-0.0223846,0.013422,-0.999659,0.0096211,0,-0.3,0,DISABLED,0
0.519998,-0.0163054,0.0527915,0.00269833,0.00582956,0.735842,0.0161282,-0.0242624,0.0132201,-0.999618,0.00807154,0,-0.3,0,DISABLED,0
0.539998,-0.0167111,0.052315,-0.00073719,0.00346522,0.7359,0.0149944,-0.0266267,0.0127654,-0.999564,0.00528439,0,-0.3,0,DISABLED,0
0.559998,-0.0170165,0.0512004,-0.00321034,0.000902757,0.73596,0.0141139,-0.0291892,0.0122646,-0.999499,0.00256669,0,-0.3,0,DISABLED,0
0.579998,-0.0171792,0.0492494,-0.00601393,-0.00188055,0.735996,0.0135977,-0.0319725,0.0116431,-0.999421,-0.000293223,0,-0.3,0,DISABLED,0
0.599998,-0.0171709,0.0471002,-0.0097374,-0.00373844,0.735984,0.0134567,-0.0338304,0.0111069,-0.999366,-0.00220002,0,-0.3,0,DISABLED,0
0.619998,-0.0169971,0.0438309,-0.0144306,-0.00585476,0.735887,0.0132513,-0.0359467,0.0100628,-0.999303,-0.00459579,0,-0.3,0,DISABLED,0
0.639998,-0.0166696,0.0402772,-0.019779,-0.00671072,0.735707,0.0124201,-0.0368027,0.00862696,-0.999285,-0.00639318,0,-0.3,0,DISABLED,0
0.659998,-0.0162394,0.0366425,-0.025786,-0.00663324,0.735485,0.0109511,-0.0367252,0.00688839,-0.999302,-0.00783394,0,-0.3,0,DISABLED,0
0.679998,-0.0155298,0.0316448,-0.0324299,-0.00539498,0.735153,0.00798607,-0.0354869,0.00406175,-0.999362,-0.00953964,0,-0.3,0,DISABLED,0
0.699998,-0.0147519,0.0271172,-0.035575,-0.00362886,0.734857,0.00472146,-0.0337208,0.00118831,-0.999431,-0.0110014,0,-0.3,0,DISABLED,0
0.719998,-0.013547,0.0209841,-0.0333733,-0.000653276,0.734471,0.00138107,-0.0307452,-0.00303102,-0.999523,-0.0126351,0,-0.3,0,DISABLED,0
0.739998,-0.0121102,0.0147757,-0.0251573,0.00217778,0.734095,0.00599017,-0.0279142,-0.00740039,-0.999583,-0.0136306,0,-0.3,0,DISABLED,0
0.759998,-0.010696,0.00865356,-0.00921097,0.0053333,0.733572,0.012212,-0.0247587,-0.0128005,-0.999611,-0.0149034,0,-0.3,0,DISABLED,0
0.779998,-0.00890438,0.000804876,0.00238264,0.00987307,0.732838,0.0194796,-0.0202189,-0.0186084,-0.999622,-0.016264,0,-0.3,0,DISABLED,0
0.799998,-0.00749408,-0.00483236,0.00240651,0.0130012,0.733377,0.0163156,-0.0170908,-0.0116675,-0.999786,-0.0140978,0,-0.3,0,DISABLED,0
0.819998,-0.00615779,-0.0112531,-0.00453654,0.015984,0.733986,0.0169675,-0.0141079,-0.0074983,-0.999872,-0.0113363,0,-0.3,0,DISABLED,0
0.839998,-0.00515644,-0.0176231,0.000408888,0.0178368,0.734377,0.0199513,-0.0122551,-0.0107468,-0.999867,-0.00982609,0,-0.3,0,DISABLED,0
0.859998,-0.0040948,-0.0240685,-0.00173435,0.0173524,0.734891,0.0245048,-0.0127395,-0.0191168,-0.999736,-0.0100659,0,-0.3,0,DISABLED,0
0.879998,-0.00342481,-0.0288855,-0.00933585,0.0167136,0.735298,0.0288365,-0.0133783,-0.0253149,-0.99959,-0.00967354,0,-0.3,0,DISABLED,0
0.899998,-0.00292979,-0.0337883,-0.00988227,0.0167523,0.735581,0.0324234,-0.0133396,-0.0295763,-0.999474,-0.00849061,0,-0.3,0,DISABLED,0
0.919998,-0.00265272,-0.0382766,-0.00678813,0.0175506,0.735636,0.0343883,-0.0125414,-0.0313876,-0.999429,-0.00688291,0,-0.3,0,DISABLED,0
0.939998,-0.00251525,-0.0423646,-0.00489786,0.0186238,0.735548,0.0354115,-0.0114682,-0.0319333,-0.999424,-0.00594106,0,-0.3,0,DISABLED,0
0.959998,-0.00250003,-0.0464785,-0.00882071,0.0194197,0.735392,0.0359014,-0.0106722,-0.0320119,-0.999431,-0.00565091,0,-0.3,0,DISABLED,0
0.979998,-0.00261278,-0.0496332,-0.0169215,0.0199062,0.735253,0.0361809,-0.0101857,-0.0320272,-0.999435,-0.00541409,0,-0.3,0,DISABLED,0
0.999998,-0.00287751,-0.0529525,-0.0283611,0.0201841,0.735093,0.03626,-0.00990789,-0.0319375,-0.999441,-0.00514318,0,-0.3,0,DISABLED,0
1.02,-0.0033015,-0.0560589,-0.038366,0.0202946,0.734934,0.0358997,-0.00979738,-0.0314279,-0.999458,-0.00485614,0,-0.3,0,DISABLED,0
1.04,-0.00388558,-0.0588874,-0.0428632,0.0203675,0.734806,0.0347693,-0.00972443,-0.0299957,-0.999503,-0.00448963,0,-0.3,0,DISABLED,0
1.06,-0.0045829,-0.0614037,-0.0402588,0.0203856,0.734764,0.0331238,-0.00970634,-0.0279224,-0.999563,-0.00383737,0,-0.3,0,DISABLED,0
1.08,-0.00536846,-0.0637915,-0.0286258,0.0203049,0.734872,0.0317077,-0.00978702,-0.0261711,-0.99961,-0.00261422,0,-0.3,0,DISABLED,0
1.1,-0.00600601,-0.0653772,-0.0136893,0.0203482,0.735061,0.0311653,-0.00974375,-0.0254213,-0.999629,-0.00148159,0,-0.3,0,DISABLED,0
1.12,-0.00669045,-0.0667156,0.00174966,0.0203204,0.735404,0.0304102,-0.00977154,-0.0244401,-0.999654,-0.000243276,0,-0.3,0,DISABLED,0
1.14,-0.00708104,-0.0672854,0.0223877,0.0199785,0.735762,0.0291797,-0.0101135,-0.0230817,-0.999682,0.000642415,0,-0.3,0,DISABLED,0
1.16,-0.00753642,-0.0673521,0.046688,0.0199604,0.73606,0.0268318,-0.0101315,-0.0197494,-0.999754,0.0015953,0,-0.3,0,DISABLED,0
1.18,-0.0078458,-0.0668181,0.0697859,0.0197458,0.735854,0.0232824,-0.0103462,-0.0141474,-0.999846,0.00196437,0,-0.3,0,DISABLED,0
1.2,-0.00801882,-0.0660001,0.0851495,0.0189024,0.735131,0.0197138,-0.0111896,-0.00740017,-0.99991,0.00177595,0,-0.3,0,DISABLED,0
1.22,-0.00825443,-0.0654718,0.0933745,0.0172464,0.734812,0.0182733,-0.0128456,-0.00784447,-0.999887,0.0020208,0,-0.3,0,DISABLED,0
1.24,-0.00863636,-0.0649654,0.0742952,0.015854,0.735049,0.0180831,-0.014238,-0.0105057,-0.999843,0.00258644,0,-0.3,0,DISABLED,0
1.26,-0.00905396,-0.0640406,0.0473309,0.0144036,0.735177,0.0159872,-0.0156884,-0.00874062,-0.999839,0.00396812,0,-0.3,0,DISABLED,0
1.28,-0.00941345,-0.0629397,0.0226714,0.0116231,0.735474,0.0116372,-0.0184689,-0.0022326,-0.999827,0.00539786,0,-0.3,0,DISABLED,0
1.3,-0.00956517,-0.0622547,0.00684804,0.00792815,0.73586,0.0108196,-0.0221638,0.00553901,-0.999739,0.00647673,0,-0.3,0,DISABLED,0
1.32,-0.00958548,-0.0622305,-0.00327873,0.00448268,0.736212,0.0144972,-0.0256093,0.0119671,-0.9996,0.00722009,0,-0.3,0,DISABLED,0
1.34,-0.00948069,-0.0628513,-0.0107011,0.00158017,0.736526,0.0188545,-0.0285118,0.016968,-0.999449,0.00696593,0,-0.3,0,DISABLED,0
1.36,-0.00916492,-0.0640761,-0.0135997,-0.00111692,0.736833,0.0229938,-0.0312089,0.0211442,-0.999289,0.00556489,0,-0.3,0,DISABLED,0
1.38,-0.00856537,-0.0661516,-0.0122235,-0.00365324,0.737114,0.026022,-0.0337452,0.0239418,-0.999144,0.00307695,0,-0.3,0,DISABLED,0
1.4,-0.00792511,-0.068464,-0.009532,-0.00574885,0.737253,0.0276891,-0.0358408,0.0252602,-0.999038,0.000515655,0,-0.3,0,DISABLED,0
1.42,-0.00712804,-0.0717042,-0.00549167,-0.00700195,0.737293,0.0280612,-0.0370939,0.0253487,-0.99899,-0.00177458,0,-0.3,0,DISABLED,0
1.44,-0.00619304,-0.0761266,-0.00134331,-0.00716404,0.737186,0.0271235,-0.037256,0.0243349,-0.999009,-0.00386352,0,-0.3,0,DISABLED,0
1.46,-0.00541455,-0.080379,0.00149116,-0.00605845,0.73697,0.02473,-0.0361504,0.0221532,-0.999101,-0.00569292,0,-0.3,0,DISABLED,0
1.48,-0.00455577,-0.0856736,0.0033192,-0.00370095,0.736605,0.0209738,-0.0337929,0.0188233,-0.999252,-0.0077451,0,-0.3,0,DISABLED,0
1.5,-0.00368017,-0.091474,0.00867027,-0.000378339,0.736125,0.0162571,-0.0304703,0.0144311,-0.999431,-0.00980618,0,-0.3,0,DISABLED,0
1.52,-0.00269474,-0.097741,0.0151792,0.00370752,0.73556,0.0111933,-0.0263844,0.00874455,-0.999614,-0.0116769,0,-0.3,0,DISABLED,0
1.54,-0.00143262,-0.105182,0.014481,0.00730794,0.734832,0.00848545,-0.022784,0.00249086,-0.999737,-0.0127749,0,-0.3,0,DISABLED,0
1.56,-0.000241982,-0.11237,0.0116757,0.0110884,0.733981,0.0116985,-0.0190035,-0.00552489,-0.999804,-0.013654,0,-0.3,0,DISABLED,0
1.58,0.00087703,-0.11917,-0.00515643,0.0146085,0.733306,0.0171214,-0.0154835,-0.0107322,-0.999822,-0.0144222,0,-0.3,0,DISABLED,0
1.6,0.00181373,-0.124409,-0.0166518,0.0174257,0.73375,0.0177806,-0.0126662,-0.00532692,-0.999906,-0.0125547,0,-0.3,0,DISABLED,0
1.62,0.00256987,-0.130484,-0.0152585,0.0192226,0.73429,0.0193753,-0.0108694,-0.00423344,-0.999932,-0.00962359,0,-0.3,0,DISABLED,0
1.64,0.00302983,-0.13651,0.00210363,0.0195985,0.734736,0.0211097,-0.0104934,-0.00965156,-0.999898,-0.00817417,0,-0.3,0,DISABLED,0
1.66,0.00354462,-0.142569,0.00644785,0.0182117,0.735275,0.024378,-0.0118803,-0.0180235,-0.999767,-0.00886183,0,-0.3,0,DISABLED,0
1.68,0.00388572,-0.147616,0.00113449,0.0165803,0.735748,0.0294987,-0.0135117,-0.0262132,-0.999565,-0.00918158,0,-0.3,0,DISABLED,0
1.7,0.00395692,-0.151931,-0.00178143,0.0163972,0.736025,0.033131,-0.0136947,-0.0306047,-0.999438,-0.00797945,0,-0.3,0,DISABLED,0
1.72,0.00393026,-0.156496,-0.00151533,0.0167065,0.736147,0.0355191,-0.0133855,-0.0331613,-0.99936,-0.0065919,0,-0.3,0,DISABLED,0
1.74,0.00381285,-0.161253,-0.00279385,0.0174162,0.736083,0.0372846,-0.0126757,-0.0347822,-0.999315,-0.00555075,0,-0.3,0,DISABLED,0
1.76,0.00361542,-0.165401,-0.0076848,0.0179605,0.735923,0.038285,-0.0121314,-0.0356242,-0.999292,-0.00515625,0,-0.3,0,DISABLED,0
1.78,0.00335817,-0.169001,-0.0153165,0.0182485,0.73576,0.0390375,-0.0118435,-0.0363245,-0.99927,-0.00493197,0,-0.3,0,DISABLED,0
1.8,0.0029935,-0.172825,-0.0262083,0.0182945,0.735575,0.0392553,-0.0117974,-0.0365458,-0.999262,-0.00486978,0,-0.3,0,DISABLED,0
