t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0543502,0,0.733617,0.000345267,-0.0300983,-0.00184433,-0.999545,0,-0.25,0.2,0,DISABLED,0
0.0399988,3.62284e-06,-2.98442e-06,0.0533698,1.3968e-05,0.733619,0.000345267,-0.0300843,-0.00184532,-0.999546,-1.36998e-05,-0.25,0.2,0,DISABLED,0
0.0599988,-4.52809e-06,-1.47504e-06,0.0521082,2.14167e-05,0.733622,0.000345267,-0.0300769,-0.00183716,-0.999546,-2.29347e-05,-0.25,0.2,0,DISABLED,0
0.0799987,-3.73852e-05,7.25762e-06,0.0505572,1.13435e-05,0.733629,0.000345267,-0.0300869,-0.00181906,-0.999546,-2.45254e-05,-0.25,0.2,0,DISABLED,0
0.0999987,-0.000690252,0.00025113,0.0234218,0.00242838,0.733571,0.00282613,-0.0276699,-0.00040818,-0.999617,0.00239518,-0.25,0.2,0,DISABLED,0
0.119999,-0.0018339,0.00127556,0.00467631,0.00649682,0.733425,0.00823593,-0.0236014,0.00320446,-0.999716,0.0048239,-0.25,0.2,0,DISABLED,0
0.139999,-0.00309585,0.00317969,-0.0145731,0.0082557,0.73338,0.0107478,-0.0218426,0.00503247,-0.999749,0.0051139,-0.25,0.2,0,DISABLED,0
0.159999,-0.00433318,0.00513796,-0.0240833,0.00884132,0.733445,0.0112305,-0.0212569,0.005073,-0.999761,0.00502579,-0.25,0.2,0,DISABLED,0
0.179999,-0.005827,0.00728409,-0.0260309,0.00947325,0.733525,0.0115291,-0.020625,0.00472055,-0.999776,0.00498749,-0.25,0.2,0,DISABLED,0
0.199999,-0.00761186,0.0098994,-0.0274827,0.00983952,0.733665,0.0114304,-0.0202588,0.00396336,-0.999787,0.0049124,-0.25,0.2,0,DISABLED,0
0.219999,-0.00924862,0.0122672,-0.0304202,0.0102462,0.733816,0.0115446,-0.0198521,0.00346172,-0.999797,0.00489025,-0.25,0.2,0,DISABLED,0
0.239999,-0.0110775,0.014908,-0.033224,0.0108587,0.734002,0.0119555,-0.0192396,0.00314461,-0.99981,0.00485089,-0.25,0.2,0,DISABLED,0
0.259999,-0.0136286,0.0186447,-0.0307139,0.012053,0.734266,0.012997,-0.0180453,0.0029984,-0.999833,0.00474978,-0.25,0.2,0,DISABLED,0
0.279999,-0.0162467,0.022602,-0.0215959,0.0135253,0.734531,0.0143526,-0.016573,0.00293896,-0.999858,0.0045229,-0.25,0.2,0,DISABLED,0
0.299999,-0.0190861,0.0271135,-0.0132602,0.0150782,0.734755,0.0158411,-0.01502,0.00299943,-0.999883,0.00398476,-0.25,0.2,0,DISABLED,0
0.319999,-0.0219025,0.0316776,-0.00840855,0.0168908,0.734798,0.0178909,-0.0132075,0.00403393,-0.999905,0.00354073,-0.25,0.2,0,DISABLED,0
0.339998,-0.0260263,0.0384633,-0.00238991,0.0199046,0.734373,0.0222534,-0.0101937,0.00810161,-0.999915,0.00368343,-0.25,0.2,0,DISABLED,0
0.359998,-0.0293182,0.0441394,0.0270723,0.0222106,0.733457,0.0275834,-0.00788767,0.0145053,-0.999864,0.00420377,-0.25,0.2,0,DISABLED,0
0.379998,-0.033435,0.0508819,0.0750636,0.0236797,0.73282,0.029367,-0.00641859,0.0155194,-0.999859,0.00519045,-0.25,0.2,0,DISABLED,0
