t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0543466,0,0.733617,0,-0.0300991,-0.00184932,-0.999545,0,0,0,0,DISABLED,0
0.0399988,5.69411e-06,-4.16231e-06,0.0543553,1.53445e-05,0.733618,0.000345267,-0.0300838,-0.00185398,-0.999546,-1.45435e-05,0,0,0,DISABLED,0
0.0599988,1.26753e-05,-8.61485e-06,0.054364,3.09162e-05,0.733619,0,-0.0300682,-0.00185857,-0.999546,-2.93124e-05,0,0,0,DISABLED,0
0.0799987,1.96546e-05,-1.25598e-05,0.054373,4.8317e-05,0.733619,0,-0.0300508,-0.00186354,-0.999547,-4.5795e-05,0,0,0,DISABLED,0
0.0999987,2.64272e-05,-1.60336e-05,0.0543833,6.2773e-05,0.73362,0,-0.0300364,-0.00186756,-0.999547,-5.94743e-05,0,0,0,DISABLED,0
0.119999,3.44701e-05,-1.98155e-05,0.0543907,7.90786e-05,0.73362,0,-0.0300201,-0.00187196,-0.999548,-7.48578e-05,0,0,0,DISABLED,0
0.139999,4.39119e-05,-2.38911e-05,0.0544004,9.56375e-05,0.733621,0.000345267,-0.0300035,-0.00187631,-0.999548,-9.04407e-05,0,0,0,DISABLED,0
0.159999,5.20591e-05,-2.7168e-05,0.0544101,0.000112472,0.733621,0,-0.0299867,-0.0018806,-0.999549,-0.000106219,0,0,0,DISABLED,0
0.179999,6.15045e-05,-3.07559e-05,0.0544201,0.000129616,0.733621,0.000345267,-0.0299695,-0.00188483,-0.999549,-0.000122195,0,0,0,DISABLED,0
0.199999,7.03242e-05,-3.39415e-05,0.0544302,0.000145303,0.733622,0,-0.0299538,-0.00188859,-0.99955,-0.000136731,0,0,0,DISABLED,0
0.219999,8.14591e-05,-3.77871e-05,0.0544394,0.000164766,0.733622,0.000345267,-0.0299344,-0.00189312,-0.99955,-0.000154696,0,0,0,DISABLED,0
0.239999,9.18824e-05,-4.12415e-05,0.0544514,0.00018451,0.733622,0.000345267,-0.0299146,-0.00189758,-0.999551,-0.000172878,0,0,0,DISABLED,0
0.259999,0.000102546,-4.46599e-05,0.0544633,0.000200851,0.733622,0.000345267,-0.0298983,-0.00190118,-0.999551,-0.000187902,0,0,0,DISABLED,0
0.279999,0.000113422,-4.80436e-05,0.0544725,0.000219164,0.733623,0.000345267,-0.02988,-0.00190513,-0.999552,-0.000204755,0,0,0,DISABLED,0
0.299999,0.000124484,-5.13959e-05,0.0544838,0.000237629,0.733623,0,-0.0298615,-0.00190902,-0.999552,-0.000221772,0,0,0,DISABLED,0
0.319999,0.000135712,-5.47195e-05,0.0544949,0.000256227,0.733623,0.000345267,-0.0298429,-0.00191285,-0.999553,-0.000238944,0,0,0,DISABLED,0
0.339998,0.000145935,-5.76866e-05,0.0545059,0.000273064,0.733623,0.000345267,-0.0298261,-0.00191625,-0.999553,-0.000254532,0,0,0,DISABLED,0
0.359998,0.000158561,-6.12805e-05,0.0545159,0.000293748,0.733623,0.000345267,-0.0298054,-0.00192037,-0.999554,-0.000273742,0,0,0,DISABLED,0
0.379998,0.000171307,-6.48311e-05,0.0545281,0.000314526,0.733623,0.000345267,-0.0297846,-0.00192442,-0.999555,-0.000293117,0,0,0,DISABLED,0
0.399998,0.000181805,-6.76989e-05,0.0545403,0.00033159,0.733623,0.000345267,-0.0297675,-0.00192771,-0.999555,-0.000309091,0,0,0,DISABLED,0
0.419998,0.000193536,-7.08321e-05,0.0545499,0.000350541,0.733623,0.000488281,-0.0297486,-0.00193134,-0.999556,-0.00032654,0,0,0,DISABLED,0
0.439998,0.000205332,-7.3873e-05,0.0545623,0.000369499,0.733623,0.000345267,-0.0297296,-0.00193497,-0.999556,-0.000343774,0,0,0,DISABLED,0
0.459998,0.000217175,-7.68027e-05,0.0545754,0.000388471,0.733624,0.000488281,-0.0297107,-0.0019386,-0.999557,-0.000360884,0,0,0,DISABLED,0
0.479998,0.000229061,-7.96095e-05,0.0545885,0.000407454,0.733624,0.000488281,-0.0296917,-0.0019422,-0.999557,-0.000377856,0,0,0,DISABLED,0
0.499998,0.000240974,-8.22963e-05,0.0546009,0.000426427,0.733624,0.000488281,-0.0296727,-0.00194576,-0.999558,-0.000394661,0,0,0,DISABLED,0
0.519998,0.000252912,-8.48676e-05,0.0546142,0.000445371,0.733624,0.000488281,-0.0296538,-0.00194928,-0.999558,-0.00041163,0,0,0,DISABLED,0
0.539998,0.000264872,-8.73539e-05,0.0546275,0.000464279,0.733624,0.000488281,-0.0296349,-0.00195271,-0.999559,-0.000428649,0,0,0,DISABLED,0
0.559998,0.000276841,-8.97779e-05,0.054641,0.000483172,0.733624,0.000488281,-0.029616,-0.00195608,-0.999559,-0.000445794,0,0,0,DISABLED,0
0.579998,0.000288814,-9.21615e-05,0.0546531,0.000502037,0.733624,0.000488281,-0.0295971,-0.00195938,-0.99956,-0.000463139,0,0,0,DISABLED,0
0.599998,0.000301981,-9.47611e-05,0.0546649,0.000522735,0.733624,0.00059802,-0.0295764,-0.00196294,-0.999561,-0.000482421,0,0,0,DISABLED,0
0.619998,0.00031274,-9.68846e-05,0.0546782,0.000539649,0.733624,0.00059802,-0.0295595,-0.00196579,-0.999561,-0.000498265,0,0,0,DISABLED,0
0.639998,0.000324676,-9.92445e-05,0.054689,0.000558395,0.733624,0.000488281,-0.0295407,-0.00196891,-0.999562,-0.000515996,0,0,0,DISABLED,0
0.659998,0.000335405,-0.000101372,0.0547009,0.000575233,0.733624,0.00059802,-0.0295239,-0.00197167,-0.999562,-0.000531994,0,0,0,DISABLED,0
0.679998,0.000348495,-0.000103972,0.0547117,0.000595776,0.733624,0.00059802,-0.0295034,-0.001975,-0.999563,-0.000551594,0,0,0,DISABLED,0
0.699998,0.000359179,-0.000106095,0.0547241,0.000612551,0.733624,0.000690534,-0.0294866,-0.00197768,-0.999563,-0.000567671,0,0,0,DISABLED,0
0.719998,0.000372205,-0.000108676,0.0547346,0.000632999,0.733624,0.000690534,-0.0294661,-0.00198092,-0.999564,-0.000587378,0,0,0,DISABLED,0
0.739998,0.00038401,-0.000111008,0.0547469,0.000651542,0.733624,0.000690534,-0.0294476,-0.00198382,-0.999564,-0.000605348,0,0,0,DISABLED,0
0.759998,0.000395769,-0.000113323,0.0547579,0.000668189,0.733624,0.000690534,-0.0294309,-0.0019864,-0.999565,-0.00062157,0,0,0,DISABLED,0
0.779998,0.000406319,-0.000115391,0.0547681,0.000686621,0.733624,0.00077204,-0.0294125,-0.00198922,-0.999565,-0.000639647,0,0,0,DISABLED,0
0.799998,0.000419173,-0.000117896,0.054779,0.000706842,0.733624,0.00077204,-0.0293923,-0.00199226,-0.999566,-0.000659592,0,0,0,DISABLED,0
0.819998,0.000430813,-0.00012015,0.0547903,0.000725163,0.733624,0.00077204,-0.029374,-0.00199499,-0.999566,-0.000677785,0,0,0,DISABLED,0
0.839998,0.000442399,-0.00012238,0.0548008,0.000743432,0.733624,0.00077204,-0.0293557,-0.00199768,-0.999567,-0.000696035,0,0,0,DISABLED,0
0.859998,0.00045508,-0.000124807,0.0548109,0.00076345,0.733624,0.00077204,-0.0293357,-0.00200059,-0.999568,-0.000716181,0,0,0,DISABLED,0
0.879998,0.000465404,-0.000126773,0.0548219,0.000779754,0.733624,0.00077204,-0.0293194,-0.00200291,-0.999568,-0.000732688,0,0,0,DISABLED,0
0.899998,0.000476833,-0.000128927,0.0548324,0.000797786,0.733623,0.00077204,-0.0293014,-0.00200538,-0.999569,-0.000751002,0,0,0,DISABLED,0
0.919998,0.000488214,-0.000131031,0.0548423,0.00081577,0.733623,0.000845728,-0.0292834,-0.00200783,-0.999569,-0.000769349,0,0,0,DISABLED,0
0.939998,0.000499541,-0.000133073,0.0548513,0.000833692,0.733623,0.000845728,-0.0292654,-0.00201027,-0.99957,-0.000787729,0,0,0,DISABLED,0
0.959998,0.00051081,-0.000135046,0.05486,0.000851551,0.733623,0.000845728,-0.0292476,-0.00201268,-0.99957,-0.000806142,0,0,0,DISABLED,0
0.979998,0.000522025,-0.000136945,0.0548694,0.000869341,0.733623,0.000913491,-0.0292298,-0.00201504,-0.999571,-0.000824565,0,0,0,DISABLED,0
0.999998,0.000533171,-0.00013877,0.0548782,0.000887079,0.733623,0.000913491,-0.0292121,-0.0020174,-0.999571,-0.000843057,0,0,0,DISABLED,0
1.02,0.000544256,-0.000140529,0.0548867,0.000904746,0.733623,0.000913491,-0.0291944,-0.00201973,-0.999572,-0.000861606,0,0,0,DISABLED,0
1.04,0.000555269,-0.000142233,0.0548952,0.000920588,0.733623,0.000976562,-0.0291785,-0.0020218,-0.999572,-0.000878345,0,0,0,DISABLED,0
1.06,0.000566224,-0.000143892,0.0549032,0.000939863,0.733623,0.000913491,-0.0291593,-0.00202428,-0.999573,-0.000898847,0,0,0,DISABLED,0
1.08,0.000577111,-0.000145512,0.054912,0.000957303,0.733623,0.000976562,-0.0291418,-0.00202648,-0.999573,-0.000917532,0,0,0,DISABLED,0
1.1,0.000587935,-0.0001471,0.0549204,0.000974664,0.733623,0.0010358,-0.0291245,-0.00202863,-0.999574,-0.000936253,0,0,0,DISABLED,0
1.12,0.000598688,-0.000148659,0.0549287,0.00099195,0.733623,0.000976562,-0.0291072,-0.00203076,-0.999574,-0.00095501,0,0,0,DISABLED,0
1.14,0.000610445,-0.000150346,0.0549369,0.00101087,0.733623,0.0010358,-0.0290883,-0.00203304,-0.999575,-0.000975676,0,0,0,DISABLED,0
1.16,0.000618942,-0.000151557,0.0549456,0.00102457,0.733623,0.0010358,-0.0290746,-0.00203468,-0.999575,-0.000990739,0,0,0,DISABLED,0
1.18,0.000630559,-0.000153201,0.0549525,0.00104332,0.733623,0.0010358,-0.0290558,-0.0020369,-0.999576,-0.00101147,0,0,0,DISABLED,0
1.2,0.000641057,-0.000154678,0.0549609,0.00105859,0.733623,0.00109183,-0.0290405,-0.00203869,-0.999576,-0.00102847,0,0,0,DISABLED,0
1.22,0.000651494,-0.000156138,0.0549683,0.00107717,0.733623,0.00109183,-0.029022,-0.00204083,-0.999577,-0.00104926,0,0,0,DISABLED,0
1.24,0.000660837,-0.000157438,0.0549763,0.00109231,0.733623,0.00114512,-0.0290068,-0.00204255,-0.999577,-0.0010663,0,0,0,DISABLED,0
1.26,0.000672188,-0.000159008,0.0549834,0.00111072,0.733623,0.00114512,-0.0289884,-0.00204462,-0.999578,-0.00108716,0,0,0,DISABLED,0
1.28,0.000682447,-0.00016042,0.0549912,0.00112738,0.733623,0.00114512,-0.0289718,-0.00204646,-0.999578,-0.00110614,0,0,0,DISABLED,0
1.3,0.000692643,-0.000161816,0.0549985,0.00114396,0.733622,0.00119604,-0.0289552,-0.00204828,-0.999579,-0.00112515,0,0,0,DISABLED,0
1.32,0.00070278,-0.000163197,0.0550057,0.00116047,0.733622,0.00119604,-0.0289387,-0.00205006,-0.999579,-0.00114418,0,0,0,DISABLED,0
1.34,0.000712857,-0.000164562,0.0550129,0.00117689,0.733622,0.00119604,-0.0289222,-0.0020518,-0.99958,-0.00116323,0,0,0,DISABLED,0
1.36,0.00072287,-0.000165913,0.0550201,0.00119324,0.733622,0.00119604,-0.0289059,-0.00205352,-0.99958,-0.00118232,0,0,0,DISABLED,0
1.38,0.000731833,-0.000167115,0.055027,0.00120788,0.733622,0.00124488,-0.0288913,-0.00205504,-0.99958,-0.00119951,0,0,0,DISABLED,0
1.4,0.00074371,-0.000168701,0.0550336,0.00122732,0.733622,0.00124488,-0.0288718,-0.00205703,-0.999581,-0.00122247,0,0,0,DISABLED,0
1.42,0.000752559,-0.000169876,0.0550411,0.00124182,0.733622,0.00129187,-0.0288573,-0.00205849,-0.999581,-0.00123971,0,0,0,DISABLED,0
1.44,0.000762332,-0.000171168,0.0550474,0.00125786,0.733622,0.00129187,-0.0288413,-0.00206009,-0.999582,-0.00125888,0,0,0,DISABLED,0
1.46,0.00077205,-0.000172448,0.0550541,0.00127382,0.733622,0.00129187,-0.0288253,-0.00206166,-0.999582,-0.00127807,0,0,0,DISABLED,0
1.48,0.000781711,-0.000173713,0.0550606,0.0012897,0.733622,0.00133721,-0.0288094,-0.0020632,-0.999583,-0.00129728,0,0,0,DISABLED,0
1.5,0.000791315,-0.000174964,0.055067,0.00130552,0.733622,0.00133721,-0.0287936,-0.00206471,-0.999583,-0.00131651,0,0,0,DISABLED,0
1.52,0.000800863,-0.000176202,0.0550733,0.00132125,0.733622,0.00133721,-0.0287779,-0.00206619,-0.999584,-0.00133576,0,0,0,DISABLED,0
1.54,0.000810355,-0.000177425,0.0550796,0.00133692,0.733622,0.00138107,-0.0287622,-0.00206764,-0.999584,-0.00135503,0,0,0,DISABLED,0
1.56,0.000819789,-0.000178634,0.0550858,0.00135249,0.733621,0.00133721,-0.0287466,-0.00206908,-0.999585,-0.00137425,0,0,0,DISABLED,0
1.58,0.000829173,-0.000179818,0.0550923,0.00136798,0.733621,0.00138107,-0.0287312,-0.00207051,-0.999585,-0.00139327,0,0,0,DISABLED,0
1.6,0.000838507,-0.000180959,0.0550998,0.00138338,0.733621,0.00142357,-0.0287158,-0.00207193,-0.999585,-0.00141219,0,0,0,DISABLED,0
1.62,0.000847792,-0.000182044,0.0551063,0.00139869,0.733621,0.00142357,-0.0287004,-0.00207334,-0.999586,-0.00143096,0,0,0,DISABLED,0
1.64,0.000857951,-0.000183166,0.055113,0.00141545,0.733621,0.00142357,-0.0286837,-0.00207489,-0.999586,-0.00145148,0,0,0,DISABLED,0
1.66,0.000866212,-0.000184024,0.0551199,0.00142908,0.733621,0.00146484,-0.0286701,-0.00207615,-0.999587,-0.00146814,0,0,0,DISABLED,0
1.68,0.000875341,-0.000184914,0.0551268,0.00144415,0.733621,0.00146484,-0.028655,-0.00207753,-0.999587,-0.00148658,0,0,0,DISABLED,0
1.7,0.000884423,-0.000185741,0.0551336,0.00145914,0.733621,0.00146484,-0.02864,-0.00207888,-0.999588,-0.00150492,0,0,0,DISABLED,0
1.72,0.000892553,-0.000186438,0.05514,0.00147257,0.733621,0.00150498,-0.0286266,-0.00208007,-0.999588,-0.00152139,0,0,0,DISABLED,0
1.74,0.000902437,-0.00018724,0.0551463,0.00148891,0.733621,0.00150498,-0.0286102,-0.00208148,-0.999588,-0.00154151,0,0,0,DISABLED,0
1.76,0.000912257,-0.000188,0.0551531,0.00150515,0.733621,0.00150498,-0.028594,-0.00208286,-0.999589,-0.00156159,0,0,0,DISABLED,0
1.78,0.000920236,-0.000188599,0.0551597,0.00151838,0.73362,0.00154408,-0.0285808,-0.00208395,-0.999589,-0.00157801,0,0,0,DISABLED,0
1.8,0.000928169,-0.000189183,0.0551658,0.00153154,0.73362,0.00154408,-0.0285676,-0.00208503,-0.99959,-0.0015944,0,0,0,DISABLED,0
1.82,0.000937808,-0.000189883,0.0551721,0.00154753,0.73362,0.00154408,-0.0285516,-0.00208631,-0.99959,-0.0016144,0,0,0,DISABLED,0
1.84,0.000946522,-0.000190508,0.0551786,0.001562,0.73362,0.00158221,-0.0285371,-0.00208744,-0.999591,-0.00163253,0,0,0,DISABLED,0
1.86,0.000955179,-0.000191123,0.0551847,0.0015764,0.73362,0.00161945,-0.0285227,-0.00208856,-0.999591,-0.00165065,0,0,0,DISABLED,0
1.88,0.000963781,-0.000191732,0.0551908,0.00159071,0.73362,0.00161945,-0.0285084,-0.00208965,-0.999591,-0.00166874,0,0,0,DISABLED,0
1.9,0.000971476,-0.000192276,0.0551967,0.00160353,0.73362,0.00161945,-0.0284956,-0.00209062,-0.999592,-0.001685,0,0,0,DISABLED,0
1.92,0.000980822,-0.000192937,0.0552026,0.00161912,0.73362,0.00161945,-0.02848,-0.00209179,-0.999592,-0.00170483,0,0,0,DISABLED,0
1.94,0.000989266,-0.000193533,0.0552087,0.00163321,0.73362,0.00161945,-0.0284659,-0.00209283,-0.999593,-0.00172283,0,0,0,DISABLED,0
1.96,0.000997657,-0.000194126,0.0552144,0.00164723,0.733619,0.00165584,-0.0284519,-0.00209384,-0.999593,-0.00174079,0,0,0,DISABLED,0
1.98,0.001006,-0.000194715,0.0552202,0.00166118,0.733619,0.00165584,-0.028438,-0.00209484,-0.999593,-0.00175871,0,0,0,DISABLED,0
2,0.00101346,-0.000195242,0.0552258,0.00167366,0.733619,0.00169146,-0.0284255,-0.00209573,-0.999594,-0.00177483,0,0,0,DISABLED,0
2.02,0.00102253,-0.000195883,0.0552313,0.00168885,0.733619,0.00169146,-0.0284103,-0.0020968,-0.999594,-0.00179451,0,0,0,DISABLED,0
2.04,0.00103072,-0.000196462,0.0552369,0.00170258,0.733619,0.00172634,-0.0283966,-0.00209775,-0.999595,-0.00181236,0,0,0,DISABLED,0
2.06,0.00103885,-0.000197039,0.0552422,0.00171623,0.733619,0.00172634,-0.0283829,-0.00209868,-0.999595,-0.00183019,0,0,0,DISABLED,0
2.08,0.00104694,-0.000197612,0.0552476,0.00172981,0.733619,0.00176052,-0.0283693,-0.0020996,-0.999595,-0.001848,0,0,0,DISABLED,0
