t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0544694,0,0.733622,0.000345267,-0.0298981,-0.00127712,-0.999552,0,0.3,0,0,DISABLED,0
0.0399988,1.10436e-05,-3.90643e-06,0.0535623,1.58641e-05,0.733621,0,-0.0298822,-0.00128346,-0.999553,-1.03144e-05,0.3,0,0,DISABLED,0
0.0599988,4.93042e-05,-5.76023e-06,0.052337,4.28669e-05,0.733616,0.000345267,-0.0298552,-0.00129255,-0.999553,-1.96118e-05,0.3,0,0,DISABLED,0
0.0799987,0.000126874,-5.91238e-06,0.0510514,9.81651e-05,0.733606,0,-0.0297999,-0.00130355,-0.999555,-2.43848e-05,0.3,0,0,DISABLED,0
0.0999987,-0.000276426,0.000216996,0.046177,0.00247407,0.733494,0.00294996,-0.027424,0.00031808,-0.999624,0.00255301,0.3,0,0,DISABLED,0
0.119999,-0.000972748,0.0013446,0.0342684,0.00623431,0.733208,0.0084573,-0.0236638,0.00443497,-0.99971,0.00500532,0.3,0,0,DISABLED,0
0.139999,-0.00122136,0.00321534,0.0119694,0.00800004,0.73308,0.0111132,-0.021898,0.00642916,-0.99974,0.00573814,0.3,0,0,DISABLED,0
0.159999,-0.00123423,0.00493464,0.00258109,0.00874331,0.733128,0.0114513,-0.0211548,0.00611616,-0.999758,0.0062377,0.3,0,0,DISABLED,0
0.179999,-0.00107624,0.00720346,0.00184286,0.00948194,0.733303,0.0110917,-0.0204161,0.00447611,-0.999782,0.00674322,0.3,0,0,DISABLED,0
0.199999,-0.000726044,0.00946454,-0.00285438,0.0100115,0.733535,0.010681,-0.0198866,0.00245153,-0.999799,0.00709376,0.3,0,0,DISABLED,0
0.219999,-0.000182774,0.0119933,-0.00954404,0.0104765,0.733804,0.0106195,-0.0194216,0.00040242,-0.999811,0.00733347,0.3,0,0,DISABLED,0
0.239999,0.000435913,0.0145879,-0.0148157,0.0110132,0.734056,0.0110216,-0.0188849,-0.00136968,-0.999821,0.0076825,0.3,0,0,DISABLED,0
