t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0543907,0,0.733619,0,-0.0300298,-0.00164683,-0.999548,0,0,0,0.5,DISABLED,0
0.0399988,5.97537e-06,-3.78478e-06,0.0505038,1.19712e-05,0.733619,0,-0.0300178,-0.00165195,-0.999548,2.21655e-07,0,0,0.5,DISABLED,0
0.0599988,1.56779e-05,-9.34931e-06,0.0458363,2.08449e-05,0.733618,0,-0.030009,-0.00166107,-0.999548,7.09947e-05,0,0,0.5,DISABLED,0
0.0799987,-0.000624023,0.000193173,0.0260943,0.00288942,0.733506,0.00350408,-0.0271404,0.000352482,-0.999632,0.00460193,0,0,0.5,DISABLED,0
0.0999987,-0.00172509,0.00124175,0.0184515,0.00725783,0.733282,0.00929022,-0.022772,0.00415192,-0.999732,0.00927609,0,0,0.5,DISABLED,0
0.119999,-0.00249994,0.00271416,-0.0052512,0.0094144,0.733182,0.0121484,-0.0206154,0.00603396,-0.999769,0.0120374,0,0,0.5,DISABLED,0
0.139999,-0.0033203,0.00459363,-0.0172922,0.0107063,0.733214,0.0132108,-0.0193236,0.00609512,-0.999795,0.0150937,0,0,0.5,DISABLED,0
0.159999,-0.00421496,0.00666421,-0.0200312,0.011725,0.733293,0.0137112,-0.0183048,0.00545388,-0.999818,0.0186318,0,0,0.5,DISABLED,0
0.179999,-0.00503764,0.00869062,-0.0237952,0.0124544,0.733369,0.0139011,-0.0175754,0.00452755,-0.999835,0.0224308,0,0,0.5,DISABLED,0
0.199999,-0.00603464,0.0113488,-0.0303623,0.0128801,0.733469,0.0138926,-0.0171498,0.00354624,-0.999847,0.0267078,0,0,0.5,DISABLED,0
0.219999,-0.00706237,0.0142871,-0.0371826,0.0132381,0.733586,0.0139268,-0.0167917,0.00267275,-0.999855,0.0319764,0,0,0.5,DISABLED,0
0.239999,-0.00796696,0.0170022,-0.0412484,0.0136092,0.733692,0.0141097,-0.0164206,0.00207775,-0.999863,0.0369961,0,0,0.5,DISABLED,0
0.259999,-0.00907926,0.0204455,-0.041939,0.0142854,0.733807,0.0146037,-0.0157445,0.00137745,-0.999875,0.0430945,0,0,0.5,DISABLED,0
0.279999,-0.0103003,0.0244556,-0.0408755,0.0152037,0.733887,0.0154062,-0.0148261,0.000811525,-0.99989,0.0492019,0,0,0.5,DISABLED,0
0.299999,-0.0116251,0.029071,-0.0463582,0.0162546,0.733801,0.0164973,-0.0137752,0.00116281,-0.999904,0.0557422,0,0,0.5,DISABLED,0
0.319999,-0.0134121,0.0348848,-0.0523175,0.0183497,0.7332,0.019292,-0.0116801,0.00430457,-0.999923,0.0633512,0,0,0.5,DISABLED,0
0.339998,-0.0150215,0.0402558,-0.0425443,0.0201421,0.731953,0.0233156,-0.00988767,0.0100972,-0.9999,0.0692628,0,0,0.5,DISABLED,0
0.359998,-0.0169108,0.0463331,-0.000756323,0.0213272,0.730483,0.0251009,-0.00870262,0.0115853,-0.999895,0.0757059,0,0,0.5,DISABLED,0
0.379998,-0.0182535,0.0515655,0.0480465,0.0185589,0.730781,0.0188608,-0.011471,0.00169268,-0.999933,0.0794567,0,0,0.5,DISABLED,0
0.399998,-0.0193352,0.0569392,0.0681445,0.0144957,0.731551,0.0147054,-0.0155341,0.00082416,-0.999879,0.0834326,0,0,0.5,DISABLED,0
0.419998,-0.0205531,0.0617856,0.0655906,0.0120146,0.732447,0.013093,-0.0180152,0.00354369,-0.999831,0.0897542,0,0,0.5,DISABLED,0
0.439998,-0.0217865,0.0660054,0.0404113,0.01036,0.733286,0.0126248,-0.0196698,0.00556713,-0.999791,0.095288,0,0,0.5,DISABLED,0
0.459998,-0.0228613,0.0695873,0.0192822,0.00816338,0.733967,0.0121924,-0.0218664,0.0074126,-0.999733,0.101376,0,0,0.5,DISABLED,0
0.479998,-0.0237805,0.0725524,0.00988552,0.00504985,0.734438,0.0114148,-0.02498,0.00859638,-0.999651,0.10735,0,0,0.5,DISABLED,0
0.499998,-0.024625,0.0752169,0.00741187,0.000679079,0.73474,0.0107478,-0.0293507,0.00908149,-0.999528,0.113333,0,0,0.5,DISABLED,0
0.519998,-0.025274,0.0771571,0.00842842,-0.00372841,0.734913,0.0115032,-0.0337582,0.00923814,-0.999387,0.118302,0,0,0.5,DISABLED,0
0.539998,-0.0257535,0.0785079,0.0105188,-0.00775888,0.735062,0.0134301,-0.0377887,0.00931312,-0.999242,0.122439,0,0,0.5,DISABLED,0
0.559998,-0.0261369,0.0795595,0.0113995,-0.0121103,0.735214,0.0162974,-0.0421401,0.00924796,-0.999069,0.127113,0,0,0.5,DISABLED,0
0.579998,-0.0263517,0.0801345,0.00955316,-0.0164501,0.735347,0.0194796,-0.0464799,0.00876217,-0.998881,0.132539,0,0,0.5,DISABLED,0
0.599998,-0.026314,0.0801669,0.00383055,-0.0196484,0.735424,0.022011,-0.0496782,0.0082425,-0.998731,0.137278,0,0,0.5,DISABLED,0
0.619998,-0.0260488,0.0797873,-0.00356573,-0.022551,0.735454,0.0244098,-0.0525808,0.00765347,-0.998587,0.142696,0,0,0.5,DISABLED,0
0.639998,-0.0255193,0.0789831,-0.0119764,-0.0245273,0.735411,0.0260495,-0.0545571,0.0070633,-0.998486,0.148348,0,0,0.5,DISABLED,0
0.659998,-0.0248092,0.0778641,-0.0220169,-0.0252115,0.735306,0.026386,-0.0552413,0.00606106,-0.998455,0.153031,0,0,0.5,DISABLED,0
0.679998,-0.0236243,0.0759303,-0.0345741,-0.0245044,0.735114,0.0252217,-0.0545342,0.00422871,-0.998503,0.158514,0,0,0.5,DISABLED,0
0.699998,-0.0220575,0.0733631,-0.048273,-0.0220852,0.734855,0.0224109,-0.052115,0.00205818,-0.998639,0.164234,0,0,0.5,DISABLED,0
0.719998,-0.0202631,0.0705232,-0.0563193,-0.0187273,0.734514,0.0187658,-0.0487571,-0.000683839,-0.99881,0.168739,0,0,0.5,DISABLED,0
0.739998,-0.0182504,0.0675246,-0.0433518,-0.015486,0.734024,0.0157202,-0.0455158,-0.0042928,-0.998954,0.173398,0,0,0.5,DISABLED,0
0.759998,-0.0158036,0.0636162,-0.0132028,-0.0107264,0.733098,0.0147014,-0.0407562,-0.0116957,-0.999101,0.177766,0,0,0.5,DISABLED,0
0.779998,-0.0133816,0.0599693,0.02191,-0.00538206,0.732807,0.0112252,-0.0354119,-0.0114986,-0.999307,0.182375,0,0,0.5,DISABLED,0
0.799998,-0.0107724,0.0566725,0.0336774,-0.00131874,0.733394,0.00418614,-0.0313486,-0.00563685,-0.999493,0.190446,0,0,0.5,DISABLED,0
0.819998,-0.00826719,0.0531451,0.0134939,0.00221529,0.733749,0.00506261,-0.0278145,-0.00619961,-0.999594,0.199692,0,0,0.5,DISABLED,0
0.839998,-0.00594877,0.0495454,-0.00780103,0.00478698,0.733966,0.0108031,-0.0252428,-0.0113353,-0.999617,0.210149,0,0,0.5,DISABLED,0
0.859998,-0.00422196,0.046786,-0.0226941,0.00579908,0.734031,0.0160579,-0.0242307,-0.0166192,-0.999568,0.219916,0,0,0.5,DISABLED,0
0.879998,-0.00303214,0.044779,-0.0285408,0.00675634,0.734001,0.0192549,-0.0232735,-0.0196791,-0.999535,0.228533,0,0,0.5,DISABLED,0
0.899998,-0.00213507,0.0429809,-0.025604,0.00875661,0.733934,0.0215374,-0.0212732,-0.0213236,-0.999546,0.238391,0,0,0.5,DISABLED,0
0.919998,-0.0015788,0.0415544,-0.0212353,0.0115723,0.7339,0.0235522,-0.0184575,-0.0221586,-0.999584,0.248166,0,0,0.5,DISABLED,0
0.939998,-0.00124181,0.0404245,-0.0227501,0.0145522,0.733934,0.0258012,-0.0154776,-0.0229532,-0.999617,0.257624,0,0,0.5,DISABLED,0
0.959998,-0.00108248,0.0394918,-0.0320207,0.0174843,0.734046,0.0282749,-0.0125455,-0.0238669,-0.999636,0.267116,0,0,0.5,DISABLED,0
0.979998,-0.00116405,0.0388857,-0.0467974,0.0196852,0.734158,0.0301562,-0.0103446,-0.0244906,-0.999647,0.275233,0,0,0.5,DISABLED,0
0.999998,-0.00144179,0.0385355,-0.0590689,0.0212331,0.734234,0.0313712,-0.0087967,-0.0247381,-0.999655,0.282494,0,0,0.5,DISABLED,0
1.02,-0.0020809,0.0384303,-0.0653568,0.0226332,0.734315,0.0324051,-0.0073966,-0.0248391,-0.999664,0.291169,0,0,0.5,DISABLED,0
1.04,-0.00298327,0.038686,-0.065728,0.0235414,0.734375,0.0328908,-0.00648845,-0.0246131,-0.999676,0.298466,0,0,0.5,DISABLED,0
1.06,-0.00423638,0.0393613,-0.0622741,0.0245665,0.734408,0.0330174,-0.0054633,-0.0237034,-0.999704,0.306507,0,0,0.5,DISABLED,0
1.08,-0.00580873,0.040515,-0.0571782,0.0256856,0.734405,0.0325409,-0.0043442,-0.0216228,-0.999757,0.31464,0,0,0.5,DISABLED,0
1.1,-0.00767175,0.0421491,-0.055613,0.0268853,0.734362,0.0316229,-0.00314453,-0.0182912,-0.999828,0.323115,0,0,0.5,DISABLED,0
1.12,-0.00959934,0.0440011,-0.0563989,0.0282936,0.734276,0.0308345,-0.00173623,-0.0138977,-0.999902,0.331918,0,0,0.5,DISABLED,0
1.14,-0.0120779,0.0464711,-0.0541126,0.0299951,0.734084,0.03079,-3.46737e-05,-0.0085851,-0.999963,0.340092,0,0,0.5,DISABLED,0
1.16,-0.0147554,0.049409,-0.0422543,0.0310343,0.733718,0.0310446,0.00100452,-0.00227515,-0.999997,0.347582,0,0,0.5,DISABLED,0
1.18,-0.0175229,0.0528369,-0.0135656,0.0307414,0.733009,0.0316286,0.000711558,0.00577623,-0.999983,0.35501,0,0,0.5,DISABLED,0
1.2,-0.0202929,0.0563953,0.0234329,0.0297527,0.732364,0.0318278,-0.000277152,0.00964274,-0.999953,0.360263,0,0,0.5,DISABLED,0
1.22,-0.0234187,0.0601283,0.0486685,0.0291653,0.732071,0.031687,-0.000864548,0.010728,-0.999942,0.365131,0,0,0.5,DISABLED,0
1.24,-0.0258016,0.0629233,0.0635728,0.0280439,0.732517,0.0293934,-0.00198589,0.00713956,-0.999973,0.370398,0,0,0.5,DISABLED,0
1.26,-0.0283025,0.0667517,0.0733194,0.0254673,0.732947,0.0276179,-0.0045625,0.00902782,-0.999949,0.378981,0,0,0.5,DISABLED,0
1.28,-0.0303023,0.0700686,0.054524,0.0231595,0.733179,0.0264199,-0.0068703,0.0110656,-0.999915,0.386339,0,0,0.5,DISABLED,0
1.3,-0.0324552,0.0736936,0.0350164,0.0204829,0.733441,0.0255154,-0.00954693,0.0135658,-0.999862,0.393828,0,0,0.5,DISABLED,0
1.32,-0.0343704,0.0770466,0.0196147,0.0170969,0.733822,0.025217,-0.0129329,0.0168894,-0.999774,0.401952,0,0,0.5,DISABLED,0
1.34,-0.0360334,0.0799971,0.0121859,0.0131011,0.734315,0.0256901,-0.0169287,0.0204529,-0.999647,0.409649,0,0,0.5,DISABLED,0
1.36,-0.0374232,0.0825539,0.0110178,0.00870919,0.734863,0.0273119,-0.0213206,0.0242393,-0.999479,0.41679,0,0,0.5,DISABLED,0
1.38,-0.0385512,0.0846504,0.0112172,0.00443812,0.735386,0.0295209,-0.0255917,0.0275368,-0.999293,0.423602,0,0,0.5,DISABLED,0
1.4,-0.0394496,0.0863679,0.0112363,0.000164161,0.735886,0.0319306,-0.0298657,0.0302786,-0.999095,0.431206,0,0,0.5,DISABLED,0
1.42,-0.0398808,0.0872863,0.0124029,-0.0028209,0.736228,0.0333283,-0.0328507,0.0315558,-0.998962,0.437182,0,0,0.5,DISABLED,0
1.44,-0.040018,0.087823,0.0123901,-0.00528115,0.736568,0.0339609,-0.035311,0.0318932,-0.998867,0.443234,0,0,0.5,DISABLED,0
1.46,-0.0397706,0.0878094,0.00706083,-0.00655997,0.736772,0.0337425,-0.0365898,0.0314434,-0.998836,0.449027,0,0,0.5,DISABLED,0
1.48,-0.0391436,0.0873621,-0.00703165,-0.00650316,0.736879,0.0326616,-0.036533,0.0303524,-0.998871,0.455025,0,0,0.5,DISABLED,0
