t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0543908,0,0.733618,0,-0.0300378,-0.00165049,-0.999547,0,0,0,-0.5,DISABLED,0
0.0399988,4.93973e-06,-4.41074e-06,0.0582709,1.58399e-05,0.73362,0,-0.030022,-0.00165362,-0.999548,-3.21195e-05,0,0,-0.5,DISABLED,0
0.0599988,7.64802e-06,-7.23859e-06,0.0627612,4.12688e-05,0.733622,0,-0.0299965,-0.00165196,-0.999549,-0.000165267,0,0,-0.5,DISABLED,0
0.0799987,-0.000615727,0.000331072,0.0400099,0.00269923,0.733482,0.00355474,-0.0273386,0.000665511,-0.999626,0.00135058,0,0,-0.5,DISABLED,0
0.0999987,-0.00160871,0.00159025,0.0374021,0.00629904,0.733184,0.00960566,-0.0237388,0.00559579,-0.999703,0.00202761,0,0,-0.5,DISABLED,0
0.119999,-0.00231986,0.00341036,0.0175481,0.00782007,0.733018,0.0129557,-0.0222177,0.00867842,-0.999716,0.00100724,0,0,-0.5,DISABLED,0
0.139999,-0.00291501,0.00543594,0.00612828,0.00826333,0.733063,0.0135362,-0.0217745,0.00906725,-0.999722,-0.0013311,0,0,-0.5,DISABLED,0
0.159999,-0.0035137,0.00760607,0.00526652,0.00859325,0.733214,0.0131882,-0.0214445,0.00835974,-0.999735,-0.00414379,0,0,-0.5,DISABLED,0
0.179999,-0.00402205,0.00970084,0.00466135,0.00884284,0.733404,0.0123431,-0.0211949,0.0069597,-0.999751,-0.00751973,0,0,-0.5,DISABLED,0
0.199999,-0.00457658,0.0124725,0.00201526,0.00895908,0.73369,0.0113414,-0.0210787,0.00530831,-0.999764,-0.0112294,0,0,-0.5,DISABLED,0
0.219999,-0.00510203,0.0153113,-0.00111741,0.00928799,0.733977,0.0107644,-0.0207498,0.00380037,-0.999777,-0.0153339,0,0,-0.5,DISABLED,0
0.239999,-0.00569619,0.018573,-0.00179791,0.00994428,0.734277,0.0107478,-0.0200935,0.0024235,-0.999795,-0.0195619,0,0,-0.5,DISABLED,0
