t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0200343,0,0.737539,0,-0.109829,0.00553304,-0.993935,0,-0.3,0,0,DISABLED,0
0.0399988,-0.00525588,-0.00182059,-0.0319145,0.0141839,0.734334,0.0203974,-0.0956452,0.0201347,-0.995212,0.0134369,-0.3,0,0,DISABLED,0
0.0599988,-0.0084092,-0.00490141,-0.186154,0.0135697,0.733929,0.0138194,-0.0962593,0.00331351,-0.995351,0.0209831,-0.3,0,0,DISABLED,0
0.0799987,-0.00996384,-0.00472415,-0.212191,0.00211906,0.733483,0.00223759,-0.10771,0.0049026,-0.99417,0.0230578,-0.3,0,0,DISABLED,0
0.0999987,-0.0126801,-0.00454723,-0.147963,-0.00408539,0.7328,0.00442158,-0.113914,0.00718274,-0.993465,0.0184888,-0.3,0,0,DISABLED,0
0.119999,-0.0156401,-0.00640319,-0.161962,-0.00809548,0.731425,0.010184,-0.117925,-0.000576014,-0.993022,0.0154504,-0.3,0,0,DISABLED,0
0.139999,-0.0183872,-0.0088703,-0.157438,-0.013903,0.729994,0.0198284,-0.123732,-0.00850643,-0.992279,0.0135754,-0.3,0,0,DISABLED,0
0.159999,-0.0213192,-0.0116155,-0.117473,-0.0189705,0.728216,0.028378,-0.1288,-0.0154375,-0.991551,0.0122331,-0.3,0,0,DISABLED,0
0.179999,-0.0245507,-0.0148353,-0.0436693,-0.0212898,0.726031,0.0343414,-0.131119,-0.0212679,-0.991139,0.0142803,-0.3,0,0,DISABLED,0
0.199999,-0.0282238,-0.0175969,0.106581,-0.0209668,0.724757,0.0308307,-0.130796,-0.0169116,-0.991265,0.0181931,-0.3,0,0,DISABLED,0
0.219999,-0.031873,-0.0203211,0.157335,-0.017347,0.724078,0.0279462,-0.127176,-0.0162677,-0.991747,0.0233044,-0.3,0,0,DISABLED,0
0.239999,-0.035148,-0.0223431,0.151197,-0.0137651,0.723949,0.0271147,-0.123594,-0.0177614,-0.992174,0.0263503,-0.3,0,0,DISABLED,0
0.259999,-0.0382695,-0.0234369,0.12545,-0.0114655,0.72428,0.0264807,-0.121295,-0.0182897,-0.992448,0.0290559,-0.3,0,0,DISABLED,0
0.279999,-0.0406167,-0.0236546,0.0910858,-0.0104234,0.724776,0.026325,-0.120252,-0.0186018,-0.992569,0.031257,-0.3,0,0,DISABLED,0
0.299999,-0.0432612,-0.0234495,0.0539598,-0.0099675,0.725451,0.026216,-0.119797,-0.018679,-0.992623,0.0324192,-0.3,0,0,DISABLED,0
0.319999,-0.0460736,-0.0229553,0.0353149,-0.00976003,0.726179,0.0252359,-0.119589,-0.0177035,-0.992666,0.0314304,-0.3,0,0,DISABLED,0
0.339998,-0.0491222,-0.0223162,0.0457573,-0.00954989,0.72683,0.0235117,-0.119379,-0.0159173,-0.992721,0.02999,-0.3,0,0,DISABLED,0
0.359998,-0.0524001,-0.0216205,0.0569064,-0.00890408,0.727231,0.0204062,-0.118733,-0.0127979,-0.992844,0.0284333,-0.3,0,0,DISABLED,0
0.379998,-0.0554796,-0.0209897,0.0598572,-0.00803159,0.727311,0.0163631,-0.117861,-0.00869016,-0.992992,0.0277185,-0.3,0,0,DISABLED,0
0.399998,-0.0594464,-0.0201072,0.0600141,-0.00651027,0.726909,0.00895037,-0.116339,-0.000573381,-0.993209,0.0279809,-0.3,0,0,DISABLED,0
0.419998,-0.0637124,-0.0193007,0.0828587,-0.00293126,0.725831,0.00439453,-0.11276,0.00880621,-0.993583,0.0302,-0.3,0,0,DISABLED,0
0.439998,-0.0681671,-0.0186736,0.0836175,0.00455701,0.724441,0.0159573,-0.105272,0.0208248,-0.994225,0.0364491,-0.3,0,0,DISABLED,0
0.459998,-0.074036,-0.0187841,0.116308,0.0119242,0.722784,0.0185678,-0.0979049,0.0197264,-0.995,0.0412233,-0.3,0,0,DISABLED,0
0.479998,-0.0781906,-0.0191209,0.0490115,0.01041,0.722829,0.0109782,-0.099419,0.00885587,-0.995006,0.0384785,-0.3,0,0,DISABLED,0
0.499998,-0.0815872,-0.0180474,-0.00543204,0.00498622,0.723268,0.00998894,-0.104843,0.0141801,-0.994388,0.0401693,-0.3,0,0,DISABLED,0
0.519998,-0.0849451,-0.0173758,0.0128984,0.00182975,0.724075,0.0179375,-0.107999,0.0233776,-0.993876,0.0467297,-0.3,0,0,DISABLED,0
0.539998,-0.0883578,-0.0173602,0.0365055,0.00223953,0.72514,0.0245801,-0.10759,0.0300102,-0.993742,0.0502016,-0.3,0,0,DISABLED,0
0.559998,-0.0917208,-0.0178758,0.0555584,0.00562792,0.726394,0.0284787,-0.104201,0.033449,-0.993994,0.0505545,-0.3,0,0,DISABLED,0
0.579998,-0.0946278,-0.0187877,0.0725622,0.0109647,0.727593,0.0302174,-0.0988644,0.0336857,-0.994531,0.0497426,-0.3,0,0,DISABLED,0
0.599998,-0.0980006,-0.0205125,0.0825376,0.0170253,0.729083,0.0308732,-0.0928038,0.0312552,-0.995194,0.0486034,-0.3,0,0,DISABLED,0
0.619998,-0.100957,-0.0226877,0.094373,0.0228386,0.730372,0.0313199,-0.0869905,0.0268801,-0.995846,0.048037,-0.3,0,0,DISABLED,0
0.639998,-0.104207,-0.0253037,0.112528,0.0290377,0.731291,0.0332764,-0.0807914,0.0215808,-0.996497,0.0469025,-0.3,0,0,DISABLED,0
0.659998,-0.107965,-0.0282146,0.125055,0.0356515,0.731516,0.0371452,-0.0741775,0.0154592,-0.997125,0.0435857,-0.3,0,0,DISABLED,0
0.679998,-0.112141,-0.0315428,0.139878,0.0419029,0.730882,0.0420875,-0.0679262,0.00667629,-0.997668,0.037289,-0.3,0,0,DISABLED,0
0.699998,-0.116546,-0.0353444,0.149523,0.0465951,0.729258,0.0481555,-0.0632339,-0.00591327,-0.997981,0.0275097,-0.3,0,0,DISABLED,0
0.719998,-0.121153,-0.0388413,0.139103,0.0483115,0.727148,0.0527721,-0.0615176,-0.0152978,-0.997989,0.0161299,-0.3,0,0,DISABLED,0
0.739998,-0.124984,-0.0416789,0.147679,0.0451268,0.725358,0.0534458,-0.0647023,-0.0228514,-0.997643,0.0029298,-0.3,0,0,DISABLED,0
0.759998,-0.129649,-0.0455462,0.152366,0.0412305,0.722429,0.0601956,-0.0685986,-0.0382115,-0.996912,-0.00840592,-0.3,0,0,DISABLED,0
0.779998,-0.134523,-0.0477603,0.164356,0.0372474,0.720207,0.058782,-0.0725817,-0.0398534,-0.996566,-0.0156104,-0.3,0,0,DISABLED,0
0.799998,-0.138968,-0.0491566,0.136526,0.0302937,0.719101,0.0500046,-0.0795354,-0.0341765,-0.996246,-0.0174476,-0.3,0,0,DISABLED,0
0.819998,-0.143104,-0.0503021,0.110281,0.0274371,0.71837,0.0488061,-0.082392,-0.0347745,-0.995993,-0.0203939,-0.3,0,0,DISABLED,0
0.839998,-0.147868,-0.0509679,0.10899,0.0269416,0.718048,0.0484899,-0.0828875,-0.0347287,-0.995954,-0.0220525,-0.3,0,0,DISABLED,0
0.859998,-0.15192,-0.0508453,0.111242,0.0285176,0.718195,0.0479507,-0.0813115,-0.0329471,-0.996144,-0.0222547,-0.3,0,0,DISABLED,0
0.879998,-0.155841,-0.0501324,0.0943582,0.0321118,0.718546,0.0483359,-0.0777172,-0.0304974,-0.996509,-0.0225851,-0.3,0,0,DISABLED,0
0.899998,-0.159717,-0.0490512,0.0590715,0.0378031,0.718795,0.0489379,-0.072026,-0.0253768,-0.99708,-0.0226177,-0.3,0,0,DISABLED,0
0.919998,-0.163518,-0.0478025,0.0395352,0.042971,0.718703,0.0498732,-0.0668581,-0.0195097,-0.997572,-0.0230051,-0.3,0,0,DISABLED,0
0.939998,-0.167516,-0.0469335,0.0357248,0.0496466,0.718541,0.0538516,-0.0601825,-0.0148989,-0.998076,-0.0210463,-0.3,0,0,DISABLED,0
0.959998,-0.171834,-0.0466001,0.043819,0.0559707,0.718782,0.059266,-0.0538584,-0.0133954,-0.998459,-0.0176088,-0.3,0,0,DISABLED,0
0.979998,-0.176018,-0.0462322,0.0473773,0.058906,0.71909,0.0616445,-0.0509231,-0.0119842,-0.998631,-0.0157096,-0.3,0,0,DISABLED,0
0.999998,-0.180229,-0.045837,0.0602433,0.0594278,0.719199,0.06169,-0.0504012,-0.0102895,-0.998676,-0.0131699,-0.3,0,0,DISABLED,0
1.02,-0.184551,-0.0454435,0.0765416,0.0584999,0.719009,0.0602837,-0.0513292,-0.00820124,-0.998648,-0.0094023,-0.3,0,0,DISABLED,0
1.04,-0.188984,-0.0456559,0.0890622,0.056011,0.719342,0.0585624,-0.0538181,-0.0109175,-0.998491,-0.00656778,-0.3,0,0,DISABLED,0
1.06,-0.193324,-0.0457735,0.140134,0.0527443,0.719848,0.0553737,-0.0570848,-0.0107273,-0.998312,-0.00698899,-0.3,0,0,DISABLED,0
1.08,-0.197892,-0.0461645,0.185398,0.0511588,0.720324,0.0538405,-0.0586703,-0.010671,-0.99822,-0.00813393,-0.3,0,0,DISABLED,0
1.1,-0.202463,-0.0469159,0.171813,0.0494792,0.720961,0.0518292,-0.0603499,-0.0092949,-0.998134,-0.00675961,-0.3,0,0,DISABLED,0
1.12,-0.206901,-0.0479449,0.121089,0.0462254,0.721875,0.0474708,-0.0636036,-0.00447303,-0.997965,-0.0012751,-0.3,0,0,DISABLED,0
1.14,-0.210863,-0.0489753,0.0753216,0.0422176,0.722923,0.0424387,-0.0676115,0.00347581,-0.997706,0.00418448,-0.3,0,0,DISABLED,0
1.16,-0.215797,-0.0504679,0.048613,0.0369209,0.724328,0.0380334,-0.0729082,0.0140415,-0.99724,0.00969309,-0.3,0,0,DISABLED,0
1.18,-0.220353,-0.0521248,0.0475568,0.0321105,0.725571,0.0359263,-0.0777186,0.0213948,-0.996746,0.012868,-0.3,0,0,DISABLED,0
1.2,-0.224932,-0.0542097,0.059639,0.0277282,0.726669,0.034331,-0.0821009,0.025635,-0.996294,0.0158821,-0.3,0,0,DISABLED,0
1.22,-0.229339,-0.0567644,0.0889612,0.022894,0.727641,0.0305783,-0.0869351,0.0257081,-0.995882,0.0177078,-0.3,0,0,DISABLED,0
1.24,-0.233669,-0.0599,0.119314,0.0183282,0.728348,0.0243462,-0.0915009,0.0214768,-0.995573,0.0189661,-0.3,0,0,DISABLED,0
1.26,-0.237853,-0.0636533,0.133715,0.0135706,0.728617,0.0148907,-0.0962585,0.0115187,-0.99529,0.0194309,-0.3,0,0,DISABLED,0
1.28,-0.24205,-0.0679482,0.12699,0.00882573,0.728128,0.0132018,-0.101003,-0.00423664,-0.994877,0.0188602,-0.3,0,0,DISABLED,0
1.3,-0.246372,-0.0725984,0.122255,0.00409823,0.726482,0.03194,-0.105731,-0.0261418,-0.994051,0.0166575,-0.3,0,0,DISABLED,0
1.32,-0.251511,-0.0770868,0.137959,0.00215903,0.722886,0.0562372,-0.10767,-0.0506453,-0.992896,0.0121867,-0.3,0,0,DISABLED,0
1.34,-0.257066,-0.0803109,0.169069,-0.000977404,0.718706,0.0704973,-0.110806,-0.0649083,-0.99172,0.00481471,-0.3,0,0,DISABLED,0
1.36,-0.261767,-0.082174,0.157246,-0.0124282,0.717224,0.0684207,-0.122257,-0.0616522,-0.990582,0.00551947,-0.3,0,0,DISABLED,0
1.38,-0.266302,-0.0844239,0.122018,-0.0202941,0.71644,0.0738959,-0.130123,-0.0653563,-0.989341,0.00750776,-0.3,0,0,DISABLED,0
1.4,-0.271175,-0.0862615,0.123295,-0.021007,0.716596,0.076905,-0.130836,-0.0682662,-0.989051,0.00859664,-0.3,0,0,DISABLED,0
1.42,-0.276036,-0.0875879,0.110234,-0.016958,0.717564,0.0767583,-0.126787,-0.0691786,-0.989515,0.0108521,-0.3,0,0,DISABLED,0
1.44,-0.28093,-0.0885023,0.0957053,-0.0092067,0.718885,0.0752162,-0.119036,-0.0690201,-0.990488,0.013752,-0.3,0,0,DISABLED,0
1.46,-0.286224,-0.0890052,0.0916192,0.00123903,0.720404,0.0738579,-0.10859,-0.0682651,-0.99174,0.0168281,-0.3,0,0,DISABLED,0
1.48,-0.29086,-0.0889468,0.0956562,0.0101418,0.721718,0.0722335,-0.0996873,-0.0659606,-0.99283,0.0185598,-0.3,0,0,DISABLED,0
1.5,-0.294939,-0.0885761,0.0970438,0.0203177,0.722794,0.0696031,-0.0895114,-0.0610234,-0.994115,0.0196315,-0.3,0,0,DISABLED,0
1.52,-0.299429,-0.0880569,0.0958836,0.0308317,0.723845,0.0674018,-0.0789974,-0.0543716,-0.995391,0.0206291,-0.3,0,0,DISABLED,0
1.54,-0.303864,-0.0876106,0.10207,0.0413082,0.724797,0.0671517,-0.0685209,-0.0473315,-0.996526,0.0223694,-0.3,0,0,DISABLED,0
1.56,-0.308327,-0.0872213,0.109915,0.0517569,0.725674,0.0688717,-0.0580722,-0.0397421,-0.997521,0.0253085,-0.3,0,0,DISABLED,0
1.58,-0.312908,-0.0870833,0.114586,0.061758,0.726645,0.0734513,-0.048071,-0.0339612,-0.998266,0.0310768,-0.3,0,0,DISABLED,0
1.6,-0.317893,-0.0875239,0.11348,0.071095,0.727934,0.0804756,-0.0387341,-0.0318213,-0.998743,0.0400198,-0.3,0,0,DISABLED,0
1.62,-0.322993,-0.0877131,0.116586,0.0771101,0.729021,0.0844561,-0.032719,-0.0284734,-0.999059,0.0486438,-0.3,0,0,DISABLED,0
1.64,-0.328195,-0.0875127,0.112847,0.0802608,0.729375,0.0847467,-0.0295683,-0.0210501,-0.999341,0.059802,-0.3,0,0,DISABLED,0
1.66,-0.333776,-0.0871166,0.114564,0.0830576,0.728505,0.0845444,-0.0267715,-0.00905632,-0.999601,0.0723772,-0.3,0,0,DISABLED,0
1.68,-0.339669,-0.0879285,0.123043,0.0850092,0.727447,0.0864099,-0.0248199,-0.00870679,-0.999654,0.0802473,-0.3,0,0,DISABLED,0
1.7,-0.344701,-0.0887005,0.140829,0.0788513,0.726992,0.0807036,-0.0309778,-0.0106396,-0.999463,0.0816352,-0.3,0,0,DISABLED,0
1.72,-0.34923,-0.0890209,0.100913,0.0686623,0.726718,0.0693877,-0.0411668,-0.00289565,-0.999148,0.0876785,-0.3,0,0,DISABLED,0
1.74,-0.353698,-0.089666,0.0778597,0.0592572,0.726764,0.059499,-0.0505719,0.00776914,-0.99869,0.0967823,-0.3,0,0,DISABLED,0
1.76,-0.358228,-0.0906034,0.0670026,0.0520151,0.727194,0.0536452,-0.0578139,0.0179323,-0.998166,0.103523,-0.3,0,0,DISABLED,0
1.78,-0.362877,-0.0918728,0.0699219,0.0476059,0.7279,0.0516587,-0.0622232,0.0252138,-0.997744,0.108103,-0.3,0,0,DISABLED,0
1.8,-0.367535,-0.0934698,0.0768645,0.0453442,0.728859,0.0512449,-0.0644849,0.0291265,-0.997494,0.111668,-0.3,0,0,DISABLED,0
1.82,-0.371971,-0.0954049,0.0888139,0.0437351,0.730069,0.0502603,-0.066094,0.0300521,-0.997361,0.114915,-0.3,0,0,DISABLED,0
1.84,-0.37627,-0.0976172,0.0992552,0.0420931,0.731267,0.0483618,-0.067736,0.0291023,-0.997279,0.118882,-0.3,0,0,DISABLED,0
1.86,-0.380672,-0.100158,0.111818,0.0417667,0.732051,0.0465769,-0.0680624,0.0258555,-0.997346,0.12106,-0.3,0,0,DISABLED,0
1.88,-0.385105,-0.10309,0.118726,0.0418613,0.732208,0.0438905,-0.0679678,0.0182162,-0.997521,0.121362,-0.3,0,0,DISABLED,0
1.9,-0.389377,-0.106371,0.122104,0.0409329,0.731587,0.0411621,-0.0688962,0.00782117,-0.997593,0.119096,-0.3,0,0,DISABLED,0
1.92,-0.393629,-0.109974,0.117348,0.039363,0.729918,0.0419342,-0.0704661,-0.00847993,-0.997478,0.1137,-0.3,0,0,DISABLED,0
1.94,-0.398334,-0.11305,0.13191,0.0381861,0.727433,0.0471823,-0.071643,-0.0219829,-0.997188,0.106492,-0.3,0,0,DISABLED,0
