t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.129229,0,0.67699,0,-0.110593,0.0105827,-0.993809,0,0,0,0.5,DISABLED,0
0.0399988,-0.000426143,-1.79559e-05,0.125953,-0.00151131,0.67598,0.00768172,-0.112104,0.00305147,-0.993692,-0.00024122,0,0,0.5,DISABLED,0
0.0599988,-0.00135711,0.0002978,0.121479,-0.00167871,0.67544,0.0103868,-0.112271,0.000329204,-0.993678,0.00175905,0,0,0.5,DISABLED,0
0.0799987,-0.00297427,0.00045754,0.0511364,0.00171935,0.674899,0.00832948,-0.108873,0.002437,-0.994053,0.0136259,0,0,0.5,DISABLED,0
0.0999987,-0.00536448,0.000492796,0.0272221,0.00624689,0.672939,0.0107865,-0.104346,0.00182155,-0.994539,0.0342447,0,0,0.5,DISABLED,0
0.119999,-0.00699326,0.0014572,0.0662623,0.00353002,0.670775,0.0120003,-0.107063,-0.000877406,-0.994252,0.05045,0,0,0.5,DISABLED,0
0.139999,-0.00856173,0.00278521,0.0927371,-0.00189413,0.669038,0.0181522,-0.112487,-0.00746628,-0.993625,0.0646959,0,0,0.5,DISABLED,0
0.159999,-0.00987405,0.0038048,0.128477,-0.00750347,0.668294,0.032394,-0.118096,-0.0209131,-0.992782,0.0747742,0,0,0.5,DISABLED,0
0.179999,-0.0108937,0.00469474,0.135077,-0.0115419,0.668627,0.0504533,-0.122135,-0.038484,-0.991767,0.0796336,0,0,0.5,DISABLED,0
0.199999,-0.0119894,0.00590229,0.127544,-0.0131334,0.669941,0.0651481,-0.123726,-0.0531492,-0.990892,0.0845444,0,0,0.5,DISABLED,0
0.219999,-0.0133736,0.00741123,0.100752,-0.011642,0.67188,0.0740443,-0.122235,-0.0624502,-0.990535,0.0914014,0,0,0.5,DISABLED,0
0.239999,-0.0146001,0.00906001,0.0819484,-0.00887195,0.673606,0.0784497,-0.119465,-0.0672753,-0.990557,0.100203,0,0,0.5,DISABLED,0
0.259999,-0.0158073,0.0112253,0.0747866,-0.00618393,0.674987,0.0794075,-0.116777,-0.0685048,-0.990793,0.108706,0,0,0.5,DISABLED,0
0.279999,-0.017105,0.0139201,0.06963,-0.00384703,0.675806,0.0776977,-0.11444,-0.0669549,-0.991171,0.115011,0,0,0.5,DISABLED,0
0.299999,-0.0183926,0.0166875,0.0459623,-0.000971161,0.675917,0.072692,-0.111564,-0.0620597,-0.991818,0.120723,0,0,0.5,DISABLED,0
0.319999,-0.0200373,0.0205208,0.023163,0.00175257,0.675145,0.0638348,-0.10884,-0.0532056,-0.992634,0.126002,0,0,0.5,DISABLED,0
0.339998,-0.0214315,0.0243447,0.0109429,0.0039677,0.673569,0.0511669,-0.106625,-0.0404221,-0.993477,0.13287,0,0,0.5,DISABLED,0
0.359998,-0.0227108,0.0283966,0.00821173,0.00542165,0.671017,0.0385519,-0.105171,-0.0275825,-0.994072,0.139657,0,0,0.5,DISABLED,0
0.379998,-0.0236489,0.0313445,0.0239615,0.00801077,0.668282,0.0343571,-0.102582,-0.0228199,-0.994463,0.148875,0,0,0.5,DISABLED,0
0.399998,-0.0249916,0.0338863,0.064585,0.0125965,0.664947,0.0380726,-0.0979961,-0.0253282,-0.994864,0.158062,0,0,0.5,DISABLED,0
0.419998,-0.0275035,0.0366103,0.106867,0.0182615,0.66085,0.0334337,-0.0923311,-0.0173645,-0.995577,0.162257,0,0,0.5,DISABLED,0
0.439998,-0.0299791,0.0388939,0.133716,0.0217972,0.656104,0.0278136,-0.0887954,-0.00654603,-0.996028,0.166937,0,0,0.5,DISABLED,0
0.459998,-0.0299552,0.039617,0.129618,0.0155892,0.654197,0.0350341,-0.0950035,-0.0207557,-0.995261,0.173318,0,0,0.5,DISABLED,0
0.479998,-0.0294313,0.0411648,0.0856652,0.00505386,0.654014,0.0274968,-0.105539,-0.0164392,-0.994279,0.184914,0,0,0.5,DISABLED,0
0.499998,-0.0297883,0.0427317,0.0961245,0.00033395,0.654972,0.0121287,-0.110259,-0.0015371,-0.993902,0.204596,0,0,0.5,DISABLED,0
0.519998,-0.0307521,0.0438403,0.121472,0.00156651,0.656417,0.00161945,-0.109026,0.0101546,-0.993987,0.219239,0,0,0.5,DISABLED,0
0.539998,-0.0317204,0.0447417,0.12857,0.00435468,0.657901,0.00925164,-0.106238,0.0187387,-0.994164,0.230625,0,0,0.5,DISABLED,0
0.559998,-0.0328043,0.0457799,0.120203,0.008104,0.659616,0.0185838,-0.102489,0.027298,-0.99436,0.242915,0,0,0.5,DISABLED,0
0.579998,-0.0335082,0.046578,0.103513,0.0106392,0.660735,0.0248934,-0.0999535,0.0330792,-0.994442,0.252484,0,0,0.5,DISABLED,0
0.599998,-0.0340412,0.0474631,0.0875829,0.0115688,0.661662,0.0281397,-0.0990238,0.0362258,-0.994425,0.260884,0,0,0.5,DISABLED,0
0.619998,-0.0341933,0.0481407,0.0782025,0.0108071,0.662101,0.0280272,-0.0997856,0.0364355,-0.994342,0.267903,0,0,0.5,DISABLED,0
0.639998,-0.0340907,0.0485053,0.0674621,0.00938046,0.662246,0.0253772,-0.101212,0.0341577,-0.994278,0.273528,0,0,0.5,DISABLED,0
0.659998,-0.0336488,0.0486402,0.0577978,0.00699603,0.662284,0.0197259,-0.103597,0.02902,-0.994196,0.279865,0,0,0.5,DISABLED,0
0.679998,-0.0331306,0.0484223,0.0537362,0.00549322,0.662102,0.0134256,-0.105099,0.0228249,-0.9942,0.284219,0,0,0.5,DISABLED,0
0.699998,-0.0328379,0.0481501,0.0499787,0.0042889,0.661727,0.00553506,-0.106304,0.0140597,-0.994234,0.286677,0,0,0.5,DISABLED,0
0.719998,-0.0326866,0.0480427,0.0658517,0.00248764,0.661493,0.00251358,-0.108105,0.0103232,-0.994086,0.289924,0,0,0.5,DISABLED,0
0.739998,-0.0320743,0.0477661,0.0719384,-0.000300482,0.6609,0.00564172,-0.110893,0.00495722,-0.99382,0.296587,0,0,0.5,DISABLED,0
0.759998,-0.0314177,0.0471189,0.139261,-0.0011774,0.659353,0.0168371,-0.11177,-0.00621254,-0.993715,0.305406,0,0,0.5,DISABLED,0
0.779998,-0.0323888,0.0472637,0.172837,-0.00204016,0.6575,0.0186127,-0.112633,-0.00791462,-0.993605,0.316608,0,0,0.5,DISABLED,0
0.799998,-0.0335464,0.048204,0.15435,-0.00574395,0.656562,0.0225118,-0.116337,-0.0111731,-0.993147,0.325608,0,0,0.5,DISABLED,0
0.819998,-0.0347506,0.0495497,0.115843,-0.0079311,0.656359,0.0326853,-0.118524,-0.0211042,-0.992727,0.32906,0,0,0.5,DISABLED,0
0.839998,-0.0362954,0.0513813,0.0970778,-0.00682331,0.656906,0.038737,-0.117416,-0.0275286,-0.992701,0.334995,0,0,0.5,DISABLED,0
0.859998,-0.0378402,0.053363,0.079834,-0.00315369,0.657752,0.0393584,-0.113746,-0.0286401,-0.993097,0.340368,0,0,0.5,DISABLED,0
0.879998,-0.0394965,0.0561254,0.0382864,0.00220599,0.658623,0.0372254,-0.108387,-0.0265741,-0.993754,0.349919,0,0,0.5,DISABLED,0
0.899998,-0.0406878,0.0586661,-0.0203651,0.00609239,0.658598,0.0330986,-0.1045,-0.0219451,-0.994283,0.357278,0,0,0.5,DISABLED,0
0.919998,-0.0420689,0.0621125,-0.0466809,0.00938969,0.657101,0.0245,-0.101203,-0.0120257,-0.994793,0.366259,0,0,0.5,DISABLED,0
0.939998,-0.0430263,0.0648228,-0.0500421,0.0110529,0.65487,0.0215014,-0.0995398,-0.00781965,-0.995003,0.371941,0,0,0.5,DISABLED,0
0.959998,-0.0440151,0.0668434,-0.01713,0.013804,0.652236,0.0263091,-0.0967887,-0.0117653,-0.995235,0.377706,0,0,0.5,DISABLED,0
0.979998,-0.0458924,0.0679799,0.031673,0.0190647,0.64952,0.0277299,-0.091528,-0.00946137,-0.995758,0.378923,0,0,0.5,DISABLED,0
0.999998,-0.0479985,0.0683865,0.0635131,0.0229162,0.647004,0.0286623,-0.0876764,-0.0064747,-0.996128,0.380048,0,0,0.5,DISABLED,0
1.02,-0.0491244,0.0682968,0.0986277,0.0207186,0.646054,0.0298003,-0.089874,-0.0107322,-0.995895,0.383446,0,0,0.5,DISABLED,0
1.04,-0.0494333,0.0687883,0.132946,0.0102758,0.645941,0.0189271,-0.100317,-0.00526756,-0.994942,0.3921,0,0,0.5,DISABLED,0
1.06,-0.0493797,0.0690234,0.145139,0.00260349,0.646592,0.00641306,-0.107989,0.00472613,-0.994141,0.402131,0,0,0.5,DISABLED,0
1.08,-0.0493847,0.0686652,0.154039,-0.000952795,0.647919,0.00521342,-0.111545,0.0156966,-0.993635,0.414341,0,0,0.5,DISABLED,0
1.1,-0.0493056,0.0680474,0.152418,-0.0010583,0.649775,0.0122461,-0.111651,0.0227775,-0.993486,0.425902,0,0,0.5,DISABLED,0
1.12,-0.0491921,0.0673381,0.135262,3.24696e-05,0.651804,0.0182374,-0.11056,0.0288155,-0.993452,0.43745,0,0,0.5,DISABLED,0
1.14,-0.0489921,0.0666113,0.114492,0.00109647,0.653741,0.0238715,-0.109496,0.0344233,-0.993391,0.449094,0,0,0.5,DISABLED,0
1.16,-0.0487038,0.0659192,0.0987208,0.00141463,0.655214,0.0280824,-0.109178,0.0386239,-0.993272,0.460151,0,0,0.5,DISABLED,0
