t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.124594,0,0.734533,0,-0.105146,-0.00268404,-0.994453,0,-0.25,0.2,0,DISABLED,0
0.0399988,-0.00212297,0.000585809,-0.094449,-0.00944633,0.734205,0.00969829,-0.114592,-0.000753102,-0.993412,-0.0038961,-0.25,0.2,0,DISABLED,0
0.0599988,-0.00469553,0.000872105,-0.0310439,-0.0159327,0.733829,0.0160467,-0.121079,-0.00206393,-0.992641,-0.0114988,-0.25,0.2,0,DISABLED,0
0.0799987,-0.00709704,0.000208624,-0.0175129,-0.0221191,0.733207,0.0229211,-0.127265,-0.00809651,-0.991836,-0.0146286,-0.25,0.2,0,DISABLED,0
0.0999987,-0.01012,-0.000582926,-0.0946611,-0.0257676,0.731856,0.0278608,-0.130914,-0.0128023,-0.991311,-0.0143344,-0.25,0.2,0,DISABLED,0
0.119999,-0.0134172,-0.00167461,-0.0983795,-0.0294599,0.729393,0.0336594,-0.134606,-0.0185303,-0.990726,-0.0118199,-0.25,0.2,0,DISABLED,0
0.139999,-0.016547,-0.00340727,-0.0532181,-0.0340866,0.726205,0.0429276,-0.139233,-0.0283623,-0.989853,-0.00835617,-0.25,0.2,0,DISABLED,0
0.159999,-0.0205267,-0.00440782,0.0923302,-0.0353242,0.724229,0.0413587,-0.14047,-0.0236823,-0.989802,-0.00439989,-0.25,0.2,0,DISABLED,0
0.179999,-0.0241696,-0.00569726,0.128288,-0.0337053,0.723209,0.0400834,-0.138851,-0.0239143,-0.990024,-0.000658289,-0.25,0.2,0,DISABLED,0
0.199999,-0.0283306,-0.00723061,0.131827,-0.0299424,0.722851,0.0401815,-0.135088,-0.0291681,-0.990404,0.00286392,-0.25,0.2,0,DISABLED,0
0.219999,-0.0316833,-0.00806244,0.116834,-0.0268287,0.723102,0.0406344,-0.131975,-0.0329677,-0.990705,0.0070245,-0.25,0.2,0,DISABLED,0
0.239999,-0.0347551,-0.0082186,0.102949,-0.0244682,0.723634,0.0412995,-0.129614,-0.0357631,-0.990919,0.0110135,-0.25,0.2,0,DISABLED,0
0.259999,-0.0374079,-0.00780753,0.089901,-0.0230105,0.724251,0.0415284,-0.128156,-0.0370849,-0.99106,0.0141094,-0.25,0.2,0,DISABLED,0
0.279999,-0.0406292,-0.00676586,0.0811196,-0.0218725,0.725208,0.0416846,-0.127018,-0.0380158,-0.991172,0.0155715,-0.25,0.2,0,DISABLED,0
0.299999,-0.043701,-0.00550409,0.0713903,-0.0207492,0.726237,0.0412157,-0.125895,-0.0381542,-0.99131,0.0152081,-0.25,0.2,0,DISABLED,0
0.319999,-0.0466239,-0.00420127,0.0724173,-0.0194779,0.727196,0.04022,-0.124624,-0.0377441,-0.991486,0.0136762,-0.25,0.2,0,DISABLED,0
0.339998,-0.050311,-0.00239161,0.0893003,-0.0176523,0.728268,0.0377897,-0.122798,-0.0359883,-0.991779,0.0112868,-0.25,0.2,0,DISABLED,0
0.359998,-0.0537931,-0.000604555,0.10516,-0.0152267,0.729026,0.0341953,-0.120373,-0.0332153,-0.992173,0.00969827,-0.25,0.2,0,DISABLED,0
0.379998,-0.0573549,0.00125884,0.0990739,-0.012369,0.729546,0.0292185,-0.117515,-0.0290927,-0.992645,0.00910209,-0.25,0.2,0,DISABLED,0
0.399998,-0.0609499,0.00327465,0.0798065,-0.00986235,0.729865,0.0219867,-0.115008,-0.0222898,-0.993114,0.0100987,-0.25,0.2,0,DISABLED,0
0.419998,-0.0649548,0.00562628,0.087984,-0.00602905,0.729542,0.00990505,-0.111175,-0.0105107,-0.993745,0.0135344,-0.25,0.2,0,DISABLED,0
0.439998,-0.0698677,0.00823968,0.0993729,0.0018231,0.727885,0.0085065,-0.103323,0.00562824,-0.994632,0.0204933,-0.25,0.2,0,DISABLED,0
0.459998,-0.0753855,0.0109941,0.0996658,0.0119101,0.724594,0.02842,-0.0932359,0.0231013,-0.995376,0.0299977,-0.25,0.2,0,DISABLED,0
0.479998,-0.0803185,0.0113937,0.0835112,0.0145966,0.723031,0.0167519,-0.0905493,0.00541393,-0.995877,0.0285031,-0.25,0.2,0,DISABLED,0
