t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.119926,0,0.734024,0.000345267,-0.0916929,-0.0013642,-0.995786,0,0.25,0.2,0,DISABLED,0
0.0399988,-0.00212535,0.000115708,-0.197707,-0.0103373,0.733324,0.0108086,-0.10203,-0.00434584,-0.994772,-0.00166006,0.25,0.2,0,DISABLED,0
0.0599988,-0.00409961,0.00123484,-0.0731676,-0.0207855,0.732869,0.0209026,-0.112478,-0.000827745,-0.993654,-0.00708957,0.25,0.2,0,DISABLED,0
0.0799987,-0.0058814,0.00102044,-0.0695382,-0.0291869,0.73206,0.0295088,-0.12088,-0.00435518,-0.992658,-0.0104791,0.25,0.2,0,DISABLED,0
0.0999987,-0.00873786,0.000157461,-0.120178,-0.0358443,0.730766,0.0367012,-0.127537,-0.00815788,-0.9918,-0.0141404,0.25,0.2,0,DISABLED,0
0.119999,-0.0119112,-0.00105352,-0.125725,-0.0411513,0.728766,0.0430386,-0.132844,-0.0130353,-0.991051,-0.0162129,0.25,0.2,0,DISABLED,0
0.139999,-0.0147998,-0.00279134,-0.100106,-0.0480651,0.726134,0.0518073,-0.139758,-0.0197902,-0.989988,-0.0166151,0.25,0.2,0,DISABLED,0
0.159999,-0.0184402,-0.0039919,0.0226144,-0.0521668,0.723992,0.0541871,-0.14386,-0.0145743,-0.989491,-0.0152059,0.25,0.2,0,DISABLED,0
0.179999,-0.0225099,-0.00558093,0.136139,-0.0525153,0.722369,0.0538327,-0.144208,-0.0113487,-0.989482,-0.0100409,0.25,0.2,0,DISABLED,0
0.199999,-0.0262749,-0.0070873,0.147132,-0.0518276,0.721779,0.0539644,-0.143521,-0.0150133,-0.989533,-0.00732193,0.25,0.2,0,DISABLED,0
0.219999,-0.0293743,-0.00806891,0.124783,-0.0524817,0.722023,0.0561916,-0.144175,-0.0203554,-0.989343,-0.00477065,0.25,0.2,0,DISABLED,0
