t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.259934,0,0.633577,0,0.0106436,-0.126708,-0.991883,0,0,-0.3,0,DISABLED,0
0.0399988,0.00013718,0.00734642,0.261904,0.00307482,0.634177,0.00838653,0.0137184,-0.134443,-0.990826,0.00757275,0,-0.3,0,DISABLED,0
0.0599988,0.000175551,0.0140804,0.256447,0.00970819,0.634775,0.0172601,0.0203518,-0.140831,-0.989824,0.0133434,0,-0.3,0,DISABLED,0
0.0799987,0.000502229,0.0205637,0.240505,0.0169578,0.635103,0.0255994,0.0276014,-0.145659,-0.98895,0.0207819,0,-0.3,0,DISABLED,0
0.0999987,0.000967816,0.027241,0.239211,0.0237811,0.634654,0.0285163,0.0344247,-0.14222,-0.989236,0.0299178,0,-0.3,0,DISABLED,0
0.119999,0.001825,0.0332989,0.192794,0.0294389,0.633732,0.0304141,0.0400825,-0.134146,-0.990151,0.0416431,0,-0.3,0,DISABLED,0
0.139999,0.00321572,0.0396147,0.138724,0.0329354,0.632657,0.0332118,0.043579,-0.130737,-0.990459,0.0521928,0,-0.3,0,DISABLED,0
0.159999,0.00481129,0.0462317,0.0993088,0.0364738,0.631416,0.0365547,0.0471174,-0.128714,-0.990562,0.0630193,0,-0.3,0,DISABLED,0
0.179999,0.00634733,0.0521561,0.0886019,0.0395735,0.630363,0.0396031,0.0502171,-0.12735,-0.990586,0.0724665,0,-0.3,0,DISABLED,0
0.199999,0.00784069,0.0575344,0.0968693,0.0424446,0.629563,0.0424682,0.0530882,-0.126558,-0.990538,0.0811433,0,-0.3,0,DISABLED,0
0.219999,0.00957926,0.0634671,0.103934,0.0465909,0.628634,0.0466242,0.0572345,-0.126999,-0.99025,0.0941815,0,-0.3,0,DISABLED,0
0.239999,0.011603,0.0700675,0.104802,0.0509972,0.627547,0.0510374,0.0616408,-0.12612,-0.990098,0.110223,0,-0.3,0,DISABLED,0
0.259999,0.0133613,0.0755151,0.110835,0.0555375,0.62657,0.0556112,0.0661811,-0.124779,-0.989975,0.128217,0,-0.3,0,DISABLED,0
0.279999,0.0157658,0.0820341,0.11669,0.0613984,0.625184,0.0615021,0.072042,-0.124159,-0.989644,0.155639,0,-0.3,0,DISABLED,0
0.299999,0.0186191,0.087758,0.111904,0.0648896,0.623876,0.0649794,0.0755332,-0.124819,-0.9893,0.182878,0,-0.3,0,DISABLED,0
0.319999,0.0229216,0.0934881,0.101926,0.0618419,0.622634,0.0619514,0.0724855,-0.124018,-0.989629,0.204927,0,-0.3,0,DISABLED,0
0.339998,0.0278501,0.0991087,0.0761023,0.0531197,0.621452,0.0549857,0.0637633,-0.112532,-0.9916,0.218157,0,-0.3,0,DISABLED,0
0.359998,0.033644,0.104828,0.00793713,0.0428078,0.621303,0.0536018,0.0534514,-0.0945349,-0.994086,0.23496,0,-0.3,0,DISABLED,0
0.379998,0.0366462,0.108071,0.0430176,0.042169,0.623707,0.0586794,0.0528126,-0.0860253,-0.994892,0.254883,0,-0.3,0,DISABLED,0
0.399998,0.0390886,0.112823,0.0589928,0.0437265,0.627525,0.0765177,0.0543701,-0.0641056,-0.996461,0.285047,0,-0.3,0,DISABLED,0
0.419998,0.0408917,0.117005,0.0525402,0.0445426,0.630431,0.100775,0.0551862,-0.0365528,-0.997807,0.319515,0,-0.3,0,DISABLED,0
0.439998,0.0421479,0.120458,0.0635614,0.0453731,0.632763,0.12664,0.0560167,-0.00874571,-0.998392,0.350476,0,-0.3,0,DISABLED,0
0.459998,0.0438198,0.124252,0.0851679,0.0443435,0.635398,0.155423,0.0549871,0.0219555,-0.998246,0.382852,0,-0.3,0,DISABLED,0
0.479998,0.0454721,0.126776,0.0955523,0.0420418,0.637279,0.173394,0.0526855,0.0411845,-0.997762,0.405344,0,-0.3,0,DISABLED,0
0.499998,0.0476812,0.129078,0.102793,0.0386589,0.638974,0.188698,0.0493025,0.0576268,-0.99712,0.429143,0,-0.3,0,DISABLED,0
0.519998,0.0504539,0.131174,0.101781,0.0342461,0.640166,0.201573,0.0448898,0.0715359,-0.996427,0.455293,0,-0.3,0,DISABLED,0
0.539998,0.0540684,0.133401,0.0997217,0.0293091,0.640414,0.215139,0.0399528,0.0859753,-0.995496,0.489393,0,-0.3,0,DISABLED,0
0.559998,0.0578551,0.135355,0.088535,0.024668,0.6396,0.226192,0.0353116,0.0976332,-0.994596,0.524439,0,-0.3,0,DISABLED,0
0.579998,0.0626264,0.137132,0.0737866,0.0155997,0.639202,0.226263,0.0262433,0.0985141,-0.99479,0.551837,0,-0.3,0,DISABLED,0
0.599998,0.0680499,0.139597,0.060056,0.00359478,0.639117,0.226741,0.0142384,0.0994987,-0.994936,0.574606,0,-0.3,0,DISABLED,0
0.619998,0.0730465,0.141881,0.0446761,-0.00630491,0.639228,0.227038,0.00433871,0.0997333,-0.995005,0.597001,0,-0.3,0,DISABLED,0
0.639998,0.0790838,0.14466,0.0244899,-0.0136831,0.639407,0.224599,-0.00303953,0.0969749,-0.995282,0.619361,0,-0.3,0,DISABLED,0
0.659998,0.0838015,0.146808,0.00724179,-0.0184808,0.639388,0.217016,-0.00783723,0.0890527,-0.995996,0.643856,0,-0.3,0,DISABLED,0
0.679998,0.0884319,0.149335,0.0071663,-0.0219123,0.639586,0.208363,-0.0112686,0.0800639,-0.996726,0.666126,0,-0.3,0,DISABLED,0
0.699998,0.0925628,0.151846,0.0236436,-0.0279239,0.641075,0.201972,-0.0172803,0.0729074,-0.997189,0.684505,0,-0.3,0,DISABLED,0
0.719998,0.0970402,0.153724,0.0222045,-0.0373427,0.643741,0.196001,-0.0266991,0.0653006,-0.997508,0.707601,0,-0.3,0,DISABLED,0
0.739998,0.102312,0.155298,0.0153056,-0.0471653,0.647884,0.191004,-0.0365217,0.0579916,-0.997649,0.733265,0,-0.3,0,DISABLED,0
0.759998,0.1074,0.156403,0.0241402,-0.0574624,0.653087,0.184517,-0.0468188,0.0482597,-0.997737,0.763433,0,-0.3,0,DISABLED,0
0.779998,0.112795,0.157073,0.0468633,-0.0675857,0.660016,0.174678,-0.0569421,0.0340153,-0.997798,0.799589,0,-0.3,0,DISABLED,0
0.799998,0.117814,0.157516,0.0582007,-0.0774224,0.667742,0.163661,-0.0667787,0.0171597,-0.99762,0.835346,0,-0.3,0,DISABLED,0
0.819998,0.123102,0.158229,0.0570192,-0.0890075,0.677452,0.154259,-0.0783639,-0.00100653,-0.996924,0.876147,0,-0.3,0,DISABLED,0
0.839998,0.127186,0.159345,0.0663615,-0.0975005,0.687317,0.150939,-0.0868569,-0.0117526,-0.996151,0.916362,0,-0.3,0,DISABLED,0
0.859998,0.129346,0.161016,0.127502,-0.10004,0.696307,0.150247,-0.089396,-0.0148702,-0.995885,0.944628,0,-0.3,0,DISABLED,0
0.879998,0.130013,0.163045,0.223252,-0.0948124,0.703964,0.147749,-0.0841688,-0.0136563,-0.996358,0.961398,0,-0.3,0,DISABLED,0
0.899998,0.130423,0.164567,0.222002,-0.0833492,0.709957,0.140368,-0.0727056,-0.0140371,-0.997255,0.970316,0,-0.3,0,DISABLED,0
0.919998,0.131383,0.165963,0.123023,-0.0724825,0.713647,0.135207,-0.0618389,-0.0128579,-0.998003,0.978187,0,-0.3,0,DISABLED,0
0.939998,0.132919,0.167674,0.0410736,-0.0649969,0.715281,0.133354,-0.0543532,-0.0105666,-0.998466,0.985669,0,-0.3,0,DISABLED,0
0.959998,0.134327,0.168953,0.0454341,-0.0611449,0.71595,0.130755,-0.0505013,-0.0114347,-0.998659,0.990853,0,-0.3,0,DISABLED,0
0.979998,0.135543,0.169707,0.084302,-0.0547903,0.716253,0.130155,-0.0441467,-0.00896296,-0.998985,1.00321,0,-0.3,0,DISABLED,0
0.999998,0.136731,0.169672,0.137658,-0.0465982,0.71611,0.128731,-0.0359546,-0.00703411,-0.999329,1.02,0,-0.3,0,DISABLED,0
1.02,0.138309,0.168882,0.180674,-0.0397182,0.715407,0.12758,-0.0290746,-0.00580271,-0.99956,1.03701,0,-0.3,0,DISABLED,0
1.04,0.140018,0.167583,0.201175,-0.0337786,0.714113,0.128021,-0.0231349,-0.00356458,-0.999726,1.05359,0,-0.3,0,DISABLED,0
1.06,0.141922,0.165775,0.206255,-0.0284785,0.712188,0.131316,-0.0178349,0.0011383,-0.99984,1.06902,0,-0.3,0,DISABLED,0
1.08,0.143843,0.163359,0.2012,-0.0229924,0.709725,0.135272,-0.0123488,0.00624951,-0.999904,1.08156,0,-0.3,0,DISABLED,0
1.1,0.145698,0.160718,0.190143,-0.0186343,0.70704,0.137485,-0.00799065,0.00916097,-0.999926,1.09146,0,-0.3,0,DISABLED,0
1.12,0.148189,0.1575,0.182206,-0.0161829,0.703492,0.139186,-0.00553928,0.0111872,-0.999922,1.10236,0,-0.3,0,DISABLED,0
1.14,0.15144,0.153621,0.163959,-0.0160035,0.699141,0.140848,-0.00535984,0.0128801,-0.999903,1.11361,0,-0.3,0,DISABLED,0
1.16,0.154318,0.150001,0.151849,-0.0162091,0.695396,0.140258,-0.00556553,0.0122625,-0.999909,1.12127,0,-0.3,0,DISABLED,0
1.18,0.157395,0.14556,0.149976,-0.0161344,0.69126,0.13659,-0.00549074,0.0085785,-0.999948,1.12682,0,-0.3,0,DISABLED,0
1.2,0.160102,0.140838,0.152991,-0.0160811,0.687426,0.131021,-0.00543746,0.00297575,-0.999981,1.12863,0,-0.3,0,DISABLED,0
1.22,0.16239,0.135893,0.152806,-0.0164038,0.684168,0.123916,-0.00576018,-0.0042297,-0.999974,1.12672,0,-0.3,0,DISABLED,0
1.24,0.164438,0.130841,0.132251,-0.0186628,0.681814,0.115784,-0.00801919,-0.012785,-0.999886,1.12183,0,-0.3,0,DISABLED,0
1.26,0.166672,0.125281,0.128193,-0.0251419,0.680509,0.107929,-0.0144983,-0.0220899,-0.999651,1.11454,0,-0.3,0,DISABLED,0
1.28,0.168652,0.120883,0.119199,-0.0343947,0.680379,0.104234,-0.0237511,-0.028643,-0.999308,1.10794,0,-0.3,0,DISABLED,0
1.3,0.171028,0.116205,0.112666,-0.0480259,0.680777,0.104565,-0.0373823,-0.0341295,-0.998718,1.10139,0,-0.3,0,DISABLED,0
1.32,0.173645,0.111194,0.117369,-0.064142,0.681167,0.109245,-0.0534984,-0.0385431,-0.997824,1.09947,0,-0.3,0,DISABLED,0
1.34,0.175899,0.106564,0.166497,-0.0777712,0.681397,0.111492,-0.0671275,-0.0470428,-0.996635,1.10618,0,-0.3,0,DISABLED,0
1.36,0.178085,0.102132,0.216776,-0.0925002,0.681971,0.10882,-0.0818566,-0.0695384,-0.994215,1.11617,0,-0.3,0,DISABLED,0
1.38,0.17977,0.0987926,0.201802,-0.111056,0.682735,0.11356,-0.100413,-0.103403,-0.989558,1.12488,0,-0.3,0,DISABLED,0
1.4,0.180349,0.0960786,0.145732,-0.129928,0.68448,0.130215,-0.119285,-0.125212,-0.984933,1.13159,0,-0.3,0,DISABLED,0
1.42,0.179805,0.093601,0.0467018,-0.146568,0.686703,0.147342,-0.135925,-0.135564,-0.981401,1.14602,0,-0.3,0,DISABLED,0
1.44,0.177819,0.0898679,0.0531446,-0.14868,0.688759,0.149284,-0.138037,-0.132341,-0.981546,1.15745,0,-0.3,0,DISABLED,0
1.46,0.175942,0.0859318,0.0581546,-0.145362,0.69089,0.1458,-0.134718,-0.122782,-0.983247,1.16845,0,-0.3,0,DISABLED,0
1.48,0.174443,0.0820436,0.0591012,-0.141588,0.692962,0.142551,-0.130944,-0.112881,-0.984942,1.17774,0,-0.3,0,DISABLED,0
1.5,0.173301,0.0791092,0.0388381,-0.136917,0.694016,0.139081,-0.126273,-0.103508,-0.986581,1.1806,0,-0.3,0,DISABLED,0
1.52,0.172106,0.0759805,0.0247347,-0.131571,0.694357,0.135643,-0.120928,-0.0943647,-0.988166,1.17937,0,-0.3,0,DISABLED,0
1.54,0.171255,0.0726869,0.0270162,-0.126816,0.693825,0.133522,-0.116172,-0.0853073,-0.989559,1.1788,0,-0.3,0,DISABLED,0
1.56,0.170903,0.0703975,0.0428281,-0.124444,0.692969,0.132995,-0.113801,-0.0800982,-0.990269,1.17816,0,-0.3,0,DISABLED,0
1.58,0.17036,0.0672166,0.0510836,-0.123972,0.691217,0.134655,-0.113328,-0.074417,-0.990767,1.17485,0,-0.3,0,DISABLED,0
1.6,0.169207,0.0646858,0.0844316,-0.125846,0.689616,0.14173,-0.115202,-0.0617742,-0.991419,1.16906,0,-0.3,0,DISABLED,0
1.62,0.168064,0.0616003,0.162045,-0.12798,0.68812,0.153156,-0.117336,-0.0428515,-0.992167,1.173,0,-0.3,0,DISABLED,0
1.64,0.166935,0.0575791,0.181768,-0.130324,0.685516,0.170939,-0.11968,-0.0164172,-0.992677,1.18514,0,-0.3,0,DISABLED,0
1.66,0.16545,0.0528341,0.167583,-0.129097,0.679638,0.199351,-0.118453,0.0247604,-0.992651,1.20833,0,-0.3,0,DISABLED,0
1.68,0.165788,0.0474436,0.132157,-0.125166,0.674337,0.204829,-0.114523,0.0349727,-0.992805,1.23133,0,-0.3,0,DISABLED,0
1.7,0.167783,0.0414913,0.0699943,-0.12878,0.671162,0.201631,-0.118136,0.027994,-0.992603,1.25084,0,-0.3,0,DISABLED,0
1.72,0.169297,0.0369278,-0.000178427,-0.131599,0.669842,0.211946,-0.120956,0.0389265,-0.991894,1.27947,0,-0.3,0,DISABLED,0
