t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.0323993,0,0.734197,0,-0.0945716,0.00533242,-0.995504,0,0.3,0,0,DISABLED,0
0.0399988,-0.00158855,-0.00150136,-0.200272,-0.0101528,0.733836,0.0105349,-0.104724,0.00269406,-0.994498,0.00284573,0.3,0,0,DISABLED,0
0.0599988,-0.00292203,-0.00110339,-0.147797,-0.0198712,0.73303,0.0199931,-0.114443,0.00470491,-0.993419,-0.00193631,0.3,0,0,DISABLED,0
0.0799987,-0.00547442,-0.0012129,-0.0443127,-0.0263865,0.732085,0.026956,-0.120958,0.000618299,-0.992657,-0.0158825,0.3,0,0,DISABLED,0
0.0999987,-0.00854379,-0.00273202,-0.108727,-0.0287673,0.730722,0.0313427,-0.123339,-0.00670115,-0.992342,-0.0189716,0.3,0,0,DISABLED,0
0.119999,-0.011842,-0.00447801,-0.110514,-0.0322457,0.728856,0.0375316,-0.126817,-0.0135142,-0.991834,-0.0226937,0.3,0,0,DISABLED,0
0.139999,-0.0147968,-0.00667263,-0.102765,-0.0386722,0.726579,0.046892,-0.133244,-0.020771,-0.990866,-0.0247067,0.3,0,0,DISABLED,0
0.159999,-0.0182046,-0.00852854,-0.0161821,-0.0435726,0.724625,0.0500094,-0.138144,-0.0186281,-0.990237,-0.0256421,0.3,0,0,DISABLED,0
0.179999,-0.0216307,-0.0104986,0.115315,-0.0462786,0.723154,0.0505301,-0.14085,-0.0141608,-0.98993,-0.0212461,0.3,0,0,DISABLED,0
0.199999,-0.0257193,-0.0129676,0.146354,-0.0465536,0.722383,0.0523091,-0.141125,-0.0178236,-0.989831,-0.0186501,0.3,0,0,DISABLED,0
0.219999,-0.0284873,-0.0145905,0.12607,-0.0475064,0.722558,0.0558306,-0.142078,-0.0233771,-0.989579,-0.0173206,0.3,0,0,DISABLED,0
0.239999,-0.0314926,-0.015866,0.101233,-0.049006,0.723159,0.0602154,-0.143578,-0.0290718,-0.989212,-0.0140993,0.3,0,0,DISABLED,0
0.259999,-0.0340241,-0.016256,0.0729034,-0.0509224,0.723789,0.0636992,-0.145494,-0.0323328,-0.988831,-0.0103167,0.3,0,0,DISABLED,0
0.279999,-0.0365064,-0.0159709,0.049915,-0.0534656,0.72445,0.0665351,-0.148037,-0.0336078,-0.988411,-0.00732582,0.3,0,0,DISABLED,0
0.299999,-0.0390381,-0.0152868,0.0273139,-0.0565397,0.725164,0.0690939,-0.151111,-0.0336313,-0.987944,-0.00594903,0.3,0,0,DISABLED,0
0.319999,-0.0417137,-0.0144077,0.0212248,-0.0596838,0.725881,0.0712255,-0.154255,-0.0326766,-0.987491,-0.00622959,0.3,0,0,DISABLED,0
0.339998,-0.0444612,-0.0133669,0.0350058,-0.062506,0.726498,0.0726255,-0.157078,-0.03065,-0.987111,-0.007441,0.3,0,0,DISABLED,0
0.359998,-0.0472303,-0.0122177,0.0574965,-0.0653637,0.726898,0.0734448,-0.159935,-0.0269613,-0.986759,-0.00892474,0.3,0,0,DISABLED,0
0.379998,-0.0499824,-0.0109299,0.074172,-0.0679353,0.727065,0.0732292,-0.162507,-0.0204309,-0.986496,-0.0095822,0.3,0,0,DISABLED,0
0.399998,-0.0526597,-0.0094448,0.0727734,-0.0701839,0.72698,0.0727954,-0.164755,-0.0115735,-0.986267,-0.00883493,0.3,0,0,DISABLED,0
0.419998,-0.0556156,-0.00758637,0.0790076,-0.0706531,0.726154,0.0713276,-0.165225,0.00250162,-0.986253,-0.0051761,0.3,0,0,DISABLED,0
0.439998,-0.0589857,-0.0053497,0.113272,-0.06614,0.723916,0.0691068,-0.160712,0.0232842,-0.986727,0.000482935,0.3,0,0,DISABLED,0
0.459998,-0.0637077,-0.00471488,0.150053,-0.0632181,0.722082,0.0641424,-0.15779,0.0124454,-0.987394,-0.00269444,0.3,0,0,DISABLED,0
0.479998,-0.066164,-0.00338016,-0.0296323,-0.0702982,0.721239,0.0710872,-0.16487,0.0102351,-0.986262,-0.0059903,0.3,0,0,DISABLED,0
0.499998,-0.068506,-0.00110739,-0.0584986,-0.0757745,0.720463,0.0777959,-0.170346,0.0195085,-0.985191,0.00232719,0.3,0,0,DISABLED,0
0.519998,-0.070699,0.000651941,-0.0254413,-0.078523,0.720042,0.0817132,-0.173095,0.0250384,-0.984587,0.00862686,0.3,0,0,DISABLED,0
0.539998,-0.073258,0.0021464,-0.00870666,-0.0801993,0.720283,0.0840638,-0.174771,0.0277675,-0.984218,0.0117387,0.3,0,0,DISABLED,0
0.559998,-0.075192,0.00279295,0.0284007,-0.0803082,0.720927,0.0845077,-0.17488,0.028982,-0.984163,0.0125028,0.3,0,0,DISABLED,0
0.579998,-0.0773474,0.00276921,0.0527686,-0.079061,0.721912,0.0831444,-0.173633,0.0284637,-0.984399,0.0118618,0.3,0,0,DISABLED,0
