t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.189163,0,0.17215,0.000345267,0.0210092,0.114,-0.993259,0,0,0,0,DISABLED,0
0.0399988,-0.00803018,0.00672193,0.20442,-0.0016475,0.167498,0.0147782,0.0193617,0.128577,-0.991511,-0.0145605,0,0,0,DISABLED,0
0.0599988,-0.0152961,0.0135237,0.114028,-0.0040686,0.162399,0.0243878,0.0169406,0.137862,-0.990307,-0.0574837,0,0,0,DISABLED,0
0.0799987,-0.0213745,0.0203038,0.151548,-0.0133477,0.155386,0.0512449,0.00766155,0.163018,-0.986593,-0.0929638,0,0,0,DISABLED,0
0.0999987,-0.0284378,0.0248794,0.240271,-0.0131088,0.146915,0.0717745,0.00790045,0.183791,-0.982934,-0.11463,0,0,0,DISABLED,0
0.119999,-0.0337123,0.0314837,0.0108025,-0.0232762,0.138917,0.0829612,-0.00226698,0.192694,-0.981256,-0.174378,0,0,0,DISABLED,0
0.139999,-0.0400686,0.0371728,0.10749,-0.0341452,0.130923,0.0960354,-0.0131359,0.202607,-0.979172,-0.216918,0,0,0,DISABLED,0
0.159999,-0.0458657,0.0407545,0.0351979,-0.034677,0.124121,0.110882,-0.0136677,0.217818,-0.975894,-0.234083,0,0,0,DISABLED,0
0.179999,-0.0531859,0.0437807,0.152996,-0.0300233,0.117762,0.102591,-0.00901403,0.210776,-0.977493,-0.259637,0,0,0,DISABLED,0
0.199999,-0.0588052,0.0512226,0.00573835,-0.0445617,0.114764,0.126773,-0.0235525,0.230799,-0.972716,-0.312078,0,0,0,DISABLED,0
0.219999,-0.064101,0.0577718,0.111398,-0.054405,0.114225,0.13599,-0.0333958,0.236522,-0.971052,-0.34709,0,0,0,DISABLED,0
0.239999,-0.0715613,0.0646499,-0.220436,-0.0487985,0.116041,0.137352,-0.0277892,0.240209,-0.970323,-0.379782,0,0,0,DISABLED,0
0.259999,-0.0789691,0.0716737,0.039671,-0.0356022,0.117662,0.155286,-0.0145929,0.262297,-0.964877,-0.386522,0,0,0,DISABLED,0
0.279999,-0.0899549,0.0814769,-0.0992185,-0.0179207,0.122061,0.140368,0.00308851,0.250796,-0.968035,-0.409465,0,0,0,DISABLED,0
0.299999,-0.0983326,0.0908584,0.0908002,-0.00420765,0.127265,0.116466,0.0168016,0.228612,-0.973373,-0.413278,0,0,0,DISABLED,0
0.319999,-0.107012,0.100219,-0.240829,0.00936751,0.133714,0.069087,0.0303768,0.181645,-0.982895,-0.414482,0,0,0,DISABLED,0
0.339998,-0.114105,0.106729,0.252537,0.0298594,0.139511,0.0406432,0.0508687,0.141186,-0.988675,-0.389675,0,0,0,DISABLED,0
0.359998,-0.124291,0.115863,-0.234033,0.0384707,0.140321,0.0503386,0.05948,0.145941,-0.987504,-0.393375,0,0,0,DISABLED,0
0.379998,-0.133004,0.128568,-0.541769,-0.00438116,0.136076,0.0778672,0.0166281,0.190826,-0.981483,-0.450276,0,0,0,DISABLED,0
0.399998,-0.142467,0.145544,-0.187212,-0.021214,0.128021,0.16466,-0.000204772,0.274022,-0.961723,-0.474083,0,0,0,DISABLED,0
0.419998,-0.151769,0.166582,-0.382798,-0.050466,0.117864,0.22369,-0.0294568,0.326001,-0.94491,-0.511671,0,0,0,DISABLED,0
