t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0782452,0,0.702626,0.000345267,-0.127327,-0.0300277,-0.991406,0,0,0.3,0,DISABLED,0
0.0399988,-0.00351018,-0.00250441,0.0204763,0.00697155,0.705506,0.00705057,-0.120355,-0.0306333,-0.992258,0.0136222,0,0.3,0,DISABLED,0
0.0599988,-0.00691208,-0.00500998,-0.0201939,0.0149712,0.708131,0.0150816,-0.112355,-0.030353,-0.993204,0.0270497,0,0.3,0,DISABLED,0
0.0799987,-0.0105658,-0.00748096,-0.00830218,0.0227536,0.709758,0.0235167,-0.104573,-0.0247939,-0.994208,0.0399247,0,0.3,0,DISABLED,0
0.0999987,-0.0159876,-0.00911823,0.0738055,0.0358901,0.708965,0.0440992,-0.0914364,-0.00478848,-0.995799,0.0638803,0,0.3,0,DISABLED,0
0.119999,-0.0215374,-0.00982344,-0.213969,0.0446648,0.704193,0.0659055,-0.0826617,0.0181573,-0.996412,0.102837,0,0.3,0,DISABLED,0
0.139999,-0.0271382,-0.0107959,-0.0834674,0.0487131,0.698324,0.0777154,-0.0786134,0.0302909,-0.996445,0.12622,0,0.3,0,DISABLED,0
0.159999,-0.032975,-0.0125811,0.0403963,0.0492209,0.692568,0.0772896,-0.0781056,0.0293177,-0.996514,0.140673,0,0.3,0,DISABLED,0
0.179999,-0.0386578,-0.0144208,0.113709,0.0405855,0.690386,0.065007,-0.086741,0.0205283,-0.996019,0.146308,0,0.3,0,DISABLED,0
0.199999,-0.0436167,-0.0154639,0.123785,0.0283803,0.689965,0.0578472,-0.0989462,0.0202494,-0.994887,0.151418,0,0.3,0,DISABLED,0
0.219999,-0.0497928,-0.0168762,0.158763,0.0201677,0.690316,0.0491009,-0.107159,0.0146516,-0.994134,0.154747,0,0.3,0,DISABLED,0
0.239999,-0.0560613,-0.0178924,0.158651,0.0149626,0.69131,0.042298,-0.112364,0.00946983,-0.993622,0.15546,0,0.3,0,DISABLED,0
0.259999,-0.0625409,-0.0186788,0.112227,0.00918676,0.692854,0.0358183,-0.11814,0.00455402,-0.992987,0.157161,0,0.3,0,DISABLED,0
0.279999,-0.0682047,-0.0189219,0.0492864,0.00274087,0.694385,0.0300394,-0.124586,-0.000126936,-0.992209,0.157155,0,0.3,0,DISABLED,0
0.299999,-0.0739808,-0.0186259,0.00503263,-0.00473177,0.695651,0.0262024,-0.132058,-0.00425749,-0.991233,0.155229,0,0.3,0,DISABLED,0
0.319999,-0.0801715,-0.0177797,-0.00468838,-0.0118999,0.69628,0.0270795,-0.139226,-0.00573203,-0.990244,0.152644,0,0.3,0,DISABLED,0
0.339998,-0.0860206,-0.0166057,0.00126362,-0.0187691,0.69627,0.0326379,-0.146096,-0.0034128,-0.989265,0.151607,0,0.3,0,DISABLED,0
