t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.111683,0,0.699591,0,-0.126478,-0.0558584,-0.990395,0,0,0,-0.5,DISABLED,0
0.0399988,-0.00262088,0.00210905,0.129937,0.00293902,0.697479,0.0105632,-0.123539,-0.0659976,-0.990143,-0.0162241,0,0,-0.5,DISABLED,0
0.0599988,-0.00451994,0.00441765,0.159186,0.00303283,0.697576,0.00535999,-0.123445,-0.0602829,-0.990519,-0.0207166,0,0,-0.5,DISABLED,0
0.0799987,-0.0062404,0.00613584,0.213237,0.00600301,0.698122,0.00715962,-0.120475,-0.0597195,-0.990918,-0.0246729,0,0,-0.5,DISABLED,0
0.0999987,-0.00798371,0.00829176,0.189637,0.0123391,0.698528,0.0126389,-0.114139,-0.058214,-0.991758,-0.0296804,0,0,-0.5,DISABLED,0
0.119999,-0.00929561,0.0106879,0.147715,0.0175939,0.698933,0.0177337,-0.108884,-0.056758,-0.992433,-0.0346393,0,0,-0.5,DISABLED,0
0.139999,-0.01041,0.0128258,0.108095,0.0230101,0.699068,0.0231669,-0.103468,-0.0556626,-0.993074,-0.0387386,0,0,-0.5,DISABLED,0
0.159999,-0.011736,0.0154392,0.0862861,0.0280473,0.699079,0.0282602,-0.0984306,-0.0546447,-0.993643,-0.0415747,0,0,-0.5,DISABLED,0
0.179999,-0.0131298,0.0183383,0.0916938,0.0325072,0.699066,0.0328109,-0.0939706,-0.0534663,-0.994138,-0.0432891,0,0,-0.5,DISABLED,0
0.199999,-0.0146373,0.0219464,0.108753,0.036646,0.699179,0.0370601,-0.0898319,-0.0522544,-0.994585,-0.0443947,0,0,-0.5,DISABLED,0
0.219999,-0.0158861,0.0256684,0.131137,0.0406645,0.699455,0.0412345,-0.0858133,-0.0508481,-0.995013,-0.0446423,0,0,-0.5,DISABLED,0
0.239999,-0.0168743,0.0298266,0.150224,0.0448424,0.699877,0.0456472,-0.0816354,-0.0490147,-0.995456,-0.0437256,0,0,-0.5,DISABLED,0
0.259999,-0.0175078,0.0344057,0.15559,0.0482021,0.700387,0.0491943,-0.0782757,-0.0476723,-0.995791,-0.0430748,0,0,-0.5,DISABLED,0
0.279999,-0.0177933,0.0388067,0.150988,0.0508263,0.700787,0.0519648,-0.0756515,-0.0466587,-0.996042,-0.0424814,0,0,-0.5,DISABLED,0
0.299999,-0.0179006,0.0444966,0.137848,0.0535405,0.700842,0.0550096,-0.0729373,-0.044751,-0.996332,-0.0409269,0,0,-0.5,DISABLED,0
0.319999,-0.01785,0.0493229,0.118654,0.0559402,0.700251,0.0583942,-0.0705376,-0.0403694,-0.996692,-0.0383661,0,0,-0.5,DISABLED,0
0.339998,-0.0176881,0.0548565,0.0926867,0.057827,0.698767,0.0629362,-0.0686508,-0.031975,-0.997128,-0.0350706,0,0,-0.5,DISABLED,0
0.359998,-0.017439,0.061199,0.0787129,0.0592325,0.69614,0.0708855,-0.0672454,-0.0176151,-0.997581,-0.0307473,0,0,-0.5,DISABLED,0
0.379998,-0.017578,0.0662694,0.0616492,0.0604073,0.693818,0.0767116,-0.0660706,-0.00918656,-0.997773,-0.0268211,0,0,-0.5,DISABLED,0
0.399998,-0.0183071,0.0715637,0.0294879,0.0621581,0.691658,0.0826405,-0.0643198,-0.00195757,-0.997927,-0.0192216,0,0,-0.5,DISABLED,0
0.419998,-0.0193577,0.0770567,0.0449934,0.0650463,0.689338,0.093657,-0.0614315,0.0110414,-0.99805,-0.0130963,0,0,-0.5,DISABLED,0
0.439998,-0.0208844,0.0808862,0.0613914,0.0635248,0.689588,0.0881237,-0.0629531,0.00470046,-0.998005,-0.0172074,0,0,-0.5,DISABLED,0
0.459998,-0.0211309,0.084427,0.0797522,0.0585918,0.690701,0.0875598,-0.067886,0.00876483,-0.997655,-0.0226661,0,0,-0.5,DISABLED,0
0.479998,-0.0215435,0.0869784,0.0965385,0.0562876,0.691904,0.0886686,-0.0701902,0.0122511,-0.997458,-0.020523,0,0,-0.5,DISABLED,0
0.499998,-0.0221851,0.0892574,0.109949,0.0561378,0.693364,0.0915864,-0.0703401,0.0161262,-0.997393,-0.0157471,0,0,-0.5,DISABLED,0
0.519998,-0.0228058,0.0915021,0.106022,0.0570675,0.694894,0.0965283,-0.0694104,0.0216358,-0.997354,-0.0128153,0,0,-0.5,DISABLED,0
0.539998,-0.0232807,0.093103,0.0944149,0.0581343,0.695908,0.101355,-0.0683435,0.0268268,-0.997301,-0.0113965,0,0,-0.5,DISABLED,0
0.559998,-0.0239015,0.0948128,0.0822105,0.0591482,0.696728,0.105873,-0.0673296,0.0316253,-0.997229,-0.0106541,0,0,-0.5,DISABLED,0
