t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.100339,0,0.731927,0,-0.130362,-0.0346469,-0.990861,0,-0.25,0.2,0,DISABLED,0
0.0399988,-0.00332895,-0.00164244,0.0572583,0.00691905,0.73366,0.00745331,-0.123443,-0.0320457,-0.991834,0.0103163,-0.25,0.2,0,DISABLED,0
0.0599988,-0.00642094,-0.00311096,0.00328752,0.0124993,0.735396,0.0144106,-0.117863,-0.0276983,-0.992644,0.019883,-0.25,0.2,0,DISABLED,0
0.0799987,-0.00929502,-0.00443522,-0.0295613,0.0174081,0.736537,0.02224,-0.112954,-0.0210368,-0.993378,0.0290844,-0.25,0.2,0,DISABLED,0
0.0999987,-0.0138477,-0.00565751,0.000224233,0.0276382,0.736049,0.0373134,-0.102724,-0.0098707,-0.994661,0.0442539,-0.25,0.2,0,DISABLED,0
0.119999,-0.0191347,-0.0070344,-0.165701,0.0372878,0.732563,0.0485206,-0.0930745,-0.00398032,-0.995651,0.0740225,-0.25,0.2,0,DISABLED,0
0.139999,-0.0241488,-0.00832754,-0.0879273,0.0380409,0.72943,0.0459168,-0.0923213,-0.00939555,-0.995685,0.0858122,-0.25,0.2,0,DISABLED,0
0.159999,-0.0289209,-0.00919984,-0.0729982,0.0290054,0.727928,0.0352884,-0.101357,-0.0149271,-0.994738,0.0821193,-0.25,0.2,0,DISABLED,0
0.179999,-0.0336723,-0.00980788,-0.00182509,0.0202199,0.726723,0.0308287,-0.110142,-0.0115687,-0.993849,0.0838387,-0.25,0.2,0,DISABLED,0
0.199999,-0.0392688,-0.0110116,0.114842,0.0176931,0.725489,0.0294967,-0.112669,-0.0112026,-0.993569,0.0882648,-0.25,0.2,0,DISABLED,0
0.219999,-0.0449337,-0.0120791,0.156562,0.0179382,0.724726,0.028604,-0.112424,-0.0125354,-0.993581,0.0911906,-0.25,0.2,0,DISABLED,0
0.239999,-0.0495887,-0.0125501,0.163621,0.0174251,0.724466,0.0273402,-0.112937,-0.0137463,-0.993507,0.0933862,-0.25,0.2,0,DISABLED,0
0.259999,-0.0541877,-0.0124579,0.132753,0.01532,0.7246,0.0252241,-0.115042,-0.0147528,-0.993251,0.0950567,-0.25,0.2,0,DISABLED,0
0.279999,-0.0584352,-0.0117884,0.0831352,0.0113458,0.725151,0.0217933,-0.119016,-0.0161369,-0.992761,0.0953618,-0.25,0.2,0,DISABLED,0
0.299999,-0.062654,-0.01068,0.0349722,0.00624108,0.726026,0.0184389,-0.124121,-0.0173421,-0.992115,0.0935426,-0.25,0.2,0,DISABLED,0
0.319999,-0.0676445,-0.0091923,0.0163893,0.000768915,0.727026,0.0167625,-0.129593,-0.0179098,-0.991405,0.0898137,-0.25,0.2,0,DISABLED,0
0.339998,-0.0720123,-0.00782452,0.0302671,-0.00331055,0.727706,0.0175919,-0.133673,-0.0173687,-0.990873,0.0867024,-0.25,0.2,0,DISABLED,0
0.359998,-0.0771339,-0.00608771,0.0320387,-0.00732198,0.728297,0.0214515,-0.137684,-0.0144882,-0.99037,0.0844076,-0.25,0.2,0,DISABLED,0
0.379998,-0.0826698,-0.00403638,0.0283552,-0.0101479,0.728662,0.0284452,-0.14051,-0.00808773,-0.990046,0.0834534,-0.25,0.2,0,DISABLED,0
0.399998,-0.0888002,-0.00152718,0.0303392,-0.0109626,0.72836,0.0396287,-0.141325,0.00342095,-0.989957,0.0837947,-0.25,0.2,0,DISABLED,0
0.419998,-0.0966768,0.00193415,0.0527582,-0.00684258,0.726175,0.0593203,-0.137205,0.0242659,-0.990245,0.086546,-0.25,0.2,0,DISABLED,0
0.439998,-0.105051,0.00508202,0.0897839,0.00286341,0.721839,0.0781983,-0.127499,0.0434794,-0.990885,0.0934737,-0.25,0.2,0,DISABLED,0
0.459998,-0.111881,0.00604751,0.012195,0.00146306,0.720229,0.0606899,-0.128899,0.0260146,-0.991316,0.0873488,-0.25,0.2,0,DISABLED,0
0.479998,-0.116878,0.00896917,-0.131589,-0.00799561,0.72023,0.0621744,-0.138358,0.0269952,-0.990014,0.0824692,-0.25,0.2,0,DISABLED,0
0.499998,-0.122042,0.0121123,-0.0836819,-0.0136827,0.721086,0.0740411,-0.144045,0.0380733,-0.988838,0.0883006,-0.25,0.2,0,DISABLED,0
0.519998,-0.126931,0.014289,-0.00658029,-0.014433,0.722318,0.0817767,-0.144795,0.0457848,-0.988402,0.0914468,-0.25,0.2,0,DISABLED,0
0.539998,-0.133069,0.0161243,0.035847,-0.0106812,0.724188,0.0856684,-0.141043,0.0503004,-0.988725,0.0902404,-0.25,0.2,0,DISABLED,0
0.559998,-0.138145,0.0170786,0.0643084,-0.00296716,0.72583,0.0863201,-0.133329,0.051588,-0.989728,0.0859218,-0.25,0.2,0,DISABLED,0
