t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.105409,0,0.731323,0,-0.135327,-0.0354842,-0.990165,0,0.25,0.2,0,DISABLED,0
0.0399988,-0.00381249,-0.00204991,0.0612447,0.00824219,0.733351,0.00867303,-0.127084,-0.03307,-0.99134,0.0125121,0.25,0.2,0,DISABLED,0
0.0599988,-0.00723758,-0.00383015,0.00372514,0.0137167,0.735614,0.0153674,-0.12161,-0.0288542,-0.992158,0.0240087,0.25,0.2,0,DISABLED,0
0.0799987,-0.0101076,-0.00530766,-0.0306174,0.0187672,0.737151,0.0229523,-0.116559,-0.0225649,-0.992927,0.0350372,0.25,0.2,0,DISABLED,0
0.0999987,-0.0146178,-0.00667891,0.0351284,0.0285346,0.737157,0.0375237,-0.106792,-0.0114601,-0.994215,0.0519095,0.25,0.2,0,DISABLED,0
0.119999,-0.0195343,-0.00753349,-0.162254,0.0373805,0.733411,0.05126,-0.0979461,-0.000780779,-0.995191,0.0825891,0.25,0.2,0,DISABLED,0
0.139999,-0.0242501,-0.0083979,-0.109688,0.0405493,0.728426,0.0545043,-0.0947773,0.000534072,-0.995498,0.103428,0.25,0.2,0,DISABLED,0
0.159999,-0.0291407,-0.00892783,-0.0139611,0.0365623,0.726959,0.0482828,-0.0987643,-0.00434814,-0.995101,0.0973424,0.25,0.2,0,DISABLED,0
0.179999,-0.0331001,-0.00911402,0.0680006,0.0278889,0.726199,0.0457581,-0.107438,0.00056127,-0.994212,0.0953296,0.25,0.2,0,DISABLED,0
0.199999,-0.0387504,-0.0102224,0.137596,0.0223825,0.725501,0.0418374,-0.112944,-0.000308621,-0.993601,0.0975016,0.25,0.2,0,DISABLED,0
0.219999,-0.0436725,-0.0111655,0.158425,0.0183458,0.725453,0.0353542,-0.116981,-0.00541019,-0.993119,0.0977124,0.25,0.2,0,DISABLED,0
0.239999,-0.0481494,-0.0116195,0.149751,0.0136896,0.725731,0.0292674,-0.121637,-0.00972497,-0.992527,0.0984997,0.25,0.2,0,DISABLED,0
