t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0703592,0,0.732717,0.000345267,-0.130206,-0.0330444,-0.990936,0,0.3,0,0,DISABLED,0
0.0399988,-0.0028334,-0.00153258,0.00982314,0.00555002,0.734701,0.00641306,-0.124656,-0.0299444,-0.991748,0.010067,0.3,0,0,DISABLED,0
0.0599988,-0.00662795,-0.00349759,-0.0273055,0.0130682,0.737139,0.0160467,-0.117138,-0.0239232,-0.992828,0.0218154,0.3,0,0,DISABLED,0
0.0799987,-0.0100787,-0.00499809,0.00225163,0.0206779,0.738111,0.0307435,-0.109528,-0.0104957,-0.993928,0.0371653,0.3,0,0,DISABLED,0
0.0999987,-0.0147462,-0.0059348,-0.0743665,0.0325188,0.736669,0.0517843,-0.097687,0.00702322,-0.995192,0.0555218,0.3,0,0,DISABLED,0
0.119999,-0.0201176,-0.00757276,-0.204827,0.0422744,0.732207,0.063672,-0.0879314,0.0142811,-0.996024,0.0909133,0.3,0,0,DISABLED,0
0.139999,-0.0237212,-0.00946082,-0.159519,0.0386078,0.730302,0.0483223,-0.091598,-0.00439944,-0.995786,0.0954364,0.3,0,0,DISABLED,0
0.159999,-0.0277902,-0.00964329,-0.091989,0.0270773,0.728676,0.0382818,-0.103128,-0.00624189,-0.994648,0.0823408,0.3,0,0,DISABLED,0
0.179999,-0.0311081,-0.0107306,-0.0426445,0.0154333,0.727448,0.0324363,-0.114773,-0.00462054,-0.993381,0.0835659,0.3,0,0,DISABLED,0
0.199999,-0.0355778,-0.0125108,0.101197,0.00886276,0.726076,0.0336133,-0.121343,-0.000665138,-0.99261,0.0897542,0.3,0,0,DISABLED,0
0.219999,-0.0403512,-0.0143375,0.1727,0.00729165,0.725247,0.0333498,-0.122914,-0.000536996,-0.992417,0.0929558,0.3,0,0,DISABLED,0
0.239999,-0.0445032,-0.0157533,0.175052,0.00484371,0.725119,0.0310177,-0.125362,-0.00243271,-0.992108,0.0941303,0.3,0,0,DISABLED,0
0.259999,-0.0482174,-0.0166936,0.126569,-0.000354677,0.725617,0.0268096,-0.13056,-0.00624294,-0.991421,0.0951248,0.3,0,0,DISABLED,0
0.279999,-0.0511173,-0.0169052,0.0645765,-0.00531931,0.726203,0.0253608,-0.135525,-0.00824915,-0.99074,0.0962942,0.3,0,0,DISABLED,0
0.299999,-0.0547096,-0.0165217,0.0170693,-0.01252,0.726998,0.026528,-0.142726,-0.00969127,-0.989715,0.0957085,0.3,0,0,DISABLED,0
0.319999,-0.0582499,-0.0157318,-0.00156936,-0.0192754,0.72756,0.0306639,-0.149481,-0.00930272,-0.988721,0.0940988,0.3,0,0,DISABLED,0
0.339998,-0.062043,-0.0145715,0.0128218,-0.0258859,0.727768,0.0374776,-0.156092,-0.0061358,-0.987724,0.0925094,0.3,0,0,DISABLED,0
0.359998,-0.0661124,-0.0130156,0.0317268,-0.031824,0.727453,0.0464037,-0.16203,0.000465128,-0.986786,0.0912621,0.3,0,0,DISABLED,0
0.379998,-0.0704304,-0.0109902,0.0449762,-0.0370276,0.726424,0.0580757,-0.167233,0.0113955,-0.985851,0.0909598,0.3,0,0,DISABLED,0
0.399998,-0.0752569,-0.00835285,0.0500383,-0.0396887,0.724158,0.072088,-0.169895,0.026831,-0.985097,0.0919425,0.3,0,0,DISABLED,0
0.419998,-0.0810662,-0.006303,0.0792215,-0.0385827,0.721227,0.0822975,-0.168789,0.039368,-0.984866,0.0948716,0.3,0,0,DISABLED,0
0.439998,-0.0856791,-0.00556432,0.0363043,-0.0430369,0.720733,0.0750693,-0.173243,0.0281007,-0.984478,0.0890872,0.3,0,0,DISABLED,0
0.459998,-0.0903332,-0.00333763,-0.0432709,-0.0477495,0.721048,0.0768942,-0.177955,0.026765,-0.983675,0.0911031,0.3,0,0,DISABLED,0
0.479998,-0.0949387,-0.000393886,-0.0150603,-0.0503724,0.721784,0.0836653,-0.180578,0.0332528,-0.982998,0.100784,0.3,0,0,DISABLED,0
0.499998,-0.0994757,0.00221887,0.0340791,-0.0507998,0.72258,0.0903126,-0.181006,0.0411246,-0.982622,0.111124,0.3,0,0,DISABLED,0
