t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0754146,0,0.733211,0.000345267,-0.126229,-0.0304197,-0.991535,0,0,0,0.5,DISABLED,0
0.0399988,-0.00304008,-0.0013455,0.022901,0.00685702,0.734781,0.00879587,-0.119372,-0.0249979,-0.992535,0.00901446,0,0,0.5,DISABLED,0
0.0599988,-0.00572807,-0.00255578,-0.0207216,0.0123304,0.735832,0.0183969,-0.113899,-0.0168845,-0.993349,0.0186646,0,0,0.5,DISABLED,0
0.0799987,-0.0103612,-0.00391954,-0.0189123,0.0225145,0.735385,0.0337001,-0.103715,-0.00553319,-0.994592,0.0315841,0,0,0.5,DISABLED,0
0.0999987,-0.0155056,-0.00540351,-0.144494,0.0326805,0.731767,0.0462028,-0.0935486,0.00197828,-0.995613,0.0609076,0,0,0.5,DISABLED,0
0.119999,-0.0198163,-0.00706622,-0.134166,0.0308274,0.729613,0.0358981,-0.0954016,-0.0124332,-0.995361,0.0648041,0,0,0.5,DISABLED,0
0.139999,-0.0232589,-0.00758757,-0.129656,0.0192448,0.728479,0.0235294,-0.106984,-0.017132,-0.994113,0.0598457,0,0,0.5,DISABLED,0
0.159999,-0.0269519,-0.00837918,-0.110269,0.0066642,0.727259,0.015811,-0.119565,-0.0161339,-0.992695,0.0641404,0,0,0.5,DISABLED,0
0.179999,-0.0315954,-0.00976737,-0.0101828,-0.000229985,0.725606,0.016069,-0.126459,-0.014355,-0.991868,0.0707744,0,0,0.5,DISABLED,0
0.199999,-0.0366755,-0.0113737,0.134648,-0.00203079,0.724101,0.0184228,-0.12826,-0.0121093,-0.991667,0.0783339,0,0,0.5,DISABLED,0
0.219999,-0.0416002,-0.0127365,0.173083,-0.00172581,0.723366,0.0183124,-0.127955,-0.0121904,-0.991705,0.0838421,0,0,0.5,DISABLED,0
0.239999,-0.0457524,-0.0135602,0.161346,-0.00312242,0.723407,0.0160021,-0.129351,-0.0147248,-0.991489,0.0880599,0,0,0.5,DISABLED,0
0.259999,-0.0494727,-0.0137165,0.123042,-0.00555076,0.723849,0.0149467,-0.13178,-0.0165522,-0.991141,0.0935053,0,0,0.5,DISABLED,0
0.279999,-0.0529357,-0.013206,0.0653043,-0.00953029,0.724623,0.0159984,-0.135759,-0.0176085,-0.990585,0.097446,0,0,0.5,DISABLED,0
0.299999,-0.0563739,-0.0122774,0.015854,-0.0149344,0.725647,0.0195499,-0.141163,-0.0179223,-0.989824,0.0991164,0,0,0.5,DISABLED,0
0.319999,-0.0600527,-0.011151,-0.00447148,-0.0206949,0.726703,0.0246165,-0.146924,-0.0173386,-0.988996,0.0990564,0,0,0.5,DISABLED,0
0.339998,-0.0636546,-0.00995812,0.00629053,-0.0255236,0.727486,0.0297442,-0.151753,-0.0154973,-0.988297,0.0978886,0,0,0.5,DISABLED,0
0.359998,-0.0683609,-0.00821624,0.0189721,-0.0307027,0.728112,0.0369295,-0.156932,-0.0102945,-0.987556,0.0970926,0,0,0.5,DISABLED,0
0.379998,-0.0729021,-0.00630198,0.026976,-0.0345408,0.728254,0.0451745,-0.16077,-0.00166726,-0.986991,0.0976576,0,0,0.5,DISABLED,0
0.399998,-0.0778057,-0.00390768,0.0391418,-0.0367254,0.727469,0.0567334,-0.162954,0.0125258,-0.986554,0.0998333,0,0,0.5,DISABLED,0
0.419998,-0.0830573,-0.00110975,0.081935,-0.0341518,0.724999,0.071899,-0.160381,0.0326333,-0.986516,0.103441,0,0,0.5,DISABLED,0
0.439998,-0.0893982,8.14721e-05,0.130179,-0.032979,0.723016,0.0668428,-0.159208,0.0275181,-0.986861,0.0996277,0,0,0.5,DISABLED,0
0.459998,-0.0938765,0.00185105,-0.102452,-0.0436063,0.72288,0.071161,-0.169835,0.0254319,-0.985144,0.0951478,0,0,0.5,DISABLED,0
0.479998,-0.0982255,0.00425879,-0.0969612,-0.0483903,0.723261,0.081695,-0.174619,0.0349421,-0.984016,0.107183,0,0,0.5,DISABLED,0
0.499998,-0.102918,0.00641226,-0.0266176,-0.0480921,0.723839,0.0888279,-0.174321,0.0438178,-0.983713,0.120367,0,0,0.5,DISABLED,0
0.519998,-0.107563,0.0080924,0.0219448,-0.0448758,0.724566,0.0921406,-0.171105,0.0496626,-0.984,0.130546,0,0,0.5,DISABLED,0
0.539998,-0.111938,0.00937037,0.0516543,-0.0401891,0.725384,0.0919097,-0.166418,0.0519171,-0.984688,0.136786,0,0,0.5,DISABLED,0
0.559998,-0.115647,0.0102295,0.0612265,-0.0356015,0.726237,0.0882793,-0.16183,0.0501088,-0.985546,0.137658,0,0,0.5,DISABLED,0
0.579998,-0.119938,0.0107158,0.0572611,-0.0299216,0.727377,0.0823113,-0.156151,0.0460798,-0.986658,0.137459,0,0,0.5,DISABLED,0
0.599998,-0.123713,0.0105876,0.0598793,-0.025033,0.728385,0.0758969,-0.151262,0.0411051,-0.987639,0.137017,0,0,0.5,DISABLED,0
0.619998,-0.127415,0.0100482,0.0704449,-0.021113,0.729197,0.0689669,-0.147342,0.0351494,-0.988461,0.135422,0,0,0.5,DISABLED,0
0.639998,-0.131411,0.00922519,0.0801059,-0.0168695,0.729438,0.0609782,-0.143099,0.0281258,-0.989309,0.131277,0,0,0.5,DISABLED,0
0.659998,-0.135898,0.00811282,0.0874583,-0.0120456,0.728885,0.0516263,-0.138275,0.0197575,-0.990197,0.124294,0,0,0.5,DISABLED,0
0.679998,-0.140572,0.00664593,0.0920315,-0.00707674,0.727582,0.0379204,-0.133306,0.00682944,-0.991051,0.112406,0,0,0.5,DISABLED,0
0.699998,-0.144869,0.00501956,0.0947309,-0.00317916,0.72572,0.0186479,-0.129408,-0.0120441,-0.991518,0.09577,0,0,0.5,DISABLED,0
0.719998,-0.150554,0.00349237,0.10926,-4.33922e-05,0.722875,0.00223759,-0.126272,-0.0326354,-0.991459,0.0721762,0,0,0.5,DISABLED,0
0.739998,-0.155847,0.00219765,0.190969,0.00139635,0.719177,0.0201652,-0.124833,-0.0505249,-0.990891,0.0488102,0,0,0.5,DISABLED,0
0.759998,-0.160029,0.00261918,0.189615,-0.00615406,0.716136,0.0162827,-0.132383,-0.0454317,-0.990157,0.0372201,0,0,0.5,DISABLED,0
0.779998,-0.162686,0.00259738,0.134677,-0.0200225,0.713671,0.0244171,-0.146251,-0.0440054,-0.988268,0.0321853,0,0,0.5,DISABLED,0
0.799998,-0.165846,0.00212212,0.115719,-0.025329,0.711824,0.0308075,-0.151558,-0.0474347,-0.98731,0.0300478,0,0,0.5,DISABLED,0
0.819998,-0.168661,0.00192007,0.117416,-0.0251714,0.711039,0.0308481,-0.1514,-0.0477437,-0.987319,0.0324446,0,0,0.5,DISABLED,0
