t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0865096,0,0.732653,0,-0.125121,-0.0325819,-0.991606,0,0,0,-0.5,DISABLED,0
0.0399988,-0.00292826,-0.001509,0.0315771,0.00564067,0.734258,0.00683595,-0.11948,-0.0288038,-0.992419,0.00856586,0,0,-0.5,DISABLED,0
0.0599988,-0.00570759,-0.00295018,-0.0163922,0.0102378,0.735646,0.0146689,-0.114883,-0.0221897,-0.993131,0.0170008,0,0,-0.5,DISABLED,0
0.0799987,-0.0096426,-0.00430115,0.00296795,0.020318,0.73554,0.0290486,-0.104803,-0.0120113,-0.994421,0.0291047,0,0,-0.5,DISABLED,0
0.0999987,-0.013976,-0.00568279,-0.124369,0.0281343,0.732636,0.0379848,-0.0969863,-0.00732586,-0.995259,0.0467746,0,0,-0.5,DISABLED,0
0.119999,-0.0188561,-0.00747341,-0.120858,0.0296193,0.729058,0.035236,-0.0955013,-0.0138667,-0.995333,0.058802,0,0,-0.5,DISABLED,0
0.139999,-0.0224772,-0.00809197,-0.100129,0.0193233,0.728032,0.0240233,-0.105797,-0.0185489,-0.994215,0.0515139,0,0,-0.5,DISABLED,0
0.159999,-0.02632,-0.00876138,-0.0656166,0.00790515,0.726848,0.0190433,-0.117215,-0.0153139,-0.992988,0.0512244,0,0,-0.5,DISABLED,0
0.179999,-0.0313033,-0.0100888,0.0603179,0.00373855,0.725273,0.0200258,-0.121382,-0.0129297,-0.992522,0.0536618,0,0,-0.5,DISABLED,0
0.199999,-0.0361603,-0.0113871,0.139177,0.00392107,0.724243,0.020336,-0.1212,-0.0126506,-0.992548,0.0548892,0,0,-0.5,DISABLED,0
0.219999,-0.0412703,-0.0126642,0.163337,0.00468361,0.723743,0.0187658,-0.120437,-0.0144371,-0.992616,0.0555033,0,0,-0.5,DISABLED,0
0.239999,-0.0461126,-0.0134401,0.153556,0.00346982,0.723817,0.0160764,-0.121651,-0.016909,-0.992429,0.0560272,0,0,-0.5,DISABLED,0
0.259999,-0.0501339,-0.0134746,0.106985,0.00116148,0.724272,0.0143526,-0.123959,-0.0182845,-0.992119,0.0563877,0,0,-0.5,DISABLED,0
0.279999,-0.0540406,-0.012964,0.0574519,-0.00222772,0.7251,0.0136676,-0.127348,-0.0191003,-0.991674,0.054932,0,0,-0.5,DISABLED,0
0.299999,-0.0576621,-0.0121735,0.0278914,-0.00576387,0.726092,0.0143152,-0.130884,-0.0194831,-0.991206,0.0518971,0,0,-0.5,DISABLED,0
0.319999,-0.0625105,-0.0109432,0.0269684,-0.00921851,0.727328,0.0163448,-0.134339,-0.0191148,-0.990751,0.0467264,0,0,-0.5,DISABLED,0
0.339998,-0.0672664,-0.00962516,0.0498308,-0.0111502,0.728266,0.0190119,-0.136271,-0.0172189,-0.990522,0.0430413,0,0,-0.5,DISABLED,0
0.359998,-0.0722684,-0.00812207,0.0551306,-0.012679,0.728915,0.0242112,-0.1378,-0.0119926,-0.990387,0.0399067,0,0,-0.5,DISABLED,0
