t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0802904,0,0.732732,0.000345267,-0.125231,-0.0324,-0.991598,0,0.4,0,0,DISABLED,0
0.0399988,-0.0031465,-0.00150549,0.0201856,0.00508891,0.734564,0.00609864,-0.120142,-0.0291194,-0.99233,0.00945509,0.4,0,0,DISABLED,0
0.0599988,-0.00644404,-0.00313541,-0.0236196,0.010024,0.736421,0.0139097,-0.115207,-0.0228737,-0.993078,0.0206965,0.4,0,0,DISABLED,0
0.0799987,-0.0107334,-0.0045049,0.0108633,0.0190029,0.736344,0.0271806,-0.106228,-0.0131502,-0.994255,0.0366524,0.4,0,0,DISABLED,0
0.0999987,-0.0148898,-0.00550089,-0.129473,0.0265939,0.733055,0.0397353,-0.098637,-0.00309086,-0.995119,0.0642185,0.4,0,0,DISABLED,0
0.119999,-0.0191604,-0.00704811,-0.121117,0.0274485,0.728711,0.0362649,-0.0977823,-0.00897391,-0.995167,0.0797551,0.4,0,0,DISABLED,0
0.139999,-0.0230677,-0.00762416,-0.0917245,0.0187028,0.727485,0.025464,-0.106528,-0.0153146,-0.994192,0.0724568,0.4,0,0,DISABLED,0
0.159999,-0.0271853,-0.00809404,-0.0385844,0.00592048,0.726241,0.0235243,-0.11931,-0.00966698,-0.99281,0.0719677,0.4,0,0,DISABLED,0
0.179999,-0.031433,-0.00936659,0.0989698,-0.000454158,0.724927,0.0263996,-0.125685,-0.0060097,-0.992052,0.0771589,0.4,0,0,DISABLED,0
0.199999,-0.0364279,-0.0109783,0.162261,-0.00257407,0.724094,0.025471,-0.127805,-0.00706226,-0.991774,0.08038,0.4,0,0,DISABLED,0
0.219999,-0.0408818,-0.0123597,0.166675,-0.0052996,0.72411,0.0215955,-0.13053,-0.0114693,-0.991378,0.0814624,0.4,0,0,DISABLED,0
0.239999,-0.0451288,-0.0132271,0.138118,-0.0101255,0.724697,0.0192084,-0.135356,-0.0161024,-0.990666,0.0837118,0.4,0,0,DISABLED,0
0.259999,-0.0486918,-0.0133142,0.0786337,-0.0159516,0.72551,0.0208569,-0.141182,-0.0190865,-0.9898,0.0856975,0.4,0,0,DISABLED,0
0.279999,-0.0522414,-0.0128562,0.0273347,-0.0230164,0.726461,0.0260037,-0.148247,-0.0206466,-0.988735,0.0867206,0.4,0,0,DISABLED,0
0.299999,-0.0559124,-0.0119949,-0.00511625,-0.0311338,0.727446,0.0332154,-0.156365,-0.021595,-0.987463,0.0852443,0.4,0,0,DISABLED,0
0.319999,-0.0598775,-0.0108542,-0.0123578,-0.0391599,0.728173,0.0411723,-0.164391,-0.0209156,-0.986174,0.0830256,0.4,0,0,DISABLED,0
0.339998,-0.0636411,-0.00959767,0.00953087,-0.0461743,0.728457,0.0487902,-0.171405,-0.0180908,-0.985035,0.0812393,0.4,0,0,DISABLED,0
0.359998,-0.0684856,-0.00762247,0.033228,-0.0539134,0.728268,0.0587891,-0.179144,-0.0103289,-0.983769,0.0800763,0.4,0,0,DISABLED,0
0.379998,-0.0732728,-0.00526676,0.049899,-0.0590242,0.727322,0.0693189,-0.184255,0.00285976,-0.982874,0.0806108,0.4,0,0,DISABLED,0
0.399998,-0.0787289,-0.00223237,0.0518416,-0.0604636,0.724961,0.0830216,-0.185694,0.0236951,-0.982322,0.0831065,0.4,0,0,DISABLED,0
0.419998,-0.0846024,0.000127356,0.0787765,-0.0576622,0.721884,0.0906417,-0.182893,0.0368919,-0.98244,0.0858264,0.4,0,0,DISABLED,0
0.439998,-0.0907064,0.00136047,0.0247802,-0.0626606,0.721074,0.0840765,-0.187891,0.02278,-0.981926,0.076337,0.4,0,0,DISABLED,0
0.459998,-0.0955007,0.0040764,-0.0874331,-0.0689229,0.721396,0.0893298,-0.194154,0.0233239,-0.980694,0.0776544,0.4,0,0,DISABLED,0
0.479998,-0.100418,0.00742785,-0.0641752,-0.0723914,0.722192,0.098766,-0.197622,0.0336653,-0.9797,0.0898631,0.4,0,0,DISABLED,0
0.499998,-0.105323,0.0103208,-0.00119767,-0.0729779,0.72317,0.106167,-0.198209,0.0436338,-0.979188,0.101396,0.4,0,0,DISABLED,0
0.519998,-0.109607,0.0121943,0.0402133,-0.0717987,0.724008,0.109954,-0.19703,0.0498625,-0.979129,0.108698,0.4,0,0,DISABLED,0
0.539998,-0.114436,0.0137789,0.0563036,-0.0697011,0.724877,0.111765,-0.194932,0.0540276,-0.979328,0.113962,0.4,0,0,DISABLED,0
0.559998,-0.118498,0.0146517,0.0706184,-0.0677198,0.725423,0.110978,-0.192951,0.0546374,-0.979686,0.115176,0.4,0,0,DISABLED,0
0.579998,-0.122212,0.0149642,0.0761203,-0.0666408,0.725742,0.108697,-0.191872,0.0526182,-0.980008,0.114717,0.4,0,0,DISABLED,0
0.599998,-0.125806,0.0147385,0.0731122,-0.0661605,0.72584,0.105054,-0.191391,0.0483581,-0.980322,0.112338,0.4,0,0,DISABLED,0
0.619998,-0.129436,0.0139789,0.0647995,-0.0661099,0.725751,0.100538,-0.191341,0.0424869,-0.980604,0.107886,0.4,0,0,DISABLED,0
0.639998,-0.132912,0.0129092,0.0610107,-0.0659379,0.72544,0.095628,-0.191169,0.0359771,-0.980898,0.101684,0.4,0,0,DISABLED,0
0.659998,-0.137663,0.0112006,0.0626051,-0.0646142,0.724551,0.0871923,-0.189845,0.0252238,-0.98149,0.0904236,0.4,0,0,DISABLED,0
0.679998,-0.141864,0.00950741,0.073536,-0.063178,0.723324,0.0782601,-0.188409,0.0127441,-0.982008,0.0775446,0.4,0,0,DISABLED,0
0.699998,-0.146877,0.00746423,0.0842335,-0.061183,0.721143,0.0670157,-0.186414,-0.00666501,-0.982449,0.057322,0.4,0,0,DISABLED,0
0.719998,-0.153431,0.00546122,0.10165,-0.0558136,0.716812,0.0565112,-0.181044,-0.0305058,-0.983002,0.0308417,0.4,0,0,DISABLED,0
0.739998,-0.159816,0.00530626,0.178625,-0.0501377,0.712185,0.0508336,-0.175369,-0.0355235,-0.983862,0.00623547,0.4,0,0,DISABLED,0
0.759998,-0.163507,0.00590771,0.206992,-0.0594835,0.709517,0.0606398,-0.184714,-0.0250199,-0.982474,0.0013651,0.4,0,0,DISABLED,0
0.779998,-0.166301,0.0055353,0.127157,-0.0671211,0.707878,0.0680149,-0.192352,-0.0305635,-0.98085,-0.00223657,0.4,0,0,DISABLED,0
0.799998,-0.16961,0.00556927,0.100328,-0.0670272,0.707251,0.0679447,-0.192258,-0.034443,-0.98074,-0.00587879,0.4,0,0,DISABLED,0
0.819998,-0.172855,0.00609278,0.0956704,-0.0626079,0.70753,0.0634384,-0.187839,-0.034237,-0.981603,-0.00711516,0.4,0,0,DISABLED,0
0.839998,-0.175751,0.00724992,0.0918684,-0.0569098,0.708266,0.0576107,-0.182141,-0.0330548,-0.982717,-0.00710619,0.4,0,0,DISABLED,0
0.859998,-0.177933,0.00893024,0.0820667,-0.0520525,0.709032,0.0526669,-0.177283,-0.0316813,-0.98365,-0.00581522,0.4,0,0,DISABLED,0
0.879998,-0.180177,0.0117883,0.0677617,-0.0463985,0.70978,0.0469898,-0.171629,-0.0296714,-0.984715,-0.00270904,0.4,0,0,DISABLED,0
0.899998,-0.181787,0.0146675,0.040144,-0.0417006,0.709981,0.0425201,-0.166931,-0.0266611,-0.985608,0.00107277,0.4,0,0,DISABLED,0
0.919998,-0.183484,0.0183144,0.0150563,-0.0360577,0.709502,0.0383083,-0.161289,-0.0204355,-0.986696,0.00603528,0.4,0,0,DISABLED,0
0.939998,-0.184927,0.0218734,0.00401565,-0.0308021,0.708319,0.0371276,-0.156033,-0.0120492,-0.987678,0.0109626,0.4,0,0,DISABLED,0
0.959998,-0.186612,0.0263711,0.0196782,-0.0241022,0.7059,0.0410272,-0.149333,0.000678203,-0.988787,0.0181196,0.4,0,0,DISABLED,0
0.979998,-0.189118,0.0287101,0.0438906,-0.016735,0.704898,0.0294926,-0.141966,-0.00818398,-0.989838,0.0270296,0.4,0,0,DISABLED,0
0.999998,-0.19034,0.0312225,0.0676472,-0.0179086,0.705795,0.0243511,-0.143139,-0.0160241,-0.989573,0.0272971,0.4,0,0,DISABLED,0
1.02,-0.191312,0.0341923,0.0995121,-0.0202007,0.707256,0.0264537,-0.145432,-0.0154863,-0.989247,0.0270699,0.4,0,0,DISABLED,0
1.04,-0.19258,0.0361977,0.151074,-0.0186518,0.709093,0.0243193,-0.143883,-0.0169474,-0.98945,0.0291273,0.4,0,0,DISABLED,0
1.06,-0.193703,0.0372923,0.19573,-0.016772,0.711261,0.0221676,-0.142003,-0.0180272,-0.989702,0.0312154,0.4,0,0,DISABLED,0
1.08,-0.194575,0.038039,0.182336,-0.0167825,0.714137,0.0241915,-0.142013,-0.0150769,-0.98975,0.0367802,0.4,0,0,DISABLED,0
1.1,-0.195384,0.0385337,0.15509,-0.0175692,0.717048,0.0302036,-0.1428,-0.00790629,-0.98972,0.0446533,0.4,0,0,DISABLED,0
1.12,-0.196487,0.038867,0.131879,-0.0181223,0.719831,0.0389748,-0.143353,0.00204899,-0.98967,0.0534934,0.4,0,0,DISABLED,0
1.14,-0.197565,0.0388743,0.114481,-0.0191029,0.721757,0.0464551,-0.144334,0.00988802,-0.98948,0.0609062,0.4,0,0,DISABLED,0
1.16,-0.198488,0.0385335,0.0982386,-0.021391,0.722935,0.0521115,-0.146622,0.0150447,-0.989078,0.0681035,0.4,0,0,DISABLED,0
1.18,-0.199472,0.0376082,0.0828995,-0.0254615,0.723721,0.0559139,-0.150692,0.0172707,-0.98843,0.0753099,0.4,0,0,DISABLED,0
1.2,-0.200215,0.0363684,0.0701147,-0.0314477,0.723997,0.0592005,-0.156679,0.0175791,-0.987493,0.0815578,0.4,0,0,DISABLED,0
1.22,-0.200789,0.034717,0.0625714,-0.0391227,0.724016,0.0625626,-0.164354,0.0161158,-0.98627,0.0870006,0.4,0,0,DISABLED,0
1.24,-0.201408,0.0327431,0.0556381,-0.0471144,0.723758,0.0660736,-0.172345,0.0134273,-0.984945,0.0912751,0.4,0,0,DISABLED,0
1.26,-0.202162,0.0307746,0.0554987,-0.0535205,0.723156,0.0684276,-0.178751,0.00950553,-0.983848,0.093124,0.4,0,0,DISABLED,0
1.28,-0.203323,0.0280344,0.0572634,-0.0598182,0.721731,0.0690032,-0.185049,0.000805006,-0.982729,0.0928137,0.4,0,0,DISABLED,0
1.3,-0.204479,0.0251853,0.0592476,-0.0645163,0.719583,0.068466,-0.189747,-0.0117459,-0.981763,0.0899531,0.4,0,0,DISABLED,0
1.32,-0.205719,0.022405,0.0866001,-0.0671101,0.716522,0.0681385,-0.192341,-0.0275431,-0.980942,0.084975,0.4,0,0,DISABLED,0
1.34,-0.207825,0.020646,0.144459,-0.0678895,0.712732,0.0687945,-0.19312,-0.0334089,-0.980606,0.0789388,0.4,0,0,DISABLED,0
1.36,-0.209313,0.0202061,0.172686,-0.0741368,0.710794,0.0755636,-0.199368,-0.024183,-0.979626,0.0816778,0.4,0,0,DISABLED,0
1.38,-0.210357,0.0191179,0.155955,-0.0768091,0.709974,0.0778864,-0.20204,-0.0309916,-0.978887,0.0828765,0.4,0,0,DISABLED,0
1.4,-0.21184,0.0181785,0.128459,-0.07412,0.709962,0.0753406,-0.199351,-0.0375138,-0.97921,0.0843683,0.4,0,0,DISABLED,0
1.42,-0.213125,0.0178309,0.0987695,-0.0697579,0.710668,0.0711425,-0.194989,-0.0400283,-0.979988,0.0862933,0.4,0,0,DISABLED,0
1.44,-0.214162,0.0178982,0.0789967,-0.0635348,0.711578,0.0650262,-0.188766,-0.0413961,-0.981149,0.0891618,0.4,0,0,DISABLED,0
1.46,-0.215194,0.0184968,0.075004,-0.0580035,0.712728,0.0594659,-0.183234,-0.0414713,-0.982194,0.0921062,0.4,0,0,DISABLED,0
1.48,-0.21586,0.0195285,0.0772508,-0.0528966,0.713593,0.0540891,-0.178127,-0.0398976,-0.983198,0.0955404,0.4,0,0,DISABLED,0
1.5,-0.216311,0.0209517,0.0642799,-0.0479133,0.714127,0.0486789,-0.173144,-0.0367491,-0.984211,0.0989327,0.4,0,0,DISABLED,0
1.52,-0.216528,0.0226771,0.0422054,-0.0431858,0.71416,0.043663,-0.168417,-0.031835,-0.985202,0.101826,0.4,0,0,DISABLED,0
1.54,-0.216528,0.024415,0.0315768,-0.0392831,0.713663,0.0403399,-0.164514,-0.0251034,-0.986055,0.104522,0.4,0,0,DISABLED,0
1.56,-0.216342,0.026699,0.0382752,-0.0346852,0.712302,0.0396557,-0.159916,-0.0137357,-0.987035,0.108236,0.4,0,0,DISABLED,0
1.58,-0.216227,0.0284032,0.0555999,-0.0297262,0.710691,0.0406212,-0.154957,-0.00496776,-0.987909,0.113532,0.4,0,0,DISABLED,0
1.6,-0.216526,0.0288078,0.0818426,-0.0244277,0.710288,0.0334533,-0.149659,-0.00973547,-0.98869,0.119137,0.4,0,0,DISABLED,0
1.62,-0.216123,0.0296532,0.110277,-0.0248825,0.711054,0.0307397,-0.150113,-0.0146118,-0.988561,0.119201,0.4,0,0,DISABLED,0
1.64,-0.21534,0.0312204,0.150372,-0.0261546,0.712301,0.0317734,-0.151385,-0.0146526,-0.988366,0.120353,0.4,0,0,DISABLED,0
1.66,-0.214816,0.0326382,0.199419,-0.023365,0.713853,0.0294279,-0.148596,-0.0147363,-0.988788,0.123405,0.4,0,0,DISABLED,0
1.68,-0.214302,0.0337309,0.190716,-0.0206582,0.715723,0.0286706,-0.145889,-0.0126611,-0.98922,0.127108,0.4,0,0,DISABLED,0
1.7,-0.213643,0.0345312,0.16169,-0.0196509,0.717675,0.0316795,-0.144882,-0.00765004,-0.989419,0.134006,0.4,0,0,DISABLED,0
1.72,-0.212864,0.035383,0.135357,-0.0193297,0.720042,0.0378732,-0.144561,9.75775e-05,-0.989496,0.141854,0.4,0,0,DISABLED,0
1.74,-0.212292,0.0359167,0.122425,-0.0191832,0.721866,0.0447834,-0.144414,0.00800743,-0.989485,0.149176,0.4,0,0,DISABLED,0
1.76,-0.211677,0.0360002,0.110086,-0.0198056,0.723252,0.050635,-0.145036,0.0141405,-0.989325,0.156024,0.4,0,0,DISABLED,0
1.78,-0.210965,0.0355558,0.100498,-0.0214003,0.724119,0.0540384,-0.146631,0.0171467,-0.989043,0.161973,0.4,0,0,DISABLED,0
1.8,-0.210176,0.0347011,0.0897066,-0.0242647,0.72451,0.056079,-0.149496,0.0180589,-0.988597,0.16864,0.4,0,0,DISABLED,0
1.82,-0.209158,0.0331757,0.080491,-0.0279503,0.724578,0.0572712,-0.153181,0.0174519,-0.988044,0.174445,0.4,0,0,DISABLED,0
1.84,-0.208394,0.0313703,0.0670314,-0.0310281,0.724278,0.0573731,-0.156259,0.0156835,-0.987592,0.178628,0.4,0,0,DISABLED,0
1.86,-0.207904,0.0294498,0.0610696,-0.0338378,0.723676,0.0558744,-0.159069,0.0118346,-0.987197,0.181505,0.4,0,0,DISABLED,0
1.88,-0.207399,0.0267567,0.0630539,-0.0359871,0.722336,0.0523808,-0.161218,0.00536342,-0.986904,0.181498,0.4,0,0,DISABLED,0
1.9,-0.206904,0.0243072,0.0651845,-0.0381226,0.720554,0.0477014,-0.163353,-0.00418266,-0.986559,0.178986,0.4,0,0,DISABLED,0
1.92,-0.206464,0.0218959,0.0758338,-0.0408423,0.717691,0.0447515,-0.166073,-0.014997,-0.985999,0.171246,0.4,0,0,DISABLED,0
1.94,-0.206807,0.020375,0.143137,-0.0406606,0.714896,0.044319,-0.165891,-0.0156848,-0.986019,0.165193,0.4,0,0,DISABLED,0
1.96,-0.2074,0.0198015,0.18139,-0.0403108,0.713592,0.0478798,-0.165542,-0.00714891,-0.986177,0.167131,0.4,0,0,DISABLED,0
1.98,-0.207471,0.018661,0.160147,-0.0394809,0.71287,0.0448021,-0.164712,-0.0119124,-0.98627,0.168196,0.4,0,0,DISABLED,0
2,-0.207309,0.0179474,0.121591,-0.0370513,0.712979,0.0396001,-0.162282,-0.0193774,-0.986554,0.16688,0.4,0,0,DISABLED,0
2.02,-0.206995,0.0177401,0.0896479,-0.0329712,0.713769,0.0341465,-0.158202,-0.0247539,-0.987096,0.165812,0.4,0,0,DISABLED,0
2.04,-0.206598,0.0179749,0.0725376,-0.0287721,0.714712,0.0294076,-0.154003,-0.0277608,-0.98768,0.16588,0.4,0,0,DISABLED,0
2.06,-0.206079,0.0187823,0.0734794,-0.0247736,0.71555,0.025191,-0.150004,-0.0292938,-0.988251,0.166126,0.4,0,0,DISABLED,0
2.08,-0.205317,0.0201648,0.0797831,-0.0215334,0.716085,0.0219188,-0.146764,-0.0294883,-0.988732,0.167043,0.4,0,0,DISABLED,0
2.1,-0.204475,0.0218489,0.0660225,-0.0189816,0.716157,0.0196168,-0.144212,-0.028097,-0.989148,0.168476,0.4,0,0,DISABLED,0
2.12,-0.203315,0.0243695,0.0409225,-0.0160438,0.715537,0.0183059,-0.141275,-0.0237969,-0.989684,0.170846,0.4,0,0,DISABLED,0
2.14,-0.202205,0.026712,0.0227374,-0.0140623,0.71433,0.020289,-0.139293,-0.0178529,-0.99009,0.173,0.4,0,0,DISABLED,0
2.16,-0.200814,0.029547,0.0262423,-0.0120243,0.712164,0.0280994,-0.137255,-0.00702705,-0.990511,0.176587,0.4,0,0,DISABLED,0
2.18,-0.199345,0.0317548,0.0361695,-0.00970726,0.709853,0.029304,-0.134938,-0.00476208,-0.990843,0.182012,0.4,0,0,DISABLED,0
2.2,-0.198123,0.0325529,0.0627726,-0.00901359,0.709705,0.0182211,-0.134244,-0.0165858,-0.990809,0.184174,0.4,0,0,DISABLED,0
2.22,-0.19662,0.0343455,0.0937514,-0.0110126,0.710306,0.0162571,-0.136243,-0.0205022,-0.990463,0.182021,0.4,0,0,DISABLED,0
