t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0202056,0,0.738188,0.000345267,0.0784974,0.05033,-0.995643,0,0.3,0,0,DISABLED,0
0.0399988,0.00288232,0.00186389,0.0103098,-0.000781797,0.738112,0.0100484,0.0777156,0.0403265,-0.99616,0.00646011,0.3,0,0,DISABLED,0
0.0599988,0.00582723,0.00379657,0.0127578,-0.00228753,0.7375,0.0213261,0.0762098,0.0291536,-0.996665,0.0101545,0.3,0,0,DISABLED,0
0.0799987,0.00895865,0.0060853,0.0158361,-0.00504771,0.7367,0.0267852,0.0734497,0.0240617,-0.997009,0.0115822,0.3,0,0,DISABLED,0
0.0999987,0.0120248,0.00840854,0.119012,-0.00535604,0.736214,0.0277858,0.0731413,0.023106,-0.997054,0.00948877,0.3,0,0,DISABLED,0
0.119999,0.0139251,0.00936595,0.17701,-0.000869915,0.736256,0.0322483,0.0776275,0.0181157,-0.996818,0.00892018,0.3,0,0,DISABLED,0
0.139999,0.0157125,0.00966553,0.226939,0.00722957,0.737056,0.043492,0.0857269,0.00745186,-0.996291,0.0104678,0.3,0,0,DISABLED,0
0.159999,0.0174146,0.00994209,0.222908,0.0177221,0.738619,0.0599931,0.0962194,-0.00697475,-0.995336,0.0126297,0.3,0,0,DISABLED,0
0.179999,0.0185932,0.0104992,0.206584,0.0264462,0.740211,0.0741908,0.104944,-0.0189559,-0.994298,0.0144014,0.3,0,0,DISABLED,0
0.199999,0.0199661,0.0120062,0.192894,0.0347133,0.742416,0.0878585,0.113211,-0.0303094,-0.993109,0.0163006,0.3,0,0,DISABLED,0
0.219999,0.0210751,0.0141863,0.168556,0.0406724,0.744262,0.0981961,0.11917,-0.0389337,-0.99211,0.0186365,0.3,0,0,DISABLED,0
0.239999,0.022219,0.0181709,0.130994,0.0456395,0.746194,0.105411,0.124137,-0.0445326,-0.991265,0.0231618,0.3,0,0,DISABLED,0
0.259999,0.0231194,0.0230747,0.0859371,0.0489344,0.747323,0.110042,0.127432,-0.0480459,-0.990683,0.0300526,0.3,0,0,DISABLED,0
0.279999,0.0238548,0.0285667,0.0488643,0.0509765,0.747655,0.113783,0.129474,-0.0511831,-0.990261,0.0379642,0.3,0,0,DISABLED,0
0.299999,0.024441,0.0359604,0.0171614,0.052814,0.747071,0.115732,0.131311,-0.0524183,-0.989954,0.0461724,0.3,0,0,DISABLED,0
0.319999,0.0246104,0.0449241,0.0115575,0.0546795,0.745213,0.110409,0.133177,-0.0453602,-0.990054,0.0512883,0.3,0,0,DISABLED,0
0.339998,0.0246453,0.0563116,0.0271168,0.0555939,0.741242,0.0935766,0.134091,-0.0247347,-0.99066,0.0544006,0.3,0,0,DISABLED,0
0.359998,0.0248165,0.0632213,0.0218275,0.0560442,0.739678,0.100059,0.134542,-0.0323428,-0.99038,0.0565995,0.3,0,0,DISABLED,0
0.379998,0.0258753,0.0694936,-0.0127258,0.0504257,0.739213,0.0959384,0.128923,-0.0311214,-0.991166,0.0529072,0.3,0,0,DISABLED,0
0.399998,0.0275667,0.0775821,-0.0304272,0.0438187,0.738469,0.0758088,0.122316,-0.0114256,-0.992425,0.0528648,0.3,0,0,DISABLED,0
0.419998,0.0294447,0.0835827,-0.0394007,0.0359575,0.737347,0.057712,0.114455,0.00525599,-0.993415,0.0537984,0.3,0,0,DISABLED,0
0.439998,0.0319916,0.0885908,-0.0233667,0.0280773,0.736437,0.0510829,0.106575,0.00768553,-0.994275,0.0553919,0.3,0,0,DISABLED,0
0.459998,0.0349904,0.0923749,0.00815734,0.0217961,0.736643,0.0504734,0.100294,0.00481772,-0.994946,0.0555,0.3,0,0,DISABLED,0
0.479998,0.0375444,0.0948396,0.0300142,0.0164336,0.736999,0.0468691,0.094931,0.0064409,-0.995463,0.0545669,0.3,0,0,DISABLED,0
0.499998,0.0406162,0.096837,0.0380105,0.0113266,0.737254,0.0445458,0.089824,0.00725302,-0.995931,0.0541792,0.3,0,0,DISABLED,0
0.519998,0.0439516,0.0982215,0.03916,0.00625491,0.737355,0.0450105,0.0847523,0.0057662,-0.996385,0.0550003,0.3,0,0,DISABLED,0
0.539998,0.0478545,0.0993047,0.0320004,0.000656806,0.737379,0.0484776,0.0791542,0.00187777,-0.996861,0.0560769,0.3,0,0,DISABLED,0
0.559998,0.0514823,0.100133,0.0231521,-0.00427347,0.737458,0.0519659,0.0742239,-0.00142937,-0.997241,0.0558478,0.3,0,0,DISABLED,0
0.579998,0.0548093,0.100795,0.0231211,-0.00848672,0.737645,0.0541464,0.0700106,-0.00310763,-0.997541,0.0550451,0.3,0,0,DISABLED,0
0.599998,0.058946,0.101451,0.0298814,-0.0128292,0.737972,0.0554964,0.0656681,-0.00361035,-0.997835,0.0550072,0.3,0,0,DISABLED,0
0.619998,0.0628872,0.101847,0.0402458,-0.0158782,0.738271,0.056414,0.0626192,-0.0037426,-0.99803,0.0553416,0.3,0,0,DISABLED,0
0.639998,0.0667054,0.101978,0.0417558,-0.0192019,0.738427,0.0577957,0.0592955,-0.00411204,-0.998232,0.0559216,0.3,0,0,DISABLED,0
0.659998,0.0715678,0.101698,0.058537,-0.0222768,0.738149,0.0609694,0.0562205,-0.00634659,-0.998398,0.0578482,0.3,0,0,DISABLED,0
0.679998,0.0763477,0.101082,0.097446,-0.0253572,0.737377,0.0650492,0.0531402,-0.00949114,-0.998542,0.058955,0.3,0,0,DISABLED,0
0.699998,0.0809161,0.100578,0.133672,-0.0294194,0.73692,0.0643003,0.049078,-0.00674721,-0.998772,0.0612784,0.3,0,0,DISABLED,0
0.719998,0.0859821,0.0998351,0.141466,-0.0322375,0.736228,0.0635492,0.0462599,-0.00432486,-0.99892,0.0631628,0.3,0,0,DISABLED,0
0.739998,0.0910581,0.0990358,0.113681,-0.0344048,0.734843,0.0678305,0.0440926,-0.00801523,-0.998995,0.0642226,0.3,0,0,DISABLED,0
0.759998,0.0966525,0.0996576,0.136045,-0.0372637,0.734253,0.0654122,0.0412337,-0.00330215,-0.999144,0.0649558,0.3,0,0,DISABLED,0
0.779998,0.101115,0.100612,0.127425,-0.0392831,0.734893,0.0640019,0.0392143,-5.52174e-05,-0.999231,0.0605943,0.3,0,0,DISABLED,0
0.799998,0.10579,0.101517,0.144432,-0.0389172,0.736073,0.0654988,0.0395802,-0.00221672,-0.999214,0.0569258,0.3,0,0,DISABLED,0
0.819998,0.110145,0.102677,0.151354,-0.0367644,0.737258,0.0661584,0.041733,-0.0045473,-0.999118,0.0569042,0.3,0,0,DISABLED,0
0.839998,0.114286,0.104343,0.145995,-0.0334597,0.738231,0.0668232,0.0450376,-0.00740335,-0.998958,0.0567193,0.3,0,0,DISABLED,0
0.859998,0.118282,0.106481,0.127397,-0.029963,0.738944,0.0676553,0.0485343,-0.0102334,-0.998769,0.0568263,0.3,0,0,DISABLED,0
0.879998,0.122549,0.109381,0.0955102,-0.0267189,0.739471,0.0686444,0.0517784,-0.0128178,-0.998576,0.0569936,0.3,0,0,DISABLED,0
0.899998,0.125928,0.112084,0.0645441,-0.0236737,0.739811,0.0702192,0.0548237,-0.0157064,-0.998372,0.0571864,0.3,0,0,DISABLED,0
0.919998,0.129573,0.11538,0.0633369,-0.0205416,0.740128,0.0724438,0.0579557,-0.0190781,-0.998137,0.0569607,0.3,0,0,DISABLED,0
0.939998,0.133154,0.118974,0.0723319,-0.016955,0.740339,0.0742671,0.0615424,-0.0219242,-0.997864,0.0569146,0.3,0,0,DISABLED,0
0.959998,0.136766,0.122947,0.082889,-0.0130594,0.74035,0.074587,0.0654379,-0.023061,-0.99759,0.0572229,0.3,0,0,DISABLED,0
0.979998,0.141021,0.127787,0.0833827,-0.00956097,0.739924,0.0721459,0.0689364,-0.0211419,-0.997397,0.0587143,0.3,0,0,DISABLED,0
0.999998,0.145299,0.132434,0.0699452,-0.00839194,0.738918,0.0677038,0.0701054,-0.016815,-0.997398,0.0595798,0.3,0,0,DISABLED,0
1.02,0.149561,0.136179,0.000154078,-0.00978787,0.738195,0.068212,0.0687095,-0.0171382,-0.99749,0.0565052,0.3,0,0,DISABLED,0
1.04,0.154567,0.140435,-0.0370383,-0.0106582,0.737177,0.0639776,0.0678392,-0.0127111,-0.997615,0.0557113,0.3,0,0,DISABLED,0
1.06,0.158661,0.143602,0.001504,-0.0108235,0.735952,0.0558851,0.0676739,-0.00445099,-0.997698,0.0563908,0.3,0,0,DISABLED,0
1.08,0.163635,0.146289,0.0237532,-0.0112609,0.734819,0.0519866,0.0672365,-0.000372031,-0.997737,0.0562751,0.3,0,0,DISABLED,0
