t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0313379,0,0.733891,0,0.0376493,-0.025036,-0.998977,0,0,-0.3,0,DISABLED,0
0.0399988,-3.05749e-05,-1.29463e-05,0.0310625,-3.12291e-05,0.733877,0,0.0376181,-0.0250423,-0.998978,3.6086e-05,0,-0.3,0,DISABLED,0
0.0599988,-9.01562e-05,-7.42348e-05,0.0311457,-6.93873e-05,0.73386,0,0.0375799,-0.0251296,-0.998978,6.94478e-05,0,-0.3,0,DISABLED,0
0.0799987,-0.00019548,-0.000213221,0.0317439,-0.00012419,0.733832,0,0.0375251,-0.0253474,-0.998974,0.000120402,0,-0.3,0,DISABLED,0
0.0999987,-0.000548342,-0.000409557,0.112179,0.00130285,0.733727,0.00133721,0.0389522,-0.0252385,-0.998922,-4.50769e-05,0,-0.3,0,DISABLED,0
0.119999,-0.000758268,-0.000630685,0.129942,0.00350911,0.733594,0.00362119,0.0411584,-0.0241084,-0.998862,-0.00106826,0,-0.3,0,DISABLED,0
0.139999,-0.00073017,-0.000986638,0.103503,0.0058556,0.733504,0.00660536,0.0435049,-0.0219898,-0.998811,-0.00251973,0,-0.3,0,DISABLED,0
0.159999,-0.00075346,-0.00121877,0.0780103,0.00789117,0.73349,0.00927738,0.0455405,-0.0201656,-0.998759,-0.00346472,0,-0.3,0,DISABLED,0
0.179999,-0.000840893,-0.00130433,0.0544127,0.00970854,0.73355,0.0116985,0.0473579,-0.0185055,-0.998707,-0.0029351,0,-0.3,0,DISABLED,0
0.199999,-0.000627998,-0.00102393,0.0640054,0.00966998,0.733532,0.0127329,0.0473193,-0.0167478,-0.998739,-0.00348219,0,-0.3,0,DISABLED,0
0.219999,-0.000194279,-0.000649314,0.0878505,0.00859525,0.733455,0.0126625,0.0462446,-0.0157349,-0.998806,-0.00422057,0,-0.3,0,DISABLED,0
0.239999,0.000322744,-7.07721e-05,0.096359,0.00762699,0.733318,0.0125964,0.0452763,-0.0150057,-0.998862,-0.00523998,0,-0.3,0,DISABLED,0
0.259999,0.000705294,0.000627119,0.0898958,0.00742839,0.733132,0.0132648,0.0450777,-0.0140427,-0.998885,-0.00488721,0,-0.3,0,DISABLED,0
0.279999,0.0010172,0.00160981,0.0741529,0.00775237,0.732952,0.0144189,0.0454017,-0.0128803,-0.998886,-0.00399698,0,-0.3,0,DISABLED,0
0.299999,0.00122687,0.00297715,0.0652035,0.00859927,0.732844,0.0155755,0.0462486,-0.0120466,-0.998857,-0.00203843,0,-0.3,0,DISABLED,0
0.319999,0.00135573,0.00475966,0.0760142,0.0099717,0.73281,0.0166448,0.047621,-0.0117067,-0.998797,0.00085796,0,-0.3,0,DISABLED,0
0.339998,0.00142008,0.00695857,0.0920304,0.0120613,0.732772,0.0185357,0.0497106,-0.0109648,-0.998703,0.005162,0,-0.3,0,DISABLED,0
0.359998,0.00154657,0.00992212,0.103314,0.014709,0.732563,0.0223763,0.0523583,-0.0081767,-0.998595,0.0106397,0,-0.3,0,DISABLED,0
0.379998,0.00181111,0.0128104,0.095425,0.0162964,0.732043,0.0274989,0.0539458,-0.0028897,-0.99854,0.0144171,0,-0.3,0,DISABLED,0
0.399998,0.00249255,0.0152469,0.057993,0.0153341,0.732279,0.0231695,0.0529834,-0.00767147,-0.998566,0.0138271,0,-0.3,0,DISABLED,0
0.419998,0.00310878,0.0174712,0.0101596,0.0143294,0.732837,0.0199154,0.0519787,-0.0112124,-0.998585,0.0165147,0,-0.3,0,DISABLED,0
0.439998,0.00332215,0.0197065,0.0327162,0.014888,0.733797,0.0214654,0.0525373,-0.00957987,-0.998573,0.0229321,0,-0.3,0,DISABLED,0
0.459998,0.00341639,0.0210822,0.0577098,0.0153368,0.734687,0.0235117,0.0529861,-0.00721941,-0.998569,0.024735,0,-0.3,0,DISABLED,0
0.479998,0.00367757,0.0225769,0.0626448,0.0159816,0.735864,0.0259555,0.0536309,-0.00458711,-0.99855,0.0261113,0,-0.3,0,DISABLED,0
0.499998,0.00387005,0.0234452,0.0646247,0.0171765,0.736675,0.0273272,0.0548258,-0.00378917,-0.998489,0.0261454,0,-0.3,0,DISABLED,0
0.519998,0.00398982,0.0237886,0.0603436,0.0184734,0.737216,0.0276761,0.0561227,-0.0044365,-0.998414,0.0246764,0,-0.3,0,DISABLED,0
0.539998,0.00416701,0.0236674,0.0499156,0.0188476,0.737552,0.0273947,0.056497,-0.0051641,-0.998389,0.0234998,0,-0.3,0,DISABLED,0
0.559998,0.00430347,0.0231672,0.03848,0.0182862,0.737775,0.026546,0.0559356,-0.00580328,-0.998417,0.0206826,0,-0.3,0,DISABLED,0
0.579998,0.00437223,0.0225293,0.0318605,0.01645,0.737912,0.0251744,0.0540994,-0.00598806,-0.998518,0.0163722,0,-0.3,0,DISABLED,0
0.599998,0.00441305,0.0215319,0.0315405,0.0142282,0.738023,0.0237964,0.0518775,-0.00596614,-0.998636,0.0120233,0,-0.3,0,DISABLED,0
0.619998,0.00441879,0.0201854,0.03235,0.0114284,0.73807,0.0222159,0.0490778,-0.00598483,-0.998777,0.00699415,0,-0.3,0,DISABLED,0
0.639998,0.00442135,0.0183276,0.0357534,0.00819677,0.738021,0.0201208,0.0458461,-0.00666283,-0.998926,0.000420514,0,-0.3,0,DISABLED,0
0.659998,0.00446934,0.0165069,0.0488971,0.0055687,0.737879,0.0178743,0.043218,-0.0080496,-0.999033,-0.00570721,0,-0.3,0,DISABLED,0
0.679998,0.00455966,0.0141079,0.0757471,0.00292822,0.737569,0.0147257,0.0405776,-0.0106077,-0.99912,-0.0135766,0,-0.3,0,DISABLED,0
0.699998,0.00471668,0.0112903,0.0969762,0.000402804,0.737085,0.0110432,0.0380521,-0.0139967,-0.999178,-0.0218997,0,-0.3,0,DISABLED,0
0.719998,0.00519918,0.00865865,0.11224,-0.00361179,0.73739,0.017177,0.0340375,-0.0082454,-0.999387,-0.0263515,0,-0.3,0,DISABLED,0
