t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0737,0,0.737544,0,0.0841053,0.054325,-0.994975,0,-0.25,0.2,0,DISABLED,0
0.0399988,0.00301681,0.00172105,0.0348115,-0.00164737,0.738075,0.00165584,0.0824579,0.0544628,-0.995105,0.00788724,-0.25,0.2,0,DISABLED,0
0.0599988,0.00591405,0.00337255,0.0178055,-0.00287474,0.738439,0.00725062,0.0812306,0.0476941,-0.995554,0.0140549,-0.25,0.2,0,DISABLED,0
0.0799987,0.00843252,0.00464204,0.0133396,-0.00362781,0.738343,0.0194459,0.0804775,0.0352568,-0.996133,0.0202935,-0.25,0.2,0,DISABLED,0
0.0999987,0.0112453,0.00643303,0.0741304,-0.0044632,0.737737,0.0296699,0.0796421,0.0250337,-0.996509,0.0239379,-0.25,0.2,0,DISABLED,0
0.119999,0.0141061,0.0084552,0.105009,-0.00273,0.736619,0.0319474,0.0813753,0.0225299,-0.996429,0.0285594,-0.25,0.2,0,DISABLED,0
0.139999,0.0161371,0.0099771,0.0745431,0.0032218,0.736155,0.0324877,0.0873271,0.0220125,-0.995936,0.0285555,-0.25,0.2,0,DISABLED,0
0.159999,0.0180955,0.0111107,0.146817,0.00934506,0.736384,0.0394281,0.0934504,0.0160256,-0.995495,0.0253118,-0.25,0.2,0,DISABLED,0
0.179999,0.0200915,0.0116843,0.213865,0.0157094,0.737553,0.0535985,0.0998148,0.00308798,-0.995001,0.0252048,-0.25,0.2,0,DISABLED,0
0.199999,0.0218131,0.0122179,0.217294,0.023252,0.739359,0.0699289,0.107357,-0.0116052,-0.994153,0.0265949,-0.25,0.2,0,DISABLED,0
0.219999,0.0234604,0.013339,0.194371,0.0299099,0.741459,0.0827249,0.114015,-0.0227582,-0.993218,0.0267755,-0.25,0.2,0,DISABLED,0
0.239999,0.0251695,0.0152009,0.152077,0.0339706,0.743564,0.0906858,0.118076,-0.0296898,-0.992561,0.0264567,-0.25,0.2,0,DISABLED,0
0.259999,0.0267538,0.0176016,0.103599,0.0361152,0.745207,0.0961,0.120221,-0.0346451,-0.992142,0.0262239,-0.25,0.2,0,DISABLED,0
0.279999,0.0286318,0.021667,0.0463808,0.0364184,0.746672,0.0993734,0.120524,-0.0380416,-0.991981,0.0269627,-0.25,0.2,0,DISABLED,0
0.299999,0.0301268,0.0264466,0.0148764,0.0365011,0.74743,0.102505,0.120606,-0.041362,-0.991838,0.0289397,-0.25,0.2,0,DISABLED,0
0.319999,0.0311333,0.0324344,0.0257763,0.0380474,0.747478,0.10445,0.122153,-0.0428384,-0.991586,0.0300163,-0.25,0.2,0,DISABLED,0
0.339998,0.0318731,0.0398453,0.0395833,0.0399468,0.746651,0.100876,0.124052,-0.0381938,-0.99154,0.0301842,-0.25,0.2,0,DISABLED,0
0.359998,0.0325503,0.048544,0.0400582,0.0416067,0.74445,0.0880492,0.125712,-0.0231758,-0.991796,0.0299667,-0.25,0.2,0,DISABLED,0
0.379998,0.0330501,0.0546791,0.0378558,0.0419549,0.743085,0.0868336,0.12606,-0.0216027,-0.991787,0.0272887,-0.25,0.2,0,DISABLED,0
0.399998,0.0344126,0.0609484,-0.0234261,0.0370634,0.741776,0.0836496,0.121169,-0.0205942,-0.992418,0.0209946,-0.25,0.2,0,DISABLED,0
0.419998,0.0356763,0.067156,-0.0424243,0.0327392,0.739175,0.0694564,0.116844,-0.00688648,-0.993126,0.0189607,-0.25,0.2,0,DISABLED,0
0.439998,0.0361505,0.071223,-0.0192225,0.0326733,0.737705,0.0739225,0.116779,-0.0119396,-0.993086,0.0171672,-0.25,0.2,0,DISABLED,0
0.459998,0.0367869,0.0741589,0.0347888,0.0317974,0.738294,0.0754625,0.115903,-0.0140677,-0.993161,0.0171681,-0.25,0.2,0,DISABLED,0
0.479998,0.0377942,0.0768746,0.0372184,0.0278137,0.738754,0.0704829,0.111919,-0.0104081,-0.993663,0.0146954,-0.25,0.2,0,DISABLED,0
0.499998,0.0387795,0.0795381,0.0367423,0.0236136,0.738846,0.0675573,0.107719,-0.00895206,-0.994141,0.00979755,-0.25,0.2,0,DISABLED,0
0.519998,0.0395807,0.0812872,0.0238523,0.0191845,0.738544,0.0696091,0.10329,-0.0125726,-0.994572,0.00568742,-0.25,0.2,0,DISABLED,0
0.539998,0.0402033,0.0825436,0.00956124,0.0156258,0.738084,0.0745317,0.0997311,-0.018532,-0.994842,0.00360816,-0.25,0.2,0,DISABLED,0
0.559998,0.0407753,0.0839373,0.00292179,0.0111473,0.737423,0.0821734,0.0952526,-0.0270646,-0.995085,0.000605749,-0.25,0.2,0,DISABLED,0
0.579998,0.0411234,0.0849716,0.00423732,0.00663549,0.736868,0.0892395,0.0907408,-0.0346377,-0.995272,-0.00243615,-0.25,0.2,0,DISABLED,0
0.599998,0.0414341,0.0860046,0.0114731,0.00185445,0.736199,0.0960671,0.0859598,-0.0416864,-0.995426,-0.00530254,-0.25,0.2,0,DISABLED,0
0.619998,0.0417377,0.0867914,0.0160263,-0.00338408,0.735692,0.101318,0.0807212,-0.0468915,-0.995633,-0.00669892,-0.25,0.2,0,DISABLED,0
0.639998,0.0423565,0.0876796,0.0159241,-0.00951908,0.73574,0.10154,0.0745862,-0.046717,-0.99612,-0.00711614,-0.25,0.2,0,DISABLED,0
0.659998,0.0429708,0.0884346,0.0368402,-0.0139129,0.736064,0.0999635,0.0701924,-0.0446111,-0.996535,-0.00794201,-0.25,0.2,0,DISABLED,0
0.679998,0.043661,0.0890836,0.0807028,-0.0166124,0.73641,0.0983456,0.0674929,-0.0425496,-0.996812,-0.0087333,-0.25,0.2,0,DISABLED,0
0.699998,0.0441737,0.089131,0.11117,-0.0172224,0.73617,0.100184,0.0668829,-0.0443086,-0.996777,-0.00898298,-0.25,0.2,0,DISABLED,0
0.719998,0.044747,0.0893367,0.11314,-0.016962,0.735866,0.0987267,0.0671433,-0.0428754,-0.996822,-0.00714308,-0.25,0.2,0,DISABLED,0
0.739998,0.0455898,0.0898751,0.108043,-0.0185645,0.736333,0.0946208,0.0655408,-0.0383967,-0.997111,-0.0098166,-0.25,0.2,0,DISABLED,0
0.759998,0.0470966,0.0903185,0.106019,-0.0236128,0.73725,0.0936028,0.0604925,-0.0361797,-0.997513,-0.0178555,-0.25,0.2,0,DISABLED,0
0.779998,0.0481638,0.0907772,0.0947819,-0.0276105,0.738002,0.0935186,0.0564949,-0.0349444,-0.997791,-0.0228619,-0.25,0.2,0,DISABLED,0
0.799998,0.048974,0.091621,0.0932332,-0.0307618,0.738623,0.0928312,0.0533435,-0.033173,-0.998025,-0.0266193,-0.25,0.2,0,DISABLED,0
0.819998,0.0494096,0.0928854,0.102181,-0.0325168,0.738943,0.0908148,0.0515885,-0.0303737,-0.998206,-0.0282636,-0.25,0.2,0,DISABLED,0
0.839998,0.0495764,0.0946102,0.113284,-0.0332817,0.738996,0.0873202,0.0508236,-0.0263025,-0.998361,-0.028566,-0.25,0.2,0,DISABLED,0
0.859998,0.049609,0.0968205,0.116997,-0.0336217,0.738881,0.0826586,0.0504836,-0.0210778,-0.998502,-0.0285959,-0.25,0.2,0,DISABLED,0
0.879998,0.0495619,0.0995055,0.108417,-0.0338621,0.738727,0.0766533,0.0502432,-0.0143251,-0.998634,-0.0284355,-0.25,0.2,0,DISABLED,0
0.899998,0.0494564,0.102664,0.103191,-0.0339832,0.738626,0.0712514,0.0501221,-0.00817175,-0.99871,-0.0280064,-0.25,0.2,0,DISABLED,0
0.919998,0.0491912,0.1066,0.112713,-0.0334129,0.738614,0.0643049,0.0506925,-0.00047692,-0.998714,-0.0271223,-0.25,0.2,0,DISABLED,0
0.939998,0.0487783,0.110575,0.12413,-0.0318472,0.738652,0.0574209,0.0522581,0.00669385,-0.998611,-0.0252134,-0.25,0.2,0,DISABLED,0
0.959998,0.0482602,0.114892,0.124889,-0.0296748,0.738783,0.0510303,0.0544305,0.0129615,-0.998433,-0.0224521,-0.25,0.2,0,DISABLED,0
0.979998,0.0481066,0.118635,0.100851,-0.0292335,0.739605,0.0519028,0.0548719,0.0115843,-0.998426,-0.0224151,-0.25,0.2,0,DISABLED,0
0.999998,0.0480834,0.122985,0.0709637,-0.0285272,0.740784,0.0538914,0.0555782,0.00874103,-0.998416,-0.0226756,-0.25,0.2,0,DISABLED,0
1.02,0.047645,0.127488,0.0671279,-0.0249779,0.741729,0.0535049,0.0591274,0.00712729,-0.998225,-0.0200401,-0.25,0.2,0,DISABLED,0
1.04,0.0470373,0.13208,0.0533124,-0.02065,0.742075,0.0515974,0.0634553,0.00714083,-0.997959,-0.0166349,-0.25,0.2,0,DISABLED,0
1.06,0.0465614,0.137159,0.0282121,-0.0177734,0.741243,0.04672,0.0663319,0.0112096,-0.997735,-0.0127662,-0.25,0.2,0,DISABLED,0
1.08,0.0466476,0.140831,0.0320758,-0.0180316,0.740059,0.0459752,0.0660737,0.0121283,-0.997741,-0.00708284,-0.25,0.2,0,DISABLED,0
1.1,0.0470262,0.143982,0.0636302,-0.0195643,0.739736,0.0488989,0.064541,0.0096096,-0.997869,-0.00462914,-0.25,0.2,0,DISABLED,0
1.12,0.0476002,0.147352,0.069902,-0.0212943,0.739562,0.0488415,0.062811,0.0104772,-0.99797,-0.00319654,-0.25,0.2,0,DISABLED,0
1.14,0.0480436,0.150261,0.0664719,-0.0218764,0.739282,0.0498732,0.062229,0.00961553,-0.998016,-0.00250475,-0.25,0.2,0,DISABLED,0
1.16,0.0484621,0.153591,0.061859,-0.021558,0.738779,0.0534425,0.0625473,0.00552699,-0.998027,-0.00171318,-0.25,0.2,0,DISABLED,0
