t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.141724,0,0.71502,0,0.127118,-0.0317334,-0.99138,0,0,0,-0.5,DISABLED,0
0.0399988,-0.000586888,7.34557e-05,0.137876,-0.000470132,0.715266,0.00265205,0.126648,-0.0291254,-0.99152,0.000289503,0,0,-0.5,DISABLED,0
0.0599988,-0.00131191,2.51275e-05,0.135509,-0.000718549,0.715484,0.0048214,0.126399,-0.0269755,-0.991613,1.131e-05,0,0,-0.5,DISABLED,0
0.0799987,-0.00238165,-0.000115355,0.175876,0.000882328,0.715581,0.00570475,0.128,-0.0261098,-0.99143,-0.00166585,0,0,-0.5,DISABLED,0
0.0999987,-0.00376035,-0.000278296,0.206512,0.00523855,0.715622,0.00749319,0.132356,-0.0264062,-0.99085,-0.00317144,0,0,-0.5,DISABLED,0
0.119999,-0.00439559,-0.000495182,0.207432,0.00767288,0.715827,0.0104782,0.134791,-0.0246436,-0.990568,0.000270637,0,0,-0.5,DISABLED,0
0.139999,-0.00457681,-0.00100538,0.175522,0.00912294,0.715968,0.0119854,0.136241,-0.0240267,-0.990384,-0.000546185,0,0,-0.5,DISABLED,0
0.159999,-0.004584,-0.0017129,0.156216,0.010321,0.71592,0.0125205,0.137439,-0.0247541,-0.990201,-0.00271446,0,0,-0.5,DISABLED,0
0.179999,-0.00449512,-0.00214075,0.179597,0.0105758,0.715849,0.0127095,0.137694,-0.0247999,-0.990164,-0.00271285,0,0,-0.5,DISABLED,0
0.199999,-0.00423485,-0.00256382,0.199807,0.00970334,0.715677,0.0111239,0.136821,-0.0264187,-0.990243,-0.00255459,0,0,-0.5,DISABLED,0
0.219999,-0.00387226,-0.00321008,0.21367,0.0083189,0.715647,0.00840783,0.135437,-0.0313428,-0.99029,-0.00208311,0,0,-0.5,DISABLED,0
0.239999,-0.00369932,-0.00403036,0.218727,0.00805685,0.715766,0.0103177,0.135175,-0.0380453,-0.990091,-0.00163346,0,0,-0.5,DISABLED,0
0.259999,-0.00376598,-0.00490943,0.214359,0.00914128,0.71599,0.0158937,0.136259,-0.0446231,-0.989668,-0.000955535,0,0,-0.5,DISABLED,0
0.279999,-0.00395669,-0.00582785,0.202984,0.0109917,0.716383,0.0225356,0.13811,-0.0512695,-0.989089,-0.000244154,0,0,-0.5,DISABLED,0
0.299999,-0.00429869,-0.00657041,0.19617,0.0133574,0.71686,0.0289767,0.140475,-0.0572753,-0.988426,0.000141544,0,0,-0.5,DISABLED,0
0.319999,-0.00474723,-0.0071526,0.198154,0.0158941,0.717435,0.0349813,0.143012,-0.062679,-0.987734,0.000174787,0,0,-0.5,DISABLED,0
0.339998,-0.00520252,-0.00746704,0.201687,0.018695,0.717949,0.0406036,0.145813,-0.0675082,-0.987006,0.000304556,0,0,-0.5,DISABLED,0
0.359998,-0.00580068,-0.00752408,0.204501,0.0227209,0.718526,0.0468195,0.149839,-0.072318,-0.986062,0.000579124,0,0,-0.5,DISABLED,0
0.379998,-0.00647259,-0.00729417,0.21674,0.0266777,0.71907,0.0517475,0.153795,-0.0756349,-0.985204,0.00143685,0,0,-0.5,DISABLED,0
0.399998,-0.00716935,-0.0067716,0.229774,0.0303116,0.719382,0.0550313,0.157429,-0.0771386,-0.984513,0.00373181,0,0,-0.5,DISABLED,0
0.419998,-0.00780039,-0.00583713,0.227053,0.0326743,0.719259,0.0541717,0.159792,-0.0743569,-0.984346,0.0065893,0,0,-0.5,DISABLED,0
0.439998,-0.00834524,-0.00439157,0.196061,0.0331569,0.71828,0.0461072,0.160275,-0.063134,-0.985051,0.0084719,0,0,-0.5,DISABLED,0
0.459998,-0.00912104,-0.00373655,0.147842,0.0321945,0.717241,0.0408466,0.159312,-0.0562004,-0.985627,0.00629138,0,0,-0.5,DISABLED,0
0.479998,-0.00959076,-0.00357669,0.0675214,0.0271162,0.71765,0.0370166,0.154234,-0.0564341,-0.986421,0.00125397,0,0,-0.5,DISABLED,0
0.499998,-0.00968898,-0.00261025,0.0614981,0.0195568,0.718338,0.0263634,0.146675,-0.0490762,-0.987967,-0.00256394,0,0,-0.5,DISABLED,0
0.519998,-0.00963448,-0.00169964,0.0726097,0.0129636,0.719191,0.0164901,0.140081,-0.0417029,-0.989261,-0.0038653,0,0,-0.5,DISABLED,0
0.539998,-0.00955074,-0.000892116,0.0832958,0.00862584,0.719936,0.00956212,0.135744,-0.0356519,-0.990102,-0.00641871,0,0,-0.5,DISABLED,0
0.559998,-0.00929832,-0.000121304,0.0936025,0.0051783,0.720695,0.00557797,0.132296,-0.02978,-0.990763,-0.00959729,0,0,-0.5,DISABLED,0
0.579998,-0.00874515,0.000444835,0.108377,0.00286049,0.721325,0.0077896,0.129978,-0.0244919,-0.991214,-0.013083,0,0,-0.5,DISABLED,0
0.599998,-0.00797766,0.000785932,0.121072,0.00110844,0.721848,0.0119704,0.128226,-0.0198162,-0.991547,-0.0167873,0,0,-0.5,DISABLED,0
0.619998,-0.00686309,0.000961426,0.131514,-0.00050436,0.722422,0.0173497,0.126613,-0.0143992,-0.991848,-0.0204685,0,0,-0.5,DISABLED,0
0.639998,-0.00547932,0.000857252,0.140799,-0.00192165,0.722837,0.0219622,0.125196,-0.00986727,-0.992083,-0.0241988,0,0,-0.5,DISABLED,0
0.659998,-0.00386526,0.000435243,0.151115,-0.00339205,0.722871,0.024356,0.123726,-0.0076346,-0.992287,-0.02785,0,0,-0.5,DISABLED,0
0.679998,-0.00209398,-0.00010193,0.174467,-0.00578976,0.722778,0.0278565,0.121328,-0.0045152,-0.992602,-0.0272309,0,0,-0.5,DISABLED,0
0.699998,0.000401601,-0.000811453,0.177518,-0.00993024,0.722897,0.0355191,0.117188,0.00232401,-0.993107,-0.0274841,0,0,-0.5,DISABLED,0
0.719998,0.00223036,-0.00173354,0.176011,-0.0114362,0.72306,0.0409574,0.115682,0.00754729,-0.993258,-0.0302353,0,0,-0.5,DISABLED,0
0.739998,0.00370112,-0.00307307,0.150054,-0.0117176,0.723409,0.0435495,0.1154,0.0101634,-0.993267,-0.03157,0,0,-0.5,DISABLED,0
0.759998,0.00502,-0.00446934,0.124282,-0.0121907,0.724089,0.0429845,0.114927,0.00943638,-0.993329,-0.0327291,0,0,-0.5,DISABLED,0
0.779998,0.006594,-0.00540217,0.146977,-0.0139715,0.725018,0.0407443,0.113146,0.00647513,-0.993557,-0.0368524,0,0,-0.5,DISABLED,0
0.799998,0.0083735,-0.00588695,0.175157,-0.0156595,0.725987,0.0374537,0.111458,0.0022017,-0.993767,-0.0396845,0,0,-0.5,DISABLED,0
0.819998,0.0102015,-0.00606035,0.197194,-0.015918,0.727001,0.0328672,0.1112,-0.00307993,-0.993793,-0.0412417,0,0,-0.5,DISABLED,0
0.839998,0.0120468,-0.00603789,0.205836,-0.0145225,0.728044,0.0270663,0.112595,-0.009003,-0.9936,-0.0428673,0,0,-0.5,DISABLED,0
