t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0270724,0,0.737647,0,0.0817112,0.0555833,-0.995105,0,-0.3,0,0,DISABLED,0
0.0399988,0.00238933,0.00153926,0.0118195,-0.00104482,0.73799,0.00623397,0.0806664,0.0494607,-0.995513,0.00532697,-0.3,0,0,DISABLED,0
0.0599988,0.00520636,0.00309561,0.00776035,-0.00151385,0.738103,0.017974,0.0801974,0.0376978,-0.996066,0.011139,-0.3,0,0,DISABLED,0
0.0799987,0.00782077,0.0044301,0.0166893,-0.0027949,0.73767,0.0332513,0.0789163,0.0224867,-0.996628,0.0152339,-0.3,0,0,DISABLED,0
0.0999987,0.0100589,0.00614146,0.0919319,-0.00344796,0.73733,0.0378307,0.0782633,0.0179492,-0.996771,0.0160004,-0.3,0,0,DISABLED,0
0.119999,0.0123241,0.00775092,0.102335,-0.000941873,0.737135,0.039316,0.0807694,0.0163095,-0.996599,0.0170002,-0.3,0,0,DISABLED,0
0.139999,0.0140009,0.0081457,0.169083,0.00553963,0.737234,0.0482606,0.0872509,0.00765765,-0.996157,0.0180889,-0.3,0,0,DISABLED,0
0.159999,0.0152745,0.00814713,0.227352,0.0127366,0.738006,0.0603608,0.0944479,-0.00340814,-0.995524,0.0199307,-0.3,0,0,DISABLED,0
0.179999,0.0165797,0.00835983,0.218421,0.0222581,0.739586,0.0767746,0.103969,-0.0178715,-0.99442,0.022132,-0.3,0,0,DISABLED,0
0.199999,0.017554,0.00916733,0.1908,0.0301991,0.741397,0.0893024,0.11191,-0.0284071,-0.993312,0.0234438,-0.3,0,0,DISABLED,0
0.219999,0.0185501,0.0108071,0.157901,0.0356225,0.743364,0.0980276,0.117334,-0.0356628,-0.992452,0.024061,-0.3,0,0,DISABLED,0
0.239999,0.0194113,0.0131115,0.114984,0.0384108,0.74502,0.102338,0.120122,-0.0391736,-0.991986,0.0248623,-0.3,0,0,DISABLED,0
0.259999,0.0202548,0.0166868,0.0706339,0.0397077,0.746447,0.104085,0.121419,-0.040522,-0.991774,0.026361,-0.3,0,0,DISABLED,0
0.279999,0.0210209,0.0218714,0.0272418,0.0398637,0.747339,0.10445,0.121575,-0.0408504,-0.991741,0.0300591,-0.3,0,0,DISABLED,0
0.299999,0.0214179,0.0277551,0.0110747,0.0402968,0.747453,0.103926,0.122008,-0.0401013,-0.991719,0.033777,-0.3,0,0,DISABLED,0
0.319999,0.0213542,0.0342324,0.0216533,0.0417316,0.746779,0.0991792,0.123443,-0.0342821,-0.991759,0.0348747,-0.3,0,0,DISABLED,0
0.339998,0.0210184,0.0435737,0.0242918,0.0435852,0.744441,0.0848319,0.125296,-0.0170984,-0.991972,0.0346306,-0.3,0,0,DISABLED,0
0.359998,0.0208724,0.0499689,0.0212959,0.0436432,0.743455,0.0878945,0.125354,-0.02061,-0.991898,0.030563,-0.3,0,0,DISABLED,0
0.379998,0.0214291,0.0562631,-0.02825,0.0399787,0.742553,0.0838327,0.12169,-0.0180248,-0.992404,0.0252316,-0.3,0,0,DISABLED,0
0.399998,0.0219641,0.0624684,-0.0426115,0.0369798,0.740286,0.0702718,0.118691,-0.00411484,-0.992923,0.0240496,-0.3,0,0,DISABLED,0
0.419998,0.022067,0.0664335,-0.0306773,0.0366174,0.738665,0.0695148,0.118329,-0.00344951,-0.992968,0.020471,-0.3,0,0,DISABLED,0
0.439998,0.0224635,0.0695841,0.0148179,0.0354395,0.738926,0.0723638,0.117151,-0.00745847,-0.993086,0.0182365,-0.3,0,0,DISABLED,0
0.459998,0.0234511,0.0730595,0.0256304,0.0302934,0.739321,0.0662152,0.112005,-0.00326545,-0.993702,0.0148725,-0.3,0,0,DISABLED,0
0.479998,0.0241018,0.0755591,0.0189698,0.0259079,0.739234,0.0626217,0.107619,-0.00140927,-0.994191,0.00879071,-0.3,0,0,DISABLED,0
0.499998,0.0246408,0.077155,0.00926697,0.0221097,0.738769,0.0644402,0.103821,-0.00493162,-0.994584,0.00379816,-0.3,0,0,DISABLED,0
0.519998,0.0250568,0.0781012,-0.00445884,0.0189954,0.738182,0.0697854,0.100707,-0.0115515,-0.994849,0.000537492,-0.3,0,0,DISABLED,0
0.539998,0.0253799,0.0789881,-0.0176948,0.0155666,0.737486,0.0771073,0.0972778,-0.0199167,-0.995058,-0.00294549,-0.3,0,0,DISABLED,0
0.559998,0.0255448,0.0798068,-0.0190961,0.0118685,0.736834,0.0841113,0.0935798,-0.0276615,-0.995227,-0.00714138,-0.3,0,0,DISABLED,0
0.579998,0.0255681,0.0804446,-0.0109633,0.00753977,0.736215,0.0910071,0.089251,-0.0350786,-0.995391,-0.0120468,-0.3,0,0,DISABLED,0
0.599998,0.0255259,0.0806567,0.00305972,0.00378402,0.735682,0.0964262,0.0854953,-0.0407308,-0.995506,-0.0159656,-0.3,0,0,DISABLED,0
0.619998,0.0254787,0.0806307,0.0126084,-0.000378914,0.735355,0.100463,0.0813323,-0.0448355,-0.995678,-0.0198818,-0.3,0,0,DISABLED,0
0.639998,0.0256162,0.0804804,0.0155914,-0.00502817,0.735465,0.100683,0.0766831,-0.0449271,-0.996043,-0.023372,-0.3,0,0,DISABLED,0
0.659998,0.0257801,0.0802405,0.0313668,-0.00776007,0.735844,0.0996824,0.0739512,-0.0437478,-0.996302,-0.025839,-0.3,0,0,DISABLED,0
0.679998,0.0259378,0.0797472,0.0651302,-0.00911313,0.736333,0.0982186,0.0725981,-0.0421625,-0.99647,-0.0285478,-0.3,0,0,DISABLED,0
0.699998,0.0261539,0.0787413,0.104349,-0.00904381,0.736527,0.0987889,0.0726674,-0.0427415,-0.99644,-0.0306703,-0.3,0,0,DISABLED,0
0.719998,0.0263435,0.0775572,0.11451,-0.00843335,0.736277,0.101036,0.0732779,-0.0450499,-0.996294,-0.0311969,-0.3,0,0,DISABLED,0
0.739998,0.0267566,0.0767556,0.0945246,-0.00934689,0.73678,0.097259,0.0723644,-0.0411766,-0.996528,-0.0336534,-0.3,0,0,DISABLED,0
0.759998,0.0277532,0.07594,0.0905193,-0.0141866,0.737818,0.0949797,0.0675246,-0.0382761,-0.996983,-0.0430019,-0.3,0,0,DISABLED,0
0.779998,0.0285258,0.0753168,0.0849093,-0.0189827,0.738807,0.0944067,0.0627286,-0.0368323,-0.997351,-0.0507306,-0.3,0,0,DISABLED,0
0.799998,0.0289647,0.0750957,0.0831881,-0.0230189,0.739564,0.0934752,0.0586924,-0.0349426,-0.997664,-0.0560435,-0.3,0,0,DISABLED,0
0.819998,0.0290773,0.0753556,0.0872234,-0.0259379,0.739975,0.0917966,0.0557733,-0.0323944,-0.997918,-0.059075,-0.3,0,0,DISABLED,0
0.839998,0.0289503,0.0760999,0.0912983,-0.0286395,0.740051,0.08855,0.0530718,-0.0281193,-0.998195,-0.0613329,-0.3,0,0,DISABLED,0
0.859998,0.0287032,0.0771286,0.0915413,-0.0311362,0.739918,0.0839465,0.050575,-0.0222766,-0.998472,-0.062747,-0.3,0,0,DISABLED,0
0.879998,0.0283347,0.0787036,0.0843523,-0.0336828,0.739657,0.0781365,0.0480285,-0.0148054,-0.998736,-0.0638244,-0.3,0,0,DISABLED,0
0.899998,0.0278936,0.0807196,0.087105,-0.0361517,0.73939,0.0717695,0.0455595,-0.00627963,-0.998942,-0.0649879,-0.3,0,0,DISABLED,0
0.919998,0.0272081,0.0832854,0.101553,-0.0377129,0.739164,0.065225,0.0439983,0.00252603,-0.999028,-0.0657643,-0.3,0,0,DISABLED,0
0.939998,0.0264943,0.0856035,0.115527,-0.0381572,0.739028,0.0586967,0.043554,0.0111625,-0.998989,-0.0658491,-0.3,0,0,DISABLED,0
0.959998,0.0258763,0.0881702,0.122219,-0.039741,0.739519,0.0578349,0.0419702,0.0137603,-0.999024,-0.0691982,-0.3,0,0,DISABLED,0
0.979998,0.0256698,0.0904554,0.0724461,-0.0417511,0.740424,0.0605591,0.0399602,0.0119155,-0.99913,-0.0727587,-0.3,0,0,DISABLED,0
0.999998,0.0250218,0.0929051,0.0747126,-0.0402371,0.741374,0.0618097,0.0414742,0.00884747,-0.9991,-0.0746139,-0.3,0,0,DISABLED,0
1.02,0.0241339,0.0954796,0.082657,-0.0365657,0.742196,0.0618493,0.0451456,0.00586204,-0.998963,-0.0746783,-0.3,0,0,DISABLED,0
1.04,0.0233427,0.0979428,0.0672218,-0.0331256,0.742532,0.0605699,0.0485857,0.00501976,-0.998806,-0.0740705,-0.3,0,0,DISABLED,0
1.06,0.0226577,0.100902,0.0441139,-0.030498,0.74218,0.0553382,0.0512133,0.00955228,-0.998642,-0.0722084,-0.3,0,0,DISABLED,0
1.08,0.0224722,0.103997,0.0355942,-0.0304442,0.74092,0.048289,0.051267,0.0182613,-0.998518,-0.0688306,-0.3,0,0,DISABLED,0
1.1,0.022747,0.105772,0.0362669,-0.0326767,0.74025,0.0505148,0.0490346,0.0172311,-0.998648,-0.0679884,-0.3,0,0,DISABLED,0
1.12,0.0232592,0.107472,0.0433613,-0.0348122,0.739726,0.0535885,0.0468991,0.015017,-0.998787,-0.0671516,-0.3,0,0,DISABLED,0
1.14,0.0237565,0.10918,0.0419509,-0.0362594,0.739166,0.056199,0.0454518,0.012822,-0.998884,-0.0669022,-0.3,0,0,DISABLED,0
1.16,0.0242731,0.110839,0.0363124,-0.036874,0.738434,0.0598069,0.0448373,0.00866454,-0.998957,-0.0666758,-0.3,0,0,DISABLED,0
1.18,0.0247061,0.112147,0.0383539,-0.0368739,0.737743,0.0639646,0.0448373,0.00347433,-0.998988,-0.0667573,-0.3,0,0,DISABLED,0
1.2,0.0250704,0.113202,0.0433023,-0.0365075,0.7372,0.0682985,0.0452037,-0.00199406,-0.998976,-0.0672375,-0.3,0,0,DISABLED,0
1.22,0.0254329,0.114226,0.0508266,-0.0358298,0.736704,0.0720921,0.0458814,-0.00684021,-0.998923,-0.068182,-0.3,0,0,DISABLED,0
1.24,0.0258382,0.115069,0.0605091,-0.0349388,0.73623,0.0771815,0.0467725,-0.0131157,-0.998819,-0.0709447,-0.3,0,0,DISABLED,0
1.26,0.0262574,0.115629,0.067409,-0.0343428,0.735913,0.0815692,0.0473685,-0.0182911,-0.99871,-0.0742947,-0.3,0,0,DISABLED,0
1.28,0.0268823,0.116314,0.0783137,-0.0349827,0.736174,0.0806186,0.0467286,-0.0169327,-0.998764,-0.0744272,-0.3,0,0,DISABLED,0
1.3,0.0277051,0.116943,0.086115,-0.0352041,0.736701,0.0779683,0.0465071,-0.0138632,-0.998822,-0.0767519,-0.3,0,0,DISABLED,0
1.32,0.028157,0.117235,0.108366,-0.0338353,0.737034,0.0750248,0.047876,-0.0112573,-0.99879,-0.0803891,-0.3,0,0,DISABLED,0
1.34,0.0284524,0.11726,0.126191,-0.0305846,0.737064,0.0717786,0.0511266,-0.00923967,-0.998649,-0.0847475,-0.3,0,0,DISABLED,0
1.36,0.0284344,0.117155,0.125076,-0.026859,0.736661,0.0685617,0.0548522,-0.0073937,-0.998467,-0.0868061,-0.3,0,0,DISABLED,0
1.38,0.0285804,0.117375,0.0958278,-0.025728,0.736817,0.0635933,0.0559832,-0.00246659,-0.998429,-0.0899814,-0.3,0,0,DISABLED,0
1.4,0.0289154,0.1174,0.125473,-0.026893,0.737467,0.0644569,0.0548182,-0.00288555,-0.998492,-0.0925122,-0.3,0,0,DISABLED,0
1.42,0.0291066,0.117501,0.124341,-0.0277673,0.738131,0.0664589,0.053944,-0.00468563,-0.998533,-0.0920732,-0.3,0,0,DISABLED,0
1.44,0.0292458,0.118078,0.112051,-0.0283617,0.738751,0.0673708,0.0533496,-0.0054143,-0.998561,-0.0902508,-0.3,0,0,DISABLED,0
1.46,0.0293806,0.119126,0.102284,-0.0290919,0.739122,0.0667687,0.0526194,-0.00439864,-0.998605,-0.0884428,-0.3,0,0,DISABLED,0
1.48,0.029538,0.120736,0.0900504,-0.0303461,0.739349,0.0646924,0.0513652,-0.00142492,-0.998679,-0.0862784,-0.3,0,0,DISABLED,0
