t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0142125,0,0.737779,0,0.0791612,0.0436935,-0.995904,0,0.25,0.2,0,DISABLED,0
0.0399988,0.00217862,0.00140534,0.0131595,-0.000243254,0.737609,0.00926452,0.0789179,0.0344443,-0.996286,0.00392526,0.25,0.2,0,DISABLED,0
0.0599988,0.00497399,0.00316258,0.0199607,-0.00148632,0.73691,0.0209738,0.0776748,0.0227874,-0.996718,0.00614443,0.25,0.2,0,DISABLED,0
0.0799987,0.00810944,0.00543059,0.0232494,-0.00454693,0.736403,0.0235041,0.0746142,0.0206611,-0.996998,0.00651887,0.25,0.2,0,DISABLED,0
0.0999987,0.0114566,0.00720134,0.195629,-0.00396624,0.73622,0.0280101,0.0751949,0.0159914,-0.997041,0.00627307,0.25,0.2,0,DISABLED,0
0.119999,0.0131463,0.00742422,0.240857,0.00256616,0.736622,0.0368746,0.0817273,0.00691686,-0.996631,0.00943118,0.25,0.2,0,DISABLED,0
0.139999,0.0148189,0.00764054,0.23754,0.011262,0.737423,0.0498709,0.0904232,-0.00488322,-0.995891,0.0118146,0.25,0.2,0,DISABLED,0
0.159999,0.0163517,0.00832979,0.211038,0.0194634,0.738481,0.0632642,0.0986246,-0.0164836,-0.994988,0.0131905,0.25,0.2,0,DISABLED,0
0.179999,0.0176901,0.00965261,0.191878,0.0266782,0.739759,0.0758859,0.105839,-0.0273035,-0.994008,0.0138768,0.25,0.2,0,DISABLED,0
0.199999,0.0188771,0.0118707,0.17793,0.0324897,0.741211,0.0866396,0.111651,-0.036544,-0.993075,0.0139852,0.25,0.2,0,DISABLED,0
0.219999,0.019793,0.015136,0.160481,0.0377026,0.742678,0.0946845,0.116864,-0.0430439,-0.992215,0.0150662,0.25,0.2,0,DISABLED,0
0.239999,0.0205519,0.0195617,0.134097,0.041614,0.743953,0.0997883,0.120775,-0.046854,-0.991574,0.0174524,0.25,0.2,0,DISABLED,0
0.259999,0.021189,0.0252504,0.101945,0.0455023,0.744819,0.103857,0.124663,-0.0494816,-0.990964,0.0222438,0.25,0.2,0,DISABLED,0
0.279999,0.0216901,0.0321042,0.0654095,0.0484783,0.745125,0.107601,0.12764,-0.052154,-0.990448,0.0286103,0.25,0.2,0,DISABLED,0
0.299999,0.0219318,0.040113,0.0395989,0.0516474,0.744764,0.1106,0.130809,-0.0538608,-0.989944,0.0352273,0.25,0.2,0,DISABLED,0
0.319999,0.0218583,0.0503649,0.0382836,0.0551628,0.743274,0.10844,0.134324,-0.0493994,-0.989705,0.0401185,0.25,0.2,0,DISABLED,0
