t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0656258,0,0.740086,0,0.0703429,0.0201517,-0.997319,0,0,0,0,DISABLED,0
0.0399988,0.000335492,9.6173e-05,0.057443,0.00183968,0.740098,0.00198341,0.0721825,0.0208518,-0.997173,0.000657737,0,0,0,DISABLED,0
0.0599988,0.00081224,0.000667646,0.0516459,0.00307863,0.740113,0.00338291,0.0734215,0.0215261,-0.997069,0.00149318,0,0,0,DISABLED,0
0.0799987,0.00129242,0.00160743,0.0464044,0.00384429,0.74012,0.00429854,0.0741872,0.0220571,-0.997,0.00388639,0,0,0,DISABLED,0
0.0999987,0.00180891,0.00296979,0.0417276,0.00418811,0.740115,0.00509781,0.074531,0.0230207,-0.996953,0.00705606,0,0,0,DISABLED,0
0.119999,0.00226153,0.00452734,0.0358981,0.0042152,0.740086,0.00596024,0.0745581,0.0243524,-0.996919,0.0101269,0,0,0,DISABLED,0
0.139999,0.00274512,0.0065367,0.0242059,0.00383102,0.740047,0.00746928,0.0741739,0.026548,-0.996892,0.014499,0,0,0,DISABLED,0
0.159999,0.00328953,0.00873469,0.0118016,0.00259553,0.739986,0.00927095,0.0729384,0.0290428,-0.996913,0.0194204,0,0,0,DISABLED,0
0.179999,0.00391781,0.0108468,0.0204146,0.000680715,0.739851,0.0107921,0.0710236,0.0309175,-0.996995,0.0233133,0,0,0,DISABLED,0
0.199999,0.00451732,0.0126468,0.0452871,-0.000741698,0.73983,0.0126011,0.0696012,0.032729,-0.997038,0.0270936,0,0,0,DISABLED,0
0.219999,0.00535798,0.0142226,0.0451118,-0.00213234,0.73998,0.0146282,0.0682105,0.0346181,-0.99707,0.033606,0,0,0,DISABLED,0
0.239999,0.00607019,0.0156921,0.0342346,-0.0022008,0.740079,0.0145629,0.0681421,0.0345423,-0.997077,0.0376781,0,0,0,DISABLED,0
